[smileys_emotion]
😀;ፈገግ ያለ ፊት;ፈገግ ያለ ፊት|ፈገግታ|ፊት
😃;አፉ የተከፈተ ሣቂታ ፊት;ሣቅ|አፉ የተከፈተ ሣቂታ ፊት|አፍ|ክፍት|ፊት
😄;ከተከፈተ አፍ ጋር ሣቂታ ፊት እና ሣቂታ ዓይኖች;ሣቅ|አፍ|ከተከፈተ አፍ ጋር ሣቂታ ፊት እና ሣቂታ ዓይኖች|ክፍት|ዓይን
😁;ሣቂታ ዓይኖች ያሉት ፊት;ሣቂታ ዓይኖች ያሉት ፊት|ሣቅ|ዓይን|ፈገግታ|ፊት
😆;ከተከፈተ አፍ ጋር ሣቂታ ፊት እና የተጨፈኑ ዓይኖች;ሣቅ|አፍ|ከተከፈተ አፍ ጋር ሣቂታ ፊት እና የተጨፈኑ ዓይኖች|ክፍት|ፊት
😅;ከተከፈተ አፍ ጋር ሣቂታ ፊት እና ቀዝቃዛ ላብ;ላብ|ሣቅ|ቀዝቃዛ|ከተከፈተ አፍ ጋር ሣቂታ ፊት እና ቀዝቃዛ ላብ|ክፍት
🤣;በሳቅ መሬት ላይ መሽከርከር;መሬት|መሽከርከር|ሳቅ|በሳቅ መሬት ላይ መሽከርከር|ፊት
😂;የሐሤት እንባ ያሉት ፊት;ሐሤት|እንባ|ከባድ ሣቅ|የሐሤት እንባ ያሉት ፊት|ፊት
🙂;በትንሹ ሣቂታ ፊት;ሣቅ|በትንሹ ሣቂታ ፊት|ፊት
🙃;የተገለበጠ ፊት;የተገለበጠ|ፊት
🫠;እየቀለጠ ያለ ፊት;መሟሟት|መቅለጥ|መጥፋት|እየቀለጠ ያለ ፊት|ፈሳሽ
😉;የሚጣቀስ ፊት;የሚጣቀስ ፊት|ጠቀሳ|ፊት
😊;ሣቂታ ዓይኖች ያሉት ሣቂታ ፊት;ሣቂታ ዓይኖች ያሉት ሣቂታ ፊት|ሣቅ|ዓይን|ዕፍረት|ፊት
😇;ላዩ ላይ ክብ ያለበት ሣቂታ ፊት;ላዩ ላይ ክብ ያለበት ሣቂታ ፊት|መልዓክ|ምናባዊ|ታማኝ|የዋህ|ፊት
🥰;የሚስቅ ፊት ከ 3 ልብ ጋር;አፈቀረ|ከፍ ያለ ክብር ሰጠ|ወደደ|የሚስቅ ፊት ከ 3 ልብ ጋር
😍;የልብ ቅርጽ ያላቸው ዓይኖች ያሉት ሣቂታ ፊት;ሣቅ|ዓይን|የልብ ቅርጽ ያላቸው ዓይኖች ያሉት ሣቂታ ፊት|ፊት|ፍቅር
🤩;የተዋንያን አድናቂ;ኮከብ|ዓይኖች|የተዋንያን አድናቂ|ፊት
😘;የሚስም ፊት;ልብ|መሳም|የሚስም ፊት|ፊት
😗;እየሳመ ያለ ፊት;መሳም|እየሳመ ያለ ፊት|ፊት
☺️;ሣቂታ ፊት;ሣቂታ ፊት|ሣቅ|የተነደፈ|የተዝናና|ፊት
😚;የሚስም ፊት ከተዘጉ ዓይኖች ጋር;መሳም|ዓይን|የሚስም ፊት ከተዘጉ ዓይኖች ጋር|የተዘጋ|ፊት
😙;የሚስም ፊት ከሣቂታ ዓይኖች ጋር;መሳም|ሣቅ|ዓይን|የሚስም ፊት ከሣቂታ ዓይኖች ጋር|ፊት
🥲;ከእንባ ጋር የሚስቅ ፊት;ከእንባ ጋር የሚስቅ ፊት
😋;በጣፋጭ ምግብ የጎመጀ ፊት;ሣቅ|በጣፋጭ ምግብ የጎመጀ ፊት|አስጎምጂ|ጣፋጭ|ፊት
😛;ምላሱን ያወጣ ፊት;ምላሱን ያወጣ ፊት|ምላስ|ፊት
😜;ምላሱን ያወጣ እና ዓይኑ የሚጣቀስ ፊት;ምላሱን ያወጣ እና ዓይኑ የሚጣቀስ ፊት|ምላስ|ቀልድ|ዓይን|ጠቀሳ
🤪;እብድ ፊት;እብድ ፊት
😝;ምላሱን ያወጣ እና ዓይኑን የጨፈነ ፊት;ምላሱን ያወጣ እና ዓይኑን የጨፈነ ፊት|ምላስ|አስቀያሚ|ዓይን|ጣዕም
🤑;አፉ ላይ ገንዘብ ያለበት ፊት;አፉ ላይ ገንዘብ ያለበት ፊት|አፍ|ገንዘብ|ፊት
🤗;እያቀፈ ያለ ፊት;መተቃቀፍ|ማቀፍ|እያቀፈ ያለ ፊት|ፊት
🤭;እጁን ከንፈሩ ላይ ያደረገ ፊት;እጁን ከንፈሩ ላይ ያደረገ ፊት
🫢;ከፈጠጡ ዓይኖች እና አፍ ላይ እጅ የጫነ ፊት;መሸማቀቅ|መደነቅ|መፍራት|አለማመን|ከፈጠጡ ዓይኖች እና አፍ ላይ እጅ የጫነ ፊት|ፈራ
🫣;የሚያጮልቅ አይን ያለበት ፊት;ማፍጠጥ|አጮልቆ ማየት|የሚያጮልቅ አይን ያለበት ፊት|የተማረከ
🤫;የጸጥታ ፊት;የጸጥታ ፊት
🤔;ሃሳቢ ፊት;ሃሳቢ ፊት|ማሰብ|ፊት
🫡;ሰላምታ የሚሰጥ ፊት;ሰላምታ የሚሰጥ ፊት|ታዛዥ ነኝ|አዎ|እሺ|ወታደሮች|ፀሐያማ
🤐;ባለዚፕ አፍ ፊት;ባለዚፕ አፍ ፊት|አፍ|ዚፕ|ፊት
🤨;ቅንድብ የተነሳ ፊት;ቅንድብ የተነሳ ፊት
😐;ገለልተኛ ፊት;ኮስተር ያለ|ገለልተኛ|ፊት
😑;ምንም ስሜት የሌለው ፊት;ምንም ስሜት የሌለው ፊት|ስሜት የለሽ|ስሜት የማይገልጽ|ፊት
😶;አፍ የሌለው ፊት;አፍ|አፍ የሌለው ፊት|ዝም ያለ|ጸጥታ|ፊት
🫥;ዙሪያውን ሰረዝ ያለው ፊት;መደበቅ|አይናፋር|ዙሪያውን ሰረዝ ያለው ፊት|የማይታይ|የተደበረ|የጠፋ
😶‍🌫️;ደመናማ ገጽ;ደመናማ ገጽ
😏;በምጸት ፈገግ የሚል ፊት;ምጸት|በምጸት ፈገግ የሚል ፊት|ፊት
😒;ያልተገረመ ፊት;ያልተደሰተ|ያልተገረመ|ፊት
🙄;የሚሽከረከሩ ዓይኖች ያሉት ፊት;ዓይኖች|የሚሽከረከሩ|የሚሽከረከሩ ዓይኖች ያሉት ፊት|ፊት
😬;ታሞ የተጨማደደ ፊት;ታሞ የተጨማደደ|ታሞ የተጨማደደ ፊት|ፊት
😮‍💨;ወደ ውጭ የሚተነፍስ ገጽ;ወደ ውጭ የሚተነፍስ ገጽ
🤥;የሚዋሽ ፊት;ውሸት|የሚዋሽ ፊት|ፊት|ፒኖኪዮ
🫨;የሚንቀጠቀጥ ፊት;መንቀጥቀጥ|መደንገጥ|የመሬት መንቀጥቀጥ|የሚንቀጠቀጥ ፊት|ፊት
🙂‍↔️;ራስ መንቀጥቀጥ አግድሞሽ;ራስ መንቀጥቀጥ አግድሞሽ|አይ፤ መንቀጥቀጥ
🙂‍↕️;ራስ መንቀጥቀጥ አቀባዊ;መነቅነቅ፤ አዎ|ራስ መንቀጥቀጥ አቀባዊ
😌;እፎይ ያለ ፊት;እፎይ ያለ|እፎይ ያለ ፊት|ፊት
😔;እያሰበ ያለ ፊት;ሐሳብ የገባው|እያሰበ ያለ ፊት|ገለል ያለ|ፊት
😪;እንቅልፉ የመጣ ፊት;እንቅልፉ የመጣ ፊት|እንቅልፍ|ፊት
🤤;የለሀጭ ፊት;ለሀጭ|የለሀጭ ፊት|ፊት
😴;የሚያንቀላፋ ፊት;እንቅልፍ|የሚያንቀላፋ ፊት|ፊት
😷;የሕክምና ጭንብል ያደረገ ፊት;ቀዝቃዛ|የሕክምና ጭንብል ያደረገ ፊት|የታመመ|ዶክተር|ጭንብል
🤒;ቴርሞሜትር የያዘ ፊት;በሽተኛ|ቴርሞሜትር|ቴርሞሜትር የያዘ ፊት|የታመመ|ፊት
🤕;እራሱ ላይ ፋሻ የጠቀለለ ፊት;ቁስል|እራሱ ላይ ፋሻ የጠቀለለ ፊት|ጉዳት|ፊት|ፋሻ
🤢;ያስታወከ ፊት;ማስታወክ|ያስታወከ|ፊት
🤮;የሚያስታውክ ፊት;የሚያስታውክ ፊት
🤧;የሚያስነጥስ ፊት;መልካም ጤና|ማስነጠስ|የሚያስነጥስ ፊት|ፊት
🥵;የቀላ ፊት;ሙቀት|ማላብ|ቀይ ፊት|የሙቀት ግፊት|የቀላ ፊት
🥶;የቀዘቀዘ ፊት;ሰማያዊ ፊት|ቀዝቃዛ|በራዳ|በቅዝቃዜ የተጎዳ አፍንጫ|የቀዘቀዘ ፊት
🥴;አጥወልዋይ ፊት;አጥወልዋይ ፊት|የሰከረ|የተሸዋረረ አይን|ድንዝዝ|ግልብጥ
😵;የደበተው ፊት;የደበተው|ፊት
😵‍💫;የዞሩ ዓይኖች ያለው ፊት;የዞሩ ዓይኖች ያለው ፊት
🤯;የፈነዳ ጭንቅላት;የፈነዳ ጭንቅላት
🤠;የከብት ጠባቂ ኮፍያ ፊት;ከብት ጠባቂ|ኮፍያ|የከብት ጠባቂ ኮፍያ ፊት|ፊት
🥳;የድግስ ፊት;ቀንድ|ክብረ በዓል|ኮፍያ|የድግስ ፊት|ድግስ
🥸;አሳሳች ፊት;አሳሳች ፊት
😎;የፀሐይ መነጽር ያደረገ ሣቂታ ፊት;ብሩህ|አሪፍ|የፀሐይ መነጽር ያደረገ ሣቂታ ፊት|ፀሐይ|ፊት
🤓;ያገጠጠ ባለመነጽር ፊት;መነጽራም|የገጠጠ|ያገጠጠ ባለመነጽር ፊት|ፊት
🧐;የዓይን ባጅ ያደረገ ፊት;የዓይን ባጅ ያደረገ ፊት
😕;ግራ የተጋባ ፊት;ግራ የተጋባ|ግራ የተጋባ ፊት|ፊት
🫤;ሰያፍ አፍ ያለው ፊት;ሜህ|ሰያፍ አፍ ያለው ፊት|ተጠራጣሪ|እርግጠኛ አይደለሁም|የተናደደ
😟;የተጨነቀ ፊት;የተጨነቀ|ፊት
🙁;በከፊል የተኮሳተረ ፊት;በከፊል የተኮሳተረ ፊት|የተኮሳተረ|ፊት
☹️;የተኮሳተረ ፊት;የተኮሳተረ|ፊት
😮;አፍ የከፈተ ፊት;ሐዘኔታ|አፍ|አፍ የከፈተ ፊት|ክፍት|ፊት
😯;አንሾካሿኪ ፊት;ተደመመ|ተገረመ|አንሾካሾከ|አንሾካሿኪ ፊት|ፊት
😲;የተገረመ ፊት;ሙሉ በሙሉ|የተገረመ|የደነገጠ|ፊት
😳;የደነበረ ፊት;የተደበረ|የደነበረ ፊት|ያፈረ|ፊት
🥺;የሙግት ፊት;ልመና|ምህረት|የሙግት ፊት|የትንንሽ ውሾች አይን
🥹;እንባ ያቀረረ ፊት;መቃወም|መከፋት|እንባ ያቀረረ ፊት|ኩራት|የሚያለቅስ|የተቆጣ
😦;አፉ የተከፈተ የተኮሳተረ ፊት;አፉ የተከፈተ የተኮሳተረ ፊት|አፍ|ክፍት|የተኮሳተረ|ፊት
😧;ተማሮ የሚያለቅስ ፊት;ተማሮ የሚያለቅስ ፊት
😨;ፍርሃት የተሞላ ፊት;የፈራ|ፈሪ|ፊት|ፍርሃት|ፍርሃት የተሞላ ፊት
😰;አፉ የተከፈተ እና ቀዝቃዛ ላብ ያለው ፊት;ላብ|ሰማያዊ|ቀዝቃዛ|አፉ የተከፈተ እና ቀዝቃዛ ላብ ያለው ፊት
😥;የተከፋ ግን የተጽናና ፊት;አሰይ|እፎይ ያለ|የተከፋ|የተከፋ ግን የተጽናና ፊት|ፊት
😢;የሚያለቅስ ፊት;ለቅሶ|እንባ|የሚያለቅስ ፊት|ያዘነ|ፊት
😭;በከባድ የሚያለቅስ ፊት;ለቅሶ|መንሰቅሰቅ|በከባድ የሚያለቅስ ፊት|እንባ|ያዘነ
😱;በፍርሃት የሚጮኽ ፊት;በፍርሃት የሚጮኽ ፊት|የተሳቀቀ|ጥርስ መንከስ|ጩኸት|ፊት
😖;እንባው የመጣ ከንፈሩ የሚንቀጠቀጥ ፊት;እንባው የመጣ|እንባው የመጣ ከንፈሩ የሚንቀጠቀጥ ፊት|ፊት
😣;ጽናትን አንጸባራቂ ፊት;ጽናት|ጽናትን አንጸባራቂ ፊት|ፊት
😞;የተከፋ ፊት;የተከፋ|ፊት
😓;ቀዝቃዛ ላብ ያለው ፊት;ላብ|ቀዝቃዛ|ቀዝቃዛ ላብ ያለው ፊት|ፊት
😩;ምርር ያለው ፊት;ምርር ያለው ፊት|የተሰላቸ|የደከመው|ፊት
