[smileys_emotion]
😀;шырока ўсміхаецца;зубы|усмешка|шырока ўсміхаецца
😃;усміхаецца з адкрытым ротам;адкрыты|рот|усмешка|усміхаецца з адкрытым ротам
😄;усміхаецца, адкрыўшы рот і прыплюшчыўшы вочы;адкрыўшы рот і прыплюшчыўшы вочы|вочы|рот|усмешка|усміхаецца|усміхаецца, адкрыўшы рот і прыплюшчыўшы вочы
😁;шырока ўсміхаецца, прыплюшчыўшы вочы;вочы|зубы|прыплюшчыўшы вочы|усмешка|шырока ўсміхаецца|шырока ўсміхаецца, прыплюшчыўшы вочы
😆;смяецца, адкрыўшы рот і заплюшчыўшы вочы;адкрыты|адкрыўшы рот і заплюшчыўшы вочы|задаволены|рот|смех|смяецца|смяецца, адкрыўшы рот і заплюшчыўшы вочы
😅;усміхаецца адкрытым ротам з халодным потам на лбе;пот|усмешка|усміхаецца адкрытым ротам з халодным потам на лбе|халодны
🤣;качаюся са смеху;качацца|качаюся са смеху|смех
😂;слёзы шчасця;зубы|слёзы|слёзы шчасця|смех|шчасце
🙂;злёгку ўсміхаецца;злёгку ўсміхаецца|усмешка
🙃;дагары нагамі;дагары нагамі|твар
🫠;твар растае;вадкі|знікае|растае|раствараецца|твар растае
😉;падморгвае;падморгвае|падморгванне|твар
😊;усміхаецца, прыплюшчыўшы вочы;вочы|прыплюшчыўшы вочы|румянец|усмешка|усміхаецца|усміхаецца, прыплюшчыўшы вочы
😇;твар з німбам;анёл|арэол|казачны|німб|нявінны|твар з німбам|усмешка
🥰;твар з трыма сэрцамі ўсміхаецца;закаханасць|захапленне|каханне|твар з трыма сэрцамі ўсміхаецца|улюбёнасць
😍;закаханы твар;закаханы твар|каханне|сэрца|усмешка
🤩;твар з зоркамі;вочы|зорка|твар|твар з зоркамі|ухмылка
😘;паветраны пацалунак;паветраны пацалунак|падморгванне|пацалунак|сэрца
😗;цалуе;пацалунак|цалуе
☺️;усміхаецца;спакойны|усмешка|усмешлівы твар|усміхаецца
😚;цалуе, заплюшчыўшы вочы;губы|заплюшчаныя вочы|заплюшчыўшы вочы|пацалунак|цалуе|цалуе, заплюшчыўшы вочы
😙;цалуе, прыплюшчыўшы вочы;вочы|пацалунак|прыплюшчыўшы вочы|усмешка|цалуе|цалуе, прыплюшчыўшы вочы
🥲;усмешлівы твар са слязой;гордасць|палёгка|расчулены|сляза|удзячнасць|усмешка|усмешлівы твар са слязой
😋;смачна;гам|смакаванне|смачна|усмешка
😛;паказвае язык;гарэза|паказвае язык|язык
😜;паказвае язык і падморгвае;вочы|жарт|падморгванне|паказвае язык і падморгвае|язык
🤪;вар’яцкі твар;вар’яцкі твар|вока|вялікае|маленькае
😝;паказвае язык, заплюшчыўшы вочы;вочы|гарэза|заплюшчыўшы вочы|паказвае язык|паказвае язык, заплюшчыўшы вочы|смак|язык
🤑;чую грошы;грошы|рот|скнара|чую грошы
🤗;абдымкі;абдымае|абдымкі|твар
🤭;закрывае рукой рот;закрывае рукой рот|ой
🫢;твар з расплюшчанымі вачыма і закрытым рукой ротам;захоплены|зачараваны|збянтэжаны|здзіўлены|недаверлівы|спалоханы|твар з расплюшчанымі вачыма і закрытым рукой ротам
🫣;закрыты твар падглядае адным вокам;закрыты твар падглядае адным вокам|зачараваны|падглядаць|утаропіцца
🤫;шыкае;ціха|цыц|шыкае|шыканне
🤔;у роздуме;гм|развага|роздум|у роздуме
🫡;твар салютуе;аддаць чэсць|вайсковец|вясёлы|салют|так|твар салютуе
🤐;рот на замок;замок|маўчу|рот|рот на замок
🤨;твар з узнятым брывом;не верыць|скептычны|твар з узнятым брывом
😐;нейтральны твар;абыякавы|нейтральны|нейтральны твар
😑;без эмоцый;без эмоцый|каменны|невыразны
😶;твар без рота;маўклівы|рот|твар без рота|ціхі
🫥;твар, намаляваны пункцірам;дэпрэсіўны|знікае|інтраверт|намаляваны пункцірам|невідзімка|твар|твар, намаляваны пункцірам|хаваецца
😶‍🌫️;твар у аблоках;галава ў аблоках|рассеяны|твар у аблоках|твар у тумане
😏;ухмыляецца;усмешка|ухмылка|ухмыляецца
😒;незадаволены твар;зануда|незадаволены|незадаволены твар|нудны
🙄;закочвае вочы;вочы|закочвае вочы|закочванне|толькі не гэта
😬;скрыўлены твар;грымаса|перакошаны|скрыўлены|скрыўлены твар
😮‍💨;твар выдыхае;выдых|палёгка|перахапіла дыханне|свіст|твар выдыхае|уздых|шэпт
🤥;твар хлуса;пінокіа|твар|твар хлуса|хлусня
🫨;раздвоены твар;вібрацыя|землетрасенне|раздвоены твар|твар|трасенне|удар
🙂‍↔️;гарызантальна круціць галавой;гарызантальна круціць галавой|не
🙂‍↕️;вертыкальна ківае галавой;вертыкальна ківае галавой|так
😌;адчувае палёгку;адчувае палёгку|палёгка|як добра
😔;задуменны твар;задуменны|задуменны твар|засмучаны
😪;сонны твар;санлівасць|сон|сонны твар
🤤;пускае сліну;пускае сліну|пускаць|сліна
😴;спіць;сон|спіць|хррр
😷;твар у медыцынскай масцы;доктар|маска|медыцына|твар у медыцынскай масцы|хворы
🤒;твар з тэрмометрам;прастуда|твар з тэрмометрам|тэрмометр|хворы
🤕;твар з павязкай на галаве;выцятае месца|павязка|твар з павязкай на галаве|траўма
🤢;моташна;моташна|нудзіць|твар
🤮;ванітуе;ванітуе|ваніты|твар
🤧;чхае;твар|чхае
🥵;гарачы твар;гарачы твар|горача|ліхаманка|перагрэў|пот|чырвоны твар
🥶;змерзлы твар;замярзае|змерзлы твар|ільдзінкі|мароз|сіні твар|холадна
🥴;ап’янелы твар;адурманены|ап’янелы|ап’янелы твар|нецвярозы|п’яны|перакошаны рот|разбягаюцца вочы
😵;галава круціцца;галава круціцца|галавакружэнне|заблытаны
😵‍💫;твар з вачыма-спіралямі;адурманены|гіпноз|загіпнатызаваны|ого|спіраль|твар з вачыма-спіралямі|турботы
🤯;галава выбухае;галава выбухае|шакіраваны
🤠;каўбой у капелюшы;капялюш|каўбой|каўбой у капелюшы
🥳;святкуе;вечарына|дудка|капялюш|свята|святкуе
🥸;твар пад маскіроўкай;акуляры|інкогніта|маскіроўка|нос|твар|твар пад маскіроўкай
😎;усміхаецца ў сонечных акулярах;акуляры|круты|сонца|усмешка|усміхаецца ў сонечных акулярах
🤓;гік;батан|гік|задрот|нёрд
🧐;твар з маноклем;напышлівы|твар з маноклем
😕;разгублены твар;азадачаны|збіты з панталыку|разгублены|разгублены твар
🫤;твар са скошаным ротам;незадаволены|няўпэўнены|расчараваны|скептычны|твар са скошаным ротам|хм
😟;занепакоены твар;занепакоены|занепакоены твар|устрывожаны
🙁;злёгку засмучаны твар;засмучэнне|злёгку засмучаны твар|нахмураны
☹️;засмучаны твар;засмучаны твар|засмучэнне|нахмураны
😮;твар з адкрытым ротам;адкрыты|рот|спачуванне|твар з адкрытым ротам
😯;ашаломлены твар;ашаломлены|здзіўлены|змоўклы|твар
😲;здзіўлены твар;здзіўлены|здзіўлены твар|цалкам|шакіраваны
😳;здранцвелы твар;аслупянелы|аслупянелы твар|збянтэжаны|збянтэжаны твар|здранцвелы твар
🥺;упрошвае;моліць|просіць|умольвае|упрошвае|шчанячы позірк
🥹;стрымлівае слёзы;горды|засмучаны|злы|плача|стрымлівае слёзы|стрымліваецца
😦;засмучаны твар з адкрытым ротам;адкрыты|засмучаны твар з адкрытым ротам|засмучэнне|нахмураны|рот
😧;пакутлівы твар;пакута|пакутлівы твар|туга
😨;напалоханы твар;жах|напалоханы|напалоханы твар|напужаны|страх
😰;твар з адкрытым ротам і халодным потам на лбе;пот|рот|сіні|стома|твар з адкрытым ротам і халодным потам на лбе
😥;расчараванне з палёгкай;вух|палёгка|расчараванне з палёгкай|расчараваны
😢;плача;плач|плача|слёзы|сумны
😭;плача ўголас;плача ўголас|рыданне|слёзы|сумны
😱;спалохана крычыць;жах|крык|напалоханы|спалохана крычыць|страх
😖;безвыходнасць;безвыходнасць|бязвыхадны|гамон|тупік
😣;упарты твар;настойваць|упартасць|упарты твар
😞;расчараваны твар;засмучэнне|расчараванне|расчараваны твар
😓;халодны пот на твары;няёмкасць|пот|халодны|халодны пот на твары
😩;змораны твар;змораны|змораны твар|стомлены
😫;стомлены твар;стомлены|стомлены твар
🥱;пазяханне;нуда|пазяхае|пазяханне|стома
😤;пара з носа;пара з носа|пераможца|трыумф|упартасць
😡;надзьмуты твар;злы|лютасць|надзьмуты|надзьмуты твар|чырвоны
😠;злуецца;злуецца|злы|люты|шалёны
🤬;твар са знакамі на роце;лаецца|твар са знакамі на роце
😈;рагацік з усмешкай;казачны|рагацік з усмешкай|рогі|усмешка
👿;злы рагаты чорт;д’ябал|дэман|злы рагаты чорт|казачны|нячысцік|чорт
💀;чэрап;казачны|монстр|смерць|чэрап
☠️;чэрап і косці;косці|монстр|пірат|смерць|чэрап і косці
💩;какашка;какашка|камічны|фекаліі|фу
🤡;твар клоуна;клоун|твар|твар клоуна
👹;людажэр;казачны|людажэр|монстр|стварэнне|японскі
👺;гоблін;гоблін|казачны|монстр|стварэнне|японскі
👻;прывід;бу|казачны|монстр|прывід|стварэнне
👽;іншапланецянін;іншапланецянін|космас|НЛА|пазаземны|стварэнне
👾;монстр-іншапланецянін;космас|монстр|монстр-іншапланецянін|пазаземны|стварэнне
🤖;робат;монстр|паўстанне машын|робат
😺;кот усміхаецца, адкрыўшы рот;адкрыты|адкрыўшы рот|кот|кот усміхаецца|кот усміхаецца, адкрыўшы рот|рот|усмешка
😸;кот шырока ўсміхаецца, прыплюснуўшы вочы;вочы|зубы|кот|кот шырока ўсміхаецца|кот шырока ўсміхаецца, прыплюснуўшы вочы|прыплюснуўшы вочы|усмешка
😹;кот плача ад шчасця;зубы|кот|кот плача ад шчасця|слёзы|смех
😻;закаханы кот;закаханы кот|каханне|кот|сэрца|усмешка
😼;кот са скрыўленай усмешкай;іранічны|кот|кот са скрыўленай усмешкай|скрыўлены|усмешка
😽;кот цалуе, закрыўшы вочы;вочы|закрыўшы вочы|заплюшчыўшы вочы|кот|кот цалуе|кот цалуе, закрыўшы вочы|пацалунак
🙀;змораны кот;здзіўлены|змораны|кот|ох
😿;кот плача;кот|кот плача|плач|слёзы|сумны
😾;надзьмуты кот;кот|крыўда|надзьмуты
🙈;нічога не бачу;бачыць|жэст|забаронена|малпа|нічога не бачу
🙉;нічога не чую;жэст|забаронена|малпа|нічога не чую|чуць
🙊;нічога не скажу;жэст|забаронена|малпа|нічога не скажу|размаўляць
💌;любоўны ліст;каханне|ліст|любоўны ліст|пошта|сэрца
💘;страла ў сэрцы;купідон|страла|страла ў сэрцы|сэрца
💝;сэрца са стужачкай;валянцінка|стужка|сэрца|сэрца са стужачкай
💖;бліскучае сэрца;бліскучае сэрца|бляск|захапленне|зіхаценне|сэрца
💗;сэрца, якое павялічваецца;біццё|захапленне|сэрца|сэрца, якое павялічваецца|хваляванне|якое павялічваецца
💓;пульсуючае сэрца;біццё|пульсуючае сэрца|сэрца|сэрцабіцце|хваляванне
💞;сэрцы, якія круцяцца;кручэнне|сэрцы|сэрцы, якія круцяцца|якія круцяцца
💕;два сэрцы;два сэрцы|каханне|сэрцы
💟;стылізаванае сэрца;стылізаванае сэрца|сэрца
❣️;клічнік у форме сэрца;знак|знак прыпынку|клічнік|клічнік у форме сэрца|сэрца
💔;разбітае сэрца;разбітае|расчараванне|сэрца
❤️‍🔥;сэрца ў агні;агонь|жаданне|каханне|святое сэрца|сэрца|сэрца ў агні
❤️‍🩹;сэрца загойваецца;аднаўленне|выздараўленне|загойванне|лепей|паляпшэнне|папраўленне|сэрца загойваецца
❤️;чырвонае сэрца;сэрца|чырвонае сэрца
🩷;ружовае сэрца;каханне|мілы|падабаецца|ружовае сэрца|ружовы|сэрца
🧡;аранжавае сэрца;аранжавае сэрца|аранжавы
💛;жоўтае сэрца;жоўтае сэрца|жоўты|сэрца
💚;зялёнае сэрца;зялёнае сэрца|зялёны|сэрца
💙;сіняе сэрца;сіні|сіняе сэрца|сэрца
🩵;блакітнае сэрца;бірузовы|блакітнае сэрца|блакітны|нябесны|сэрца
💜;фіялетавае сэрца;сэрца|фіялетавае сэрца|фіялетавы
🤎;карычневае сэрца;карычневае|сэрца
🖤;чорнае сэрца;злосць|сэрца|чорнае
🩶;шэрае сэрца;грыфельны|срэбны|сэрца|шэрае сэрца|шэры
🤍;белае сэрца;белае|сэрца
💋;след ад пацалунку;губы|пацалунак|след ад пацалунку
💯;сто ачкоў;100|ачкоў|максімум|сто
💢;сімвал злосці;злы|камічны|раздражненне|сімвал злосці|шалёны
💥;выбух;бабах|бум|выбух|камічны
💫;галавакружэнне;галавакружэнне|зоркі|камічны|прытомнасць
💦;пырскі поту;камічны|пот|пырскі|пырскі поту
💨;знікненне;бег|знікненне|камічны|рывок
🕳️;дзірка;дзірка
💬;воблачка з тэкстам;бурбалка|воблачка|воблачка з тэкстам|дыялог|камічны
👁️‍🗨️;вока ў бурбалцы;бурбалка з тэкстам|вока|вока ў бурбалцы|сведка
🗨️;бурбалка з тэкстам злева;бурбалка з тэкстам злева|дыялог|маўленне
🗯️;бурбалка з абурэннем справа;бурбалка|бурбалка з абурэннем справа|воблачка|злы|шалёны
💭;воблачка з думкамі;бурбалка|воблачка|воблачка з думкамі|думкі|камічны
💤;сон;камічны|сон|храп

[people_body]
👋;махае рукой;вітаю|махае рукой|маханне|рука
	👋🏻;махае рукой: светлы тон скуры;вітаю|махае рукой|махае рукой: светлы тон скуры|маханне|рука|светлы тон скуры
	👋🏼;махае рукой: сярэднясветлы тон скуры;вітаю|махае рукой|махае рукой: сярэднясветлы тон скуры|маханне|рука|сярэднясветлы тон скуры
	👋🏽;махае рукой: сярэдні тон скуры;вітаю|махае рукой|махае рукой: сярэдні тон скуры|маханне|рука|сярэдні тон скуры
	👋🏾;махае рукой: сярэдняцёмны тон скуры;вітаю|махае рукой|махае рукой: сярэдняцёмны тон скуры|маханне|рука|сярэдняцёмны тон скуры
	👋🏿;махае рукой: цёмны тон скуры;вітаю|махае рукой|махае рукой: цёмны тон скуры|маханне|рука|цёмны тон скуры
🤚;паднятая далонь;далонь|паднятая
	🤚🏻;паднятая далонь: светлы тон скуры;далонь|паднятая|паднятая далонь: светлы тон скуры|светлы тон скуры
	🤚🏼;паднятая далонь: сярэднясветлы тон скуры;далонь|паднятая|паднятая далонь: сярэднясветлы тон скуры|сярэднясветлы тон скуры
	🤚🏽;паднятая далонь: сярэдні тон скуры;далонь|паднятая|паднятая далонь: сярэдні тон скуры|сярэдні тон скуры
	🤚🏾;паднятая далонь: сярэдняцёмны тон скуры;далонь|паднятая|паднятая далонь: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры
	🤚🏿;паднятая далонь: цёмны тон скуры;далонь|паднятая|паднятая далонь: цёмны тон скуры|цёмны тон скуры
🖐️;паднятая рука з растапыранымі пальцамі;паднятая рука з растапыранымі пальцамі|пальцы|растапырванне|рука
	🖐🏻;паднятая рука з растапыранымі пальцамі: светлы тон скуры;паднятая рука з растапыранымі пальцамі|паднятая рука з растапыранымі пальцамі: светлы тон скуры|пальцы|растапырванне|рука|светлы тон скуры
	🖐🏼;паднятая рука з растапыранымі пальцамі: сярэднясветлы тон скуры;паднятая рука з растапыранымі пальцамі|паднятая рука з растапыранымі пальцамі: сярэднясветлы тон скуры|пальцы|растапырванне|рука|сярэднясветлы тон скуры
	🖐🏽;паднятая рука з растапыранымі пальцамі: сярэдні тон скуры;паднятая рука з растапыранымі пальцамі|паднятая рука з растапыранымі пальцамі: сярэдні тон скуры|пальцы|растапырванне|рука|сярэдні тон скуры
	🖐🏾;паднятая рука з растапыранымі пальцамі: сярэдняцёмны тон скуры;паднятая рука з растапыранымі пальцамі|паднятая рука з растапыранымі пальцамі: сярэдняцёмны тон скуры|пальцы|растапырванне|рука|сярэдняцёмны тон скуры
	🖐🏿;паднятая рука з растапыранымі пальцамі: цёмны тон скуры;паднятая рука з растапыранымі пальцамі|паднятая рука з растапыранымі пальцамі: цёмны тон скуры|пальцы|растапырванне|рука|цёмны тон скуры
✋;паднятая рука;паднятая рука|рука|стоп|цела
	✋🏻;паднятая рука: светлы тон скуры;паднятая рука|паднятая рука: светлы тон скуры|рука|светлы тон скуры|стоп|цела
	✋🏼;паднятая рука: сярэднясветлы тон скуры;паднятая рука|паднятая рука: сярэднясветлы тон скуры|рука|стоп|сярэднясветлы тон скуры|цела
	✋🏽;паднятая рука: сярэдні тон скуры;паднятая рука|паднятая рука: сярэдні тон скуры|рука|стоп|сярэдні тон скуры|цела
	✋🏾;паднятая рука: сярэдняцёмны тон скуры;паднятая рука|паднятая рука: сярэдняцёмны тон скуры|рука|стоп|сярэдняцёмны тон скуры|цела
	✋🏿;паднятая рука: цёмны тон скуры;паднятая рука|паднятая рука: цёмны тон скуры|рука|стоп|цела|цёмны тон скуры
🖖;вулканскі салют;вулканскі салют|жэст|спок|стартрэк
	🖖🏻;вулканскі салют: светлы тон скуры;вулканскі салют|вулканскі салют: светлы тон скуры|жэст|светлы тон скуры|спок|стартрэк
	🖖🏼;вулканскі салют: сярэднясветлы тон скуры;вулканскі салют|вулканскі салют: сярэднясветлы тон скуры|жэст|спок|стартрэк|сярэднясветлы тон скуры
	🖖🏽;вулканскі салют: сярэдні тон скуры;вулканскі салют|вулканскі салют: сярэдні тон скуры|жэст|спок|стартрэк|сярэдні тон скуры
	🖖🏾;вулканскі салют: сярэдняцёмны тон скуры;вулканскі салют|вулканскі салют: сярэдняцёмны тон скуры|жэст|спок|стартрэк|сярэдняцёмны тон скуры
	🖖🏿;вулканскі салют: цёмны тон скуры;вулканскі салют|вулканскі салют: цёмны тон скуры|жэст|спок|стартрэк|цёмны тон скуры
🫱;рука направа;направа|права|рука
	🫱🏻;рука направа: светлы тон скуры;направа|права|рука|рука направа: светлы тон скуры|светлы тон скуры
	🫱🏼;рука направа: сярэднясветлы тон скуры;направа|права|рука|рука направа: сярэднясветлы тон скуры|сярэднясветлы тон скуры
	🫱🏽;рука направа: сярэдні тон скуры;направа|права|рука|рука направа: сярэдні тон скуры|сярэдні тон скуры
	🫱🏾;рука направа: сярэдняцёмны тон скуры;направа|права|рука|рука направа: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры
	🫱🏿;рука направа: цёмны тон скуры;направа|права|рука|рука направа: цёмны тон скуры|цёмны тон скуры
🫲;рука налева;лева|налева|рука
	🫲🏻;рука налева: светлы тон скуры;лева|налева|рука|рука налева: светлы тон скуры|светлы тон скуры
	🫲🏼;рука налева: сярэднясветлы тон скуры;лева|налева|рука|рука налева: сярэднясветлы тон скуры|сярэднясветлы тон скуры
	🫲🏽;рука налева: сярэдні тон скуры;лева|налева|рука|рука налева: сярэдні тон скуры|сярэдні тон скуры
	🫲🏾;рука налева: сярэдняцёмны тон скуры;лева|налева|рука|рука налева: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры
	🫲🏿;рука налева: цёмны тон скуры;лева|налева|рука|рука налева: цёмны тон скуры|цёмны тон скуры
🫳;рука далонню ўніз;адпусціць|кінуць|прэч|псік|рука далонню ўніз
	🫳🏻;рука далонню ўніз: светлы тон скуры;адпусціць|кінуць|прэч|псік|рука далонню ўніз|рука далонню ўніз: светлы тон скуры|светлы тон скуры
