[smileys_emotion]
😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|মুখে দেঁতো হাসি
😃;বড় বড় চোখ করে হাসি মুখ;খোলা|ঠোঁট|বড় বড় চোখ করে হাসি মুখ|মুখ|হাসি
😄;খোলা মুখে চোখে হাসির সাথে মুখে হাসি;খোলা|খোলা মুখে চোখে হাসির সাথে মুখে হাসি|চোখ|ঠোঁট|মুখ|হাসি
😁;চোখে হাসির সাথে মুখে দেঁতো হাসি;চোখ|চোখে হাসির সাথে মুখে দেঁতো হাসি|দেঁতো হাসি|মুখ|হাসি
😆;চোখ বন্ধ করে দেঁতো হাসি;চোখ বন্ধ করে দেঁতো হাসি|জোরে হাসা|ঠোঁট|মুখ|সন্তুষ্ট|হাসি
😅;মুখ খোলা এবং ঠাণ্ডা ঘামের সাথে মুখে হাসি;খোলা|ঘর্মাক্ত অবস্থা|ঠান্ডা|মুখ|মুখ খোলা এবং ঠাণ্ডা ঘামের সাথে মুখে হাসি|হাসি
🤣;হেসে মাটিতে লুটোপুটি খাওয়া;গড়াগড়ি|মাটি|মুখ|হাসি|হেসে মাটিতে লুটোপুটি খাওয়া
😂;আনন্দের কান্না ভরা মুখ;আনন্দ|আনন্দের কান্না ভরা মুখ|কান্না|জোরে হাসা|মুখ
🙂;মুখে সামান্য হাসি;মুখ|মুখে সামান্য হাসি|হাসি
🙃;মাথাটা নিচে তলাটা উপরে এমন মুখ;ওল্টানো চেহারা|মাথাটা নিচে তলাটা উপরে এমন মুখ|মুখ
🫠;গলিত মুখ;অদৃশ্য|গলা|গলিত মুখ|গলে যাওয়া|তরল
😉;চোখ মারা;চোখ মারা|মুখ
😊;চোখে হাসির সাথে মুখে হাসি;গালে লজ্জার গোলাপী আভা|চোখ|চোখে হাসির সাথে মুখে হাসি|মুখ|হাসি
😇;মাথায় চক্রের সাথে মুখে হাসি;কল্পনা|জ্যোতির্বলয়|দেবদূত|নিরীহ|মাথায় চক্রের সাথে মুখে হাসি|মুখ
🥰;হার্ট সহ হাসি মুখ;ক্র্যাশ|খুব পছন্দ|প্রেমে|হার্ট সহ হাসি মুখ|হার্ট্স
😍;হার্টের-আকারের চোখের সাথে হাসি মুখ;চোখ|ভালবাসা|মুখ|হার্ট|হার্টের-আকারের চোখের সাথে হাসি মুখ|হাসি
🤩;তারকা-প্রণয়াভিলাসী;চোখ|তারকা-প্রণয়াভিলাসী|তারা|মুখ|হাস্যরত
😘;মুখ দিয়ে চুম্বন ছোঁড়া;চুম্বন|মুখ|মুখ দিয়ে চুম্বন ছোঁড়া
😗;চুম্বনরত মুখ;চুম্বন|চুম্বনরত মুখ|মুখ
☺️;হাসি মুখ;নিশ্চিন্ত|মুখ|রূপরেখা|হাসি
😚;চোখ বন্ধ থাকা অবস্থায় চুম্বনরত মুখ;চুম্বন|চোখ|চোখ বন্ধ থাকা অবস্থায় চুম্বনরত মুখ|বন্ধ|মুখ
😙;চুম্বনরত মুখের সাথে চোখে হাসি;চুম্বন|চুম্বনরত মুখের সাথে চোখে হাসি|চোখ|মুখ|হাসি
🥲;এক চোখে অশ্রু নিয়ে হাসি মুখ;অশ্রু|আবেগে আপ্লুত|এক চোখে অশ্রু নিয়ে হাসি মুখ|কৃতজ্ঞ|গর্বিত|নিশ্চিন্ত|হাসি
😋;সুস্বাদু খাদ্যের স্বাদ নেওয়ার মত মুখ;ঘ্রাণ নেওয়া|মুখ|সুস্বাদু|সুস্বাদু খাদ্যের স্বাদ নেওয়ার মত মুখ
😛;জিভ বার করা মুখ;জিভ বার করা মুখ|জিভ ভেঙানো|মুখ
😜;জিভ বার করে কাটা ও চোখ মারা মুখ;চোখ|চোখ মারা|জিভ বার করা|জিভ বার করে কাটা ও চোখ মারা মুখ|মজা করা|মুখ
🤪;পাগলের মত মুখ;চোখ|ছোট|পাগলের মত মুখ|বড়
😝;জিভ বার করে কাটা ও দৃঢ়ভাবে চোখ বন্ধ করা মুখ;চোখ|জিভ বার করা|জিভ বার করে কাটা ও দৃঢ়ভাবে চোখ বন্ধ করা মুখ|ভয়ঙ্কর|মুখ|স্বাদ
🤑;অর্থের মত মুখ;অর্থের মত মুখ|টাকা|ঠোঁট|মুখ
🤗;আলিঙ্গনরত মুখ;আলিঙ্গন|আলিঙ্গন রত|আলিঙ্গনরত মুখ|মুখ
🤭;মুখের ওপর হাত দেওয়া মুখ;উল্লসিত মুখ|মুখের ওপর হাত দেওয়া মুখ
🫢;খোলা চোখ এবং মুখের উপর হাত চাপা দেওয়া;অবিশ্বাস|আতঙ্ক|আশ্চর্য|খোলা চোখ এবং মুখের উপর হাত চাপা দেওয়া|বিব্রত|বিস্ময়|ভীত
🫣;উঁকি মারা চোখের মুখ;উঁকি মারা|উঁকি মারা চোখের মুখ|তাকিয়ে থাকা|বিমুগ্ধ
🤫;চুপ করা মুখ;চুপ করা|চুপ করা মুখ|শান্ত
🤔;চিন্তা করার মত মুখ;চিন্তা করার মত মুখ|চিন্তিত|মুখ
🫡;স্যালুট করা মুখ;ঠিক আছে|রোদালো|সৈন্যগণ|স্যালুট|স্যালুট করা মুখ|হ্যাঁ
🤐;মুখে কুলুপ আঁটা;ঠোঁট|মুখ|মুখে কুলুপ আঁটা
🤨;ভ্রু কোচকানো মুখ;অবিশ্বাস|ভ্রু কোচকানো মুখ|সন্দেহভাজন
😐;নিরপেক্ষ মুখ;নিরপেক্ষ|ভাবলেশহীন|মুখ
😑;ভাবলেশহীন মুখ;অর্থশূন্য|অর্থহীন|ভাবলেশহীন|মুখ
😶;মুখ ছাড়াই মুখমণ্ডল;ঠোঁট|নীরব|মুখ|মুখ ছাড়াই মুখমণ্ডল|শান্ত
🫥;রেখা বিন্দুর মুখ;অদৃশ্য|অন্তর্মুখী|অপ্রত্যক্ষ|রেখা বিন্দুর মুখ|লুকানো|হতাশ
😶‍🌫️;মেঘে মুখ;অমনোযোগী|কুয়াশায় ঢাকা মুখ|মেঘে মুখ|মেঘের মধ্যে মাথা|মেঘের মধ্যে মুখ
😏;কৃত্রিম হাসির মুখ;কৃত্রিম হাসির মুখ|ব্যঙ্গ করে হাসা|মুখ
😒;বিরক্ত মুখ;অসুখী|বিরক্ত|মুখ
🙄;চোখ গোল গোল করা মুখ;ঘূর্ণায়মান|চোখ|চোখ গোল গোল করা মুখ|মুখ
😬;দাঁত বার করা মুখ;দাঁত বার করা মুখ|ভেংচানো|মুখ
😮‍💨;নিশ্বাস ছাড়া মুখ;কাতরানো|ত্রাণ|নিঃশ্বাস|নিশ্বাস ছাড়া মুখ|ফিসফিস|বাঁশি|হাঁফানো
🤥;মিথ্যুকের নাক লম্বা;পিনাকিও|মিথ্যা|মিথ্যুকের নাক লম্বা|মুখ
🫨;কাঁপা মুখ;আঘাত|কম্পন|কাঁপা|ভূমিকম্প|মুখ
🙂‍↔️;এপাশ ওপাশ মাথা নাড়ানো;এপাশ ওপাশ মাথা নাড়ানো|না বলতে|নাড়ানো
🙂‍↕️;উপর নীচে মাথা নাড়ানো;উপর নীচে মাথা নাড়ানো|মাথা নেড়ে|হ্যাঁ বলা
😌;চিন্তা মুক্ত মুখ;চিন্তা মুক্ত মুখ|মুখ|স্বস্তি পাওয়া
😔;বিষণ্ণ মুখ;বিষণ্ণ|মনমরা|মুখ
😪;ঘুম ঘুম ভাব;ঘুম ঘুম ভাব|ঘুমন্ত অবস্থা|মুখ
🤤;লোভী মুখ;মুখ|লোভী
😴;ঘুমন্ত মুখ;ঘুমন্ত অবস্থা|ঘুমন্ত মুখ|নাক ডাকা|মুখ
😷;মুখের মধ্যে মেডিক্যাল মাস্ক;অসুস্থ|ঠান্ডা লাগা|ডাক্তার|মুখ|মুখের মধ্যে মেডিক্যাল মাস্ক
🤒;মুখের মধ্যে থার্মোমিটার;অসুস্থ|থার্মোমিটার|মুখ|মুখের মধ্যে থার্মোমিটার|রোগগ্রস্ত
🤕;মাথায় ব্যান্ডেজ করা মুখ;আঘাত|চোট|ব্যান্ডেজ|মাথায় ব্যান্ডেজ করা মুখ|মুখ
🤢;গা বমি করা মুখ;গা বমি করা মুখ|বমি|বমি বমি ভাগ|মুখ
🤮;বমনরত মুখ;অসুস্থ|বমনরত মুখ|বমি করা
🤧;হাঁচি;ভাল থাক|মুখ|হাঁচি
🥵;গরমে ঘাম ঝরা লাল মুখ;গরম|গরমে ঘাম ঝরা লাল মুখ|ঘাম ঝরছে|জ্বর জ্বর|লাল-মুখযুক্ত|হিট স্ট্রোক
🥶;ঠান্ডায় দাঁত কাঁপা নীল মুখ;জমিয়ে দেওয়া|ঠান্ডা|ঠান্ডায় দাঁত কাঁপা নীল মুখ|তুষারিকা|নীল-মুখযুক্ত|হাড় কাঁপানো ঠান্ডা
🥴;হতবুদ্ধি মুখ;অর্ধেক খোলা চোখ|তরঙ্গায়িত মুখ|প্রায় মাতাল|মত্ত|হতবুদ্ধি|হতবুদ্ধি মুখ
😵;হতবুদ্ধি হওয়া মুখ;মুখ|হতবুদ্ধি|হতবুদ্ধি হওয়া মুখ
😵‍💫;চোখ পাকানো মুখ;চঞ্চল|চোখ পাকানো মুখ|ঝামেলা|থামা|সম্মোহিত|সর্পিল
🤯;ফেটে পরা মাথা;ফেটে পরা মাথা|মর্মাহত মুখ
🤠;কাউবয় টুপি পরা মুখ;কাউগার্ল|কাউবয়|কাউবয় টুপি পরা মুখ|টুপি|মুখ
🥳;টুপি পরে বাঁশি বাজিয়ে পার্টি উদযাপন করা মুখ;উদযাপন|টুপি|টুপি পরে বাঁশি বাজিয়ে পার্টি উদযাপন করা মুখ|পার্টি|বাঁশি
🥸;ছদ্মবেশী;চশমা|ছদ্মবেশ|ছদ্মবেশী|নাক|মুখ
😎;সানগ্লাস পরিহিত হাসি মুখ;উজ্জ্বল|ঠান্ডা|মুখ|সানগ্লাস|সানগ্লাস পরা হাসি মুখ|সানগ্লাস পরিহিত হাসি মুখ|সূর্য
🤓;পড়ুয়া মুখ;গুরু|পড়ুয়া মুখ|বোকা|মুখ
🧐;একচোখে চশমা ওয়ালা মুখ;একচোখে চশমা ওয়ালা মুখ|দমবন্ধ করা মুখ
😕;বিভ্রান্ত মুখ;বিভ্রান্ত|মুখ
🫤;তির্যক আকৃতিতে মুখ;অনিশ্চিত|উদাস|তির্যক আকৃতিতে মুখ|সংশয়যুক্ত|হতাশ
😟;চিন্তিত মুখ;উদ্বিগ্ন|চিন্তিত মুখ|মুখ
🙁;সামান্য রাগান্বিত মুখ;ভ্রূ কুচঁকানো|মুখ|সামান্য রাগান্বিত মুখ
☹️;রাগান্বিত মুখ;ভ্রূ কুচঁকানো|মুখ|রাগান্বিত মুখ
😮;হাঁ করা মুখ;খোলা|ঠোঁট|মুখ|সহানুভূতি|হাঁ করা মুখ
😯;নিস্তব্ধ মুখ;চুপ করার ইঙ্গিত করা|নিস্তব্ধ মুখ|বিস্মিত হওয়া|মুখ|হতভম্ব হওয়া
