[smileys_emotion]
😀;grinende ansigt;glad|grinende ansigt|smilende ansigt|smiley
😃;grinende ansigt med store øjne;glad|grinende ansigt med store øjne|smiler|smiley
😄;grinende ansigt med smilende øjne;glad|grinende ansigt med smilende øjne|smil|smileøjne|smiley
😁;strålende ansigt med smilende øjne;ansigt der griner|glad|smiley|strålende ansigt med smilende øjne
😆;grinende ansigt med lukkede øjne;glad|grinende ansigt med åben mund og lukkede øjne|grinende ansigt med lukkede øjne|lukkede øjne|smil|smil med lukkede øjne
😅;grinende ansigt med sveddråbe;åben mund|grine|grinende ansigt med sveddråbe|sved
🤣;ruller rundt på gulvet af grin;ansigt|griner|gulv|ler|ruller|ruller rundt på gulvet af grin
😂;ansigt med glædestårer;ansigt med glædestårer|glad|glæde|tårer
🙂;let smilende ansigt;ansigt|let smilende ansigt|smil
🙃;omvendt ansigt;ansigt|omvendt|på hovedet
🫠;smeltende ansigt;flydende|forsvinde|opløse|smelte|smeltende ansigt
😉;blinkende ansigt;ansigt|ansigt der blinker|blink|blinkende ansigt
😊;smilende ansigt og øjne;smil med smileøjne|smilende ansigt og øjne|smileøjne
😇;smilende ansigt med glorie;engel|glorie|smil|smilende ansigt med glorie|uskyldig
🥰;smilende ansigt med tre hjerter;forelsket|forgude|kærlighed|smilende ansigt med tre hjerter|være lun på
😍;smilende ansigt med hjerteøjne;hjerteøjne|hjerter|kærlighed|smilende ansigt med hjerteøjne
🤩;benovet;ansigt|benovet|leende|øjne|stjerne
😘;kyssende ansigt;ansigt|kyssende ansigt|sender kys
😗;kysseansigt;ansigt|kys|kysseansigt|kysser
☺️;smilende ansigt;afslappet|smil|smilende ansigt|tilpas
😚;kysseansigt med lukkede øjne;ansigt|kys|kysseansigt med lukkede øjne|lukkede øjne
😙;kysseansigt med smilende øjne;ansigt|kysseansigt med smilende øjne|smilende øjne
🥲;smilende ansigt med tåre;lettet|rørt|smilende|smilende ansigt med tåre|stolt|taknemmelig|tåre
😋;nydende ansigt;ansigt|god mad|nydende ansigt|smil
😛;ansigt med tungen ude;ansigt|ansigt med tungen ude|række tunge
😜;ansigt med tungen ude og blinkende øje;ansigt med tungen ude og blinkende øje|blink|blinke|drille|række tunge
🤪;skørt ansigt;fjoget|fjollet|lille|øje|skørt ansigt|stort
😝;ansigt med tungen ude og sammenknebne øjne;ansigt|ansigt med tungen ude og sammenknebne øjne|rækker tunge
🤑;ansigt med dollartegn;ansigt|ansigt med dollartegn|mund|penge
🤗;krammende ansigt;ansigt|knus|knuser|kram|kramme|krammende ansigt
🤭;ansigt med hånd over munden;ansigt med hånd over munden|ups
🫢;ansigt med åbne øjne og hånden over munden;ærefrygt|ansigt med åbne øjne og hånden over munden|bange|forbavselse|forbløffelse|overraskelse|pinlig
🫣;ansigt, der smugkigger;ansigt|ansigt, der smugkigger|betaget|der smugkigger|fascineret|smugkigge|stirre
🤫;tyssende ansigt;stille|tysse|tyssende ansigt
🤔;tænkende ansigt;ansigt|tænkende|tanker
🫡;ansigt, der gør honnør;ansigt|ansigt, der gør honnør|der gør honnør|gøre honnør|ja|militær|ok|solskin
🤐;ansigt med lynlåsmund;ansigt|ansigt med lynlåsmund|lynlås|mund
🤨;ansigt med løftet øjenbryn;ansigt med løftet øjenbryn|mistro|skepsis
😐;neutralt ansigt;ingen kommentar|neutralt ansigt|pokeransigt
😑;udtryksløst ansigt;ingen kommentar|pokeransigt|udtryksløst ansigt
😶;ansigt uden mund;ansigt|ansigt uden mund|mund|stille|tavs
🫥;stiplet linje ansigt;deprimeret|forsvinde|gemme|introvert|skjule|stiplet linje ansigt|usynlig
😶‍🌫️;ansigt i sky;ansigt i sky|fraværende|hovedet i skyerne|tåget|ukoncentreret
😏;ansigt med smørret grin;ansigt|ansigt med smørret grin|smørret
😒;uimponeret ansigt;ansigt|ikke glad|uimponeret ansigt
🙄;ansigt med rullende øjne;ansigt|ansigt med rullende øjne|øjne|rullende
😬;sammenbidt ansigt;ansigt|lave grimasse|sammenbidt ansigt
😮‍💨;udåndende ansigt;ånde ud|ansigt|ekshalerende|fløjt|hvisken|lettelse|pift|pyha|udåndende ansigt|udånding
🤥;løgneransigt;ansigt|lang næse|løgn|løgneransigt|lyver|pinocchio
🫨;rystende ansigt;ansigt|chok|jordskælv|rystende ansigt|ryster|vibrer
🙂‍↔️;ryster på hovedet vandret;hovedrysten|nej|ryster på hovedet vandret
🙂‍↕️;ryster på hovedet lodret;ja|nikke|ryster på hovedet lodret
😌;lettet ansigt;ansigt|lettelse|lettet ansigt
😔;eftertænksomt ansigt;ansigt|eftertænksom|eftertænksomt ansigt|nedslået
😪;søvnigt ansigt;ansigt|dyb søvn|søvnigt ansigt|træt
🤤;savlende ansigt;ansigt|savl|savlende ansigt|savler
😴;sovende ansigt;ansigt|sove|sovende ansigt|søvn|zzz
😷;ansigt med mundbind;ansigt med mundbind|doktor|forkølet|læge|maske|mundbind|syg
🤒;ansigt med termometer;ansigt|ansigt med termometer|syg|termometer
🤕;ansigt med bandage;ansigt|ansigt med bandage|bandage|skade|smerte
🤢;ansigt med kvalme;ansigt med kvalme|bræk|kaste op|kvalme|opkast|syg
🤮;ansigt, der kaster op;ansigt|ansigt, der kaster op|der kaster op|opkast|syg
🤧;nysende ansigt;forkølet|lommetørklæde|nys|nysende ansigt|nyser|prosit|pudser næse|syg|sygdom
🥵;svedende ansigt;feber|hedeslag|rød i hovedet|svede|svedende ansigt|varm
🥶;frysende ansigt;blåfrossen|forfrysning|fryse|frysende ansigt|istap|kold
🥴;ørt ansigt;beruset|bølget mund|ørt ansigt|småfuld|svimmel|uens øjne
😵;svimmelt ansigt;ansigt|ør|svimmel|svimmelt ansigt
😵‍💫;ansigt med spiraløjne;ansigt med spiraløjne|hypnose|hypnotiseret|problemer|spiral|svimmel
🤯;hoved, der eksploderer;chokeret|der eksploderer|hoved|hoved, der eksploderer
🤠;ansigt med cowboyhat;ansigt|ansigt med cowboyhat|cowboy|cowboyhat|cowgirl|hat
🥳;festansigt;fejring|fest|festansigt|hat|truthorn
🥸;maske;ansigt|briller|maske|maskeret|næse
😎;smilende ansigt med solbriller;cool|sej|smil med solbriller|smilende ansigt med solbriller|solbriller
🤓;nørdansigt;ansigt|nørd|nørdansigt
🧐;ansigt med monokel;ansigt med monokel|gammeldags
😕;forvirret ansigt;ansigt|forvirret ansigt
🫤;ansigt med skrå mund;ansigt med skrå mund|nåh|skeptisk|skuffet|uimponeret|usikker
😟;bekymret ansigt;ansigt|bekymret|bekymring
🙁;lidt trist ansigt;ansigt|lidt trist ansigt|trist
☹️;trist ansigt;ansigt|trist
😮;ansigt med åben mund;ansigt|ansigt med åben mund
😯;tavst ansigt;stille ansigt|tavst ansigt
😲;overrasket ansigt;chokeret|overrasket ansigt
😳;rødmende ansigt;omtumlet|ør|røde kinder|rødme|rødmende ansigt
🥺;bønfaldende ansigt;barmhjertighed|bede|bønfaldende ansigt|hundeøjne|trygle
🥹;ansigt, der holder tårer tilbage;ansigt|ansigt, der holder tårer tilbage|der holder tårer tilbage|græde|ked af det|modstå|stolt|trist|vred
😦;måbende ansigt med åben mund;åben mund|ansigt|måbende ansigt med åben mund
😧;forpint ansigt;ansigt|forpint ansigt|lider|smerte
😨;bange ansigt;bange ansigt|frygt
😰;ansigt med åben mund og koldsved;åben mund|ansigt med åben mund og koldsved|blå i ansigtet|koldsved
😥;skuffet men lettet ansigt;puha|skuffet med lettet|skuffet men lettet ansigt
😢;grædende ansigt;ansigt|grædende ansigt|ked af det|tårer
😭;stortudende ansigt;græde|hulke|stortude|stortudende ansigt|ulykkelig
😱;skrigende ansigt;angst|skrigende ansigt|skriget
😖;forbistret ansigt;ansigt|forbandet|forbistret ansigt
