# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;se zubjece woblico;luštne|se zubjece woblico|woblico|wótcynjona guba
😃;se zubjece woblico z wjelikima wócyma;luštne|se zubjece woblico z wjelikima wócyma|smjejkotaś se|woblico
😄;se zubjece woblico ze se smjejucyma wócyma;luštne|se zubjece woblico ze se smjejucyma wócyma|se zubjece woblico ze smjejucyma wócyna|woblico|wótcynjona guba
😁;woblico z glucnym smjaśim a se smjejucyma wócyma;luštne|woblico|woblico z glucnym smjaśim a se smjejucyma wócyma|woblico z glucnym smjejkotanim a se smjejucyma wócyma|zuby
😆;se zubjece woblico z pśizacynjomoma wócyma;se zubjece woblico z pśizacynjomoma wócyma|se zubjece woblico z pśizacynjonoma wócyma|woblico|wótcynjona guba
😅;se zubjece woblico ze znojowymi chrapkami;luštne|se zubjece woblico ze znojowymi chrapkami|woblico|znoj|znojś se
🤣;se smjaśa dla na špundowanju walaś;se smjaśa dla na špundowanju walaś|smjaś se|woblico
😂;woblico ze łdzami wjasela;łdzy|smjaś se|woblico|woblico ze łdzami wjasela
🙂;tšošku se smjejuce woblico;smjejkotajucy|smjejkotanje|tšošku se smjejkotajuce woblico|tšošku se smjejuce woblico|woblico
🙃;znak stojece woblico;na głowje stojaś|woblico|znak stojece woblico
🫠;rozbězěce woblico;běžecy|rozběžaś|rozbězěce woblico|se rozpušćiś|se zgubiś
😉;mykotajuce woblico;mykotajuce woblico|mykotanje|woblico
😊;smjejuce woblico ze se smjejucyma wócyma;cerwjenej licy|se smjejkotajuce woblico ze se smjejucyma wócyma|smjejuce woblico ze se smjejucyma wócyma|wjasele|woblico|zacerwjeniś se
😇;se smjejkotajuce woblico ze swětym swětłom;se smjejekotajuce woblico ze swětym swětłom|se smjejkotajuce woblico ze swětym swětłom|smjejkotanje|swěte swětło|woblico
🥰;se smjejkotajuce woblico z wutšobkami;se smjejkotajuce woblico z wutšobkami|zalubowanej|ze zalubowanyma wócyma glědaś
😍;se smjejkotajuce woblico z wutšobojtyma wócyma;se smjejkotajuce woblico z wutšobojtyma wócyma|woblico|zalubowany
🤩;pśemóžony;gwězda|pśemóžony|woblico|wócy|zubjenje
😘;pśipóšknjece woblico;pósk|pśipóšknjece woblico|woblico
😗;póškajuce woblico;póšk|póškajuce woblico|woblico
☺️;se smjejkotajuce woblico;se smjejkotajuce woblico|se smjejkotajucy|smjejkotanje|wjasoły
😚;póškajuce woblico ze zacynjonyma wócyma;cerwjenej licy|póškajuce woblico ze zacynjonyma wócyma|woblico
😙;póškajuce woblico ze se smjejkotajucyma wócyma;póšk|póškajuce woblico ze se smjejkotajucyma wócyma|smjejkotajucej wócy|woblico
🥲;se smjejuce woblico ze łdzu;gjardy|gnuty|łdza|se smjejkotajuce woblico ze łdzu|se smjejkotajucy|se smjejuce woblico ze łdzu|wólažcony|źěkowny
😋;se gubje lizajuce woblico;lěbgodna jěza|lěbgodny|se gubje lizajuce woblico|woblico
😛;woblico z wusunjonym jězykom;woblico|woblico z wusunjonym jězykom|wusynjony jězyk
😜;mykotajuce woblico z wusunjonym jězykom;mykotajuce woblico z wusunjonym jězykom|mykotanje|woblico|wusunjony jězyk
🤪;błudne woblico;błudne woblico|mały|wjeliki|wócko
😝;woblico z wusunjonym jězykom a pśizacynjonyma wócyma;woblic|woblico z wusunjonym jězykom a pśizacynjonyma wócyma|wusunjony jězyk
🤑;woblico z dolarowymi znamuškami;guba|pjenjeze|woblico|woblico z dolarowymi znamuškami
🤗;woblico z wobejmjecyma rukoma;wobejmjeś|wobejmjeśe|woblico|woblico z wobejmjecyma rukoma
🤭;woblico z ruku pśed gubu;huch|woblico z ruku pśed gubu
🫢;woblico z wócynjonyma wócyma a ruku na gubje;bójazniwosć|cesćownosć|njewěra|pśechwatanja|woblico z wócynjonyma wócyma a ruku na gubje|wulěkanja|zaźiwanje
🫣;woblico z kukajucym wóckom;kukaś|pśejmajucy|woblico z kukajucym wóckom|wuźěraś
🤫;napominajuce woblico;napominajuce woblico|pst|śicho
🤔;rozmyslowate woblico;rozmyslowaś|rozmyslowate woblico|woblico
🫡;salutěrujuce woblico;jadnotki|jo|salutěrowaś|salutěrujuce woblico|słyńcny|w rěchu
🤐;woblico ze zasuwałkowateju gubu;woblico|woblico ze zasuwałkowateju gubu|zasuwałko
🤨;woblico z natśěgnjonyma wobwócyma;njedowěrny|skeptiski|woblico z natśěgnjonyma wobwócyma
😐;neutralne woblico;bźez komentara|neutralne woblico|woblico
😑;njewurazne woblico;bźez komentara|njewurazne woblico|woblico
😶;woblico bźez guby;bźez guby|bźez słow|mjelcecy|śicho|woblico|woblico bźez guby
🫥;woblico z dypkowaneju smužku;depresiwny|introwertěrowany|njewidny|se schowaś|se zgubiś|woblico z dypkowaneju smužku
😶‍🌫️;woblico w mrokawach;głowa w mrokawach|kaž njepśibytny|woblico w kurjawje|woblico w mrokawach
😏;sebjespódobnje se zubjece woblico;sebjespódobnje se zubjece woblico|woblico
😒;wobuzne woblico;njespokojom|woblico|wobuzne woblico
🙄;wócy wobwalujuce woblico;woblico|wócy wobwalowaś|wócy wobwalujuce woblico
😬;grimasu śěgujuce woblico;grimasa|grimase śěgajuce woblico|grimasu śěgujuce woblico|woblico|zuby
😮‍💨;wudychajuce woblico;šepotaś|stukaś|šwicaś|wólažcenje|wudychajuce woblico|wudychaś
🤥;łdgajuce woblico;łdgajuce woblico|łdža|Pinocchio-nos|woblico
🫨;tśěskotate woblico;šok|tśěsć se|tśěskotaś|tśěskotate woblico|woblico|zemjerdžanje
🙂‍↔️;woblico, kenž z głowu wijo;kenž z głowu wijo|ně|woblico|woblico, kenž z głowu wijo|z głowu wiś
🙂‍↕️;woblico, kenž nyga;jo|kenž nyga|nygaś|woblico|woblico, kenž nyga
😌;wólažcone woblico;woblico|wólažcone woblico|wólažcony|zacynjonej wócy
😔;wjelgin rozmyslowate woblico;rozmyslowate woblico|rozmyslowaty|wjelgin rozmyslowate woblico|woblico
😪;zaspane woblico;mucny|woblico|zaspane woblico
🤤;slinjece woblico;sliniś|slinjece woblico|woblico
😴;spice woblico;smarcaś|spaś|spice woblico|woblico|zzz
😷;woblico z dychańskeju šćitneju masku;chórosć|gójc|woblico|woblico z dychańskeju šćitneju masku
🤒;woblico ze zymnicowym termometerom;chóry|woblico|woblico ze zymnicowym termometerom|zymnicowy termometer
🤕;woblico ze zawobalenim głowy;bólosći|woblico|woblico ze zawobalenim głowy|zawobalenje|zranjenje
🤢;dajecy woblico;bluwanje|dajece woblico|dajecy woblico|woblico|zecnjenje
🤮;bluwajuce woblico;bluwajuce woblico|bluwaś|chóry
🤧;tśichajuce woblico;tśichajuce woblico|tśichaś|woblico
🥵;se znojece woblico;górcotne pśizajeśe|górucy|se znojece woblico|znojś se|zymnica
🥶;marznjece woblico;marznjece woblico|módre woblico|namarznjenje|namarznjony|zyma|zymu mrějuce woblico
🥴;wjelgin zwite woblico;napity|pijankojty|pijany|wjelgin zwite woblico|zwite woblico
😵;pógłušone woblico;pógłušone woblico|pógłušony|woblico
😵‍💫;woblico ze špiralojtyma wócyma;hypnotizěrowany|špiralojty|woblico ze špiralojtyma wócyma|wócy|zwitosć głowy
🤯;rozbuchnjeca głowa;rozbuchnjeca głowa|rozbuchnjeca głowa se zecynajucy|šokěrowany I
🤠;woblico z cowbojowym kłobykom;cowboj|woblico|woblico z cowbojowym kłobykom
🥳;partyjowe woblico;party|partyjowe woblico|swěśiś
🥸;pśewoblacone woblico;bryla z nosom|inkognito|nos|pśewoblacone woblico|pśewoblacony
😎;se smjejkotajuce woblico ze słyńcneju brylu;cool|se smjejkotajuce woblico ze słyńcneju brylu|słyńcna bryla|woblico
🤓;woblico procowarja;procowaŕ|woblico|woblico procowarja
🧐;woblico z monokelom;monokel|woblico z monokelom
😕;zacwiblowane woblico;woblico|zacwiblowane woblico|zaźiwane woblico|zaźiwany
🫤;woblico z diagonalneju gubu;njewěsty|pśechwatany|skeptiski|warcaty|woblico z diagonalneju gubu
😟;starosćiwe woblico;se starosćiś|starosćiwe woblico|starosćiwy|woblico
🙁;wobtužne woblico;tužny|woblico|wobtužne woblico|wobtužony
☹️;póchmurne woblico;póchmurne woblico|tužny|woblico
😮;woblico z wótcynjoneju gubu;woblico Iwoblico z wótcynjoneju gubu|woblico z wótcynjoneju gubu|wótcynjona guba|zaźiwany
😯;zaźiwane woblico;bźeze słow|woblico|zaźiwane woblico|zaźiwany
😲;wjelgin zacwiblowane woblico;wjelgin zacwiblowane woblico|woblico|zaźiwane woblico|zaźiwany
😳;zacerwjenjone woblico z wjelikima wócyma;cerwjenej licy|zacerwjenjone woblico|zacerwjenjone woblico z wjelikima wócyma|zaźiwany
🥺;pšosece woblico;gnada|miłosć|pšosece woblico|pšosyś|wócy šćenjeśa
🥹;łdzy zaźaržujuce woblico;gjardy|łdzy zaźaržujuce woblico|płakaś|se gniwaś|se zepěraś|tužny
😦;wuźěsone woblico;woblico|wótwórjona guba|wuźěsone woblico|zaźiwany
😧;drěcowane woblico;drěcowane woblico|drěcowanja|woblico
😨;tšašywe woblico;tšach|tšašywe woblico|tšašywy|woblico
😰;starosćiwe woblico ze znojowymi chrapkami;starosćiwe woblico ze znojowymi chrapkami|woblico|wótwórjona guba|zymny znoj
😥;tužne abo wólažcone woblico;pśesłapjony|tužne abo wólažcone woblico|woblico|wólažcony|znoj
😢;płakuce woblico;łdza|płakuce woblico|tužny|woblico
😭;bjacece woblico;bjacece woblico|łdzy|tužny|woblico
😱;tšacha dla se kśikajuce woblico;se kśikaś|tšach|tšacha dla se kśikajuce woblico|woblico
😖;zwite woblico;woblico|zwite woblico|zwity
😣;rozsuźone woblico;rozsuźone woblico|woblico|wuźaržaś
😞;pśechwatane woblico;pśechwatane woblico|tužne|woblico
😓;zdušone woblico z chrapku znojom;depriměrowany|woblico|zdušone woblico z chrapku znojom|zdušony|zymny znoj z tšacha
😩;dopórane woblico;dopórane woblico|dopórany|mucny|woblico
😫;mucne woblico;mucne woblico|mucny|woblico
🥱;zewajuce woblico;mucny|wóstudny|wóstuźiś se|zewajuce woblico|zewaś
😤;smarkajuce woblico;dobyśaŕ|smarkajuce woblico|triumf|woblico|wólažcony
😡;premplece woblico;cerwjeny|premplece woblico|se góriś|woblico
😠;rozgórjone woblico;góriś se|rozgórjone woblico|woblico
🤬;woblico ze symbolami wušej guby;klěś|woblico ze symbolami wušej guby
😈;ze zubjece woblico z rogoma;cart|djas|se zubjece woblico z rogoma|ze zubjece woblico z rogoma
👿;se sćaklece woblico z rogoma;carśik|fantazy|se sćaklece woblico z rogoma|woblico
