[smileys_emotion]
😀;cara feliz;cara|cara feliz|contento|divertido|sonrisa
😃;sonrisa con boca abierta;boca abierta|cara|divertido|risa|sonrisa|sonrisa con boca abierta
😄;boca y ojos sonrientes;boca abierta|boca y ojos sonrientes|cara|divertido|risa|sonrisa
😁;cara y ojos sonrientes;cara|cara y ojos sonrientes|divertido|risa|sonrisa
😆;sonrisa con boca abierta y ojos cerrados;boca abierta|cara|sonrisa con boca abierta y ojos cerrados
😅;sonrisa y sudor frío;boca abierta|cara|sonrisa|sonrisa boca abierta|sonrisa y sudor frío|sudor frío
🤣;cara llorando de risa;cara|cara llorando de risa|carcajada|risa|sonrisa
😂;cara llorando;cara|cara llorando|cara llorando de risa|felicidad|lágrima|risa
🙂;cara sonriendo levemente;cara|cara sonriendo levemente|leve sonrisa|sonrisa
🙃;↑↑↑;↑↑↑
🫠;↑↑↑;↑↑↑
😉;cara con guiño;cara|cara con guiño|guiño
😊;cara alegre;cara|cara alegre|ojos sonrientes|sonrisa
😇;↑↑↑;ángel|aureola|cara|cara sonriendo con aureola|inocente|sonriente con aureola|sonrisa
🥰;↑↑↑;↑↑↑
😍;↑↑↑;↑↑↑
🤩;↑↑↑;↑↑↑
😘;↑↑↑;besos|cara|cara lanzando un beso|cara manda un beso|corazón
😗;cara dando un beso;cara besando|cara dando un beso
☺️;↑↑↑;cara|relajado|sonriente|sonrisa
😚;↑↑↑;beso|beso con ojos cerrados|cara|cara besando con los ojos cerrados|cerrados|ojos
😙;↑↑↑;beso|beso y sonrisa|cara|cara besando con ojos sonrientes|ojos|sonriente
🥲;↑↑↑;↑↑↑
😋;cara de broma;broma|cara|cara de broma|delicioso|rico|sonriente
😛;↑↑↑;broma|cara|cara sacando la lengua|divertido|lengua|sacar|sacar la lengua
😜;↑↑↑;broma|cara|cara sacando la lengua y guiñando un ojo|divertido|guiño|lengua|sacar lengua y guiñar
🤪;↑↑↑;↑↑↑
😝;cara con los ojos bien cerrados y sacando la lengua;asco|broma|cara|cara con los ojos bien cerrados y sacando la lengua|horrible|lengua|sacar la lengua
🤑;↑↑↑;cara|cara con lengua de dinero|dinero|lengua|pensando en dinero
🤗;↑↑↑;abrazo|cara|cara con manos abrazando
🤭;↑↑↑;cara con mano sobre la boca|chanfle|uy|vaya
🫢;↑↑↑;↑↑↑
🫣;↑↑↑;↑↑↑
🤫;↑↑↑;↑↑↑
🤔;cara pensante;cara|cara pensante|duda|pensar
🫡;↑↑↑;↑↑↑
🤐;cara con la boca cerrada con cierre;boca|boca cerrada|cara|cara con la boca cerrada con cierre|cierre
🤨;↑↑↑;↑↑↑
😐;↑↑↑;cara|indiferente|neutral|neutro
😑;↑↑↑;cara|cara sin expresión|inexpresivo|nada
😶;↑↑↑;↑↑↑
🫥;↑↑↑;↑↑↑
😶‍🌫️;↑↑↑;↑↑↑
😏;↑↑↑;cara|cara sonriendo con superioridad|creído|gesto de superioridad|sarcástico|sonrisa
😒;↑↑↑;aburrido|cara|cara de desaprobación|enojado
🙄;cara revoleando los ojos;cara|cara revoleando los ojos|ojos|revoleando
😬;↑↑↑;cara|cara haciendo una mueca
😮‍💨;↑↑↑;↑↑↑
🤥;↑↑↑;cara|cara de mentiroso|mentira|nariz|pinocho
🫨;cara que vibra;cara|cara que vibra|shock|temblando|terremoto|vibración
🙂‍↔️;cabeza en movimiento horizontal;cabeza en movimiento horizontal|no
🙂‍↕️;↑↑↑;↑↑↑
😌;↑↑↑;aliviado|alivio|cara|cara de alivio
😔;↑↑↑;cara|cara desanimada|cara pensativa|deprimido|pensativo|triste
