[smileys_emotion]
😀;cara sonriendo;cara|cara sonriendo|contento|divertido|sonrisa
😃;cara sonriendo con ojos grandes;boca abierta|cara sonriendo con ojos grandes|divertido|risa|sonrisa
😄;cara sonriendo con ojos sonrientes;boca abierta|cara sonriendo con ojos sonrientes|divertido|risa|sonrisa
😁;cara radiante con ojos sonrientes;cara|cara radiante con ojos sonrientes|divertido|risa|sonrisa
😆;cara sonriendo con los ojos cerrados;boca abierta|cara|cara sonriendo con los ojos cerrados
😅;cara sonriendo con sudor frío;boca abierta|cara sonriendo con sudor frío|sonrisa|sonrisa boca abierta|sudor frío
🤣;↑↑↑;↑↑↑
😂;cara llorando de felicidad;cara|cara llorando de felicidad|felicidad|feliz|lágrimas
🙂;cara sonriendo ligeramente;cara|cara sonriendo ligeramente|sonrisa
🙃;↑↑↑;↑↑↑
🫠;↑↑↑;↑↑↑
😉;cara guiñando el ojo;cara|cara guiñando el ojo|guiño
😊;cara feliz con ojos sonrientes;cara|cara feliz con ojos sonrientes|ojos sonrientes|sonrisa
😇;↑↑↑;↑↑↑
🥰;↑↑↑;adoración|cara sonriendo con corazones|corazones|enamoramiento|flechazo
😍;↑↑↑;amor|cara sonriendo con ojos de corazón|corazones|sonriente|tierno
🤩;↑↑↑;↑↑↑
😘;↑↑↑;besos|cara|cara lanzando un beso|corazón
😗;↑↑↑;cara|cara dando un beso
☺️;↑↑↑;↑↑↑
😚;↑↑↑;beso|cara|cara besando con los ojos cerrados|cerrados|ojos
😙;↑↑↑;beso|cara|cara besando con ojos sonrientes|ojos|sonriente
🥲;↑↑↑;agradecido|aliviado|cara sonriente con lágrima|emocionado|lágrima|orgulloso|sonriente
😋;cara saboreando comida;broma|cara saboreando comida|delicioso|rico|sonriente
😛;↑↑↑;↑↑↑
😜;↑↑↑;↑↑↑
🤪;↑↑↑;cara de loco|ojo grande|ojo pequeño
😝;cara con ojos cerrados y sacando la lengua;cara con los ojos bien cerrados y sacando la lengua|cara con ojos cerrados y sacando la lengua
🤑;↑↑↑;cara con lengua de dinero
🤗;↑↑↑;↑↑↑
🤭;↑↑↑;cara con mano sobre la boca|chanfle|risita|uy|vaya
🫢;↑↑↑;↑↑↑
🫣;↑↑↑;↑↑↑
🤫;↑↑↑;↑↑↑
🤔;↑↑↑;↑↑↑
🫡;↑↑↑;↑↑↑
🤐;↑↑↑;boca|cara|cara con la boca cerrada con cierre|zipper
🤨;↑↑↑;↑↑↑
😐;↑↑↑;↑↑↑
😑;↑↑↑;↑↑↑
😶;↑↑↑;↑↑↑
🫥;↑↑↑;↑↑↑
😶‍🌫️;↑↑↑;↑↑↑
😏;↑↑↑;↑↑↑
😒;↑↑↑;↑↑↑
🙄;cara con ojos en blanco;cara con ojos en blanco
😬;↑↑↑;cara|cara haciendo mueca|cara haciendo una mueca|mueca
😮‍💨;↑↑↑;↑↑↑
🤥;↑↑↑;↑↑↑
🫨;↑↑↑;↑↑↑
🙂‍↔️;cabeza moviéndose horizontalmente;cabeza moviéndose horizontalmente|negando
🙂‍↕️;cabeza moviéndose verticalmente;afirmando|asintiendo|cabeza moviéndose verticalmente
😌;↑↑↑;↑↑↑
😔;↑↑↑;cara desanimada
😪;↑↑↑;↑↑↑
🤤;↑↑↑;↑↑↑
😴;↑↑↑;↑↑↑
😷;cara con mascarilla médica;barbijo|cara|cara con mascarilla médica|cubrebocas|enfermo
🤒;↑↑↑;↑↑↑
🤕;cara con la cabeza vendada;cara|cara con la cabeza vendada|dolor|herido|vendas
🤢;↑↑↑;↑↑↑
🤮;↑↑↑;↑↑↑
🤧;cara estornudando;cara|cara estornudando|estornudar|estornudo|resfrío
🥵;cara de calor;calor|cara colorada|cara de calor|fiebre|golpe de calor|sudor
🥶;cara de frío;cara azul|cara de frío|congelamiento|frío|helado|tempano
🥴;cara de mareo;boca ondulada|borrachera|cara de mareo|intoxicación|mareo|ojos desparejos
😵;cara mareada;cara|cara mareada|mareado
😵‍💫;↑↑↑;↑↑↑
🤯;↑↑↑;↑↑↑
🤠;↑↑↑;↑↑↑
🥳;↑↑↑;cara de fiesta|celebración|fiesta|gorro|matasuegras
🥸;↑↑↑;anteojos|cara|cara disfrazada|disfraz|incognito|nariz
😎;↑↑↑;cara|cara sonriendo con lentes de sol|lentes de sol|onda|sol
🤓;↑↑↑;↑↑↑
🧐;↑↑↑;↑↑↑
😕;↑↑↑;↑↑↑
🫤;↑↑↑;↑↑↑
😟;cara preocupada;cara|cara preocupada|preocupado
🙁;↑↑↑;↑↑↑
☹️;↑↑↑;↑↑↑
😮;↑↑↑;cara con boca abierta|cara con la boca abierta|empatía|sorpresa
