# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;barre egiten ari den aurpegia;aurpegi|barre egiten ari den aurpegia|irribarre
😃;barre egiten ari den aurpegia, ahoa irekita;aho|ahoa irekita|aurpegi|barre egiten ari den aurpegia|barre egiten ari den aurpegia, ahoa irekita|ireki|irribarre|irribarre egiten ari den aurpegia
😄;begiez barreka ari den aurpegia;aho|ahoa irekita|aurpegi|begi|begiez barreka ari den aurpegia|begiez irribarre egiten ari den aurpegia|ireki|irribarre
😁;begiez barre egiten ari den aurpegia;aurpegi|barre|begi|begiez barre egiten ari den aurpegia|irribarre
😆;barreka ari den aurpegia, begiak itxita;aho|asebeteta|aurpegi|barre|barreka ari den aurpegia|barreka ari den aurpegia, begiak itxita|begiak itxita|ireki|irribarre|irribarre egiten ari den aurpegia
😅;barreka ari den aurpegia, izerdi hotzarekin;aurpegi|barreka ari den aurpegia|barreka ari den aurpegia, izerdi hotzarekin|hotz|ireki|irribarre|irribarre egiten ari den aurpegia|izerdi|izerdi hotzarekin|izerdi hotzarekin eta ahora irekita
🤣;barrez leherka;barrez|leherka|lehertu
😂;pozez negar egiten ari den aurpegia;aurpegi|barre|malko|poz|pozez negar egiten ari den aurpegia
🙂;apur bat irribarre egiten ari den aurpegia;apur bat irribarre egiten ari den aurpegia|aurpegi|irribarre
🙃;buruz behera dagoen aurpegia;aurpegi|buruz behera|buruz behera dagoen aurpegia
🫠;urtzen ari den aurpegia;desagertu|disolbatu|likidoa|urtu|urtzen ari den aurpegia
😉;begiaz keinu egiten ari den aurpegia;aurpegi|begiaz keinu egiten ari den aurpegia|keinu
😊;begiez irribarre egiten ari den aurpegia;aurpegi|begi|begiez irribarre egiten ari den aurpegia|gorritu|irribarre
😇;barreka ari den aurpegia argi-koroarekin;aingerua|argi-koroa|aurpegia|barreka ari den aurpegia argi-koroarekin|fantasia|inuzentea|irribarre egiten ari den aurpegia argi-koroarekin|irribarrea
🥰;irri egiten ari den aurpegia, 3 bihotzekin;3 bihotzekin|irri egiten ari den aurpegia|irri egiten ari den aurpegia, 3 bihotzekin|irribarre egiten ari den aurpegia|maiteminduta|oso gustuko|txoratze
😍;aurpegia barreka, bihotz-itxurako begiekin;aurpegi|aurpegia barreka|aurpegia barreka, bihotz-itxurako begiekin|begi|bihotz|bihotz-itxurako begiekin|irribarre|irribarre egiten ari den aurpegia|maitasun
🤩;izar;aurpegi|begiak|irribarretsu|izar
😘;musu bat bidaltzen ari den aurpegia;aurpegi|bihotz|musu|musu bat bidaltzen ari den aurpegia
😗;musuka ari den aurpegia;aurpegi|musu|musuka ari den aurpegia
☺️;irribarre egiten ari den aurpegia;aurpegi|erlaxatuta|irribarre|irribarre egiten ari den aurpegia|nabarmen
😚;musuka ari den aurpegia, begiak itxita;aurpegi|begi|begiak itxita|itxi|musu|musuka ari den aurpegia|musuka ari den aurpegia, begiak itxita
😙;musuka eta begiez barreka ari den aurpegia;aurpegi|begi|irribarre|musu|musuka eta begiez barreka ari den aurpegia|musuka eta begiez irribarre egiten ari den aurpegia
🥲;barreka ari den aurpegia, malko batekin;barreka ari den aurpegia|barreka ari den aurpegia, malko batekin|esker on|harro|hunkitu|irribarre|irribarre egiten ari den aurpegia|lasaitu|malko|malko batekin
😋;janari gozoa dastatzen ari den aurpegia;aurpegi|dastatu|gozo|irribarre|janari gozoa dastatzen ari den aurpegia|mmm
😛;mingaina kanpoan duen aurpegia;aurpegi|mingain|mingaina kanpoan duen aurpegia
