# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;mukhang nakangiti;malaking ngiti|mukha|mukhang nakangisi|mukhang nakangiti|nakangiti|ngiti
😃;nakangisi na may malaking mga mata;masaya|mukha|nakangisi na may malaking mga mata|nakangiti|ngiti
😄;nakangisi kasama ang mga nakangiting mata;masaya|mata|mukha|nakangisi kasama ang mga nakangiting mata|nakangiti|nakatawa|ngiti
😁;nakangiti pati ang mga mata;malaking ngiti|mata|mukha|nakangiti|nakangiti nang malaki kasama ang mga mata|nakangiti pati ang mga mata|ngiti
😆;nakatawa nang nakapikit;masaya|mukha|nakangiti|nakapikit|nakatawa|nakatawa nang nakapikit|ngiti
😅;nakangising mukha na may pawis;malamig|mukha|nakangising mukha na may pawis|nakangiti|nakatawa|ngiti|pawis
🤣;gumugulong sa kakatawa;gumugulong|gumugulong sa kakatawa|mukha|sahig|tumatawa
😂;mukhang naiiyak sa tuwa;iyak|luha|masaya|mukha|mukhang naiiyak sa tuwa|tawa|tumatawa
🙂;medyo nakangiti;medyo nakangiti|mukha|nakangiti|ngiti
🙃;baligtad na mukha;baligtad|baligtad na mukha|mukha
🫠;natutunaw na mukha;natutunaw na mukha
😉;kumikindat;kindat|kumikindat|mukha
😊;nakangiti kasama ang mga mata;blush|masaya|mata|mukha|nakangiti|nakangiti kasama ang mga mata|ngiti
😇;nakangiti nang may halo;anghel|halo|inosente|mabait|mukha|nakangiti|nakangiti nang may halo
🥰;nakangiting mukha na may 3 na puso;crush|nakangiting mukha na may 3 na puso|sinasamba|umiibig
😍;nakangiti nang may hugis-pusong mga mata;mata|mukha|nakangiti|nakangiti nang may hugis-pusong mga mata|ngiti|pag-ibig|puso
🤩;star-struck;bituin|mga mata|mukha|ngumingisi|star-struck
😘;flying kiss;flying kiss|halik|kindat|mukha|puso
😗;humahalik;halik|humahalik|mukha|nguso
☺️;nakangiti;blush|mukha|nakangiti|ngiti
😚;humahalik nang nakapikit;halik|humahalik nang nakapikit|mata|mukha|ngiti
😙;humahalik nang nakangiti ang mga mata;halik|humahalik nang nakangiti ang mga mata|mata|mukha|ngiti
🥲;mukhang nakangiti na may luha;guminhawa ang pakiramdam|ipinagmamalaki|luha|mukhang nakangiti na may luha|naantig|nagpapasalamat|nakangiti
😋;lumalasap ng masarap na pagkain;lasa|lumalasap|lumalasap ng masarap na pagkain|masarap|mukha|nakangiti|yummy
😛;nakadila;belat|dila|mukha|nakabelat|nakadila
😜;kumikindat nang nakadila;biro|dila|kumikindat nang nakadila|mata|mukha|nakadila|nakakindat
🤪;baliw na mukha;baliw na mukha|malaki|maliit|mata
😝;nakadila nang nakapikit;dila|lasa|mata|nakadila|nakadila nang nakapikit
🤑;mukhang pera;mukha|mukhang pera|pera
🤗;nangyayakap;gesture|mukha|nangyayakap|yakap
🤭;mukha na nakatakip ang kamay sa bibig;mukha na nakatakip ang kamay sa bibig|oops|whoops
🫢;mukha na may mga nakabukas na mata at kamay sa bibig;di makapaniwala|gulat|hiya|mukha na may mga nakabukas na mata at kamay sa bibig|paghanga|pagkamangha|takot
🫣;mukha na may sumisilip na mata;
🤫;mukha na nagpapatahimik;mukha na nagpapatahimik|shush|tahimik
🤔;nag-iisip;isip|mukha|nag-iisip
🫡;saludo;maaraw|ok|oo|saludo|tropa
🤐;naka-zipper ang bibig;bibig|hindi magsasalita|mukha|naka-zipper ang bibig|zipper
🤨;mukhang nakataas ang kilay;mukhang nakataas ang kilay|nagdududa|walang tiwala
😐;walang reaksyon;mukha|neutral|walang emosyon|walang reaksyon
😑;walang ekspresyon;mukha|walang ekspresyon|walang emosyon|walang reaksyon
😶;mukhang walang bibig;hindi nagsasalita|mukha|mukhang walang bibig|tahimik|walang bibig
🫥;dotted na linya na mukha;
😶‍🌫️;mukhang nasa ulap;
😏;nakangisi;mukha|nakangisi|ngisi
😒;hindi natutuwa;hindi masaya|hindi natutuwa|mukha
🙄;itinitirik ang mga mata;irap|itinitirik ang mga mata|mata|mukha|umiikot
😬;nakangiwi;mukha|nagngingitngit|nagtitiis|nakangiwi|nandidiri|nasasaktan|ngiwi
😮‍💨;mukhang humihinga palabas;
🤥;nagsisinungaling;mukha|nagsisinungaling|pinocchio|sinungaling
🫨;nanginginig na mukha;lindol|mukha|nabigla|nanginginig|nanginginig na mukha|vibrate
🙂‍↔️;gumagalaw na mukha pahalang;gumagalaw na mukha pahalang|hindi|umiiling
🙂‍↕️;gumagalaw na mukha paayon;gumagalaw na mukha paayon|oo|tango
😌;nakahinga nang maluwag;buntung-hininga|mukha|nakahinga nang maluwag|whew
😔;malungkot na nag-iisip;malungkot|malungkot na nag-iisip|mukha|nag-iisip|nalulumbay
😪;inaantok na mukha;humihilik|inaantok na mukha|mukha|natutulog|tulog
🤤;naglalaway;mukha|naglalaway
😴;natutulog;humihilik|inaantok|mukha|natutulog|tulog
😷;may suot na medical mask;doktor|mask|may suot na medical mask|mukha|sakit|sipon|ubo
🤒;may thermometer sa bibig;lagnat|may thermometer sa bibig|mukha|sakit|thermometer|trangkaso
🤕;may benda sa ulo;aksidente|benda|injury|may benda sa ulo|mukha|nasaktan|sugat
🤢;nasusuka;mukha|nasusuka|suka
🤮;mukha na nagsusuka;mukha na nagsusuka|nasusuka|suka
🤧;bumabahing;bahing|bumabahing|mukha
🥵;mainit na mukha;atake|feverish|mainit|mainit na mukha|mukhang-pula|pinapawisan
🥶;malamig na mukha;frostbite|giniginaw|icicles|malamig|malamig na mukha|mukhang asul
🥴;woozy na mukha;bibig na wavy|dizzy|hindi pantay ang mata|lasing|nakainom|woozy na mukha
😵;mukhang nahihilo;hikab|inaantok|mukha|mukhang nahihilo|naghihikab
😵‍💫;mukang may spiral na mata;
🤯;sumasabog na ulo;nabigla|sumasabog na ulo
🤠;mukha na may cowboy hat;cowboy|cowgirl|mukha|mukha na may cowboy hat|sombrero
🥳;nagdiriwang na mukha;nagdiriwang na mukha|pagdiriwang|salu-salo|sombrero|sungay
🥸;nakatagong mukha;ilong|incognito|mukha|nakatago|nakatagong mukha|salamin sa mata
😎;nakangiti nang may suot na shades;araw|cool|maaraw|nakangiti|nakangiti nang may suot na shades|salamin|sunglasses
🤓;nerd;geek|hippie|mukha|nerd|salamin
🧐;mukha na may monocle;mukha na may monocle|stuffy
😕;nalilito;lito|mukha|nalilito
🫤;mukha na may diagonal na bibig;mukha na may diagonal na bibig
😟;nag-aalala;balisa|mukha|nag-aalala
🙁;medyo nakasimangot;malungkot|medyo nakasimangot|mukha|simangot
☹️;nakasimangot;malungkot|mukha|nakasimangot|simangot
😮;nakanganga;bibig|mukha|nabigla|nagulat|nakanganga
😯;tahimik na naghihintay;mukha|naghihintay|nakanganga|tahimik|tahimik na naghihintay
😲;gulat na gulat;gulat na gulat|mukha|nabigla|nagulat
😳;namumula;blush|mukha|nahihiya|namumula
🥺;nagsusumamo na mukha;habag|mata na kuwa|nagmamakaawa|nagsusumamo na mukha
🥹;mukhang nagpipigil ng luha;mukhang nagpipigil ng luha
😦;nakasimangot nang nakanganga;bibig|mukha|nakanganga|nakasimangot|nakasimangot nang nakanganga|nalulumbay
😧;nagdurusa;mukha|nagdurusa
😨;natatakot;duwag|kabado|kinakabahan|mukha|natatakot|takot
😰;balisa at pinagpapawisan;balisa at pinagpapawisan|kabado|kinakabahan|mukha|natatakot|pawis|pinagpapawisan nang malamig
😥;malungkot pero naibsan;dismayado|malungkot pero naibsan|mukha|nakahinga nang maluwag|whew
😢;umiiyak;iyak|luha|malungkot|nalulumbay|umiiyak
😭;umiiyak nang malakas;humahagulhol|iyak|luha|malungkot|mukha|umiiyak nang malakas
😱;sumisigaw sa takot;kabado|mukha|natatakot|sumisigaw|sumisigaw sa takot|takot|tumitili
😖;natataranta;mukha|natataranta|taranta
😣;nagsisikap;mukha|nagsisikap|nagtitiyaga
😞;dismayado;dismayado|mukha|nabigo|nalulumbay
😓;pinagpapawisan nang malamig;malamig|mukha|pawis|pinagpapawisan nang malamig
😩;pagod na pagod;mukha|nalulumbay|pagod|pagod na pagod
😫;pagod na mukha;mukha|pagod na mukha
🥱;mukhang humihikab;humihikab|mukhang humihikab|nababagot|pagod
😤;umuusok ang ilong;mukha|mukha na umuusok ang ilong|umuusok ang ilong|usok
😡;nakasimangot at nakakunot ang noo;galit|mukha|nagngingitngit|nakasimangot|nakasimangot at nakakunot ang noo|namumula|poot
😠;galit;galit|mukha|nakasimangot|simangot
🤬;mukha na may mga simbolo sa bibig;mukha na may mga simbolo sa bibig|nanunumpa
😈;nakangiti nang may mga sungay;demonyo|fantasy|masama|mukha|nakangiti|nakangiti nang may mga sungay|sungay
👿;demonyo;demonyo|fantasy|kasamaan|masama|mukha|nakangiti|sungay
💀;bungo;alamat|bungo|fairy tale|halimaw|kamatayan|lason|mukha
☠️;bungo at crossbones;bungo|bungo at crossbones|buto|kamatayan|lason|mukha|pirata
💩;tumpok ng tae;dumi|mukha|poop|tae|tumpok ng tae
🤡;payaso;clown|mukha|mukha ng payaso|payaso
👹;kapre;alamat|fairy tale|fantasy|halimaw|kapre|maskara|mukha|nilalang
👺;goblin;alamat|fairy tale|fantasy|goblin|halimaw|mukha|nilalang
👻;multo;fairy tale|fantasy|kaluluwa|kamatayan|mukha|multo|nilalang
👽;alien;alien|extraterrestrial|kalawakan|mukha|nilalang
👾;halimaw na alien;alien|extraterrestrial|halimaw|halimaw na alien|kalawakan|mukha|nilalang|ufo
🤖;mukha ng robot;mukha|mukha ng robot|robot
😺;pusang nakatawa;masaya|mukha|nakangiti|nakatawa|ngiti|pusa|pusang nakatawa
😸;pusang nakatawa kasama ang mga mata;masaya|mata|mukha|nakangiti|pusa|pusang nakatawa kasama ang mga mata
😹;pusang naiiyak sa kakatawa;luha|masaya|mukha|naiiyak|pusa|pusang naiiyak sa kakatawa|tumatawa
😻;pusang nakangiti nang may hugis-pusong mga mata;mata|mukha|nakangiti|pag-ibig|pusa|pusang nakangiti nang may hugis-pusong mga mata|puso
😼;pusang nakangisi;nakangisi|ngisi|pusa|pusang nakangisi
😽;pusang humahalik nang nakapikit;halik|humahalik|mata|nakapikit|pusa|pusang humahalik nang nakapikit
🙀;pusang pagod na pagod;mukha|nabigla|nagulat|pagod|pusa|pusang pagod na pagod|takot
😿;pusang umiiyak;luha|malungkot|mukha|nalulumbay|pusa|pusang umiiyak|umiiyak
😾;pusang nakasimangot;galit|mukha|nakasimangot|pusa|pusang nakasimangot
🙈;huwag tumingin sa masama;huwag tumingin sa masama|ipinagbabawal|masama|mukha|tumingin|unggoy
🙉;huwag makinig sa masama;huwag makinig sa masama|ipinagbabawal|makinig|masama|mukha|unggoy
🙊;huwag magsalita nang masama;huwag magsalita nang masama|ipinagbabawal|magsalita|masama|mukha|unggoy
💌;liham ng pag-ibig;liham|liham ng pag-ibig|love letter|pag-ibig|puso|sulat
💘;pusong may palaso;arrow|kupido|pag-ibig|puso na may palaso|pusong may palaso
💝;pusong may ribbon;laso|pag-ibig|puso|puso na may ribbon|pusong may ribbon|valentine
💖;kumikinang na puso;kumikinang|kumikinang na puso|nasasabik|puso
💗;lumalaking puso;kinakabahan|lumalaking puso|nasasabik|puso|tumitibok
💓;tumitibok na puso;puso|tibok ng puso|tumitibok|tumitibok na puso
💞;umiikot na mga puso;puso|umiikot|umiikot na mga puso
💕;dalawang puso;dalawang puso|pag-ibig|puso
💟;dekorasyong puso;dekorasyong puso|puso
❣️;tandang padamdam na hugis-puso;bantas|malaking tandang padamdam na hugis-puso|pananda|puso|tandang padamdam|tandang padamdam na hugis-puso
💔;durog na puso;bigo|broken heart|durog na puso|pag-ibig|puso
❤️‍🔥;;
❤️‍🩹;pag-ayos sa puso;
❤️;pulang puso;pag-ibig|pulang puso|puso
🩷;pink na puso;cute|gusto|kulay rosas|pink na puso|puso
🧡;pusong dalandan;dalandan|pusong dalandan
💛;dilaw na puso;dilaw|dilaw na puso|puso
💚;berdeng puso;berde|berdeng puso|puso
💙;asul na puso;asul|asul na puso|puso
🩵;light blue na puso;cyan|light blue|light blue na puso|puso|teal
💜;purple na puso;purple|purple na puso|puso
🤎;kayumangging puso;kayumanggi|kayumangging puso|puso
🖤;itim na puso;itim|itim na puso|masama|puso|sama
🩶;grey na puso;gray|grey na puso|puso|silver
🤍;puting puso;puso|puti|puting puso
💋;marka ng halik;halik|labi|marka ng halik
💯;sandaang puntos;100|buo|iskor|marka|puntos|sandaan|sandaang puntos
💢;simbolo ng galit;galit|inis|simbolo ng galit
💥;banggaan;banggaan|boom|kislap|komiks
💫;nahihilo;bituin|hilo|komiks|nahihilo|ulo|umpog
💦;mga patak ng pawis;komiks|laway|mga patak ng pawis|pawis|tumatalsik
💨;nagmamadali;bilis|humaharurot|komiks|nagmamadali|tumatakbo
🕳️;butas;butas|manhole
💬;speech balloon;balloon|dialog|komiks|speech balloon|usapan
