[smileys_emotion]
😀;visage avec large sourire;grand sourire|large sourire|visage|visage avec large sourire
😃;visage souriant les yeux grands ouverts;bouche ouverte|sourire|visage|visage souriant les yeux grands ouverts
😄;visage avec large sourire et yeux rieurs;bouche ouverte|œil|sourire|visage|visage avec large sourire et yeux rieurs
😁;visage radieux et yeux rieurs;grand sourire|large sourire|œil|sourire|visage|visage radieux et yeux rieurs
😆;visage avec large sourire, les yeux fermés;bouche ouverte|les yeux fermés|rire|satisfait|sourire|visage|visage avec large sourire|visage avec large sourire, les yeux fermés
😅;↑↑↑;froide|sourire|sueur|visage|visage en sueur avec large sourire|visage souriant avec une goutte de sueur
🤣;rire à se rouler par terre;rire|rire à se rouler par terre|se rouler par terre|visage
😂;visage pleurant de joie;joie|larme|rire|visage|visage pleurant de joie
🙂;↑↑↑;sourire|visage|visage avec un léger sourire
🙃;visage à l’envers;à l’envers|renversé|visage|visage à l’envers
🫠;↑↑↑;↑↑↑
😉;visage clignant d’un œil;clin d’œil|visage|visage clignant d’un œil
😊;visage souriant les yeux plissés;œil|rougir|sourire|visage|visage souriant les yeux plissés
😇;visage qui sourit avec une auréole;ange|auréole|innocent|visage|visage qui sourit avec une auréole
🥰;↑↑↑;aimer|amour|amoureuse|amoureux|béguin|cœurs|visage souriant avec cœurs
😍;visage souriant aux yeux en forme de cœur;amour|œil|sourire|visage|visage souriant aux yeux en forme de cœur
🤩;visage aux yeux en forme d’étoiles;étoile|grand sourire|large sourire|visage|visage aux yeux en forme d’étoiles|yeux
😘;visage envoyant un baiser;baiser|visage|visage envoyant un baiser
😗;visage donnant un baiser;baiser|visage|visage donnant un baiser
☺️;↑↑↑;détendu|sourire|visage|visage souriant
😚;visage faisant un baiser les yeux fermés;baiser|visage|visage faisant un baiser les yeux fermés|yeux fermés
😙;visage faisant un baiser les yeux rieurs;baiser|œil|sourire|visage|visage donnant un baiser avec les yeux plissés|visage faisant un baiser les yeux rieurs
🥲;visage souriant avec larme;ému|fier|larme|soulagé|souriant|touché|visage souriant avec larme
😋;visage savourant;délicieux|menoum|miam|savourant|sourire|visage
😛;↑↑↑;langue|langue sortie|tire la langue|visage|visage qui tire la langue
😜;↑↑↑;clin d’œil|langue|tire la langue|visage|visage qui tire la langue et fait un clin d’œil
🤪;↑↑↑;amusant|farfelu|idiot|niaiseux|tête de fou|visage
😝;↑↑↑;dégoût|horrible|langue|visage|visage qui tire la langue les yeux plissés|yeux plissés
🤑;↑↑↑;argent|argent dans les yeux et la bouche|bouche|dollar|visage|yeux
🤗;visage heureux et câlin;câlin|visage|visage heureux et câlin
🤭;↑↑↑;main sur la bouche|Oups|visage|visage avec une main sur la bouche
🫢;↑↑↑;↑↑↑
🫣;↑↑↑;↑↑↑
🤫;↑↑↑;chut|doigt sur la bouche|silence|visage|visage avec un doigt sur la bouche
🤔;↑↑↑;↑↑↑
🫡;↑↑↑;↑↑↑
