[smileys_emotion]
😀;aodann le gàire;aodann|aodann le gàire|fiamh-ghàire|gàire
😃;aodann le gàire is sùilean fosgailte;aodann|aodann le gàire is sùilean fosgailte|beul|fiamh-ghàire|fosgailte
😄;aodann le gàire na shùilean;aodann|aodann le gàire na shùilean|beul|fiamh-ghàire|fosgailte|sùil
😁;aodann le gàire mhòr;aodann|aodann le gàire mhòr|fiamh-ghàire|sùil
😆;aodann caog-shùileach le gàire;aodann|aodann caog-shùileach le gàire|beul|fiamh-ghàire|fosgailte|gàire|sàsaichte
😅;aodann le gàire a’ cur fallas;aodann|aodann le gàire a’ cur fallas|fallas|fiamh-ghàire|fosgailte|fuar
🤣;a’ ruidhleadh air an làr a’ gàireachdainn;a’ ruidhleadh air an làr a’ gàireachdainn|aodann|gàire|gàireachdainn|làr|roladh|ruidhleadh
😂;aodann le deòir shona;aodann|aodann le deòir shona|deur|gàire|sona
🙂;aodann le fiamh gàire beag;aodann|aodann le fiamh gàire beag|fiamh-ghàire
🙃;aodann bun os cionn;aodann|aodann bun os cionn|bun os cionn
🫠;aodann a’ leaghadh;aodann a’ leaghadh|dol à sealladh|leagh|leaghadh|lionnach|rach à sealladh
😉;aodann le sùil bheag;aodann|aodann le sùil bheag|priobadh|sùil bheag
😊;aodann le gàire agus sùilean toilichte;aodann|aodann le gàire agus sùilean toilichte|fiamh-ghàire|ruadhadh|sùil
😇;aodann le gàire agus riomball;aingeal|aodann|aodann le gàire agus riomball|fantastach|faoinsgeul|fiamh-ghàire|neoichiontach|riomball
🥰;aodann le fiamh-ghàire is cridheachan;ann an gaol|aodann le fiamh-ghàire is cridheachan|gaol|sùil mhòr ort|trom-ghràdh
😍;aodann le gàire ⁊ sùilean nan cridheachan;aodann|aodann le gàire ⁊ sùilean nan cridheachan|aodann le gàire agus sùilean nan cridheachan|cridhe|fiamh-ghàire|gaol|sùil
🤩;aodann toilichte le rionnagan na shùilean;aodann|aodann toilichte le rionnagan na shùilean|fiamh-ghàire|rionnag|sùilean
😘;aodann a’ caitheamh pòg;aodann|aodann a’ caitheamh pòg|pòg
😗;aodann pòige;aodann|aodann pòige|pòg
☺️;aodann le fiamh-ghàire;aodann|aodann le fiamh-ghàire|fiamh-ghàire|oir-loidhne|socair
😚;aodann a’ pògadh le sùilean dùinte;aodann|aodann a’ pògadh le sùilean dùinte|dùinte|pòg|sùil
😙;aodann a’ pògadh le sùilean toilichte;aodann|aodann a’ pògadh le sùilean toilichte|fiamh-ghàire|pòg|sùil
🥲;aodann le fiamh-ghàire is deur;aodann le fiamh-ghàire is deur|deòir|deur|faochadh|fiamh-ghàire beag|moiteil|pròiseil|taingeil
😋;aodann ag ithe biadh blasta;aodann|aodann ag ithe biadh blasta|biadh|blasta|fiamh-ghàire|math
😛;aodann a’ cur a-mach na teanga;aodann|aodann a’ cur a-mach na teanga|teanga
😜;aodann le theanga a-mach ⁊ sùil bheag;aodann|aodann le theanga a-mach ⁊ sùil bheag|aodann le theanga a-mach agus sùil bheag|fealla-dhà|priobadh|sùil|sùil bheag|teanga
🤪;aodann às a rian;aodann às a rian|beag|mòr|sùil
😝;aodann caog-shùileach le theanga a-mach;aodann|aodann caog-shùileach le theanga a-mach|blas|sùil|teanga|uabhasach
🤑;aodann le sùilean is teanga airgid;airgead|aodann|aodann le sùilean is teanga airgid|beul
🤗;aodann a’ pasgadh gàirdeanan timcheall;aodann|aodann a’ pasgadh gàirdeanan timcheall|gàirdeanan|pasgadh|timcheall
🤭;aodann le làmh air a beul;aodann le làmh air a beul|oich
🫢;aodann le sùilean fosgailte ⁊ làmh air beul;aodann le sùilean fosgailte ⁊ làmh air beul|aodann le sùilean fosgailte agus làmh air beul|clisg|eagal|iongantach|iongnadh|nàire
🫣;aodann le sùil a’ dìdeadh;aodann le sùil a’ dìdeadh|beò-ghlacte|dìdeach|dìdeil|fàthadaireachd|spleuchd
🤫;aodann “Ist!”;aodann “Ist!”|ist|sàmhach|tost
🤔;aodann ri smaoineachadh;aodann|aodann ri smaoineachadh|smaoineachadh
🫡;aodann ag altachadh;aidh|altachadh|aodann ag altachadh|arm|ceart ma-thà|feachd|grianach
🤐;aodann le bilean seulaichte;aodann|aodann le bilean seulaichte|beul|bilean|seulaichte
🤨;aodann le mala togta;aodann le mala togta|dì-earbsa|teagamh|teagamhaiche
😐;aodann gun fhiamh;aodann|aodann gun fhiamh|bàn|gun fhaireachdainn|gun fhiamh
😑;aodann gun fhaireachdainn;aodann|aodann gun fhaireachdainn|bàn|gun fhaireachdainn|gun fhiamh
😶;aodann gun bheul;aodann|aodann gun bheul|beul|sàmhach|tost
🫥;aodann le loidhne dhotagach;aodann le loidhne dhotagach|dol à sealladh|falach|falaich|lionn-dubh|neo-fhaicsinneach|neo-fhosgarra|rach à sealladh|trom-inntinn
😶‍🌫️;aodan sna neòil;air seachran|ann an ceò|aodan sna neòil
😏;aodann le plìonas;aodann|aodann le plìonas|plìonas
😒;aodann nuair nach eil e èibhinn;aodann|aodann nuair nach eil e èibhinn|mì-thoilichte
🙄;aodann a’ casadh nan sùilean;aodann|aodann a’ casadh nan sùilean|casadh|sùilean
😬;aodann le drèin air;aodann|aodann le drèin air|drèin
😮‍💨;aodan a’ leigeil anail;anail|aodan a’ leigeil anail|cagar|cnead|cogar|faochadh|fead|leig anail|leig d’ anail|leigeil anail|plosg
🤥;aodann nam breug;aodann|aodann nam breug|breug|pinocchio
🫨;aodann le crathadh air;aodann|aodann le crathadh air|clisgeadh|crath|crathadh|crith|crith-talmhainn
🙂‍↔️;crathadh-cinn;àicheadh|an aghaidh|chan eil|còmhnard|crathadh|crathadh-cinn
🙂‍↕️;cromadh-cinn;air a shon|aontachadh|crathadh|crathadh-cinn|cromadh|cromadh-cinn|inghearach|tha
😌;aodann a fhuair faochadh;aodann|aodann a fhuair faochadh|faochadh
😔;aodann fo throm-smuain;aodann|aodann fo throm-smuain|sprochd|throm-smuain|trom-inntinneach
😪;aodann cadalach;aodann|aodann cadalach|cadal
🤤;aodann a’ sileadh sglongaid;aodann|aodann a’ sileadh sglongaid|sglongaid|sileadh
😴;aodann na chadal;aodann|aodann na chadal|cadal|zzz
😷;aodann le masg dotair air;aodann|aodann le masg dotair air|bochd|dotair|fuar|leigheas|lighiche|masg|tinn
🤒;aodann le teas-mheidh;aodann|aodann le teas-mheidh|bochd|teas-mheidh|tinn
🤕;aodann le clobhd air a’ cheann;aodann|aodann le clobhd air a’ cheann|clobhd|leòinte|leònta
🤢;aodann sgreamha;aodann|aodann sgreamha|cur a-mach|sgreamh
🤮;aodann a’ cur a-mach;aodann a’ cur a-mach|bochd|cuir a-mach|cur a-mach|tinn
🤧;aodann ri sreothairt;aodann|aodann ri sreothairt|dia leat|sreothairt
🥵;aodann teth;a’ cur fallas|aodann dearg|aodann teth|fallas|fiabhras|teas|teth
🥶;aodann fuar;aodann fuar|aodann ghorm|deigh|eigheanach|eighreachadh|eighrich|fuar|reòite
🥴;aodann misgeach;aodann misgeach|daorach|froighleach|misg|smoid|smoideag|smùid|smùideag|stealladh|tuaineal
😵;aodann na thuaineal;aodann|aodann na thuaineal|tuaineal
😵‍💫;aodann le sùilean snìomhanach;aodann le sùilean snìomhanach|ceann na cheò|luairean|snìomh|suainealachadh|suainealaich|trioblaid|tuainealach
🤯;ceann a’ spreadhadh;annas|ceann a’ spreadhadh
🤠;aodann le ad cowboy;ad|aodann|aodann le ad cowboy|cowboy|cowgirl
🥳;aodann aig pàrtaidh;ad|aodann aig pàrtaidh|cèilidh|comharrachadh|dùdag|pàrtaidh
🥸;aodann le riochd air;aodann|aodann le riochd air|incognito|riochd|speuclairean|sròn
😎;aodann toilichte le speuclairean-grèine;aodann|aodann toilichte le speuclairean-grèine|fiamh-ghàire|gasta|grian|smodaig|soilleir|speuclairean|speuclairean-grèine|sùil
🤓;aodann gìog;aodann|gìog
🧐;aodann le leth-speuclair;aodann le leth-speuclair|seann-fhasanta
😕;aodann tro chèile;aodann|aodann tro chèile|tro chèile
🫤;aodann le beul trastanach;ana-chreideamhach|aodann le beul trastanach|às-chreideamhach|briseadh dùil|mì-chreideamhach|neo-chinnteach|teagmhach
😟;aodann fo dhragh;aodann|aodann fo dhragh|dragh
🙁;aodann le fiamh drèin beag;aodann|aodann le fiamh drèin beag|drèin
☹️;aodann le fiamh drèin;aodann|aodann le fiamh drèin|drèin
😮;aodann le beul fosgailte;aodann|aodann le beul fosgailte|beul|co-fhulangas|fosgailte|truaghas|truas
😯;aodann iongnaidh le sùilean fosgailte;aodann|aodann iongnaidh le sùilean fosgailte|iongnadh|tost
😲;aodann a ghabh mòr-iongnadh;annas|aodann|aodann a ghabh mòr-iongnadh|gu tur|iongnadh
😳;aodann air ruadhadh;aodann|aodann air ruadhadh|ruadhadh
🥺;aodann tagrach;aodann tagrach|faoighe|grìos|grìosadh|gur|guradh
🥹;aodann le deòir na sùil;aodann le deòir na sùil|brònach|feargach|moiteil|rànail|strì
😦;aodann le drèin is beul fosgailte;aodann|aodann le drèin is beul fosgailte|beul|drèin|fosgailte
😧;aodann àmhghair;àmhghar|aodann|aodann àmhghair
😨;aodann fo eagal;an t-eagal air|aodann|aodann fo eagal|eagal|eagalach
😰;aodann le beul fosgailte a’ cur fallas;aodann|aodann le beul fosgailte a’ cur fallas|beul|cabhag|fallas|fosgailte|fuar|gorm
