[smileys_emotion]
😀;સ્મિત કરતો ચહેરો;ચહેરો|સ્મિત|સ્મિત કરતો ચહેરો
😃;ખુલ્લા મોં સાથેનો સ્મિત કરતો ચહેરો;ખુલ્લા મોં સાથેનો સ્મિત કરતો ચહેરો|ખુલ્લું|ચહેરો|મોટી આંખો સાથે સ્મિત કરતો ચહેરો|સ્મિત
😄;ખુલ્લા મોં અને હસતી આંખો સાથેનો સ્મિત કરતો ચહેરો;આંખ|ખુલ્લા મોં અને હસતી આંખો સાથેનો સ્મિત કરતો ચહેરો|ખુલ્લું|ચહેરો|મોં|સ્મિત|હસતી આંખો સાથે સ્મિત કરતો ચહેરો
😁;હસતી આંખો સાથેનો સ્મિત કરતો ચહેરો;આંખ|ચહેરો|સ્મિત|હસતી આંખો સાથેનો સ્મિત કરતો ચહેરો|હસવું
😆;ખુલ્લા મોં અને ચુસ્તપણે બંધ આંખો સાથેનો સ્મિત કરતો ચહેરો;ખુલ્લા મોં અને ચુસ્તપણે બંધ આંખો સાથેનો સ્મિત કરતો ચહેરો|ખુલ્લા મોંએ હાસ્ય|ખુલ્લું મોઢું|ચહેરો|બંધ આંખો|બંધ આંખો સાથેનું હાસ્ય
😅;ખુલ્લા મોં અને ઠંડા પરસેવા સાથેનો સ્મિત કરતો ચહેરો;ખુલ્લા મોં અને ઠંડા પરસેવા સાથેનો સ્મિત કરતો ચહેરો|ખુલ્લો|ચહેરો|ઠંડો|પરસેવો|પરસેવો સાથે સ્મિત કરતો ચહેરો|સ્મિત
🤣;જમીન પર લોટીને હસવું;ચહેરો|જમીન|જમીન પર લોટીને હસવું|લોટવું|હસવું
😂;હર્ષના આંસુ સાથેનો ચહેરો;અશ્રુ|આનંદ|ચહેરો|હર્ષના આંસુ સાથેનો ચહેરો|હાસ્ય
🙂;સહેજ સ્મિત કરતો ચહેરો;ચહેરો|મુખ|સહેજ સ્મિત કરતો ચહેરો|સ્મિત|હાસ્ય
🙃;ઊંધો ચહેરો;ઊંધો|ચહેરો|મુખ
🫠;ઓગળતો ચહેરો;અદૃશ્ય|ઓગળતો ચહેરો|ઓગળવું|પીગળવું|પ્રવાહી
😉;આંખ મારતો ચહેરો;આંખ મારતો ચહેરો|આંખ મારવી|ચહેરો
😊;હસ્તી આંખો સાથેનો સ્મિત કરતો ચહેરો;ચહેરો|હસતી આંખો|હસતો ચહેરો|હસતો ચહેરો અને આંખો|હસ્તી આંખો સાથેનો સ્મિત કરતો ચહેરો|હાસ્ય
😇;પ્રભાવલય સાથેનો સ્મિત કરતો ચહેરો;ચહેરો|પ્રભાવલય|પ્રભાવલય સાથેનું હાસ્ય|પ્રભાવલય સાથેનો સ્મિત કરતો ચહેરો|મુખ|હાસ્ય
