[smileys_emotion]
😀;fuska mai murmushin baki har kunne;fuska mai murmushin baki har kunne|murmushi|uska
😃;fuska mai murmushi tare da manyan idanu;a buɗe|baki|fuska|fuska mai murmushi tare da baki a buɗe|fuska mai murmushi tare da manyan idanu|murmushi
😄;fuska mai murmushi tare da idanu;a buɗe|baki|fuska|fuska mai murmushi tare da idanu|ido|murmushi
😁;fuska mai murmushi tare da idanuu;fuska|fuska mai murmushi tare da idanu|fuska mai murmushi tare da idanuu|ido|murmushi|murmushi na baki har kunne
😆;murmushin yaƙe tare da lumshe ido;baki|dariya|fuska|gamsu|murmushi|murmushin yaƙe tare da lumshe ido
😅;fuska mai murmushi tare da gumi mai sanyi;a buɗe|fuska mai murmushi tare da gumi mai sanyi|gumi|murmushi|sanyi
🤣;mirgina a daɓe da dariya;daɓe|dariya|fuska|mirgina|mirgina a daɓe da dariya
😂;fuska mai hawayen murna;dariya|fuska|fuska mai hawayen murna|hawaye|murna
🙂;fuska mai murmushi kaɗan;fuska|fuska mai murmushi kaɗan|murmushi
🙃;fuska a birkice;a birkice|fuska|fuska a birkice
🫠;fuska narke;ɓace|fuska narke|narke|ruwa
😉;fuska mai yin ƙifta;fuska|fuska mai yin ƙifta|yi ƙifta
😊;fuska mai murmushi haɗe da idanu;fuska|fuska mai murmushi haɗe da idanu|ido|ji kunya|murmushi
😇;fuska mai murmushi tare da da’irar haske;fuska|fuska mai murmushi tare da da’irar haske|labarin aljana|malaika|maras laifi|murmushi|tatsuniya
🥰;fuska mai dariya da zukata;cikin soyayya|fuska mai dariya da zukata|ƙauna|zukata
😍;fuska mai murmushi tare da idanun zuciya;fuska|fuska mai murmushi tare da idanun zuciya|ido|ƙauna|murmushi
🤩;buga-tauraro;buga-tauraro|fuska|idanu|tauraro|yin dariya har kunne
😘;fuska mai ba da wani sumba;fuska|fuska mai ba da wani sumba|sumba
😗;Fuska mai yin sumba;fuska|Fuska mai yin sumba|sumba
☺️;fuska mai murmushi;fuska|fuska mai murmushi|mai shaci|mai walwala|murmushi
😚;fuska mai yin sumba tare da rufaffen Idanu;a rufe|fuska|fuska mai yin sumba tare da rufaffen Idanu|ido|sumba
😙;fuska mai sumba da idanu masu murmushi;fuska|fuska mai sumba da idanu masu murmushi|fuska mai yin sumba tare da idanu masu murmushi|ido|murmushi|sumba
🥲;fuska mai murmushi ɗauke da hawaye;fuska mai murmushi ɗauke da hawaye|godiya|hawaye|mai alfahari|murmushi|sami sauƙi|shafar
😋;fuska da take ɗanɗana abinci mai daɗi;ɗanɗano|fuska|fuska da take ɗanɗana abinci mai daɗi|mai daɗi|murmushi|um|yum
😛;fuska tare da harshe a waje;fuska|fuska tare da harshe a waje|harshe
😜;fuska tare da harshe a waje da ido mai ƙifta;abin dariya|fuska|fuska tare da harshe a waje da ido mai ƙifta|harshe|ido|ƙifta
🤪;fuska mai masifar so;babba|fuska mai masifar so|ido|ƙarami
😝;fuska da harshe waje da rufaffun idanu;ɗanɗano|fuska|fuska da harshe waje da rufaffun idanu|harshe|ido|maƙetaci
🤑;fuska mai bakin-kuɗi;baki|fuska|fuska mai bakin-kuɗi|kuɗi
🤗;fuska mai runguma;fuska|fuska mai runguma|mai runguma|runguma
🤭;fuska tare da hannu bisa baki;fuska tare da hannu bisa baki|nunin baƙin ciki
🫢;fuska da buɗe idanu da miƙa baki;fuska da buɗe idanu da miƙa baki|kunya|mamaki|rashin yarda|tsorata|tsoro
🫣;fuska tare da leƙo ido ɗaya;fuska tare da leƙo ido ɗaya|kame|leƙa ido ɗaya|leƙe|zura ido
🤫;fuska mai shiru;fuska mai shiru|mai shiru|shiru
🤔;fuska mai tunani;fuska|fuska mai tunani|tunani
🫡;fuska mai sarawa;eh|fuska mai sarawa|rana|sarawa|sojoji|to
🤐;fuskar baki mai zif;baki|fuska|fuskar baki mai zif|zif
🤨;fuska tare da ɗagaggiyar gira;fuska tare da ɗagaggiyar gira|mai shakka|maras aminci
😐;fuska mai tsaka-tsakanci;fuska|fuska mai tsaka-tsakanci|mai tsaka-tsakanci|mara shige
😑;fuska mara shige;fuska|fuska mara shige|mara shige|maras shige
😶;fuska ban da baki;baki|fuska|fuska ban da baki|mai shiru|shiru
🫥;kewaye da ɗige fuska;baƙin ciki|ɓace|ɓoye|ganuwa|kewaye da ɗige fuska|mai gabatarwa
😶‍🌫️;Fuska a sama;Fuska a sama|Fuskan mara mai da hankali
😏;fuska mai murmushin wauta;fuska|fuska mai murmushin wauta|murmushin wauta
😒;fuska mara sha’awa;baƙin ciki|fuska|fuska mara sha’awa|mara sha’awa
🙄;fuska tare da idanu masu mirgina;fuska|fuska tare da idanu masu mirgina|idanu|mai mirgina
😬;fuska na ɗauren fuska;ɗauren fuska|fuska|fuska na ɗauren fuska
😮‍💨;numfashin fuska;busa|kukan azaba|neman iska|numfashi|numfashin fuska|raɗa|sauki
🤥;fuska mai yin ƙarya;fuska|fuska mai yin ƙarya|ƙarya|pinocchio
🫨;girgiza fuska;fuska|gigice|girgiza|girgizar ƙasa
🙂‍↔️;girgiza kai a kwance;aʼa|girgiza|girgiza kai a kwance
🙂‍↕️;Girgiza kai a tsaye;e|Girgiza kai a tsaye|yarda da kai
😌;fuska mai kwancin hankali;fuska|fuska mai kwancin hankali|kwancin hankali
😔;fuska mai yin tunani;fuska|fuska mai yin tunani|mai sanyin jiki|mai yin tunani
😪;fuska mai jin barci;barci|fuska|fuska mai jin barci
🤤;fuska mai nuna ɓacin rai;fuska|fuska mai nuna ɓacin rai|nuna ɓacin rai
😴;fuska mai yin barci;barci|fuska|fuska mai yin barci|zzz
😷;fuska mai abin rufen fuska na kula da lafiya;abin rufen fuska|fuska|fuska mai abin rufen fuska na aikin kula da lafiya|fuska mai abin rufen fuska na kula da lafiya|likita|magani|maras lafiya|sanyi
🤒;fuska mai tsinken awon zafin jiki;fuska|fuska mai tsinken awon zafin jiki|maras lafiya|rashin lafiya|tsinken awon zafin jiki
🤕;fuska mai bandejin-kai;bandeji|ciwo|fuska|fuska mai bandejin-kai|rauni
🤢;fuska mai tashin zuciya;amai|fuska|fuska mai tashin zuciya|mai tashin zuciya
🤮;fuska yin amai;amai|fuska yin amai|maras lafiya
🤧;fuska mai yin atishawa;atishawa|fuska|fuska mai yin atishawa|geshundheit
🥵;fuska mai zafi;fuska mai zafi|jar fuska|zafi|zafin bugu|zazzaɓi|zufa
🥶;fuska mai sanyi;daskarewa|fuska mai sanyi|fuska mai shuɗi|icicles|sanyi
🥴;fuska mai kasala;buguwa|fuska mai kasala|idanu mara kyau|jiri|matashin tukwici|tsuke baki
😵;fuska mai jin jiri;fuska|fuska mai jin jiri|jiri
😵‍💫;fuska da ido karkatace;damuwa|fuska da ido karkatace|jiri|karkace|ku|rikitace
🤯;kai mai bashewa;firgitacce|kai mai bashewa
🤠;fuska mai hular kaboyi;fuska|fuska mai hular kaboyi|hula|kaboyi|kaboyi na mace
🥳;fuska mai liyafa;biki|fuska mai liyafa|hula|liyafa|usur
🥸;sauya fuska;ɓuya|fuska|hanci|sake kama|sauya fuska|tabarau
😎;fuska mai murmushi tare da tabarau;fuska|fuska mai murmushi tare da tabarau|mai haske|mai ni’ima|rana|tabarau
🤓;fuska mai daƙiƙi;fuska|fuska mai daƙiƙi|mai azanci|mai daƙiƙi
🧐;fuska tare da tabarau mai ido ɗaya;fuska tare da tabarau mai ido ɗaya|mai cunkusa
😕;rikitacciyar fuska;fuska|rikitacce|rikitacciyar fuska
🫤;fuska mai karkataccen baki;fuska mai karkataccen baki|mai shakka|meh|rashin jin daɗi|rashin tabbas
