[smileys_emotion]
😀;nasmijano lice;lice|nasmijano lice|smiješak|usta|zubi
😃;nasmijano lice s velikim očima;lice|nasmijano lice s velikim očima|otvorena usta|smiješak
😄;nasmijano lice s nasmiješenim očima;lice|nasmijano lice s nasmiješenim očima|oči|otvoreno|smiješak
😁;sretno lice s nasmiješenim očima;lice|lice koje sija od zadovoljstva s nasmiješenim očima|oči|smiješak|sretno lice s nasmiješenim očima
😆;nasmijano lice s čvrsto zatvorenim očima;lice|nasmijano lice s čvrsto zatvorenim očima|smijeh|smiješak|zadovoljno
😅;nasmijano lice s kapljicom znoja;hladno|lice|nasmijano lice s kapljicom znoja|smiješak|znoj
🤣;valjanje od smijeha;lice|pod|smijeh|valjanje|valjanje od smijeha
😂;lice sa suzama radosnicama;lice|lice sa suzama radosnicama|smijeh|suze|veselje
🙂;blago nasmiješeno lice;blago nasmiješeno lice|lice|smiješak
🙃;naopačke okrenuto lice;gore-dolje|lice|naopačke okrenuto lice
🫠;lice koje se topi;lice koje se topi|nestajanje|razgrađivanje|tekućina|topljenje
😉;lice koje namiguje;lice|lice koje namiguje|namigivanje
😊;nasmiješeno lice s nasmiješenim očima;lice|nasmiješeno lice s nasmiješenim očima|oči|rumeno|smiješak
😇;nasmiješeno lice s aureolom;anđeo|aureola|bajka|lice|nasmiješeno lice s aureolom|nevinost
🥰;nasmijano lice sa srcima;nasmijano lice sa srcima|obožavanje|zaljubiti se|zaljubljenost
😍;nasmiješeno lice s očima u obliku srca;lice|ljubav|nasmiješeno lice s očima u obliku srca|oči|smiješak|srce
🤩;lice s očima u obliku zvijezda;lice|lice s očima u obliku zvijezda|oči|oduševljenje|smiješak
😘;lice koje šalje poljubac;lice|lice koje šalje poljubac|poljubac|srce
😗;lice koje ljubi;lice|lice koje ljubi|poljubac
☺️;nasmiješeno lice;istaknuto|lice|nasmiješeno lice|opušteno|smiješak
😚;lice koje ljubi zatvorenih očiju;lice|lice koje ljubi zatvorenih očiju|oči|poljubac|zatvoreno
😙;lice koje ljubi s nasmiješenim očima;lice|lice koje ljubi s nasmiješenim očima|oči|poljubac|smiješak
🥲;nasmiješeno lice sa suzom;dirnutost|nasmiješeno lice sa suzom|olakšanje|ponos|smiješak|suza|zahvalnost
😋;lice koje uživa u hrani;fino|lice|lice koje uživa u hrani|njam|smiješak|ukusno
😛;lice s isplaženim jezikom;jezik|lice|lice s isplaženim jezikom
😜;lice s isplaženim jezikom koje namiguje;jezik|lice|lice s isplaženim jezikom koje namiguje|namigivanje|oči|šala
🤪;ludo lice;ludo lice|malo|oko|veliko
😝;lice s isplaženim jezikom i zatvorenim očima;gadno|jezik|lice|lice s isplaženim jezikom i čvrsto zatvorenim očima|lice s isplaženim jezikom i zatvorenim očima|oči
🤑;pohlepno lice;glad|lice|novac|pohlepno lice|usta
🤗;lice koje grli;grljenje|lice|lice koje grli|zagrljaj
🤭;lice s rukom preko usta;lice s rukom preko usta|ups
🫢;lice s otvorenim očima i rukom preko usta;čuđenje|divljenje|iznenađenje|lice s otvorenim očima i rukom preko usta|nevjerica|stid|strah
🫣;virenje na jedno oko;očaranost|virenje|virenje na jedno oko|zurenje
🤫;lice koje ušutkava;lice koje ušutkava|tišina|ušutkavanje
🤔;lice koje razmišlja;lice|lice koje razmišlja|razmišljanje
🫡;lice koje salutira;da|lice koje salutira|salutiranje|sunčano|u redu|vojska
🤐;lice s patentnim zatvaračem preko usta;lice|lice s patentnim zatvaračem preko usta|lice s ustima zatvorenim patentnim zatvaračem|patentni zatvarač|usta
🤨;lice s podignutom obrvom;lice s podignutom obrvom|nepovjerenje|skeptično
😐;neutralno lice;bezlično|lice|neutralno
😑;bezizražajno lice;bezizražajno|bezlično|lice
😶;lice bez usta;bezglasno|lice|lice bez usta|tiho|usta
🫥;lice obrubljeno točkastom crtom;depresivno|introvert|lice obrubljeno točkastom crtom|nestajanje|nevidljivo|sakrivanje
😶‍🌫️;lice u oblacima;glava u oblacima|lice u magli|lice u oblacima|zaboravnost
😏;lice koje se smijulji;lice|lice koje se smijulji|smijuljenje
😒;lice s izrazom dosade;dosađivanje|lice|lice s izrazom dosade|nezadovoljstvo
🙄;lice s kolutajućim očima;kolutanje|lice|lice s kolutajućim očima|oči
😬;lice s grimasom;grimasa|lice|lice s grimasom
😮‍💨;lice koje izdiše;izdisaj|lice koje izdiše|olakšanje|šapat|stenjanje|uzdah|zvižduk
🤥;lice koje laže;laganje|laž|lice|lice koje laže|pinokio
🫨;drhteće lice;drhtanje|drhteće lice|lice|potres|šok|trešnja|vibriranje
🙂‍↔️;vodoravno okretanje glavom;gesta ne|vodoravno okretanje glavom
🙂‍↕️;okomito klimanje glavom;gesta da|okomito klimanje glavom
😌;lice s izrazom olakšanja;lice|lice s izrazom olakšanja|olakšanje
😔;zamišljeno lice;bezvoljnost|lice|zamišljeno lice|zamišljenost
😪;pospano lice;lice|pospano lice|spavanje
🤤;lice koje slini;lice|lice koje slini|slinjenje
😴;lice koje spava;lice|lice koje spava|spavanje|zzz
😷;lice s medicinskom maskom;bolest|doktor|lice|lice s medicinskom maskom|maska
🤒;lice s toplomjerom;lice|lice s toplomjerom|prehlada|toplomjer
🤕;lice sa zavojem;bol|lice|lice sa zavojem|ozljeda|zavoj
🤢;lice kojem je pozlilo;lice|lice kojem je pozlilo|muka|povraćanje
🤮;lice koje povraća;bolest|lice koje povraća|povraćanje
🤧;lice koje kiše;kihanje|lice|lice koje kiše|nazdravlje
🥵;pregrijano lice;crveno lice|pregrijano lice|toplinski udar|vruće|vrućica|znoj
🥶;zamrznuto lice;hladno|ledeno|ozebline|plavo lice|zamrznuto lice
🥴;ošamućeno lice;intoksikacija|iskrivljena usta|nejednake oči|ošamućeno lice|pripitost|vrtoglavica
😵;lice s vrtoglavicom;lice|lice s vrtoglavicom|vrtoglavica
😵‍💫;lice sa spiralnim očima;hipnotizirano|iznenađenje|lice sa spiralnim očima|nevolja|spiralno|vrtoglavica
🤯;eksplodirajuća glava;eksplodirajuća glava|šok
🤠;kauboj sa šeširom;kauboj|kauboj sa šeširom|lice|šešir
🥳;lice koje se zabavlja;lice koje se zabavlja|proslava|šešir|slavlje|zabava
🥸;prerušeno lice;krinka|lice|maska|naočale|nos|prerušeno lice
😎;nasmiješeno lice sa sunčanim naočalama;cool|lice|nasmiješeno lice sa sunčanim naočalama|sunčane naočale|sunce
🤓;štrebersko lice;lice|pametnjaković|šmokljan|štreber|štrebersko lice
🧐;lice s monoklom;lice s monoklom|uštogljeno
😕;zbunjeno lice;lice|zbunjeno lice|zbunjenost
🫤;lice s nakošenim ustima;lice s nakošenim ustima|meh|nesigurno|razočarano|skeptično
😟;zabrinuto lice;briga|lice|zabrinuto lice
🙁;blago namrgođeno lice;blago namrgođeno lice|lice|mrgođenje
☹️;namrgođeno lice;lice|mrgođenje|namrgođeno lice
😮;lice s otvorenim ustima;lice|lice s otvorenim ustima|otvoreno|suosjećanje|usta
😯;iznenađeno lice;iznenađenje|iznenađeno lice|lice|ušutkano|zapanjeno
😲;zapanjeno lice;lice|šok|zapanjeno lice|zapanjenost
😳;zarumenjeno lice;lice|nesigurnost|rumenost|zarumenjeno lice
🥺;molećivo lice;milost|molećivo lice|pseći pogled
🥹;lice koje se suzdržava od suza;lice koje se suzdržava od suza|ljutito|otpor|plač|ponos|tuga
😦;namrgođeno lice s otvorenim ustima;lice|mrgođenje|namrgođeno lice s otvorenim ustima|otvoreno|usta
😧;izmučeno lice;izmučeno lice|izmučenost|lice|muka
😨;preplašeno lice;lice|preplašeno lice|preplašenost|strah
😰;anksiozno lice s kapljicom znoja;anksiozno lice s kapljicom znoja|hladno|lice|plavo|užurbano|znoj
😥;tužno lice, ali s izrazom olakšanja;ali s izrazom olakšanja|lice|olakšanje|razočaranje|tužno lice|tužno lice, ali s izrazom olakšanja
😢;lice koje plače;lice|lice koje plače|plakanje|suze|tuga
😭;lice koje glasno plače;lice|lice koje glasno plače|plakanje|ridanje|suze|tuga
😱;lice koje vrišti od straha;krik|lice|lice koje vrišti od straha|munch|strah
😖;smeteno lice;lice|smeteno lice|smetenost|zbunjenost
😣;odlučno lice;lice|odlučno lice|ustrajanje
😞;razočarano lice;lice|razočaranje|razočarano lice
😓;tužno lice s kapljicom znoja;hladno|lice|tužno lice s kapljicom znoja|znoj
😩;tegobno lice;brige|lice|tegobno lice|umor
😫;umorno lice;lice|umor|umorno lice
🥱;zijevajuće lice;dosadno|umor|zijevajuće lice|zijevanje
😤;lice kojem ide para na nos;lice|lice kojem ide para na nos|pobjeda
😡;lice koje se duri;bijes|crvenilo|durenje|lice|lice koje se duri|ljutnja
😠;ljutito lice;lice|ljutito lice|ljutnja
🤬;lice sa simbolima na ustima;lice sa simbolima na ustima|psovanje
😈;nasmiješeno lice s rogovima;bajka|lice|nasmiješeno lice s rogovima|rogovi|smiješak
👿;vražićak;bajka|demon|lice|ljuto|vražićak
💀;lubanja;bajka|čudovište|lice|lubanja|smrt
☠️;lubanja i prekrižene kosti;čudovište|kosti|lice|lubanja|lubanja i prekrižene kosti|smrt
💩;hrpica izmeta;čudovište|drek|hrpica izmeta|izmet|lice
🤡;lice klauna;klaun|lice|lice klauna
👹;japanski div;bajka|čudovište|japanski div|lice|stvor
👺;goblin;bajka|čudovište|goblin|lice|stvor
👻;duh;bajka|čudovište|duh|mašta|stvor
👽;izvanzemaljac;izvanzemaljac|lice|mašta|nlo|stvor
👾;izvanzemaljsko čudovište;čudovište|izvanzemaljac|izvanzemaljsko čudovište|lice|nlo|stvor
🤖;robot;čudovište|lice|robot
😺;nasmijana mačka;lice|mačka|nasmijana mačka|otvorena usta|smiješak
😸;nasmijana mačka s nasmiješenim očima;cerenje|lice|mačka|nasmijana mačka s nasmiješenim očima|oči|smiješak
😹;mačka sa suzama radosnicama;lice|mačka|mačka sa suzama radosnicama|suze|veselje
😻;nasmiješena mačka s očima u obliku srca;lice|ljubav|mačka|nasmiješena mačka s očima u obliku srca|oči|smiješak
😼;mačka s kiselim osmijehom;ironija|iskrivljeno|lice|mačka|mačka s kiselim osmijehom|smiješak
😽;mačka koja ljubi;lice|mačka|mačka koja ljubi|poljubac
🙀;izbezumljena mačka;briga|izbezumljena mačka|iznenađenje|lice|mačka
😿;uplakana mačka;lice|mačka|suze|tuga|uplakana mačka
😾;mačka koja se duri;durenje|lice|mačka|mačka koja se duri
