[smileys_emotion]
😀;wobličo ze šibałym posměwkom;wobličo|wobličo ze šibałym posměwkom|wočinjena huba|žortne
😃;wobličo ze šibałym posměwkom a wulkimaj wočomaj;so smějkotać|wobličo|wobličo ze šibałym posměwkom a wulkimaj wočomaj|wočinjena huba|žortne
😄;wobličo ze šibałym posměwkom a so smějacymaj wočomaj;wobličo|wobličo ze šibałym posměwkom a so smějacymaj wočomaj|wočinjena huba|žortne
😁;wobličo ze zbožownym posměwkom a so smějacymaj wočomaj;wobličo|wobličo ze zbožownym posměwkom a so smějacymaj wočomaj|žortne|zuby
😆;wobličo ze šibałym posměwkom a zašćipnjenymaj wočomaj;wobličo|wobličo ze šibałym posměwkom a zašćipnjenymaj wočomaj|wočinjena huba|zašćipnjenej woči
😅;wobličo ze šibałym posměwkom a kapku pota;pót|so poćić|wobličo|wobličo ze šibałym posměwkom a kapku pota|žortne
🤣;so ze směchom na špundowanju waleć;so smjeć|so ze směchom na špundowanju waleć|wobličo
😂;wobličo ze sylzami radosće;so smjeć|sylzy|wobličo|wobličo ze sylzami radosće
🙂;so tróšku posměwkowace wobličo;posměwk|so posměwkować|so posměwkujo|so tróšku posměwkowace wobličo|wobličo
🙃;znak stejace wobličo;na hłowje stać|wobličo|znak stejace wobličo
🫠;rozběžace wobličo;běžity|rozběžace wobličo|rozběžeć|so rozpušćić|so zhubić
😉;wobličo, kiž ći přimiknje;kiž ći přimiknje|mikotać|wobličo|wobličo, kiž ći přimiknje
😊;wobličo z posměwkom a so smějacymaj wočomaj;čerwjenej ličce|so začerwjenić|wjeselo|wobličo z posměwkom a so smějacymaj wočomaj
😇;wobličo z posměwkom a swjatosćinom;posměwk|swjatosćin|wobličo|wobličo z posměwkom a swjatosćinom
🥰;wobličo z posměwkom a wutrobičkami;na někoho zahoriće hladać|wobličo z posměwkom a wutrobičkami|zahladany|zalubowany
😍;wobličo ze šibałym posměwkom a wutrobičkojtymaj wočomaj;wobličo|wobličo ze šibałym posměwkom a wutrobičkojtymaj wočomaj|zalubowany
🤩;přemóženy;hwěžki|přemóženy|šibały posměwk|wobličo|woči
😘;wobličo, kiž sćele hubku;hubka|kiž sćele hubku|wobličo|wobličo, kiž sćele hubku
😗;hubkowace wobličo;hubka|hubkowace wobličo|wobličo
☺️;wobličo z posměwkom;posměwk|wjesoły|wobličo z posměwkom|z posměwkom
😚;košace wobličo ze zawrjenymaj wočomaj;čerwjenej ličce|košace wobličo ze zawrjenymaj wočomaj|wobličo
😙;hubkowace wobličo ze so smějacymaj wočomaj;hubka|hubkowace wobličo ze so smějacymaj wočomaj|so smějacej woči|wobličo
🥲;so smějace wobličo ze sylzu;dźakowny|hnuty|hordy|so smějace wobličo ze sylzu|sylza|wolóženy|z posměwkom
😋;wobličo, kiž sej hubje woblizuje;kiž sej hubje woblizuje|słódna jědź|słódne|to słodźi|wobličo|wobličo, kiž sej hubje woblizuje
😛;wobličo z wutyknjenym jazykom;wobličo|wobličo z wutyknjenym jazykom|wutyknjeny jazyk
😜;wobličo, kiž ći z wutyknjenym jazykom přimiknje;kiž ći z wutyknjenym jazykom přimiknje|mikotać|wobličo|wobličo, kiž ći z wutyknjenym jazykom přimiknje|wutyknjeny jazyk
🤪;błudne wobličo;błudne wobličo|małe|wóčko|wulke
😝;wobličo z wutyknjenym jazykom a zašćipnjenymaj wočomaj;wobličo|wobličo z wutyknjenym jazykom a zašćipnjenymaj wočomaj|wutyknjeny jazyk
🤑;wobličo z dolarowymi znamješkami;huba|pjenjezy|wobličo|wobličo z dolarowymi znamješkami
🤗;wobličo z wobjimacymaj rukomaj;wobjimać|wobjimanje|wobličo|wobličo z wobjimacymaj rukomaj|wobličo z wojimacymaj rukomaj
🤭;wobličo z ruku nad hubu;huch|wobličo z ruku nad hubu
