[smileys_emotion]
😀;ծիծաղող դեմք;դեմք|ծիծաղող դեմք|քմծիծաղել
😃;ժպտացող դեմք բաց բերանով;բաց|բերան|դեմք|ժպտալ|ժպտացող դեմք բաց բերանով
😄;ժպտացող աչքերով լայն ժպիտով դեմք;աչք|բաց|բաց բերնով ժպտացող դեմք՝ ժպտացող աչքերով|բերան|դեմք|ժպտալ|ժպտացող աչքերով լայն ժպիտով դեմք
😁;ծիծաղող դեմք ժպտացող աչքերով;աչք|դեմք|ժպտալ|ծիծաղող դեմք ժպտացող աչքերով|քմծիծաղել
😆;աչքերը կկոցած լայն ժպիտով դեմք;աչքերը կկոցած լայն ժպիտով դեմք|բաց|բերան|գոհ|ժպտացող դեմք բաց բերանով և ամուր փակած աչքերով|ծիծաղել|քմծիծաղող շեղված դեմք
😅;սառը քրտինքով լայն ժպիտով դեմք;բաց|դեմք|ժպտալ|ժպտացող դեմք բաց բերանով և սառը քրտինքով|սառը քրտինքով լայն ժպիտով դեմք|քրտինք
🤣;ծիծաղից գլորվում է;գլորվել|դեմք|ծիծաղ|ծիծաղից գլորվում է
😂;դեմք ուրախության արցունքներով;արցունք|դեմք|դեմք ուրախության արցունքներով|ծիծաղել|ուրախություն
🙂;թեթևակի ժպտացող դեմք;դեմք|թեթևակի ժպտացող դեմք|ժպիտ
🙃;գլխիվայր դեմք;գլխիվայր|դեմք
🫠;հալչող դեմք;անհայտանալ|լուծվել|հալչել|հալչող դեմք|հեղուկ
😉;աչքով անող դեմք;աչքով անել|աչքով անող դեմք|դեմք
😊;ժպտացող դեմք ժպտացող աչքերով;աչք|դեմք|ժպիտ|ժպտացող դեմք ժպտացող աչքերով|շիկնել
😇;ժպտացող դեմք լուսապսակով;անմեղ|դեմք|ժպիտ|ժպտացող դեմք լուսապսակով|լուսապսակ|հրեշտակ
🥰;ժպտացող դեմք սրտիկներով;ժպիտ|ժպտացող դեմք սրտիկներով|սիրահարված|սրտիկներ
😍;ժպտացող դեմք սրտաձև աչքերով;աչք|դեմք|ժպիտ|ժպտացող դեմք սրտաձև աչքերով|սեր
🤩;աչքերում աստղեր;աչքեր|աչքերում աստղեր|աստղեր|ծիծաղ
😘;համբույր ուղարկող դեմք;դեմք|համբույր ուղարկող դեմք|օդային համբույր
😗;համբուրող դեմք;դեմք|համբույր|համբուրող դեմք
☺️;ժպտացող դեմք;անկաշկանդ|դեմք|ժպտալ|ժպտացող դեմք
😚;համբուրող դեմք փակ աչքերով;աչք|դեմք|համբուրել|համբուրող դեմք փակ աչքերով|փակ
😙;համբուրող դեմք ժպտացող աչքերով;աչք|դեմք|ժպտալ|համբուրել|համբուրող դեմք ժպտացող աչքերով
🥲;արցունքով ժպտացող դեմք;արցունք|արցունքով ժպտացող դեմք|ժպտացող|հպարտ|շնորհակալ
😋;համեղ ուտելիք վայելող դեմք;դեմք|ժպիտ|համեղ|համեղ ուտելիք վայելող դեմք|նյամ|վայելել
😛;լեզուն հանած դեմք;դեմք|լեզու|լեզուն հանած դեմք
😜;լեզուն հանած և աչքով անող դեմք;աչք|դեմք|լեզու|լեզուն հանած և աչքով անող դեմք|կատակ
🤪;խենթ դեմք;աչք|խենթ դեմք|մեծ|փոքր
😝;լեզուն հանած և աչքերն ամուր փակած դեմք;ահավոր|աչք|դեմք|լեզու|լեզուն հանած և աչքերն ամուր փակած դեմք|սարսափելի
🤑;թղթադրամը բերանին դեմք;բերան|դեմք|դրամ|թղթադրամը բերանին դեմք|փող
🤗;գրկող դեմք;գրկախառնում|գրկախառնվել|գրկող դեմք|դեմք
🤭;ձեռքը բերանին դեմք;ձեռքը բերանին դեմք|վայ
🫢;;
🫣;ծկրակող աչքով դեմք;աչք դնել|զննել|ծկրակող աչքով դեմք|հմայված
🤫;«սուս» անող դեմք;«սուս» անող դեմք|լուռ|լռություն|սուս
🤔;մտածող դեմք;դեմք|մտածող
🫡;ողջունող դեմք;արևոտ|բանակ|եղավ|լավ|ողջույն|ողջունող դեմք|ոնց ասես
🤐;ճարմանդավոր բերանով դեմք;բերան|դեմք|ճարմանդ|ճարմանդավոր բերանով դեմք|շղթա
🤨;բարձրացրած հոնքով դեմք;անհավատ|բարձրացրած հոնքով դեմք|կասկածանք
😐;չեզոք դեմք;անվրդով|դեմք|չեզոք
