[smileys_emotion]
😀;wajah gembira;bahagia|gembira|muka|senang|wajah
😃;wajah tersenyum lebar;muka|mulut|senyum|terbuka|wajah|wajah tersenyum lebar
😄;wajah tersenyum lebar dan mata tertutup;mata|muka|mulut|senyum|terbuka|wajah|wajah tersenyum lebar dan mata tertutup
😁;wajah gembira dengan mata bahagia;cengiran|mata|muka|senyum|wajah gembira dengan mata bahagia|wajah tersenyum lebar
😆;wajah tersenyum lebar dan memejamkan mata;mulut|puas|senyum|tertawa|wajah|wajah tersenyum lebar dan memejamkan mata|wajah tersenyum lebar memejamkan mata
😅;wajah tersenyum lebar dan berkeringat;dingin|keringat|muka|senyum|terbuka|wajah|wajah tersenyum lebar dan berkeringat
🤣;tertawa terbahak-bahak;kocak|lucu|ngakak|tertawa|tertawa terbahak-bahak
😂;wajah gembira berurai air mata;air mata|bahagia|tertawa|wajah|wajah dengan air mata bahagia|wajah gembira berurai air mata
🙂;wajah agak tersenyum;muka|senyum|wajah|wajah agak tersenyum
🙃;wajah terbalik;muka|terbalik|wajah
🫠;wajah meleleh;cairan|larut|meleleh|menghilang|wajah meleleh
😉;wajah berkedip;kedip|muka|wajah|wajah berkedip
😊;wajah tersenyum dengan mata bahagia;mata|muka|senyum|tersipu|wajah|wajah tersenyum dengan mata bahagia
😇;wajah malaikat;fantasi|halo|lugu|malaikat|wajah|wajah malaikat tersenyum
🥰;wajah tersenyum dengan 3 hati;jatuh cinta|memuja|naksir|wajah tersenyum dengan 3 hati
😍;wajah tersenyum lebar bermata hati;cinta|mata|senyum|wajah|wajah tersenyum lebar bermata hati
🤩;wajah dengan mata berbentuk bintang;bintang|mata|menyeringai|wajah|wajah dengan mata berbentuk bintang
😘;wajah memberikan ciuman jauh;cium|hati|muka|wajah|wajah memberikan ciuman jauh
😗;wajah memberikan ciuman;cium|muka|wajah|wajah memberikan ciuman
☺️;wajah tersenyum;muka|rileks|santai|senyum|tersipu|wajah|wajah tersenyum
😚;wajah memberikan ciuman dengan mata tertutup;cium|mata|muka|tertutup|tutup|wajah|wajah memberikan ciuman dengan mata tertutup
😙;wajah memberikan ciuman dengan mata bahagia;cium|mata|muka|senyum|wajah|wajah memberikan ciuman dengan mata bahagia
🥲;wajah tersenyum dengan air mata;air mata|bangga|bersyukur|lega|mata|tersentuh|tersenyum|wajah tersenyum dengan air mata
😋;wajah menikmati;lezat|menikmati|nyam|senyum|wajah|wajah menikmati makanan
😛;wajah menjulurkan lidah;lidah|muka|wajah|wajah menjulurkan lidah
😜;wajah menjulurkan lidah dan mengedipkan mata;kedip|lelucon|lidah|mata|wajah|wajah mengedip dengan menjulurkan lidah|wajah menjulurkan lidah dan mengedipkan mata
🤪;wajah konyol;besar|bodoh|kecil|mata|wajah konyol
😝;wajah menjulurkan lidah dan memejamkan mata;lidah|mata|menjijikan|rasa|wajah|wajah menjulurkan lidah dan memejamkan mata
🤑;wajah materialistis;matre|muka|mulut|uang|wajah|wajah materialistis
🤗;wajah memeluk;muka|peluk|wajah|wajah memeluk
🤭;wajah dengan tangan menutup mulut;ups|wajah dengan tangan menutup mulut
🫢;wajah dengan mata terbuka dan tangan menutupi mulut;kagum|memalukan|takjub|takut|terkejut|tidak percaya|wajah dengan mata terbuka dan tangan menutupi mulut
🫣;wajah dengan mata mengintip;menatap|mengintip|terpikat|wajah dengan mata mengintip
🤫;wajah menyuruh diam;diam|jangan berisik|ssst|sst|wajah menyuruh diam
🤔;wajah berpikir;berpikir|mikir|muka|pikir|wajah
🫡;wajah memberi hormat;cerah|hormat|oke|tentara|wajah memberi hormat|ya
🤐;wajah dengan mulut tertutup rapat;muka|mulut|rapat|tertutup|wajah|wajah dengan mulut tertutup rapat
🤨;wajah dengan alis terangkat;ragu|skeptis|tidak percaya|wajah dengan alis terangkat
😐;wajah netral;datar|muka|netral|wajah
😑;wajah tanpa ekspresi;datar|ekspresi|lempeng|muka|tanpa|wajah
😶;wajah tanpa mulut;diam|muka|mulut|tenang|wajah|wajah tanpa mulut
🫥;wajah dengan garis titik-titik;introvert|menghilang|sembunyikan|tak terlihat|tertekan|wajah dengan garis titik-titik
😶‍🌫️;wajah di awan;kepala di awan|linglung|wajah di awan|wajah di kabut
😏;wajah tersenyum sombong;seringai|wajah|wajah menyeringai|wajah tersenyum sombong
😒;wajah bosan;bosan|muka|wajah
🙄;wajah dengan mata ke atas;atas|berputar|mata|muka|wajah|wajah dengan mata ke atas
😬;wajah menyeringai;menyeringai|muka|seringai|wajah
😮‍💨;wajah mengembuskan napas;berbisik|bersiul|lega|mengembuskan napas|mengerang|terengah-engah|wajah mengembuskan napas
🤥;bohong;bohong|muka|pinokio|wajah
🫨;wajah gemetar;bergetar|gemetar|gempa bumi|terkejut|wajah
🙂‍↔️;kepala bergeleng;geleng|kepala bergeleng|tidak
🙂‍↕️;kepala mengangguk;angguk|kepala mengangguk|ya
😌;wajah lega;lega|muka|wajah
😔;wajah merenung;muka|murung|sedih|termenung|wajah|wajah merenung
😪;wajah mengantuk;muka|ngantuk|wajah|wajah mengantuk
🤤;ngiler;ngiler|pengen|wajah
😴;wajah tidur;muka|tidur|wajah|zzz
😷;wajah bermasker;dokter|flu|masker|sakit|wajah|wajah bermasker
🤒;wajah bertermometer;muka|sakit|termometer|wajah|wajah bertermometer
🤕;wajah diperban di kepala;cedera|luka|muka|perban|wajah|wajah diperban di kepala
🤢;mual;mual|muka|muntah|wajah
🤮;wajah muntah;muntah|sakit|wajah muntah
🤧;bersin;bersin|muka|wajah
🥵;wajah kepanasan;berkeringat|demam|kepanasan|muka merah|panas|wajah kepanasan
🥶;wajah kedinginan;es|kedinginan|menggigil|radang dingin|wajah biru|wajah kedinginan
🥴;wajah pusing karena mabuk;agak mabuk|mabuk|mata miring|mulut keriting|pusing|wajah pusing karena mabuk
😵;wajah pusing;muka|pusing|wajah
😵‍💫;wajah dengan mata berputar;masalah|pusing|spiral|terhipnotis|wajah dengan mata berputar|wow
🤯;kepala meledak;kaget|kepala meledak|takjub|terkejut
🤠;wajah koboi;cowboy|cowgirl|koboi|topi|wajah koboi
🥳;wajah pesta;perayaan|pesta|terompet|topi|wajah pesta
🥸;wajah menyamar;hidung|kacamata|menyamar|penyamaran|wajah
😎;wajah berkacamata hitam;kacamata hitam|keren|matahari|pintar|wajah|wajah berkacamata hitam|wajah tersenyum memakai kacamata
🤓;wajah kutu buku;buku|kutu|muka|wajah
🧐;wajah dengan monokel;pengap|sesak|wajah dengan monokel
😕;wajah bingung;bingung|muka|wajah
🫤;wajah dengan mulut diagonal;kecewa|meh|skeptis|tidak yakin|wajah dengan mulut diagonal
😟;wajah cemas;cemas|khawatir|kuatir|muka|wajah
🙁;wajah agak cemberut;cemberut|muka|wajah|wajah agak cemberut
☹️;wajah cemberut;cemberut|muka|wajah
😮;wajah dengan mulut terbuka;muka|mulut|simpati|terbuka|wajah|wajah dengan mulut terbuka
😯;wajah hening;kaget|muka|terdiam|terkejut|wajah|wajah hening
😲;wajah terpukau;kaget|muka|takjub|terkejut|terpukau|wajah
😳;wajah tersipu;muka|tersipu|wajah
🥺;wajah memelas;kasihan|mata memelas|memohon|wajah memelas
🥹;wajah menahan air mata;bangga|marah|menangis|menolak|sedih|wajah menahan air mata
😦;wajah mengerutkan kening dengan mulut terbuka;cemberut|muka|mulut|nganga|terbuka|wajah|wajah mengerutkan kening dengan mulut terbuka
😧;wajah menderita;menderita|merana|muka|sengsara|wajah
😨;wajah ketakutan;muka|ngeri|seram|takut|wajah|wajah ketakutan
😰;wajah ketakutan berkeringat;biru|buru-buru|dingin|keringat|wajah|wajah ketakutan berkeringat|wajah ketakutan dengan keringat
😥;wajah kecewa namun lega;fiuh|kecewa|lega|muka|wajah|wajah kecewa namun lega
😢;wajah menangis;air|mata|muka|nangis|sedih|wajah|wajah menangis
😭;wajah menangis keras;bombay|muka|nangis|sedih|tersedu-sedu|wajah|wajah menangis keras
😱;wajah sangat ketakutan;berteriak|ketakutan|mengunyah|takut|wajah|wajah sangat ketakutan
😖;wajah stres;gelisah|muka|pusing|wajah|wajah stres
😣;wajah tidak setuju;muka|ngotot|wajah|wajah tidak setuju
😞;wajah kecewa;kecewa|wajah
😓;wajah berkeringat;dingin|keringat|muka|wajah|wajah berkeringat
😩;wajah terlalu lelah;capek|lelah|muka|wajah|wajah terlalu lelah
😫;wajah kelelahan;capek|lelah|muka|wajah|wajah kelelahan
🥱;wajah menguap;bosan|lelah|menguap|wajah menguap
😤;wajah bersungguh-sungguh;menang|muka|niat|wajah|wajah bersungguh-sungguh
😡;wajah sangat marah;marah|merah|muka|ngamuk|wajah|wajah sangat marah
😠;wajah marah;marah|muka|wajah
🤬;wajah dengan simbol pada mulut;mengumpat|ngamuk|wajah dengan simbol pada mulut
😈;wajah tersenyum bertanduk;dongeng|fantasi|muka|senyum|tanduk|wajah|wajah tersenyum bertanduk
👿;wajah marah dengan tanduk;belis|fantasi|iblis|muka|setan|wajah marah bertanduk|wajah marah dengan tanduk
💀;tengkorak;dongeng|mati|mayat|monster|muka|tengkorak|wajah
