# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ihu ọchị;ihu|ọchị
😃;Ihu Amụ Nwere Ọnụ Ghe oghe;amụ|ihu|Ihu Amụ Nwere Ọnụ Ghe oghe|mmepe|ọnụ
😄;ihu amụ nwere mmepe ọnụ &amp; anya amụ;amụ|anya|ihu|ihu amụ nwere mmepe ọnụ &amp; anya amụ|mmepe|ọnụ
😁;ihu ọchị nwere anya amụ;amụ|anya|ihu|ihu ọchị nwere anya amụ|ọchị
😆;ihu amụ nwere mmepe ọnụ &amp; anya mechiri emechi;amụ|ihu|ihu amụ nwere mmepe ọnụ &amp; anya mechiri emechi|mmepe|nwere afọ ojuju|ọchị|ọnụ
😅;ihu amụ nwere mmepe ọnụ &amp; okpofufu oyi;amụ|ihu|ihu amụ nwere mmepe ọnụ &amp; okpofufu oyi|mmepe|okpofufu|oyi
🤣;na-atụgharị n’ala na-achị ọchị;ihu|n’ala|na-achị ọchị|na-atụgharị|na-atụgharị n’ala na-achị ọchị
😂;ihu nwere anya mmiri nke aṅụrị;aṅụrị|anya mmiri|ihu|ihu nwere anya mmiri nke aṅụrị
🙂;nwa obere ihu na-amụ amụ;amụ|ihu|nwa obere ihu na-amụ amụ
🙃;ihu nsụgharị-isi n’ala;ihu|ihu nsụgharị-isi n’ala|nsụgharị-isi n’ala
🫠;ihu agbaze;igbari|ihu agbaze|mmiri mmiri|pụọ|Vote ihu agbaze
😉;Ihu na-atabi anya;ihu|Ihu na-atabi anya|ntabiri anya
😊;ihu amụ nwere anya amụ;amụ|anya|ihu|ihu amụ nwere anya amụ|ọtanjele
😇;ihu amụ nwere okirikiri okụ;akụkọ èroro ero|akụkụ|amụ|dị ọcha|ihu|ihu amụ nwere okirikiri okụ|mụọ mma|okirikiri ọkụ
🥰;ihu nwere obi;ihu nwere obi
😍;ihu amụ nwere anya-obi ọcha;amụ n’anya|anya|hụrụ|ihu|ihu amụ nwere anya-obi ọcha
🤩;kpakpando-mere;anya|ihu|ihu ọchị|kpakpando|kpakpando-mere
😘;ihu dị mma nsusò ọnụ;ihu|ihu dị mma nsusò ọnụ|nsusò ọnụ
😗;ihu nsusò ọnụ;ihu|ihu nsusò ọnụ|nsusò ọnụ
☺️;ihu na-amụ amụ;amụ|edepụtara|ihu|ihu na-amụ amụ|zuru ike
😚;ihu nsusò ọnụ emechiri anya;anya|ihu|ihu nsusò ọnụ emechiri anya|mechiri|nsusò ọnụ
😙;Ihu Na-Eme Nsusu Nwere Anya Amụ;amụ|anya|ihu|Ihu Na-Eme Nsusu Nwere Anya Amụ|nsusò ọnụ
🥲;ihu na-amụ amụ nwere anya mmirị;ekele|ihu na-amụ amụ nwere anya mmirị|nganga|obi iru ala
😋;ihu nri dị ezigbo ụtọ;amụ|dị ezigbo ụtọ|ihu|ihu nri dị ezigbo ụtọ|mara mma|um|yum
😛;ihu nwere mmipụta ire;ihu|ihu nwere mmipụta ire|mmipụta ire
😜;ihu nwere mmipụta ire &amp; ntaji anya;anya|ihu|ihu nwere mmipụta ire &amp; ntaji anya|ire|njakịrị|ntaji
🤪;ihu ara;anya|ihu ara|nnukwu|obere
😝;ihu nwere mmipụta ire &amp; nwere mmechi anya;anya|ihu|ihu nwere mmipụta ire &amp; nwere mmechi anya|ire|mmetụta|ọjọọ
🤑;Ihu ọnụ-ego;ego|ihu|Ihu ọnụ-ego|ọnụ
🤗;ihu mmakọ̀;ihu|ihu mmakọ̀|mmakọ|na-amakọ
🤭;ihu n’iji aka mechie ọnụ;ihu mwute|ihu n’iji aka mechie ọnụ
🫢;ihu mwute;egwu|ihu|ihu mwute|ijuanya|ime ihere|tụrụ anya mwute
🫣;ihu anya inyocha;dọọrọ mmasị ya|ihu anya inyocha|ile anya
🤫;ihu mechie onụ;ihu mechie onụ|mmechiọnụ|nwayọ
🤔;ihu na-eche echiche;ihu|ihu na-eche echiche|na-eche echiche
🫡;ihu na-ekele;ekele|ihu na-ekele
🤐;ihu mgbachi ọnụ;ihu|mgbachi|ọnụ
🤨;ihu weliri anya elu;enweghị ntụkwasịobi|ihu weliri anya elu|uche ọma
😐;ihu nkịtị;ihu|ihu nkịtị|ike ọgwụgwụ|nnọnetiti
😑;ihu enweghị ngosipụta;egosipụtaghị|emeghị ngosipụta|enweghị ngosipụta|ihu|ihu enweghị ngosipụta
😶;ihu enweghị ọnụ;ihu|ihu enweghị ọnụ|nwayọ|ọnụ
🫥;ihu;anaghị ahu anya|dara mbà n’obi|ihu|onye néme ihere|pụọ|zoó
😶‍🌫️;ihu nọ n’ígwé;gbara nkịtị|ihu nọ n’ígwé|ihu nọ n’urukpuru|isi nọ n’ígwé
😏;ihu na-eme nka ọchị;ihu|ihu na-eme nka ọchị|nka ọchị
😒;uhu atọghị ọchị;atọghị ọchị|enweghị obi aṅụrị|ihu|uhu atọghị ọchị
🙄;ihu nwere kpụrụkpụrụ anya na-akpọgharị akpọgharị;anya|ihu|ihu nwere kpụrụkpụrụ anya na-akpọgharị akpọgharị|na-akpọgharị
😬;ihu ntachị anya;ihu|ihu ntachị anya|ntachi anya
😮‍💨;ihu na-ekuda ume;ịfụ ụfụ|ihu na-ekuda ume|ijuanya|isu ude|nkuda ume|ntakwu|obi iru ala
🤥;Ihu asị;gosiri|ihu|Ihu asị|mgbagwojuanya
🫨;ihu na-ama jijiji;ala ọma jijiji|ihu|ihu na-ama jijiji|na-ama jijiji|ujo
🙂‍↔️;efufe isi site n’aka nri ga n’aka ekpe;anaghị|efufe|efufe isi site n’aka nri ga n’aka ekpe
🙂‍↕️;ekwe n’isi site n’elu ga n’ala;ee|ekwe n’isi|ekwe n’isi site n’elu ga n’ala
😌;ihu nnwere onwe;ihu|ihu nnwere onwe|nnwere onwe
😔;ihu echiche;ajụrụ ajụ|ihu|ihu echiche|nọ n’echiche
😪;ihu anya ụra;ihu|ihu anya ụra|ụra
🤤;ihu na-agụsị asọ mmiri;ihu|ihu na-agụsị asọ mmiri|na-agụsị asọ mmiri
😴;ihu na-ehi ụra;ihu|ihu na-ehi ụra|ụra|zzz
😷;ihu nwere mkpuchi ihu ngwaọrụ ụlọ ọgwụ;dọkịta|ihu|ihu nwere mkpuchi ihu ngwaọrụ ụlọ ọgwụ|mkpuchi|ọgwụ|onye ọrịa|oyi
🤒;ihu nwere ngwa ogologo;ihu|ihu nwere ngwa ogologo|ngwa ogologo|onye|ọrịa
🤕;ihu nwere akwà mkpuchi;ahụ|akwà mkpuchi|ihu|ihu nwere akwà mkpuchi|mmerụ
🤢;ihu nkoropu;agbọọ|ihu|nkoropu
🤮;ihu na-agbọ agbọ;ihu na-agbọ agbọ|ọgbụgbọ|ọrịa
🤧;ihu nfụkọ;gesundheit|ihu|ihu nfụkọ|ntụfọ
🥵;ihu ọkụ;ahụ ọkụ|ihu ọkụ|ihu uhie|ikpo ọkụ|ọkụ|ọsụsọ
🥶;ihu oyi;ihu na-acha anụnụ anụnụ|ihu oyi|oyi
🥴;ihu kpọrọ asị;anya mmanya na-egbu egbu|ihu kpọrọ asị
😵;ihu ajụ;ajụ|ihu
😵‍💫;ihu nwere anya na-agba gburugburu;ajụ|ihu nwere anya na-agba gburugburu|mmegharị anya|na-agba gburugburu|nsogbu|whoa
🤯;isi mere nkụwa;ihe atụghị anya ya|isi mere nkụwa
🤠;ihu okpu onye ọchụụ nnama;ihu|ihu okpu onye ọchụụ nnama|nwanyị ọchụụ nnama|nwoke ọchụụ nnama|okpu
🥳;ihu oriri na mmanya;ememe|ihu oriri na mmanya|okpu
🥸;ihu nwogharia;enyo anya|ihu|ihu nwogharia|imi
😎;ihu amụ nwere ugogbe anya anyanwụ;amụ|anya|anyanwụ|dị mma|ihu|ihu amụ nwere ugogbe anya anyanwụ|ile anya|ugogbe anya
🤓;ihu eze ọchị;eze|ihu|ọchị
🧐;ihu nwere ahụọnụ;enweghị ezigbo ìkùkù|ihu nwere ahụọnụ
😕;ihu mgbagwoju anya;ihu|ihu mgbagwoju anya|mgbagwoju anya
🫤;ihu nwere onụ ufodụ;ihu nwere onụ ufodụ|imechụ ihu
