[smileys_emotion]
😀;glottandi andlit;andlit|glott|glottandi andlit
😃;brosandi andlit með opinn munn;andlit|bros|brosandi andlit með opinn munn|brosandi andlit með stórum augum|opinn munnur
😄;hlæjandi andlit;andlit|bros|bros og opinn munnur|hlæja|hlæjandi andlit
😁;glottandi andlit með brosandi augum;andlit|glottandi andlit|glottandi andlit með brosandi augum|hlæja
😆;brosandi andlit með pírð augu;ánægja|andlit|bros|brosandi andlit með pírð augu|brosandi andlit og pírð augu
😅;bros og kaldur sviti;andlit|bros|bros og kaldur sviti|brosandi sveitt andlit|sviti
🤣;veltist um af hlátri;hlátur|veltast|veltist um af hlátri
😂;andlit tárast af gleði;andlit|andlit tárast af gleði|gleðitár
🙂;milt bros;andlit|bros|milt bros
🙃;andlit á hvolfi;á hvolfi|andlit|andlit á hvolfi
🫠;andlit að bráðna;andlit að bráðna|bræða|hverfa|leysa upp|vökvi
😉;blikkandi andlit;andlit|blikk|blikkandi andlit
😊;bros;andlit|bros|brosandi andlit og augu|brosandi augu
😇;brosandi andlit með geislabaug;andlit|bros|bros og geislabaugur|brosandi andlit með geislabaug|geislabaugur
🥰;brosandi andlit með hjörtum;aðdáun|ástfangin|ástfanginn|brosandi andlit með hjörtum|skotinn í
😍;brosandi andlit með hjartalaga augu;andlit|ást|augu|bros|brosandi andlit með hjartalaga augu
🤩;stjörnustjarfur;andlit|augu|brosandi|stjarna|stjörnustjarfur
😘;kveðjukoss;andlit|kasta kossi|koss|kveðjukoss|kyssa
😗;kyssandi andlit;andlit|koss|kyssa|kyssandi andlit
☺️;broskarl;andlit|bros|brosandi andlit|broskall|broskarl
😚;kyssandi andlit með lokuð augu;andlit|augu|koss|kyssandi andlit með lokuð augu|kyssandi andlit og lokuð augu
😙;kyssa og brosa;andlit|koss og bros|kyssa og brosa|kyssandi og brosandi andlit
🥲;brosandi andlit með tár;ánægja|bros|brosandi andlit með tár|snortið|stolt|tár|þakklæti
😋;andlit að njóta matar;andlit|andlit að njóta matar|góður matur
😛;tunga út;andlit|andlit að ulla|tunga út|ulla
😜;blikkarl með útrétta tungu;andlit|auga|blikkandi auga að ulla|blikkarl með útrétta tungu|brandari|tunga
🤪;sturlað andlit;auga|lítið|stórt|sturlað andlit
😝;oj;andlit|andlit að ulla og pírð augu|auga|hryllingur|oj|tunga
🤑;andlit með peningaseðil í munninum;andlit|andlit með peningaseðil í munninum|munnur|peningaseðill
🤗;faðmandi andlit;andlit|faðmandi andlit|faðmar|faðmlag
🤭;andlit með hendi fyrir munn;andlit með hendi fyrir munn|úps
🫢;andlit með opin augu og hendi yfir munni;andlit með opin augu og hendi yfir munni|furða|hræddur|lotning|undrun|vandræðalegur|vantrú
🫣;andlit með auga að kíkja;andlit með auga að kíkja|heillaður|kíkja|stara
🤫;andlit að segja uss;andlit að segja uss|suss|uss|þögn
🤔;hugsandi andlit;andlit|hugsandi
🫡;andlit að heilsa;andlit að heilsa|herlið|hylla|í lagi|já|sólríkt
🤐;andlit með rennilás fyrir munninum;andlit|andlit með rennilás fyrir munninum|munnur|rennilás
🤨;andlit með yppta brún;andlit með yppta brún|efasemdir|hissa|vantraust
😐;hlutlaust andlit;andlit|hlutlaust andlit|hlutleysi
😑;svipbrigðalaust andlit;andlit|engin svipbrigði|svipbrigðalaust andlit
😶;andlit án munns;andlit|andlit án munns|enginn munnur
🫥;punktalínuandlit;fela|hverfa|innhverfur|ósýnilegur|punktalínuandlit|þunglyndur
😶‍🌫️;andlit í skýjum;andlit í skýjum|andlit í þoku|annarshugar|höfuð í skýjum
😏;sjálfsánægt andlit;andlit|glott|sjálfsánægt andlit
😒;engin gleði;andlit|ekki skemmt|engin gleði|fýla
🙄;ranghvolfir augum;andlit|augu|ranghvolfir|ranghvolfir augum
😬;gretta;andlit|andlit með grettu|gretta
😮‍💨;andlit að anda frá sér;andköf|andlit að anda frá sér|blístur|hvísl|léttir|stuna|útöndun
🤥;lygari;andlit|gosi|ljúga|lygari|lygi
🫨;skjálfandi andlit;andlit|hristingur|jarðskjálfti|sjokk|skjálfandi andlit|skjálfti
🙂‍↔️;hristir höfuðið lárétt;hrista höfuð|hristir höfuðið lárétt|nei
🙂‍↕️;hristir höfuðið lóðrétt;hristir höfuðið lóðrétt|já|kinka kolli
😌;andlit sem er létt;andlit|andlit sem er létt|léttir
😔;íbyggið andlit;andlit|í þungum þönkum|íbyggið andlit
😪;syfjað andlit;andlit|syfja|syfjað andlit
🤤;slefandi;andlit|slefa|slefandi
😴;sofandi;andlit|sofandi
😷;andlit með grímu;andlit|andlit með grímu|andlit með læknagrímu|gríma|kalt|veikindi
🤒;andlit með hitamæli í munninum;andlit|andlit með hitamæli í munninum|hitamælir|með flensu|veikur
🤕;andlit með sárabindi;andlit|andlit með sárabindi|meiddur|sárabindi|slasaður
🤢;gubbukall;andlit|gubba|gubbukall|ógleði
🤮;ælandi andlit;æla|ælandi andlit|veikindi
🤧;hnerrandi andlit;andlit|hnerra|hnerrandi andlit|hnerri|kvef
🥵;heitt;heitt|með hita|rauður í framan|sólstingur|sviti
🥶;kalt;blár í framan|frostbit|grýlukerti|ískalt|kalt
🥴;ringlað andlit;hlykkjóttur munnur|ójöfn augu|ölvun|ringlað andlit|svima|víma
😵;svimi;andlit|andlit með svima|svimi
😵‍💫;andlit með gormaugu;andlit með gormaugu|dáleiddur|gormur|hægan|svimar|vandræði
🤯;splundrað höfuð;splundrað höfuð
🤠;kúreki;hattur|kúreki
🥳;partíandlit;fagna|flauta|hattur|partí|partíandlit
🥸;dulargervi;andlit|dulargervi|gleraugu|nef|óþekkjanlegt
😎;brosandi andlit með sólgleraugu;bjart|brosandi andlit með sólgleraugu|brosandi andlit með sólgleraugum|sól|sólgleraugu|svalt
🤓;nördaandlit;andlit|lúði|nörd|nördaandlit
🧐;andlit með einglyrni;andlit með einglyrni|gamaldags|teprulegur
😕;ruglingslegt andlit;andlit|ringlað andlit|ringlun|ruglingslegt andlit
🫤;andlit með skáhallan munn;andlit með skáhallan munn|efins|óspennandi|óviss|vonsvikinn
😟;áhyggjufullt andlit;áhyggjufullt andlit|áhyggjur|andlit
🙁;andlit með litla skeifu;andlit|andlit með litla skeifu|skeifa
☹️;andlit með stóra skeifu;andlit|andlit með stóra skeifu|skeifa
😮;andlit með opinn munn;andlit|andlit með opinn munn|munnur|opinn munnur
😯;undrandi andlit;andlit|undrandi|undrun
😲;stórundrandi andlit;andlit|stórundrandi andlit|undrandi|undrun
😳;andlit að roðna;andlit|andlit að roðna|roðna
🥺;biðjandi andlit;biðjandi andlit|grátbiðja|hvolpaaugu|miskunn
🥹;andlit að berjast við tárin;andlit að berjast við tárin|dapur|gráta|reiður|stoltur|streitast á móti
😦;leitt andlit;andlit|leiði|leitt andlit|leitt andlit opinn munn|opinn munnur
😧;angistarfullt andlit;andlit|angist|angistarfullt andlit|kvalir
😨;hrætt andlit;andlit|hræðsla|hrætt andlit|ótti
😰;sveitt andlit;andlit|kaldur sviti|sveitt andlit|sviti
😥;léttir;andlit|hjúkk|léttir
😢;grátandi andlit;andlit|depurð|grátandi andlit|grátur|tár
😭;hágrátandi andlit;andlit|grátandi andlit|grátur|hágrátandi andlit|sorg|tár
😱;óttaslegið andlit;andlit|hræðsla|öskra af ótta|óttaslegið andlit|ótti
😖;forviða andlit;andlit|forviða
😣;klúður;andlit|erfiðleikar|klúður
😞;vonbrigði;andlit|vonbrigðaandlit|vonbrigði
😓;kaldur sviti;andlit|andlit með köldum svita|kaldur sviti
😩;þreytulegt andlit;andlit|þreyta|þreytulegt andlit
😫;þreytt andlit;andlit|þreyta|þreytt andlit
🥱;geispandi andlit;geispa|geispandi andlit|leiðindi|þreyta
😤;sigursvipur;andlit|ég vann|sigur|sigursvipur
😡;fýlulegt andlit;andlit|fýlulegt andlit|rautt andlit|rautt reiðiandlit|reiði
😠;reitt andlit;andlit|reiðiandlit|reitt andlit
🤬;andlit með tákn fyrir munni;andlit með tákn fyrir munni|blóta|reiði
😈;broskarl með horn;andlit|bros|bros og horn|broskarl með horn|horn
👿;púki;andlit|djöfull|púki|skratti
💀;hauskúpa;ævintýri|andlit|hauskúpa|líkami
☠️;hauskúpa og beinleggir;andlit|beinleggir|dauði|hauskúpa og beinleggir|höfuðkúpa
💩;kúkur;della|kúkur|skítur
🤡;trúður;andlit|trúður
👹;tröll;ævintýri|andlit|oni|tröll|vera
👺;ári;ævintýri|andlit|ári|púki|tröll
👻;draugur;ævintýri|andlit|draugur
👽;geimvera;ævintýri|andlit|geimskip|geimvera|skrímsli
👾;geimveruskrímsli;ævintýri|andlit|geimskip|geimveruskrímsli|skrímsli
🤖;vélmennisandlit;andlit|skrímsli|vélmenni|vélmennisandlit
😺;hlæjandi köttur;bros|brosandi köttur með opinn munn|hlæjandi köttur|köttur|opinn munnur
😸;glottandi köttur;glott|glottandi köttur|köttur|köttur með glott
😹;köttur með gleðitár;gleðitár|köttur|köttur með gleðitár
😻;brosandi köttur;andlit|ást|ástarköttur|brosandi köttur|brosandi köttur og hjartalaga augu|köttur
😼;lúmskur köttur;glott|glottandi köttur|köttur|lúmskur köttur|lymska
😽;kyssandi köttur;andlit|auga|koss|köttur|kyssandi köttur
🙀;hnugginn köttur;andlit|hissa|hnugginn köttur|köttur|óvænt|undrandi
😿;grátandi köttur;grátandi|grátur|köttur
😾;köttur í fýlu;fýla|fýluköttur|köttur|köttur í fýlu
🙈;api heldur fyrir augu;api|api heldur fyrir augu|bannað|illska|má ekki sjá
🙉;api heldur fyrir eyru;api|api heldur fyrir eyru|illska|má ekki heyra
🙊;api heldur fyrir munn;api|api heldur fyrir munn|illska|má ekki tala
💌;ástarbréf;ástarbréf|bréf|bréf með hjarta|hjarta|rómantík
💘;hjarta með ör;ást|hjarta|hjarta með ör|ör|tilfinningar
💝;hjarta með slaufu;hjarta|hjarta með slaufu|slaufa|tilfinningar|valentínusardagurinn
💖;glitrandi hjarta;æsingur|ást|glitrandi|glitrandi hjarta|tilfinningar
💗;stækkandi hjarta;ást|púls|spenna|stækkandi hjarta|taugaspenna
💓;hjartsláttur;ást|hjarta|hjartsláttur|sláttur|tilfinningar
💞;snúningshjörtu;ást|hjarta|snúningshjörtu
💕;tvö hjörtu;ást|elskendur|tilfinningar|tvö hjörtu
💟;skraut með hjarta;hjarta|skraut með hjarta
❣️;hjarta sem upphrópunarmerki;greinarmerki|hjarta|hjarta sem upphrópunarmerki|merki|upphrópunarmerki
💔;brostið hjarta;ástarsorg|brostið|hjarta
❤️‍🔥;logandi hjarta;ást|brenna|girnd|heilagt hjarta|hjarta|logandi hjarta
❤️‍🩹;hjarta að gróa;heilbrigðari|hjarta að gróa|hress|jafna sig|lagast|ná sér|skána
❤️;rautt hjarta;hjarta|rautt hjarta
🩷;bleikt hjarta;ást|bleikt|hjarta|krútt|sætt
🧡;appelsínugult hjarta;appelsínugult|hjarta|tilfinningar
💛;gult hjarta;gult|hjarta|tilfinningar
💚;grænt hjarta;grænt|hjarta|tilfinningar
💙;blátt hjarta;blátt|hjarta|tilfinningar
🩵;ljósblátt hjarta;blágrænn|hjarta|ljósblár|ljósblátt hjarta|sægrænn
💜;fjólublátt hjarta;fjólublátt|hjarta|tilfinningar
🤎;brúnt hjarta;brúnt|hjarta
🖤;svart hjarta;hjarta|illt innræti|svart hjarta|svartur
🩶;grátt hjarta;blágrár|grátt|hjarta|silfur
🤍;hvítt hjarta;hjarta|hvítt
💋;kossafar;koss|kossafar|rómantík|varir
💯;fullt hús;100|fullt hús|stig
💢;reiði;reiði|reiðitákn|reiður|skrípó|tilfinningar
💥;árekstur;árekstrartákn|árekstur|skrípó|tilfinningar
💫;ringlaður;ringlaður|sjá stjörnur|skrípó|stjörnur|tilfinningar
💦;svitadropar;skrípó|svitadropar|sviti|tilfinningar
💨;hraðferð;flýja|hlaupa|hraðferð|skrípó|tilfinningar
🕳️;hola;hola|op
💬;talblaðra;blaðra|skrípó|tala|talblaðra
👁️‍🗨️;auga í talblöðru;auga|auga í talblöðru|samræða|sjá|talblaðra
🗨️;vinstri talblaðra;ræða|samræða|vinstri talblaðra
🗯️;reiðileg hægri talblaðra;blaðra|bóla|reiðileg hægri talblaðra|reiður
💭;hugsanablaðra;blaðra|hugsa|hugsanablaðra|skrípó
💤;þreyta;hrotur|skrípó|sofandi|zzz|þreyta

[people_body]
👋;hönd veifar;hönd|hönd veifar|veifa
	👋🏻;hönd veifar: ljós húðlitur;hönd|hönd veifar|hönd veifar: ljós húðlitur|ljós húðlitur|veifa
	👋🏼;hönd veifar: meðalljós húðlitur;hönd|hönd veifar|hönd veifar: meðalljós húðlitur|meðalljós húðlitur|veifa
	👋🏽;hönd veifar: millihúðlitur;hönd|hönd veifar|hönd veifar: millihúðlitur|millihúðlitur|veifa
	👋🏾;hönd veifar: meðaldökkur húðlitur;hönd|hönd veifar|hönd veifar: meðaldökkur húðlitur|meðaldökkur húðlitur|veifa
	👋🏿;hönd veifar: dökkur húðlitur;dökkur húðlitur|hönd|hönd veifar|hönd veifar: dökkur húðlitur|veifa
🤚;upprétt hönd;hönd|lófi|upprétt
	🤚🏻;upprétt hönd: ljós húðlitur;hönd|ljós húðlitur|lófi|upprétt|upprétt hönd: ljós húðlitur
	🤚🏼;upprétt hönd: meðalljós húðlitur;hönd|lófi|meðalljós húðlitur|upprétt|upprétt hönd: meðalljós húðlitur
	🤚🏽;upprétt hönd: millihúðlitur;hönd|lófi|millihúðlitur|upprétt|upprétt hönd: millihúðlitur
	🤚🏾;upprétt hönd: meðaldökkur húðlitur;hönd|lófi|meðaldökkur húðlitur|upprétt|upprétt hönd: meðaldökkur húðlitur
	🤚🏿;upprétt hönd: dökkur húðlitur;dökkur húðlitur|hönd|lófi|upprétt|upprétt hönd: dökkur húðlitur
🖐️;upprétt hönd með glennta fingur;fingur|glennt|hönd|líkami|upprétt hönd með glennta fingur
	🖐🏻;upprétt hönd með glennta fingur: ljós húðlitur;fingur|glennt|hönd|líkami|ljós húðlitur|upprétt hönd með glennta fingur|upprétt hönd með glennta fingur: ljós húðlitur
	🖐🏼;upprétt hönd með glennta fingur: meðalljós húðlitur;fingur|glennt|hönd|líkami|meðalljós húðlitur|upprétt hönd með glennta fingur|upprétt hönd með glennta fingur: meðalljós húðlitur
	🖐🏽;upprétt hönd með glennta fingur: millihúðlitur;fingur|glennt|hönd|líkami|millihúðlitur|upprétt hönd með glennta fingur|upprétt hönd með glennta fingur: millihúðlitur
	🖐🏾;upprétt hönd með glennta fingur: meðaldökkur húðlitur;fingur|glennt|hönd|líkami|meðaldökkur húðlitur|upprétt hönd með glennta fingur|upprétt hönd með glennta fingur: meðaldökkur húðlitur
	🖐🏿;upprétt hönd með glennta fingur: dökkur húðlitur;dökkur húðlitur|fingur|glennt|hönd|líkami|upprétt hönd með glennta fingur|upprétt hönd með glennta fingur: dökkur húðlitur
✋;lófi;lófi|upprétt hönd
	✋🏻;lófi: ljós húðlitur;ljós húðlitur|lófi|lófi: ljós húðlitur|upprétt hönd
	✋🏼;lófi: meðalljós húðlitur;lófi|lófi: meðalljós húðlitur|meðalljós húðlitur|upprétt hönd
	✋🏽;lófi: millihúðlitur;lófi|lófi: millihúðlitur|millihúðlitur|upprétt hönd
	✋🏾;lófi: meðaldökkur húðlitur;lófi|lófi: meðaldökkur húðlitur|meðaldökkur húðlitur|upprétt hönd
	✋🏿;lófi: dökkur húðlitur;dökkur húðlitur|lófi|lófi: dökkur húðlitur|upprétt hönd
🖖;vulcan-kveðja;fingur|hendi|kveðja|spock|vulcan-kveðja|vúlkan
	🖖🏻;vulcan-kveðja: ljós húðlitur;fingur|hendi|kveðja|ljós húðlitur|spock|vulcan-kveðja|vulcan-kveðja: ljós húðlitur|vúlkan
	🖖🏼;vulcan-kveðja: meðalljós húðlitur;fingur|hendi|kveðja|meðalljós húðlitur|spock|vulcan-kveðja|vulcan-kveðja: meðalljós húðlitur|vúlkan
	🖖🏽;vulcan-kveðja: millihúðlitur;fingur|hendi|kveðja|millihúðlitur|spock|vulcan-kveðja|vulcan-kveðja: millihúðlitur|vúlkan
	🖖🏾;vulcan-kveðja: meðaldökkur húðlitur;fingur|hendi|kveðja|meðaldökkur húðlitur|spock|vulcan-kveðja|vulcan-kveðja: meðaldökkur húðlitur|vúlkan
	🖖🏿;vulcan-kveðja: dökkur húðlitur;dökkur húðlitur|fingur|hendi|kveðja|spock|vulcan-kveðja|vulcan-kveðja: dökkur húðlitur|vúlkan
🫱;hendi hægra megin;hægra megin|hægri|hendi|hendi hægra megin
	🫱🏻;hendi hægra megin: ljós húðlitur;hægra megin|hægri|hendi|hendi hægra megin|hendi hægra megin: ljós húðlitur|ljós húðlitur
	🫱🏼;hendi hægra megin: meðalljós húðlitur;hægra megin|hægri|hendi|hendi hægra megin|hendi hægra megin: meðalljós húðlitur|meðalljós húðlitur
	🫱🏽;hendi hægra megin: millihúðlitur;hægra megin|hægri|hendi|hendi hægra megin|hendi hægra megin: millihúðlitur|millihúðlitur
	🫱🏾;hendi hægra megin: meðaldökkur húðlitur;hægra megin|hægri|hendi|hendi hægra megin|hendi hægra megin: meðaldökkur húðlitur|meðaldökkur húðlitur
	🫱🏿;hendi hægra megin: dökkur húðlitur;dökkur húðlitur|hægra megin|hægri|hendi|hendi hægra megin|hendi hægra megin: dökkur húðlitur
🫲;hendi vinstra megin;hendi|hendi vinstra megin|vinstra megin|vinstri
	🫲🏻;hendi vinstra megin: ljós húðlitur;hendi|hendi vinstra megin|hendi vinstra megin: ljós húðlitur|ljós húðlitur|vinstra megin|vinstri
	🫲🏼;hendi vinstra megin: meðalljós húðlitur;hendi|hendi vinstra megin|hendi vinstra megin: meðalljós húðlitur|meðalljós húðlitur|vinstra megin|vinstri
	🫲🏽;hendi vinstra megin: millihúðlitur;hendi|hendi vinstra megin|hendi vinstra megin: millihúðlitur|millihúðlitur|vinstra megin|vinstri
	🫲🏾;hendi vinstra megin: meðaldökkur húðlitur;hendi|hendi vinstra megin|hendi vinstra megin: meðaldökkur húðlitur|meðaldökkur húðlitur|vinstra megin|vinstri
	🫲🏿;hendi vinstra megin: dökkur húðlitur;dökkur húðlitur|hendi|hendi vinstra megin|hendi vinstra megin: dökkur húðlitur|vinstra megin|vinstri
🫳;hendi með lófa niður;bægja frá|hendi með lófa niður|sleppa|stugga við
	🫳🏻;hendi með lófa niður: ljós húðlitur;bægja frá|hendi með lófa niður|hendi með lófa niður: ljós húðlitur|ljós húðlitur|sleppa|stugga við
	🫳🏼;hendi með lófa niður: meðalljós húðlitur;bægja frá|hendi með lófa niður|hendi með lófa niður: meðalljós húðlitur|meðalljós húðlitur|sleppa|stugga við
	🫳🏽;hendi með lófa niður: millihúðlitur;bægja frá|hendi með lófa niður|hendi með lófa niður: millihúðlitur|millihúðlitur|sleppa|stugga við
	🫳🏾;hendi með lófa niður: meðaldökkur húðlitur;bægja frá|hendi með lófa niður|hendi með lófa niður: meðaldökkur húðlitur|meðaldökkur húðlitur|sleppa|stugga við
	🫳🏿;hendi með lófa niður: dökkur húðlitur;bægja frá|dökkur húðlitur|hendi með lófa niður|hendi með lófa niður: dökkur húðlitur|sleppa|stugga við
🫴;hendi með lófa upp;benda|bjóða|grípa|hendi með lófa upp|koma
	🫴🏻;hendi með lófa upp: ljós húðlitur;benda|bjóða|grípa|hendi með lófa upp|hendi með lófa upp: ljós húðlitur|koma|ljós húðlitur
	🫴🏼;hendi með lófa upp: meðalljós húðlitur;benda|bjóða|grípa|hendi með lófa upp|hendi með lófa upp: meðalljós húðlitur|koma|meðalljós húðlitur
	🫴🏽;hendi með lófa upp: millihúðlitur;benda|bjóða|grípa|hendi með lófa upp|hendi með lófa upp: millihúðlitur|koma|millihúðlitur
	🫴🏾;hendi með lófa upp: meðaldökkur húðlitur;benda|bjóða|grípa|hendi með lófa upp|hendi með lófa upp: meðaldökkur húðlitur|koma|meðaldökkur húðlitur
	🫴🏿;hendi með lófa upp: dökkur húðlitur;benda|bjóða|dökkur húðlitur|grípa|hendi með lófa upp|hendi með lófa upp: dökkur húðlitur|koma
🫷;hönd ýtt til vinstri;bíddu|fimma|hafna|hönd ýtt til vinstri|stopp|til vinstri|ýta
	🫷🏻;hönd ýtt til vinstri: ljós húðlitur;bíddu|fimma|hafna|hönd ýtt til vinstri|hönd ýtt til vinstri: ljós húðlitur|ljós húðlitur|stopp|til vinstri|ýta
	🫷🏼;hönd ýtt til vinstri: meðalljós húðlitur;bíddu|fimma|hafna|hönd ýtt til vinstri|hönd ýtt til vinstri: meðalljós húðlitur|meðalljós húðlitur|stopp|til vinstri|ýta
	🫷🏽;hönd ýtt til vinstri: millihúðlitur;bíddu|fimma|hafna|hönd ýtt til vinstri|hönd ýtt til vinstri: millihúðlitur|millihúðlitur|stopp|til vinstri|ýta
	🫷🏾;hönd ýtt til vinstri: meðaldökkur húðlitur;bíddu|fimma|hafna|hönd ýtt til vinstri|hönd ýtt til vinstri: meðaldökkur húðlitur|meðaldökkur húðlitur|stopp|til vinstri|ýta
	🫷🏿;hönd ýtt til vinstri: dökkur húðlitur;bíddu|dökkur húðlitur|fimma|hafna|hönd ýtt til vinstri|hönd ýtt til vinstri: dökkur húðlitur|stopp|til vinstri|ýta
🫸;hönd ýtt til hægri;bíddu|fimma|hafna|hönd ýtt til hægri|stopp|til hægri|ýta
	🫸🏻;hönd ýtt til hægri: ljós húðlitur;bíddu|fimma|hafna|hönd ýtt til hægri|hönd ýtt til hægri: ljós húðlitur|ljós húðlitur|stopp|til hægri|ýta
	🫸🏼;hönd ýtt til hægri: meðalljós húðlitur;bíddu|fimma|hafna|hönd ýtt til hægri|hönd ýtt til hægri: meðalljós húðlitur|meðalljós húðlitur|stopp|til hægri|ýta
	🫸🏽;hönd ýtt til hægri: millihúðlitur;bíddu|fimma|hafna|hönd ýtt til hægri|hönd ýtt til hægri: millihúðlitur|millihúðlitur|stopp|til hægri|ýta
	🫸🏾;hönd ýtt til hægri: meðaldökkur húðlitur;bíddu|fimma|hafna|hönd ýtt til hægri|hönd ýtt til hægri: meðaldökkur húðlitur|meðaldökkur húðlitur|stopp|til hægri|ýta
	🫸🏿;hönd ýtt til hægri: dökkur húðlitur;bíddu|dökkur húðlitur|fimma|hafna|hönd ýtt til hægri|hönd ýtt til hægri: dökkur húðlitur|stopp|til hægri|ýta
👌;Í lagi;bending|handarmerki|Í lagi|OK|ókei
	👌🏻;Í lagi: ljós húðlitur;bending|handarmerki|Í lagi|Í lagi: ljós húðlitur|ljós húðlitur|OK|ókei
	👌🏼;Í lagi: meðalljós húðlitur;bending|handarmerki|Í lagi|Í lagi: meðalljós húðlitur|meðalljós húðlitur|OK|ókei
	👌🏽;Í lagi: millihúðlitur;bending|handarmerki|Í lagi|Í lagi: millihúðlitur|millihúðlitur|OK|ókei
	👌🏾;Í lagi: meðaldökkur húðlitur;bending|handarmerki|Í lagi|Í lagi: meðaldökkur húðlitur|meðaldökkur húðlitur|OK|ókei
	👌🏿;Í lagi: dökkur húðlitur;bending|dökkur húðlitur|handarmerki|Í lagi|Í lagi: dökkur húðlitur|OK|ókei
🤌;klípandi fingur;fingur|handahreyfing|kaldhæðni|klípa|klípandi fingur|yfirheyrsla
	🤌🏻;klípandi fingur: ljós húðlitur;fingur|handahreyfing|kaldhæðni|klípa|klípandi fingur|klípandi fingur: ljós húðlitur|ljós húðlitur|yfirheyrsla
	🤌🏼;klípandi fingur: meðalljós húðlitur;fingur|handahreyfing|kaldhæðni|klípa|klípandi fingur|klípandi fingur: meðalljós húðlitur|meðalljós húðlitur|yfirheyrsla
	🤌🏽;klípandi fingur: millihúðlitur;fingur|handahreyfing|kaldhæðni|klípa|klípandi fingur|klípandi fingur: millihúðlitur|millihúðlitur|yfirheyrsla
	🤌🏾;klípandi fingur: meðaldökkur húðlitur;fingur|handahreyfing|kaldhæðni|klípa|klípandi fingur|klípandi fingur: meðaldökkur húðlitur|meðaldökkur húðlitur|yfirheyrsla
	🤌🏿;klípandi fingur: dökkur húðlitur;dökkur húðlitur|fingur|handahreyfing|kaldhæðni|klípa|klípandi fingur|klípandi fingur: dökkur húðlitur|yfirheyrsla
🤏;klípandi hönd;klípandi hönd|lítið magn
	🤏🏻;klípandi hönd: ljós húðlitur;klípandi hönd|klípandi hönd: ljós húðlitur|lítið magn|ljós húðlitur
	🤏🏼;klípandi hönd: meðalljós húðlitur;klípandi hönd|klípandi hönd: meðalljós húðlitur|lítið magn|meðalljós húðlitur
	🤏🏽;klípandi hönd: millihúðlitur;klípandi hönd|klípandi hönd: millihúðlitur|lítið magn|millihúðlitur
	🤏🏾;klípandi hönd: meðaldökkur húðlitur;klípandi hönd|klípandi hönd: meðaldökkur húðlitur|lítið magn|meðaldökkur húðlitur
	🤏🏿;klípandi hönd: dökkur húðlitur;dökkur húðlitur|klípandi hönd|klípandi hönd: dökkur húðlitur|lítið magn
✌️;friðarmerki;friðarmerki|friður|sigur|sigurmerki
	✌🏻;friðarmerki: ljós húðlitur;friðarmerki|friðarmerki: ljós húðlitur|friður|ljós húðlitur|sigur|sigurmerki
	✌🏼;friðarmerki: meðalljós húðlitur;friðarmerki|friðarmerki: meðalljós húðlitur|friður|meðalljós húðlitur|sigur|sigurmerki
	✌🏽;friðarmerki: millihúðlitur;friðarmerki|friðarmerki: millihúðlitur|friður|millihúðlitur|sigur|sigurmerki
	✌🏾;friðarmerki: meðaldökkur húðlitur;friðarmerki|friðarmerki: meðaldökkur húðlitur|friður|meðaldökkur húðlitur|sigur|sigurmerki
