[smileys_emotion]
😀;rai ngguyu;guyu|rai|rai ngguyu
😃;rai ngguyu matane mblalak;cangkem|menga|mesem|rai|rai ngguyu matane mblalak
😄;rai ngguyu nganti merem-merem;cangkem|mata|menga|mesem|rai|rai ngguyu nganti merem-merem
😁;rai ngguyu mecengis nganti merem;mata|mecengis|mesem|rai|rai ngguyu mecengis nganti merem
😆;rai ngguyu nganti matane dhipet;cangkem|guyu|marem|mesem|rai|rai ngguyu nganti matane dhipet
😅;rai ngguyu nganti kringet tumetes;adhem|kringet|menga|mesem|rai|rai ngguyu nganti kringet tumetes
🤣;ngguyu ngakak nganti glintingan ing jogan;guyu|jogan|ngglinting|ngguyu ngakak nganti glintingan ing jogan|rai
😂;rai ngguyu nganti luhen saking bungahe;bungah|guyu|luh|rai|rai ngguyu nganti luhen saking bungahe
🙂;rai mesem;mesem|rai
🙃;rai kuwalik;kuwalik|rai
🫠;rai lebur;cairan|ilang|larut|lebur|rai lebur
😉;rai ngedhèpi;kedhèp|rai|rai ngedhèpi
😊;rai mesem matane merem;abang pipine|mata|mesem|rai|rai mesem matane merem
😇;rai mesem mawa tandha santo ing sirahe;fantasi|rai|rai mesem mawa tandha santo ing sirahe|suci|tandha santo
🥰;rai mesem mawa ati-ati manguncup;ati-ati|kesengsem|naksir|rai mesem mawa ati-ati manguncup|tumiba tresna
😍;rai mesem matane metu atine;katresnan|mata|mesem|rai|rai mesem matane metu atine
🤩;ketiban lintang;ketiban lintang|lintang|mata|ngguyu|rai
😘;rai nyebul sun;ambung|rai|rai nyebul sun
😗;rai ngambung;ambung|rai|rai ngambung
☺️;rai lagi mesem;anteng|gambar sketsa|mesem|rai|rai lagi mesem
😚;rai ngambung karo matane merem;ambung|mata|merem|rai|rai ngambung karo matane merem
😙;rai ngambung matane merem bungah;ambung|mata|mesem|rai|rai ngambung matane merem bungah
🥲;rai mesem nanging mripat luhen;bangga|luh|matur nuwun|mesem|nguculake|nyentuh|rai mesem nanging mripat luhen
😋;rai themal-themel mangan;enak|mesem|rai|rai themal-themel mangan|sedhep|themal-themel
😛;rai melet;ilat|rai|rai melet
😜;rai kedhep karo melet;guyon|kedhep|mata|melet|rai|rai kedhep karo melet
🤪;rai merat-merot;cilik|gedhe|mata|plolak-plolek|rai merat-merot
😝;rai melet matane ndhipet;mata|melet|nggilani|rai|rai melet matane ndhipet|rasane
🤑;rai mata dhuwiten;dhuwit|ijo|rai|rai mata dhuwiten
🤗;rai nyikep;nyikep|rai|sikep
🤭;rai mawa tangan nutupi cangkem;rai mawa tangan nutupi cangkem|waduh
🫢;rai mawa mata melek lan tangan nutupi cangkem;gumun|kaget|nggumun|ngisin-isini|ora percaya|rai mawa mata melek lan tangan nutupi cangkem|wedi
🫣;rai mawa mripat ngintip;kepincut|mentheleng|ngintip|rai mawa mripat ngintip
🤫;rai ngaba-aba akon meneng;hus|meneng|rai ngaba-aba akon meneng|rai ngaba-aba hus
🤔;rai mikir;mikir|rai
🫡;rai hormat;cerah|hormat|iyo|rai hormat|wadya bala|yoh
🤐;rai sing leregan lambene ditutup;cangkem|leregan|rai|rai sing leregan lambene ditutup
🤨;rai alise siji kaangkat;ora percaya|rai alise siji kaangkat|skeptis
😐;rai anteng;anteng|luweh|rai|tanpa ekspresi
😑;rai tanpa ekspresi;luweh|rai|rai tanpa ekspresi|tanpa ekspresi
😶;rai tanpa cangkem;anteng|cangkem|meneng|rai|rai tanpa cangkem
🫥;rai garis strip;ilang|introvet|nandang shungkowo|ndelik|ora ketok|rai garis strip
😶‍🌫️;rai ora dong;lalenan|rai ora dong|rai ora mudeng|sirah ora dong
😏;rai mesem ngenyek;ngenyek|rai|rai mesem ngenyek
😒;rai wegah ngguyu;anyel|rai|rai wegah ngguyu|wegah ngguyu
🙄;rai matane mlerok;mata|mlerok|rai|rai matane mlerok
😬;rai mringis mbatek;mbatek|rai|rai mringis mbatek
😮‍💨;rai ambegan lego;ambegan|lega|mbisiki|megap-megap|nglenguh|rai ambegan lego|singsot
🤥;rai ngapusi;ngapusi|pinokio|rai
🫨;rai goyang-goyang;goyang-goyang|kaget|kedher|lindhu|rai
🙂‍↔️;gedheg;gedheg|ora
🙂‍↕️;manthuk;iya|manthuk
😌;rai lega;lega|rai
😔;rai sedhih anggone mikir;kesel ati|mikir|rai|rai sedhih anggone mikir
😪;rai ngantuk;ngantuk|rai|turu
🤤;rai ileren;ngiler|rai|rai ileren
😴;rai turu;rai|turu|zzzz
😷;rai nganggo masker dhokter;dhokter|masker|mriang|rai|rai nganggo masker dhokter|watuk
🤒;rai ngemut termometer;lara|mriang|rai|rai ngemut termometer|termometer
🤕;rai sirahe dibebet;bebet|cidra|rai|rai sirahe dibebet|tatu
🤢;rai ngrasa muleg-muleg;muleg-muleg|mutah|rai|rai ngrasa muleg-muleg
🤮;rai mutah-mutah;lara|mutah|rai mutah-mutah
🤧;rai wahing;mugi gusti paring sehat|rai|wahing
🥵;rai panas;abang mbranang|kemringet|kepanasen|ndrodhog|panas|rai panas
🥶;rai katisen;atis|kadhemen|mati rasa amarga kadhemen|rai biru katisen|rai katisen
🥴;rai mendem;cangkem mlethat-mlethot|mata ora pakra|mendem|mlaku ora jejeg|mumet|rai mendem
😵;rai mumet;mumet|rai
😵‍💫;rai ngelu;alangan|hipnotis|kodisek|ngelu|ngluwer|rai ngelu
🤯;rai ndhase njeblug;njeblug ndhase|rai ndhase njeblug|tratapan
🤠;rai nganggo topi koboi;koboi lanang|koboi wadon|rai|rai nganggo topi koboi|topi
