[smileys_emotion]
😀;ಹಾಸ್ಯದ ಮುಖ;ಮುಖ|ಹಾಸ್ಯ|ಹಾಸ್ಯದ ಮುಖ
😃;ಬಾಯ್ತುಂಬಾ ನಗುತ್ತಿರುವ ನಗುಮುಖ;ತೆರೆದ|ನಗು|ಬಾಯಿ|ಬಾಯ್ತುಂಬಾ ನಗುತ್ತಿರುವ ನಗುಮುಖ|ಮುಖ
😄;ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳ ಮಂದಸ್ಮಿತ ಮುಖ;ಕಣ್ಣು|ನಗು|ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳ ಮಂದಸ್ಮಿತ ಮುಖ|ಮುಖ
😁;ನಗುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ಹೊಳೆಯುವ ಮುಖ;ಕಣ್ಣು|ನಗು|ನಗುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ಹೊಳೆಯುವ ಮುಖ|ಮುಖ|ಹಾಸ್ಯ
😆;ಮಂದಸ್ಮಿತ ಅಣಕಿಸುವ ಮುಖ;ತೃಪ್ತಿಯ|ನಗು|ಬಾಯಿ|ಮಂದಸ್ಮಿತ ಅಣಕಿಸುವ ಮುಖ|ಮುಖ
😅;ಬೆವರಿನೊಂದಿಗೆ ಮಂದಸ್ಮಿತ ಮುಖ;ತೆರೆದ|ನಗು|ಬೆವರಿನೊಂದಿಗೆ ಮಂದಸ್ಮಿತ ಮುಖ|ಬೆವರು|ಮುಖ
🤣;ಹೊರಳಾಡಿ ನಗುವುದು;ನಗು|ನೆಲ|ನೆಲದ ಮೇಲೆ ಹೊರಳಾಡಿ ನಗುವುದು|ಮುಖ|ಹೊರಳಾಡಿ ನಗುವುದು|ಹೊರಳಾಡು
😂;ಆನಂದದ ಕಣ್ಣೀರು, ಆನಂದ ಬಾಷ್ಪ;ಆನಂದ ಬಾಷ್ಪ|ಆನಂದದ ಕಣ್ಣೀರು|ಆನಂದದ ಕಣ್ಣೀರು, ಆನಂದ ಬಾಷ್ಪ|ಕಣ್ಣೀರು|ನಗು|ಮುಖ|ಸಂತೋಷ
🙂;ಸ್ವಲ್ಪ ನಗು ಮುಖ;ನಗು|ಮುಖ|ಸ್ವಲ್ಪ ನಗು ಮುಖ
🙃;ತಲೆಕೆಳಗಾದ ಮುಖ;ತಲೆಕೆಳಗಾದ ಮುಖ|ಮುಖ
🫠;ಕರಗುತ್ತಿರುವ ಮುಖ;ಕರಗಿಹೋಗು|ಕರಗು|ಕರಗುತ್ತಿರುವ ಮುಖ|ಕಾಣೆಯಾಗು|ದ್ರವ
😉;ಕಣ್ಣು ಮಿಟುಕಿಸುವ ಮುಖ;ಕಣ್ಣು ಮಿಟುಕಿಸುವ ಮುಖ|ಮಿಟುಕಿಸು|ಮುಖ
😊;ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ನಗು ಮುಖ;ಕಿರುನಗೆ ಕಣ್ಣುಗಳು|ಕಿರುನಗೆ ಮುಖ ಮತ್ತು ಕಣ್ಣುಗಳು|ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ನಗು ಮುಖ
😇;ತೇಜೋಮಂಡಲದೊಂದಿಗೆ ನಗು ಮುಖ;ತೇಜೋಮಂಡಲ|ತೇಜೋಮಂಡಲ ನಗು|ತೇಜೋಮಂಡಲದೊಂದಿಗೆ ನಗು ಮುಖ
🥰;ಹೃದಯದಿಂದ ನಗುತ್ತಿರುವ ಮುಖ;ಆರಾಧಿಸು|ಪ್ರೀತಿಯಲ್ಲಿ|ಸೆಳೆತ|ಹೃದಯಗಳು|ಹೃದಯದಿಂದ ನಗುತ್ತಿರುವ ಮುಖ
😍;ಹೃದಯದ ಕಣ್ಣುಗಳಿಂದ ನಗುವಿನ ಮುಖ;ಕಣ್ಣು|ನಗು|ಪ್ರೀತಿ|ಮುಖ|ಹೃದಯದ ಕಣ್ಣುಗಳಿಂದ ನಗುವಿನ ಮುಖ
🤩;ಸ್ಟಾರ್-ಸ್ಟ್ರಕ್;ಕಣ್ಣುಗಳು|ನಕ್ಷತ್ರ|ಮುಖ|ಸ್ಟಾರ್-ಸ್ಟ್ರಕ್|ಹಾಸ್ಯ
😘;ಮುತ್ತು ಕೊಡುತ್ತಿರುವ ಮುಖ;ಮುತ್ತು|ಮುತ್ತು ಕೊಡುತ್ತಿರುವ ಮುಖ|ಹೃದಯ
😗;ಚುಂಬಿಸುತ್ತಿರುವ ಮುಖ;ಚುಂಬನ ಮುಖ|ಚುಂಬಿಸುತ್ತಿರುವ ಮುಖ|ಚುಂಬಿಸುವ ಮುಖ|ಮುತ್ತು
☺️;ನಗು ಮುಖ;ಕಿರುನಗೆ|ಕಿರುನಗೆ ಮುಖ|ನಗು ಮುಖ|ಸಮಾಧಾನದ ಮುಖ
