[smileys_emotion]
😀;Grinsgesiicht;Gesiicht|Grinsen|Grinsgesiicht
😃;laachend Gesiicht mat oppenem Mond;Gesiicht|Laachen|laachend Gesiicht mat oppenem Mond|Mond|oppen
😄;laachend Gesiicht mat oppenem Mond a laachenden Aen;A|Gesiicht|Laachen|laachend Gesiicht mat oppenem Mond a laachenden Aen|Mond|oppen
😁;Grinsgesiicht mat laachenden Aen;A|Gesiicht|Grinsen|Grinsgesiicht mat laachenden Aen|Laachen
😆;laachend Gesiicht mat oppenem Mond an zouen Aen;Gesiicht|Laachen|laachend Gesiicht mat oppenem Mond an zouen Aen|Mond|oppen|zefridden
😅;laachend Gesiicht mat oppenem Mond a kalem Schweess;Gesiicht|kal|Laachen|laachend Gesiicht mat oppenem Mond a kalem Schweess|oppen|Schweess
🤣;vu Laache rullend;Buedem|Gesiicht|laachen|rullen|vu Laache rullend
😂;Gesiicht mat Freedtréinen;Freed|Gesiicht|Gesiicht mat Freedtréinen|Laachen|Tréin
🙂;Gesiicht mat engem liichte Laachen;Gesiicht|Gesiicht mat engem liichte Laachen|Laachen
🙃;op der Kopp;Gesiicht|op der Kopp
🫠;;
😉;A zoudréckend;A zoudrécken|A zoudréckend|Gesiicht
😊;laachend Gesiicht mat laachenden Aen;A|Gesiicht|Laachen|laachend Gesiicht mat laachenden Aen|rout ginn
😇;laachend Gesiicht mat Hellegeschäin;Engel|Fantasie|Gesiicht|Hellegeschäin|Laachen|laachend Gesiicht mat Hellegeschäin|Mäerchen|onschëlleg
🥰;;
😍;laachend Gesiicht mat Häerzeraen;A|Gesiicht|Laachen|laachend Gesiicht mat Häerzeraen|Léift
🤩;Stärenaen;Aen|Gesiicht|grinsend|Stär|Stärenaen
😘;e Kuss schéckend;e Kuss schéckend|Gesiicht|Kuss
😗;kussend;Gesiicht|Kuss|kussend
☺️;laachend Gesiicht;Gesiicht|Laachen|laachend Gesiicht|relax|stiliséiert
😚;kussend mat zouen Aen;A|Gesiicht|Kuss|kussend mat zouen Aen|zouen
😙;kussend mat laachenden Aen;A|Gesiicht|Kuss|kussend mat laachenden Aen|Laachen
🥲;;
