[smileys_emotion]
😀;išsišiepęs veidas;išsišiepęs veidas|išsišiepti|veidas
😃;besišypsantis išsižiojęs veidas;besišypsantis išsižiojęs veidas|burna|praverta|šypsena|veidas
😄;besišypsantis išsižiojęs veidas besišypsančiomis akimis;akys|besišypsantis išsižiojęs veidas besišypsančiomis akimis|burna|praverta|šypsena|veidas
😁;išsišiepęs veidas su besišypsančiomis akimis;akys|išsišiepęs veidas su besišypsančiomis akimis|išsišiepti|šypsena|veidas
😆;besišypsantis išsižiojęs veidas su smarkiai užmerktomis akimis;besišypsantis išsižiojęs veidas su smarkiai užmerktomis akimis|burna|juokas|pasitenkinęs|praverta|šypsena|veidas
😅;besišypsantis išsižiojęs veidas, išpiltas šalto prakaito;besišypsantis išsižiojęs veidas|besišypsantis išsižiojęs veidas, išpiltas šalto prakaito|išpiltas šalto prakaito|prakaitas|praverta|šaltas|šypsena|veidas
🤣;raitausi iš juoko;juokas|raitausi iš juoko|raitytis
😂;veidas su džiaugsmo ašaromis;ašara|džiaugsmas|juokas|veidas|veidas su džiaugsmo ašaromis
🙂;šiek tiek besišypsantis veidas;šiek tiek besišypsantis veidas|šypsena|veidas
🙃;apverstas veidas;apverstas veidas|aukštyn kojom|veidas
🫠;tirpstantis veidas;ištirpti|lydytis|nykti|skystis|tirpstantis veidas
😉;mirksintis veidas;mirksintis veidas|mirktelėjimas|veidas
😊;besišypsantis veidas su besišypsančiomis akimis;akys|besišypsantis veidas su besišypsančiomis akimis|nurausti|šypsena|veidas
😇;besišypsantis veidas su aureole;angelas|aureolė|besišypsantis veidas su aureole|fantazija|nekaltas|veidas
🥰;besišypsantis veidas su trimis širdelėmis;besišypsantis veidas su trimis širdelėmis|dievinti|garbinimo objektas|įsimylėjęs
😍;besišypsantis veidas su širdelės formos akimis;akys|besišypsantis veidas su širdelės formos akimis|meilė|širdelės|šypsena|veidas
🤩;žvaigždžių liga;akys|šypsotis|veidas|žvaigždė|žvaigždžių liga
😘;bučinį siunčiantis veidas;bučinį siunčiantis veidas|bučinys|širdelė|veidas
😗;bučiuojantis veidas;bučinys|bučiuojantis veidas|veidas
☺️;besišypsantis veidas;atsipalaidavęs|besišypsantis veidas|šypsena|veidas
😚;bučiuojantis su užmerktomis akimis;akys|bučinys|bučiuojantis su užmerktomis akimis|užmerktos|veidas
😙;bučiuojantis su besišypsančiomis akimis;akys|bučinys|bučiuojantis su besišypsančiomis akimis|šypsena|veidas
🥲;besišypsantis veidas su ašara;ašara|besišypsantis|besišypsantis veidas su ašara|dėkingas|palengvėjimas|pasididžiavimas
😋;skaniu maistu besimėgaujantis veidas;besimėgaujantis|niam|skaniu maistu besimėgaujantis veidas|skanu|šypsena|veidas
😛;veidas su iškištu liežuviu;liežuvis|veidas|veidas su iškištu liežuviu
😜;veidas su iškištu liežuviu ir viena primerkta akimi;akis|liežuvis|mirksnis|pokštas|veidas|veidas su iškištu liežuviu ir viena primerkta akimi
🤪;pamišęs veidas;akis|didelis|mažas|pamišęs veidas
😝;veidas su iškištu liežuviu ir stipriai užmerktomis akimis;akys|bjaurus|liežuvis|skonis|veidas|veidas su iškištu liežuviu ir stipriai užmerktomis akimis
🤑;veidas su pinigu vietoje liežuvio;burna|pinigai|veidas|veidas su pinigu vietoje liežuvio
🤗;apkabinantis veidas;apkabinantis veidas|apkabinimas|apkabinti|veidas
🤭;veidas su ranka ant burnos;ups|veidas su ranka ant burnos
🫢;veidas atmerktomis akimis ir ranka uždengta burna;gėda|išgąstis|netikėjimas|netikėtumas|nuostaba|pagarbi baimė|veidas atmerktomis akimis ir ranka uždengta burna
🫣;veidas su stebinčia akimi;pakerėtas|stebeilytis|stebėti|veidas su stebinčia akimi
🤫;tildantis veidas;ššš|tildantis veidas|tylus
🤔;mąstantis veidas;mąstantis veidas|mąstymas|veidas
🫡;pagarbą atiduodantis veidas;gerai|kariai|pagarba|pagarbą atiduodantis veidas|saulėta|taip
🤐;veidas su užtrauktuku vietoje burnos;burna|užtrauktukas|veidas|veidas su užtrauktuku vietoje burnos
🤨;veidas su pakeltais antakiais;nepasitikintis|skeptiškas|veidas su pakeltais antakiais
😐;neutralus veidas;neišraiškingas|neutralus|veidas
😑;veidas be jokios išraiškos;be išraiškos|neišraiškingas|veidas|veidas be jokios išraiškos
😶;veidas be burnos;burna|tylus|veidas|veidas be burnos
🫥;punktyrinis veidas;intravertas|išnykti|nematomas|prislėgtas|punktyrinis veidas|slėptis
😶‍🌫️;veidas debesyse;galva debesyse|veidas debesyse|veidas rūke
😏;iš pasitenkinimo besišypsantis veidas;iš pasitenkinimo besišypsantis veidas|pasitenkinimas|veidas
😒;nelinksmas veidas;nelaimingas|nelinksmas|veidas
🙄;veidas, vartantis akis;akys|vartantis akis|vartyti|veidas|veidas, vartantis akis
😬;besivaipantis veidas;besivaipantis veidas|grimasa|veidas
😮‍💨;veidas su garu;dejuoti|gaudyti|iškvėpti|reljefas|šnabždesys|švilpukas|veidas su garu
🤥;meluojantis veidas;melas|meluojantis veidas|veidas
🫨;besikratantis veidukas;besikratantis veidukas|purtymas|šokas|veidas|vibruoti|žemės drebėjimas
🙂‍↔️;purtantis galvą;purtantis galvą|sakantis ne
🙂‍↕️;linksintis galva;linksintis galva|sakantis taip
😌;veidas su palengvėjimu;palengvėjimas|veidas|veidas su palengvėjimu
😔;susimąstęs veidas;prislėgtas|susimąstęs|veidas
😪;mieguistas veidas;miegas|mieguistas veidas|veidas
🤤;besiseilėjantis veidas;besiseilėjantis veidas|seilės|veidas
😴;miegantis veidas;miegantis veidas|miegas|veidas|zzz
😷;veidas su medicinine kauke;gydytojas|kaukė|medicina|šaltis|sergantis|veidas|veidas su medicinine kauke
🤒;veidas su termometru;ligonis|serga|termometras|veidas|veidas su termometru
🤕;veidas su galvos tvarsčiu;skausmas|sužeidimas|tvarstis|veidas|veidas su galvos tvarsčiu
🤢;besiruošiantis vemti veidas;besiruošiantis vemti veidas|veidas|vemti
🤮;vemiantis veidas;liga|vemiantis veidas|vemti
🤧;čiaudantis veidas;čiaudantis veidas|čiaudulys|veidas
🥵;įkaitęs veidas;įkaitęs veidas|karščiuojantis|karštas|prakaitavimas|raudonveidis|šilumos smūgis
