[smileys_emotion]
😀;инээсэн царай;инээсэн царай|инээх|царай
😃;амаа ангайлган инээж буй царай;ам|амаа ангайлган инээж буй царай|ангайлгах|инээх|царай
😄;нүдээ онийлгон маасайтал инээсэн царай;ам|амаа ангайлган нүдээ онийлгон инээж буй царай|ангайлгах|инээх|нүдээ онийлгон маасайтал инээсэн царай|нүдээ онийлгох|царай
😁;нүдээ онийлгон инээсэн царай;инээх|нүд|нүдээ онийлгон инээсэн царай|онийлгох|царай
😆;нүдээ тас аниж маасайтал инээсэн царай;ам|амаа ангайлган нүдээ тас аниад инээж байгаа царай|ангайлгах|инээх|нүд|нүдээ тас аниж маасайтал инээсэн царай|тас аних|царай
😅;хөлсөө гартал маасайтал инээсэн царай;амаа ангайн|бага зэргийн ичиж инээж байгаа царай|бага зэргийн ичиж инээсэн царай|хөлсөө гартал маасайтал инээсэн царай
🤣;инээж, газар өнхрөх царай;газар|инээж|инээж, газар өнхрөх царай|инээх|өнхрөх|царай
😂;нулимсаа гартал инээж буй царай;инээх|нулимс гарах|нулимсаа гартал инээж буй царай|царай
🙂;бага зэрэг инээмсэглэсэн царай;бага зэрэг|бага зэрэг инээмсэглэсэн царай|инээмсэглэх|царай
🙃;доошоо харсан царай;доошоо харсан царай|уруу харсан царай
🫠;хайлж буй царай;сарних|уусах|хайлж буй царай|хайлмаг|шингэн
😉;ирмэж байгаа царай;ирмэж байгаа царай|ирмэх|царай
😊;онийж инээмсэглэсэн царай;инээмсэглэх|ичингүйрэх|онийж инээмсэглэсэн царай|царай
😇;инээмсэглэж буй сахиусан тэнгэрийн царай;инээмсэглэж буй сахиусан тэнгэрийн царай|инээмсэглэх|сахиусан тэнгэр|царай
🥰;инээж буй зүрхтэй царай;дурлал|инээж буй зүрхтэй царай|шохоорхол|шүтэх
😍;бундан нүдтэй инээмсэглэж байгаа царай;бундан|бундан нүдтэй инээмсэглэж байгаа царай|инээмсэглэх|нүд|царай
🤩;одон нүдтэй инээж буй царай;инээх|нүд|од|одон нүдтэй инээж буй царай|царай
