[smileys_emotion]
😀;muka tersengih;muka|muka tersengih|sengih
😃;muka tersengih dengan mata besar;muka|muka tersengih dengan mata besar|mulut|senyum|terbuka
😄;muka tersengih dan mata tersenyum;mata|muka|muka tersengih dan mata tersenyum|mulut|senyum|terbuka
😁;muka berseri-seri dengan mata tersenyum;mata|muka|muka berseri-seri dengan mata tersenyum|sengih|senyum
😆;muka tersengih mata tertutup rapat;ketawa|muka|muka tersengih mata tertutup rapat|mulut|puas hati|senyum|terbuka
😅;muka tersengih dan berpeluh;muka|muka tersengih dan berpeluh|peluh|sejuk|senyum|terbuka
🤣;ketawa tergolek-golek;ketawa|lantai|muka|tergolek-golek
😂;muka dengan air mata kegembiraan;air mata|gembira|ketawa|muka|muka dengan air mata kegembiraan
🙂;muka tersenyum sedikit;muka|muka tersenyum sedikit|senyum
🙃;muka terbalik;muka|terbalik
🫠;muka mencair;cair|cecair|hilang|lenyap|muka mencair
😉;muka kenyit mata;kenyit mata|muka|muka kenyit mata
😊;muka tersenyum dengan mata tersenyum;mata|merah|muka|muka tersenyum dengan mata tersenyum|senyum
😇;muka tersenyum dengan halo;fantasi|halo|malaikat|muka|muka tersenyum dengan halo|suci
🥰;muka tersenyum dengan hati;dilamun cinta|jatuh hati|minati|muka tersenyum dengan hati
😍;muka tersenyum dengan mata berbentuk hati;cinta|hati|mata|muka|muka tersenyum dengan mata berbentuk hati|senyum
🤩;terpesona;bintang|mata|muka|terpesona|tersengih
😘;muka melayangkan ciuman;cium|muka|muka melayangkan ciuman
😗;muka memberi ciuman;cium|muka|muka memberi ciuman
☺️;muka tersenyum;garis luar|muka|muka tersenyum|santai|senyum
😚;muka memberi ciuman dengan mata tertutup;cium|mata|muka|muka memberi ciuman dengan mata tertutup|tertutup
😙;muka memberi ciuman dengan mata tersenyum;cium|mata|muka|muka memberi ciuman dengan mata tersenyum|senyum
🥲;muka tersenyum dengan airmata;airmata|bangga|bersyukur|lega|muka tersenyum dengan airmata|tersentuh|tersenyum sedikit
😋;muka menikmati makanan lazat;lazat|menikmati|muka|muka menikmati makanan lazat|senyum|um|yum
😛;muka menjelir lidah;lidah|muka|muka menjelir lidah
😜;muka menjelir lidah dan mengenyit mata;jenaka|kenyit|lidah|mata|muka|muka mengenyit|muka menjelir lidah dan mengenyit mata
🤪;muka gila-gila;besar|kecil|mata|muka gila-gila
😝;muka menjelir lidah dan mata tertutup rapat;dahsyat|lidah|mata|muka|muka menjelir lidah dan mata tertutup rapat|rasa
🤑;muka dengan wang dalam mulut;muka|muka dengan wang dalam mulut|mulut|wang
🤗;muka memberi pelukan;memeluk|muka|muka memberi pelukan|peluk
🤭;muka dengan tangan atas mulut;alamak|muka dengan tangan atas mulut
🫢;muka dengan mata terbuka dan tangan atas mulut;kagum|kekaguman|malu|muka dengan mata terbuka dan tangan atas mulut|takut|terkejut|tidak percaya
🫣;muka dengan mata mengintai;intai|muka dengan mata mengintai|renung|tertawan
🤫;muka suruh senyap;diam|muka suruh senyap|shhh
🤔;muka sedang berfikir;berfikir|muka|muka sedang berfikir
🫡;muka sedang menabik;askar|cerah|muka sedang menabik|ok|tabik|ya
🤐;muka mulut berzip;muka|muka mulut berzip|mulut|zip
🤨;muka dengan kening terangkat;muka dengan kening terangkat|pewaham|sangsi
😐;muka neutral;bersahaja|muka|neutral
😑;muka selamba;muka|selamba|tiada emosi|tiada perasaan
😶;muka tanpa mulut;muka|muka tanpa mulut|mulut|senyap|tenang
🫥;muka garis putus-putus;halimunan|introvert|lenyap|muka garis putus-putus|murung|sembunyi
😶‍🌫️;muka dikepung awan;kepala di awan|muka dalam kabus|muka di awan|muka dikepung awan|pelupa|tidak sedar
😏;muka tersenyum sinis;mata|muka tersenyum sinis|tersenyum sinis
😒;muka tidak puas hati;muka|muka tidak puas hati|sedih|tidak puas hati
🙄;muka dengan mata juling ke atas;juling|mata|muka|muka dengan mata juling ke atas
😬;muka menyeringai;menyeringai|muka
😮‍💨;muka menghembuskan nafas;aduh|hembus|lega|muka menghembuskan nafas|rintih|siul
🤥;muka bohong;bohong|muka|pinocchio
🫨;muka bergoyang;bergegar|bergetar|gempa bumi|muka|muka bergoyang|terkejut
🙂‍↔️;menggeleng kepala;menggeleng|menggeleng kepala|tidak
🙂‍↕️;mengangguk kepala;mengangguk|mengangguk kepala|ya
😌;muka lega;lega|muka
😔;muka bertafakur;kecewa|muka|muka bertafakur|tafakur
😪;muka mengantuk;muka|muka mengantuk|tidur
🤤;muka meliur;meliur|muka
😴;muka tidur;muka|tidur|zzz
😷;muka memakai topeng perubatan;doktor|muka|muka memakai topeng perubatan|perubatan|sakit|sejuk|topeng
🤒;muka dengan termometer;muka|muka dengan termometer|sakit|termometer|tidak sihat
🤕;muka dengan kepala berbalut;cedera|kecederaan|muka|muka dengan kepala berbalut|pembalut
🤢;muka mual;loya|mual|muka|muntah
🤮;muka muntah;loya|muka muntah|muntah
🤧;muka bersin;bersin|muka
