# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;wiċċ jidħak ħafna;jidħaq ħafna|wiċċ|wiċċ jidħak ħafna
😃;wiċċ jidħaq bil-ħalq miftuħ;ħalq|jitbissem|miftuħ|wiċċ|wiċċ jidħaq bil-ħalq miftuħ
😄;wiċċ jidħaq b’ħalq miftuħ u għajnejn jitbissmu;għajn|ħalq|jitbissem|miftuħ|wiċċ|wiċċ jidħaq b’ħalq miftuħ u għajnejn jitbissmu
😁;wiċċ jidħak ħafna b’għajnejn jitbissmu;għajn|jidħaq ħafna|jitbissem|wiċċ|wiċċ jidħak ħafna b’għajnejn jitbissmu
😆;wiċċ jidħaq b’ħalq miftuħ u għajnejn magħluqa;ħalq|jidħq|jitbissem|miftuħ|sodisfatti|wiċċ|wiċċ jidħaq b’ħalq miftuħ u għajnejn magħluqa
😅;wiċċ jidħaq b’ħalq miftuħ u għaraq kiesaħ;għaraq|jitbissem|kiesaħ|miftuħ|wiċċ|wiċċ jidħaq b’ħalq miftuħ u għaraq kiesaħ
🤣;jirrombla mal-art jidħaq;art|irrumblar|jidħaq|jirrombla mal-art jidħaq|wiċċ
😂;wiċċ bi dmugħ ta’ ferħ;daħq|demgħa|ferħ|wiċċ|wiċċ bi dmugħ ta’ ferħ
🙂;wiċċ jitbissem ftit;jitbissem|wiċċ|wiċċ jitbissem ftit
🙃;wiċċ ta’ taħt fuq;ta’ taħt fuq|wiċċ|wiċċ ta’ taħt fuq
🫠;;
😉;wiċċ jehmeż;hemeż|wiċċ|wiċċ jehmeż
😊;wiċċ jitbissem b’għajnejn jitbissmu;għajn|jiħmar|jitbissem|wiċċ|wiċċ jitbissem b’għajnejn jitbissmu
😇;wiċċ jitbissem b’raġġiera;anġlu|fantasija|ħrafa|innoċenti|jitbissem|raġġiera|wiċċ|wiċċ jitbissem b’raġġiera
🥰;;
😍;wiċċ jitbissem b’għajnejn bil-qlub;għajn|imħabba|jitbissem|wiċċ|wiċċ jitbissem b’għajnejn bil-qlub
🤩;star-struck;għajnejn|jitbissem|star|star-struck|wiċċ
😘;wiċċ jitfa’ bewsa;bewsa|wiċċ|wiċċ jitfa’ bewsa
😗;wiċċ ibewwes;bewsa|wiċċ|wiċċ ibewwes
☺️;wiċċ jitbissem;jitbissem|rilassat|spjegati|wiċċ
😚;wiċċ ibewwes b’għajnejn magħluqin;bewsa|għajn|magħluqin|wiċċ|wiċċ ibewwes b’għajnejn magħluqin
😙;wiċċ ibewwes b’għajnejn jitbissmu;bewsa|għajn|jitbissem|wiċċ|wiċċ ibewwes b’għajnejn jitbissmu
🥲;;
😋;wiċċ iduq ikel delizzjuż;delizzjuż|iduq|jitbissem|um|wiċċ|wiċċ iduq ikel delizzjuż|yum
😛;wiċċ b’ilsien barra;ilsien|wiċċ|wiċċ b’ilsien barra
😜;wiċċ b’ilsien barra u għajn tehmeż;ċajta|għajn|hemża|ilsien|wiċċ|wiċċ b’ilsien barra u għajn tehmeż
🤪;wiċċ miġnun;għajnejn|kbar|wiċċ miġnun|żgħar
😝;wiċċ b’ilsien barra u għajnejn magħluqin;għajnejn|ilsien|orribbli|togħma|wiċċ|wiċċ b’ilsien barra u għajnejn magħluqin
🤑;wiċċ b’ħalq tal-flus;flus|ħalq|wiċċ|wiċċ b’ħalq tal-flus
🤗;wiċċ jgħannaq;jgħannaq|qed jgħannaq|wiċċ
🤭;wiċċ bl-idejn fuq il-ħalq;whoops|wiċċ bl-idejn fuq il-ħalq
🫢;;
🫣;;
🤫;wiċċ qed isikket;kwiet|skiet|wiċċ qed isikket
🤔;wiċċ ħosbien;ħosbien|wiċċ
🫡;;
🤐;wiċċ b’ħalq b’żipp;ħalq|wiċċ|wiċċ b’ħalq b’żipp|żipp
🤨;wiċċ b’ħuġbejn imtella’;nuqqas ta’ fiduċja|wiċċ b’ħuġbejn imtella’|xettiku
😐;wiċċ newtrali;mingħajr emozzjoni|newtrali|wiċċ
😑;wiċċ mingħajr espressjoni;m’għandux espressjoni|mingħajr espressjoni|nieqes minn espressjoni|wiċċ|wiċċ mingħajr espressjoni
😶;wiċċ mingħajr ħalq;ħalq|kwieta|siekta|wiċċ|wiċċ mingħajr ħalq
🫥;;
😶‍🌫️;;
😏;wiċċ jitkerraħ;jitkerraħ|wiċċ
😒;wiċċ mhux ferrieħi;mhux ferrieħi|mhux kuntent|wiċċ|wiċċ mhux ferrieħi
🙄;wiċċ b’għajnejn iduru;għajnejn|iduru|wiċċ|wiċċ b’għajnejn iduru
😬;wiċċ jistmerraħ;jistmerraħ|wiċċ
😮‍💨;;
🤥;wiċċ jigdeb;jigdeb|pinocchio|wiċċ
🫨;;
🙂‍↔️;;
🙂‍↕️;;
😌;wiċċ sollevat;sollevat|wiċċ
😔;wiċċ imħasseb;imħasseb|skoraġġut|wiċċ
😪;wiċċ bi ngħas;rieqed|wiċċ|wiċċ bi ngħas
🤤;wiċċ ibeżlaq;ibeżlaq|wiċċ
😴;wiċċ rieqed;rieqed|wiċċ|żżż
😷;wiċċ bil-maskra medika;kiesaħ|maskra|mediċina|morda|tabib|wiċċ|wiċċ bil-maskra medika
🤒;wiċċ b’termometru;marid|morda|termometru|wiċċ|wiċċ b’termometru
🤕;wiċċ b’faxxa mar-ras;faxxa|ħsara|muġugħ|wiċċ|wiċċ b’faxxa mar-ras
🤢;wiċċ jirremetti;jirremetti|vomtu|wiċċ
🤮;wiċċ qed jirremetti;mard|remettar|wiċċ qed jirremetti
🤧;wiċċ jagħtas;gesundheit|għatsa|wiċċ|wiċċ jagħtas
🥵;;
🥶;;
🥴;;
😵;wiċċ sturdut;sturdut|wiċċ
😵‍💫;;
🤯;ras tisplodi;maħsud|ras tisplodi
🤠;wiċċ b’kappell tal-cowboys;cowboy|cowgirl|kappell|wiċċ|wiċċ b’kappell tal-cowboys
🥳;;
🥸;;
😎;wiċċ jitbissem b’nuċċali tax-xemx;għajn|imdawwal|jitbissem|modern|nuċċali|nuċċali tax-xemx|nuċċalijiet|wiċċ|wiċċ jitbissem b’nuċċali tax-xemx|xemx
🤓;wiċċ nerd;nerd|stramb|wiċċ
🧐;wiċċ bil-monokolu;bla arja|wiċċ bil-monokolu
😕;wiċċ konfuż;konfuż|wiċċ
🫤;;
😟;wiċċ inkwetat;inkwetat|wiċċ
🙁;wiċċ imkemmex ftit;imkemmex|wiċċ|wiċċ imkemmex ftit
☹️;wiċċ imkemmex;imkemmex|wiċċ
😮;wiċċ b’ħalq miftuħ;ħalq|miftuħ|simpatiku|wiċċ|wiċċ b’ħalq miftuħ
😯;wiċċ imsikket;imsikket|sorpriż|stordut|wiċċ
😲;wiċċ skantat;ixxokkjat|skantat|totalment|wiċċ
😳;wiċċ ruxxan;ruxxan|sturdut|wiċċ
🥺;;
🥹;;
😦;wiċċ imkemmex b’ħalq miftuħ;ħalq|imkemmex|tiftaħ|wiċċ|wiċċ imkemmex b’ħalq miftuħ
😧;wiċċ imdejjaq ħafna;imdejjaq ħafna|wiċċ|wiċċ imdejjaq ħafna
😨;wiċċ imbeżża’;biża’|imbeżża’|tal-biża’|wiċċ
😰;wiċċ b’ħalq miftuħ u għaraq kiesaħ;blu|għaraq|ħalq|kiesaħ|mgħaġġel|miftuħ|wiċċ|wiċċ b’ħalq miftuħ u għaraq kiesaħ
😥;wiċċ diżappuntat iżda sollevat;diżappuntat|għall-erwieħ|sollevat|wiċċ|wiċċ diżappuntat iżda sollevat
😢;wiċċ jibki;dmugħ|imdejjaq|jibki|wiċċ
😭;wiċċ jibki jgħajjat;dmugħ|imdejjaq|jibki|jolfoq|wiċċ|wiċċ jibki jgħajjat
😱;wiċċ iwerżaq bil-biża’;biża’|għomod|imbeżża’|tal-biża’|werżaq|wiċċ|wiċċ iwerżaq bil-biża’
😖;wiċċ imħawwad;imħawwad|wiċċ
😣;wiċċ perseveranti;perseveranti|wiċċ
😞;wiċċ diżappuntat;diżappuntat|wiċċ
😓;wiċċ b’għaraq kiesaħ;għaraq|kiesaħ|wiċċ|wiċċ b’għaraq kiesaħ
😩;wiċċ mimli għeja;għajjien|għeja|wiċċ|wiċċ mimli għeja
😫;wiċċ għajjien;għajjien|wiċċ
🥱;;
😤;wiċċ bid-duħħan ħiereġ mill-imnieħer;rebaħ|rebbieħ|wiċċ|wiċċ bid-duħħan ħiereġ mill-imnieħer
😡;wiċċ jisporġi x-xofftejn;aħmar|irrabjat|irrabjat ħafna|rabja kbira|sporġa xofftejh|wiċċ|wiċċ jisporġi x-xofftejn
😠;wiċċ irrabjat;irrabjat|irrabjat ħafna|wiċċ
🤬;wiċċ bis-simboli fuq il-ħalq;dagħa|wiċċ bis-simboli fuq il-ħalq
😈;wiċċ jitbissem bil-qrun;fantasija|ħrafa|qrun|tbissem|wiċċ|wiċċ jitbissem bil-qrun
👿;wiċċ irrabjat bil-qrun;dimonju|fantasija|għafrit|ħrafa|wiċċ|wiċċ irrabjat bil-qrun|xitan
💀;kranju;ħrafa|kranju|mewt|mostru|wiċċ
☠️;kranju u crossbones;crossbones|kranju|kranju u crossbones|mewt|mostru|wiċċ
💩;munzell ħmieġ;demel|ħmieġ|komiku|mostru|munzell ħmieġ|purgar|wiċċ
🤡;wiċċ ta’ buffu;buffu|wiċċ|wiċċ ta’ buffu
👹;orku;fantasija|ħrafa|kreatura|mostru|orku|wiċċ
👺;goblin;fantasija|goblin|ħrafa|kreatura|mostru|wiċċ
👻;fatat;fantasija|fatat|ħrafa|kreatura|mostru|wiċċ
👽;aljen;aljen|extraterrestrijali|fantasija|ħrafa|kreatura|mostru|UFO|wiċċ
👾;mostru aljen;aljen|extraterrestrijali|fantasija|ħrafa|mostru|UFO|wiċċ
🤖;wiċċ ta’ robot;mostru|robot|wiċċ|wiċċ ta’ robot
😺;wiċċ ta’ qattus jitbissem b’ħalq miftuħ;ħalq|jitbissem|miftuħ|qattus|wiċċ|wiċċ ta’ qattus jitbissem b’ħalq miftuħ
😸;wiċċ ta’ qattus jidħak ħafna b’għajnejn jitbissmu;għajn|jidħaq|jitbissem|qattus|wiċċ|wiċċ ta’ qattus jidħak ħafna b’għajnejn jitbissmu
😹;wiċċ ta’ qattus bi dmugħ ta’ ferħ;dmugħ|kant|qattus|wiċċ|wiċċ ta’ qattus bi dmugħ ta’ ferħ
😻;wiċċ ta’ qattus jitbissem b’għajnejn bil-qlub;għajn|imħabba|jitbissem|qattus|wiċċ|wiċċ ta’ qattus jitbissem b’għajnejn bil-qlub
😼;wiċċ ta’ qattus bi tbissima mqarrsa;imqarras|ironiku|jitbissem|qattus|wiċċ|wiċċ ta’ qattus bi tbissima mqarrsa
😽;wiċċ ta’ qattus ibewwes b’għajnejn magħluqin;bewsa|għajn|qattus|wiċċ|wiċċ ta’ qattus ibewwes b’għajnejn magħluqin
🙀;wiċċ ta’ qattus għajjien;għajjien|mistgħaġeb|oh|qattus|wiċċ|wiċċ ta’ qattus għajjien
😿;wiċċ ta’ qattus jibki;dmugħ|imdejjaq|jibki|qattus|wiċċ|wiċċ ta’ qattus jibki
😾;wiċċ ta’ qattus jisporġi x-xofftejn;jisporġi x-xofftejn|qattus|wiċċ|wiċċ ta’ qattus jisporġi x-xofftejn
🙈;xadina li ma tara ebda ħażen;ara|ġesti|ħażen|ma|mhux|pprojbit|pprojbiti|wiċċ|xadina|xadina li ma tara ebda ħażen
🙉;xadina li ma tisma’ ebda ħażen;ġesti|ħażen|isma’|ma|mhux|pprojbit|pprojbiti|wiċċ|xadina|xadina li ma tisma’ ebda ħażen
🙊;xadina li ma titkellem ebda ħażen;ġesti|ħażen|ma|mhux|pprojbit|pprojbiti|tkellem|wiċċ|xadina|xadina li ma titkellem ebda ħażen
💌;ittra ta’ mħabba;imħabba|ittra|ittra ta’ mħabba|posta|qalb
💘;qalb bi vleġġa;kupidu|qalb bi vleġġa|vleġġa
💝;qalb b’ċoff;qalb b’ċoff|valentinu|żigarella
💖;qalb tfexfex;eċċitat|qalb tfexfex|tfexfex
💗;qalb tikber;eċċitat|nervuża|polz|qalb tikber|tkabbir
💓;qalb tħabbat;qalb tħabbat|taħbita tal-qalb|tħabbat
💞;qlub iduru;iduru|qlub iduru
💕;żewġt iqlub;imħabba|żewġt iqlub
💟;dekorazzjoni ta’ qalb;dekorazzjoni ta’ qalb|qalb
❣️;esklamazzjoni ta’ qalb miġugħa;esklamazzjoni|esklamazzjoni ta’ qalb miġugħa|marka|punteġġjatura
💔;qalb maqsuma;kisser|maqsuma|qalb maqsuma
❤️‍🔥;;
❤️‍🩹;;
❤️;qalb ħamra;qalb|qalb ħamra
🩷;;
🧡;qalb oranġjo;oranġjo|qalb oranġjo
💛;qalb safra;isfar|qalb safra
💚;qalb ħadra;aħdar|qalb ħadra
💙;qalb blu;blu|qalb blu
🩵;;
💜;qalb vjola;qalb vjola|vjola
🤎;;
🖤;qalb sewda;ħażen|ħażin|iswed|qalb sewda
🩶;;
🤍;;
💋;marka ta’ bewsa;bews|marka ta’ bewsa|xofftejn
💯;mitt punt;100|mija|mitt punt|punteġġ|sħiħ
💢;simbolu ta’ rabja;irrabjat|irrabjat ħafna|komiku|simbolu ta’ rabja
💥;ħabta;boom|ħabta|komiku
💫;stordut;kewkba|komiku|stordut
💦;qtar tal-għaraq;għaraq|komiku|qed itajjar|qtar tal-għaraq
💨;jaħrab ’l hemm;jaħrab ’l hemm|komiku|qed jiġri|sing
🕳️;toqba;toqba
💬;bużżieqa tad-diskors;buzzieqa|bużżieqa|bużżieqa tad-diskors|djalogu|komik|taħdit
👁️‍🗨️;għajnejn f’bużżieqa tad-diskors;bużżieqa tad-diskors|għajn|għajnejn f’bużżieqa tad-diskors|xhud
🗨️;bużżieqa tad-diskors fuq ix-xellug;bużżieqa tad-diskors fuq ix-xellug|diskors|djalogu
🗯️;bużżieqa ta’ rabja fuq il-lemin;buzzieqa|bużżieqa|bużżieqa ta’ rabja fuq il-lemin|irrabjat|irrabjat ħafna
💭;bużżieqa tal-ħsibijiet;bużżieqa|bużżieqa tal-ħsibijiet|djalogu|komiku|taħdit
💤;zzz;irqad|komiku|zzz

[people_body]
👋;id ixxejjer;id|id ixxejjer|qed ixejjer|xejjer
	👋🏻;id ixxejjer: ton ċar tal-ġilda;id|id ixxejjer|id ixxejjer: ton ċar tal-ġilda|qed ixejjer|ton ċar tal-ġilda|xejjer
	👋🏼;id ixxejjer: ton medju-ċar tal-ġilda;id|id ixxejjer|id ixxejjer: ton medju-ċar tal-ġilda|qed ixejjer|ton medju-ċar tal-ġilda|xejjer
	👋🏽;id ixxejjer: ton medju tal-ġilda;id|id ixxejjer|id ixxejjer: ton medju tal-ġilda|qed ixejjer|ton medju tal-ġilda|xejjer
	👋🏾;id ixxejjer: ton medju-skur tal-ġilda;id|id ixxejjer|id ixxejjer: ton medju-skur tal-ġilda|qed ixejjer|ton medju-skur tal-ġilda|xejjer
	👋🏿;id ixxejjer: ton skur tal-ġilda;id|id ixxejjer|id ixxejjer: ton skur tal-ġilda|qed ixejjer|ton skur tal-ġilda|xejjer
🤚;id minn wara mgħollija;id minn wara|id minn wara mgħollija|mgħollija
	🤚🏻;id minn wara mgħollija: ton ċar tal-ġilda;id minn wara|id minn wara mgħollija|id minn wara mgħollija: ton ċar tal-ġilda|mgħollija|ton ċar tal-ġilda
	🤚🏼;id minn wara mgħollija: ton medju-ċar tal-ġilda;id minn wara|id minn wara mgħollija|id minn wara mgħollija: ton medju-ċar tal-ġilda|mgħollija|ton medju-ċar tal-ġilda
	🤚🏽;id minn wara mgħollija: ton medju tal-ġilda;id minn wara|id minn wara mgħollija|id minn wara mgħollija: ton medju tal-ġilda|mgħollija|ton medju tal-ġilda
	🤚🏾;id minn wara mgħollija: ton medju-skur tal-ġilda;id minn wara|id minn wara mgħollija|id minn wara mgħollija: ton medju-skur tal-ġilda|mgħollija|ton medju-skur tal-ġilda
	🤚🏿;id minn wara mgħollija: ton skur tal-ġilda;id minn wara|id minn wara mgħollija|id minn wara mgħollija: ton skur tal-ġilda|mgħollija|ton skur tal-ġilda
🖐️;id mgħollija bl-iswaba’ mfettħa;id|id mgħollija bl-iswaba’ mfettħa|mfettħa|suba’
	🖐🏻;id mgħollija bl-iswaba’ mfettħa: ton ċar tal-ġilda;id|id mgħollija bl-iswaba’ mfettħa|id mgħollija bl-iswaba’ mfettħa: ton ċar tal-ġilda|mfettħa|suba’|ton ċar tal-ġilda
