[smileys_emotion]
😀;grijnzend gezicht;gezicht|grijns|grijnzend gezicht
😃;grijnzend gezicht met grote ogen;gezicht|grijnzend gezicht met grote ogen|lach|mond|open
😄;grijnzend gezicht met lachende ogen;gezicht|grijnzend gezicht met lachende ogen|lach|mond|oog|open
😁;stralend gezicht met lachende ogen;gezicht|grijns|lach|oog|stralend gezicht met lachende ogen
😆;grijnzend gezicht met stijf dichtgeknepen ogen;gezicht|glimlach|grijnzend gezicht met stijf dichtgeknepen ogen|lach|mond|open|tevreden
😅;grijnzend gezicht met zweetdruppels;gezicht|grijnzend gezicht met zweetdruppels|koud|lach|open|zweet
🤣;gezicht dat op de grond rolt van het lachen;gezicht|gezicht dat op de grond rolt van het lachen|grond|lachen|rollen
😂;gezicht met tranen van vreugde;gezicht|gezicht met tranen van vreugde|lach|traan|vreugde
🙂;enigszins lachend gezicht;enigszins lachend gezicht|gezicht|glimlach
🙃;omgekeerd gezicht;gezicht|omgekeerd gezicht|ondersteboven|op de kop
🫠;smeltend gezicht;oplossen|smelten|smeltend gezicht|verdwijnen|vloeibaar
😉;knipogend gezicht;gezicht|knipogend gezicht|knipoog
😊;lachend gezicht met lachende ogen;blozen|gezicht|glimlach|lachend gezicht met lachende ogen|oog
😇;lachend gezicht met halo;engel|fantasie|gezicht|halo|lachend gezicht met halo|onschuldig
🥰;lachend gezicht met hartjes;dol|hartjes|lachend gezicht met hartjes|smoor|verliefd
😍;lachend gezicht met hartvormige ogen;gezicht|glimlach|lachend gezicht met hartvormige ogen|liefde|oog
🤩;sterren in de ogen;gezicht|grijnzend|ogen|ster|sterren in de ogen
😘;gezicht dat kus toeblaast;gezicht|gezicht dat kus toeblaast|kus
😗;kussend gezicht;gezicht|kus|kussend gezicht
☺️;lachend gezicht;gezicht|glimlach|lachend gezicht|omtrek|ontspannen
😚;kussend gezicht met gesloten ogen;gesloten|gezicht|kus|kussend gezicht met gesloten ogen|oog
😙;kussend gezicht met lachende ogen;gezicht|glimlach|kus|kussend gezicht met lachende ogen|oog
🥲;lachend gezicht met traan;aangedaan|dankbaar|enigszins lachend|lachend gezicht met traan|opgelucht|traan|trots
😋;lachend gezicht dat lippen likt;genieten|gezicht|glimlach|jammie|lachend gezicht dat lippen likt|lekker|mmm
😛;gezicht met uitgestoken tong;gezicht|gezicht met uitgestoken tong|tong
😜;knipoog met uitgestoken tong;gezicht|grap|knipoog|knipoog met uitgestoken tong|oog|tong
🤪;gek gezicht;gek gezicht|groot|klein|oog
😝;gezicht met uitgestoken tong en dichtgeknepen ogen;gezicht|gezicht met uitgestoken tong en dichtgeknepen ogen|oog|smaak|tong|vreselijk
🤑;gezicht met geld in de mond;geld|geldmond|gezicht|gezicht met geld in de mond|mond
