[smileys_emotion]
😀;دند پیسدی شکل;داند پیسنا|دند پیسدی شکل|دی شکل
😃;کھلے منہ نال مسکراندی شکل;دی شکل|کُھلا|کھلے منہ نال مسکراندی شکل|مسکرانا|منہ
😄;کھلے مُنہ اتے مسکراندیاں اکھاں نال مسکراندی شکل;اکھ|دی شکل|کُھلا|کھلے مُنہ اتے مسکراندیاں اکھاں نال مسکراندی شکل|مسکرانا|منہ
😁;مسکراندیاں اکھاں نال دند پیسدی شکل;اکھ|داند پیسنا|دی شکل|مسکرانا|مسکراندیاں اکھاں نال دند پیسدی شکل
😆;کُھلے منہ اتے بند کیتیاں اکھاں نال مسکراندی شکل;دی شکل|کُھلا|کُھلے منہ اتے بند کیتیاں اکھاں نال مسکراندی شکل|مسکرانا|مطمئن ہونا|منہ|ہسنا
😅;کُھلے منہ اتے مڑکے نال مسکراندی شکل;ٹھنڈا|دی شکل|کُھلا|کُھلے منہ اتے مڑکے نال مسکراندی شکل|مُڑکا|مسکرانا
🤣;قہقہے نال زمین اوتے لوٹ پھوٹ;دی شکل|فرش|قہقہے نال زمین اوتے لوٹ پھوٹ|گھمدا ہوئیا|ہسنا
😂;خوشی دے اتھرواں نال شکل;اتھرو|خوشی|خوشی دے اتھرواں نال شکل|دی شکل|ہسنا
🙂;ہلکی مسکراندی ہوئی شکل;دی شکل|مسکرانا|ہلکی مسکراندی ہوئی شکل
🙃;پُٹھی شکل;پُٹھا|پُٹھی شکل|دی شکل
🫠;;
😉;اکھ مار دی شکل;اکھ مار دی شکل|اکھ مارنا|دی شکل
😊;مسکراندیاں اکھاں نال مسکراندی شکل;اکھ|دی شکل|شرمانا|مسکرانا|مسکراندیاں اکھاں نال مسکراندی شکل
😇;چمک نال مسکراندی شکل;پریاں دی کہانی|تصور|چمک نال مسکراندی شکل|دی شکل|فرشتہ|مسکرانا|معصوم|ہالہ
🥰;;
😍;دل آلیاں اکھاں نال مسکراندی شکل;اکھ|پریم|دل آلیاں اکھاں نال مسکراندی شکل|دی شکل|مسکرانا
🤩;نامور شخصیتاں دا دلدادہ;اکھاں|تارہ|داند پیسنا|دی شکل|نامور شخصیتاں دا دلدادہ
😘;ہوا وچ چومی اڑاندی شکل;چومنا|دی شکل|ہوا وچ چومی اڑاندی شکل
😗;چومیاں کردی شکل;چومنا|چومیاں کردی شکل|دی شکل
☺️;مسکراندی شکل;پُر سکون|خاکہ شُدہ|دی شکل|مسکرانا|مسکراندی شکل
😚;بند اکھاں نال چومی کردی شکل;اکھ|بند اکھاں نال چومی کردی شکل|بند کیتا|چومنا|دی شکل
😙;مسکراندیاں اکھاں نال چومیاں کردی شکل;اکھ|چومنا|دی شکل|مسکرانا|مسکراندیاں اکھاں نال چومیاں کردی شکل
🥲;;
😋;مزے دار خوراک دا سواد لیندی شکل;دی شکل|عم|مزہ لیندیاں|مزے دار|مزے دار خوراک دا سواد لیندی شکل|مسکرانا|یم
😛;باہر کڈی زبان آلی شکل;باہر کڈی زبان آلی شکل|جیب|دی شکل
😜;باہر کڈی زبان نال شکل اتے پلک جھپکدی اکھ;اکھ|اکھ مارنا|باہر کڈی زبان نال شکل اتے پلک جھپکدی اکھ|جیب|دی شکل|لطیفہ
🤪;پاگل پن آلی شکل;اکھ|پاگل پن آلی شکل|نیکا|وڈا
😝;باہر کڈی زنان آلی شکل اتے بند کیتیاں اکھاں;اکھ|باہر کڈی زنان آلی شکل اتے بند کیتیاں اکھاں|جیب|خوفناک|دی شکل|سواد
🤑;پیسیاں دے منہ آلی شکل;پیسیاں دے منہ آلی شکل|پیسے|دی شکل|منہ
🤗;گلے ملدی شکل;دی شکل|گلے ملدی شکل|گلے ملدیاں ہوئیاں|گلے ملنا
🤭;منہ اُوتے ہتھ نال شکل;للکارنا|منہ اُوتے ہتھ نال شکل
🫢;;
🫣;;
🤫;خاموش کراندی ہوئی شکل;چپ|خاموش|خاموش کراندی ہوئی شکل
🤔;سوچدی شکل;دی شکل|سوچدی شکل|سوچنا
🫡;;
🤐;زپرـمنہ آلی شکل;دی شکل|زپر|زپرـمنہ آلی شکل|منہ
🤨;اُٹھدی ہوئیاں بھنواں نال شکل;اُٹھدی ہوئیاں بھنواں نال شکل|شک کرنا|عقیدہ
😐;غیر جانبدار شکل;دی شکل|غیر جانبدار|غیر جانبدار شکل|غیر مؤثر
😑;لا اظہاری شکل;دی شکل|غَیر پُر معنی|غیر معنی خیز|لا اظہاری|لا اظہاری شکل
😶;منہ دے بغیر شکل;چُپ|خاموش|دی شکل|منہ|منہ دے بغیر شکل
🫥;;
😶‍🌫️;;
😏;بناوٹی شکل;بناوٹی شکل|بناوٹی ہاسا|دی شکل
😒;ناخوش شکل;دی شکل|غیر دلچسپ|نا خوش|ناخوش شکل
🙄;گھمدیاں اکھاں نال شکل;اکھاں|دی شکل|گھمدا ہوئیا|گھمدیاں اکھاں نال شکل
😬;منہ بناندی شکل;دی شکل|منہ بنانا|منہ بناندی شکل
😮‍💨;;
🤥;جھوٹ بولدی شکل;بالاں دی کہانی دا ہیرو|جھوٹ|جھوٹ بولدی شکل|دی شکل
🫨;;
