[smileys_emotion]
😀;cara sorridente;cara|cara sorridente|sorriso
😃;cara sorridente com olhos bem abertos;aberta|boca|cara|cara sorridente com olhos bem abertos|sorriso
😄;cara a sorrir com boca aberta e olhos sorridentes;aberta|boca|cara|cara a sorrir com boca aberta e olhos sorridentes|olho|sorriso
😁;cara sorridente com olhos sorridentes;cara|cara sorridente com olhos sorridentes|olho|sorriso
😆;cara a sorrir com boca aberta e olhos bem fechados;aberta|boca|cara|cara a sorrir com boca aberta e olhos bem fechados|riso|satisfação|sorriso
😅;cara a sorrir com boca aberta e suor;aberta|cara|cara a sorrir com boca aberta e suor|frio|sorriso|suor
🤣;a rebolar no chão a rir;a rebolar no chão a rir|cara|chão|rebolar|rir
😂;cara com lágrimas de felicidade;cara|cara com lágrimas de felicidade|felicidade|lágrimas|riso|sorriso
🙂;cara a sorrir ligeiramente;cara|cara a sorrir ligeiramente|sorriso
🙃;cara ao contrário;ao contrário|cara|cara ao contrário
🫠;cara a derreter;cara a derreter|derreter|desaparecer|dissolver|líquido
😉;cara a piscar o olho;cara|cara a piscar o olho|piscadela
😊;cara a sorrir com olhos sorridentes;cara|cara a sorrir com olhos sorridentes|corado|olho|sorriso
😇;cara a sorrir com auréola;anjo|auréola|cara|cara a sorrir com auréola|fantasia|inocente
🥰;cara sorridente com corações;amor|apaixonado|cara sorridente com corações|paixão
😍;cara a sorrir com olhos em forma de coração;amor|cara|cara a sorrir com olhos em forma de coração|coração|olho|sorriso
🤩;cara sorridente com estrelas nos olhos;cara|cara sorridente com estrelas nos olhos|estrela|olhos
😘;cara a atirar um beijo;beijo|cara|cara a atirar um beijo|coração
😗;cara a dar um beijo;beijo|cara|cara a dar um beijo
☺️;cara a sorrir;cara|cara a sorrir|contorno|relaxado|sorriso
😚;cara a dar um beijo com olhos fechados;beijo|cara|cara a dar um beijo com olhos fechados|fechado|olho
😙;cara a dar um beijo com olhos sorridentes;beijo|cara|cara a dar um beijo com olhos sorridentes|olho|sorriso
