# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Ktze’n Palajaj;Ktze’n Palajaj|ktze’nik|palajaj
😃;Tze’naq palajaj uk’ab’om uchi’;palajaj|tza’maj|Tze’naq palajaj uk’ab’om uchi’|tze’nem|utorik
😄;Ktze’n palajaj uk’ab’om uchi’ chi’l ktze’n b’aq’wachaj;baq’wach|Ktze’n palajaj uk’ab’om uchi’ chi’l ktze’n b’aq’wachaj|palajaj|tza’maj|tze’nem|utorik
😁;Ktze’n palajaj ruk’ ktze’n b’aq’wachaj;b’aqwach|Ktze’n palajaj ruk’ ktze’n b’aq’wachaj|ktze’nik|palajaj|tze’nem
😆;Ktze’n palajaj uk’ab’om uchi’ chi’l utzapim b’aq’wachaj;chi’aj|Ktze’n palajaj uk’ab’om uchi’ chi’l utzapim b’aq’wachaj|nim tze’nem|palajaj|torom|tze’nem|utz ub’anom
😅;Ktze’n palajaj uk’ab’om uchi’ chi’l joron uwa’l wachaj;k’atanal|Ktze’n palajaj uk’ab’om uchi’ chi’l joron uwa’l wachaj|palajaj|tew|torom|tze’nem
🤣;Sib’alaj tze’naq;palajaj|Sib’alaj tze’naq|tze’nem|ub’olq’otixik|uwach ulew
😂;Palajaj Ruk’ Uwal Wachaj rech Ki’kotemal;ki’kotemal|nim tze’nem|palajaj|Palajaj Ruk’ Uwal Wachaj rech Ki’kotemal|uwal wachaj
🙂;Tze’naq palajaj;palajaj|Tze’naq palajaj|tze’nem
🙃;Xulan uwi’ palajaj;palajaj|xulan uwi’|Xulan uwi’ palajaj
🫠;;
😉;Utz’apim ub’aqwach palajaj;palajaj|Utz’apim ub’aqwach palajaj|yupwachinem
😊;Tze’naq palajaj porotz’ ub’aqwach;b’aqwachaj|kaqarinaqq|palajaj|Tze’naq palajaj porotz’ ub’aqwach|tze’nem
😇;Tze’naq me’s ruk’ setesik pa ujolom;man kok ta il|man tzij taj|palajaj|setesik pa ujolom|tyox|Tze’naq me’s ruk’ setesik pa ujolom|tze’nem|tzijob’elil chi kij adas
🥰;;
😍;Tze’naq palajaj ruk’ anima’ chi ub’aqwach;b’aqwachaj|loq’ob’al|palajaj|Tze’naq palajaj ruk’ anima’ chi ub’aqwach|tze’nem
🤩;uriqom k’ax;b’aqwachaj|ch’umil|ktze’nik|palajaj|uriqom k’ax
😘;Palajaj kuwupuj jun Chi’aj;palajaj|Palajaj kuwupuj jun Chi’aj|tz’umanik
😗;Palajaj ruk’ tz’umanik;palajaj|Palajaj ruk’ tz’umanik|tz’umanik
☺️;tze’nem;palajaj|tz’ajom|tze’nem|uxlanaq
😚;Palajaj ruk’ tz’umanik Utz’apim uwach;b’aq’wachaj|palajaj|Palajaj ruk’ tz’umanik Utz’apim uwach|tz’umanik|tzapitalik
😙;Palajaj ruk’ Tz’umanik Tz’enaq ub’aqwach;b’aq’wachaj|palajaj|Palajaj ruk’ Tz’umanik Tz’enaq ub’aqwach|tz’umanik|tze’nem
🥲;;
😋;Palajaj ktajin Kuki’risaj Je’l riki’l;k’ok’|ktajin uan’ik|mmm|palajaj|Palajaj ktajin Kuki’risaj Je’l riki’l|tze’nem|um
😛;Palajaj ruk’ Relesam Raq;aq’|palajaj|Palajaj ruk’ Relesam Raq
😜;palajaj ruk’ relesam raq’ chi’l uyupwachim uwach;aq’|b’aqwachaj|palajaj|palajaj ruk’ relesam raq’ chi’l uyupwachim uwach|yaktze’|yupwachinik
🤪;pay palajaj;b’aqwach|nim|nitz’|pay palajaj
😝;palajaj ruk’ relesam raq’ chi’l utz’apim uwach;aq’|b’aqwachaj|il|nab’al|palajaj|palajaj ruk’ relesam raq’ chi’l utz’apim uwach
🤑;Palajaj ruk’ pwaq;chi’aj|palajaj|Palajaj ruk’ pwaq|pwaq
🤗;Umatzexik Palajaj;ktjin umatzexik|palajaj|umatzexik
🤭;palajaj uch’uqum uchi’;palajaj uch’uqum uchi’|raki’kotem
🫢;;
🫣;;
🤫;matzalem palajaj;matzalem|matzalem palajaj|umatzab’axik
🤔;Chomanik palajaj;Chomanik palajaj|ktajin kchomanik|palajaj
🫡;;
🤐;Palajaj sierayim uchi’;chi’aj|palajaj|Palajaj sierayim uchi’|Sierrayim
🤨;palajaj ruk’ paqab’isam rij uwach;man q’alaj taj|man q’alb’al k’’u’x taj|palajaj ruk’ paqab’isam rij uwach
😐;Suk’ul palajaj;palajaj|Suk’ul palajaj|suk’ulik|tzaqinaq uk’u’x
😑;Palajaj man k’o ta Kub’ij;man k’o ta kub’ano|man k’o ta kub’ij|man k’o ta kuch’ob’o|palajaj|Palajaj man k’o ta Kub’ij
😶;Palajaj Man k’o ta Uchi’;chi’aj|man kok ta il|matzalem|palajaj|Palajaj Man k’o ta Uchi’
🫥;;
😶‍🌫️;;
😏;Jech’el uchi’ palajaj;Jech’el uchi’ palajaj|nitz’ tze’nem|palajaj
😒;Man kaki’kot ta palajaj;Man kaki’kot ta palajaj|man kki’kot taj|man utz taj|palajaj
🙄;Palajaj ruk’ ksilkop b’aqwachaj;b’aq’wachaj|ktajin ksilkopik|palajaj|Palajaj ruk’ ksilkop b’aqwachaj
😬;Ub’anom Palajaj;palajaj|Ub’anom Palajaj
😮‍💨;;
🤥;Nim utza’m;Nim utza’m|palajaj|ub’anik tzij
🫨;;
🙂‍↔️;;
🙂‍↕️;;
😌;Qajinaq uwach palajaj;palajaj|Qajinaq uwach palajaj|uxlanaq
😔;Qajnaq uwach palajaj;alajaj|kosinaq|qajinaq uwach|Qajnaq uwach palajaj
😪;Karaj uwaram palajaj;Karaj uwaram palajaj|Palajaj|waram
🤤;Palajaj ruk’ K’axaj;Palajaj ruk’ K’axaj
😴;Warnaq palajaj;palajaj|qoooj|warinaq|Warnaq palajaj
😷;Palajaj ruk’ k’oj rech Kunanem;joron|k’oj|kunab’al|kunanel|palajaj|Palajaj ruk’ k’oj rech Kunanem|yowab’
🤒;Palajaj Ruk’ Ucholajil tewq’aq’al;palajaj|Palajaj Ruk’ Ucholajil tewq’aq’al|tewq’aq’al|yab’il|yowab’
🤕;Palajaj ruk’ Pistal Jolomaj;k’ax|palajaj|Palajaj ruk’ Pistal Jolomaj|pisb’al|ub’anom k’ax
🤢;Ulemlotem anima’ palajaj;lemlotinaq|palajaj|Ulemlotem anima’ palajaj|xa’oj
🤮;palajaj ktajin kxab’ik;palajaj ktajin kxab’ik|xa’oj|yab’il
🤧;At’ujnab’em palajaj;at’isnab’em|At’ujnab’em palajaj|palajaj|utz petib’al
🥵;;
🥶;;
🥴;;
😵;Ksutin ujolom Palajaj;Ksutin ujolom Palajaj
😵‍💫;;
🤯;ktukin jolomaj;ktukin jolomaj|tontayirinaq
🤠;Upalaj Upowi’ Bake’r;ali b’ake’r|bake’r|palajaj|powi’|Upalaj Upowi’ Bake’r
🥳;;
🥸;;
😎;Tze’naq palajaj ruk’ anti’oj rech uwaq’ij;b’aqwachaj|joron|kreprot|palajaj|q’ij|tz’ajb’al b’aq’wachaj|Tze’naq palajaj ruk’ anti’oj rech uwaq’ij|tze’nem|uwaq’ijlent
🤓;Jalajoj Palajaj;Jalajoj Palajaj|man k’astal taj|palajaj
🧐;palajaj ruk’ jun ch’uqwachaj;kaqarinaq|palajaj ruk’ jun ch’uqwachaj
😕;Sachinaq uk’u’x Palajaj;Sachinaq uk’u’x Palajaj
🫤;;
😟;Uxe’m rib’ palajaj;palajaj|uxe’m rib’|Uxe’m rib’ palajaj
🙁;B’isornaq palajaj;B’isornaq palajaj|kich’|palajaj
☹️;ukichi’chem upalaj;kich’|palajaj|ukichi’chem upalaj
😮;Palajaj ruk’ Jaqatal Chi’aj;chi’aj|jaqatal|jel ub’antajik|palajaj|Palajaj ruk’ Jaqatal Chi’aj
😯;memarinaq Palajaj;k’anarinaq|memarinaq Palajaj|palajaj|qajinaq umayij|sachinaq upensar
😲;Palaj rech mayib’al;mayib’al|Palaj rech mayib’al|palajaj|tzaqatinaq|tzaqinaq uk’u’x
😳;Kaq palajaj;Kaq palajaj|palajaj|sachinaq uk’u’x
🥺;;
🥹;;
😦;B’isorinaq Palajaj ruk’ Ujaqom Uchu’;b’isorinaq|B’isorinaq Palajaj ruk’ Ujaqom Uchu’|jaqalik|palajaj|uchi’
😧;Palajaj B’isorinaq;Palajaj B’isorinaq
😨;Ixib’im rib’ Palaljaj;Ixib’im rib’ Palaljaj|palajaj|uxe’m rib’|xib’in ib’|xib’irinaq
😰;Palajaj ruk’ jaqatal chi’aj chi’l joron k’atanal;aninaqil|chi’aj|jaqom|joron|k’atanal|palajaj|Palajaj ruk’ jaqatal chi’aj chi’l joron k’atanal|raxkaj
😥;B’isorinaq Palajaj xa k’ut ruk’ Q’alb’al k’u’x;ahhh|b’isorinaq|B’isorinaq Palajaj xa k’ut ruk’ Q’alb’al k’u’x|jororemal|palajaj
😢;Koq’ Upalaj;b’isorinaq|Koq’ Upalaj|oq’ej|palajaj|uwal wachaj
😭;Oq’inaq palajaj;b’isorinaq|meremox|oq’em|Oq’inaq palajaj|palajaj|uwal wachaj
😱;Palajaj Kuraq uchi’ chech Xb’in ib’;palajaj|Palajaj Kuraq uchi’ chech Xb’in ib’|ukach’uxik|uraqon uchi’|uxib’im rib’|xi’n ib’|xib’im ib’
😖;Palajaj Sachinaq Uk’u’x;Palajaj Sachinaq Uk’u’x
😣;Ch’iqiqem palajaj;ch’iqiqem|palajaj
😞;B’isorinaq Palajaj;B’isorinaq Palajaj
😓;Palajaj ruk’ Joron K’atanal;joron|joron k’atanal|Palajaj ruk’ Joron K’atanal|plajaj
😩;Koq’ palajaj;Koq’ palajaj|kosinaq|palajaj
😫;Kosnaq palajaj;kosinaq|Kosnaq palajaj|palajaj
🥱;;
😤;Palajaj ruk’ k’atanal rech Tza’maj;ch’akanem|ch’akanik|palajaj|Palajaj ruk’ k’atanal rech Tza’maj
