[smileys_emotion]
😀;față încântată;față|față încântată|încântare
😃;față încântată cu ochii mari;deschisă|față|față încântată cu ochii mari|gură|zâmbet
😄;față încântată cu ochi zâmbitori;deschisă|față|față încântată cu ochi zâmbitori|gură|ochi|zâmbet
😁;față radioasă cu ochi zâmbitori;față|față radioasă cu ochi zâmbitori|încântare|ochi|zâmbet
😆;față încântată cu ochii întredeschiși;deschisă|față|față încântată cu ochii întredeschiși|gură|râset|satisfacție|zâmbet
😅;față încântată cu sudoare rece;față|față încântată cu sudoare rece|rece|sudoare|zâmbet
🤣;tăvălindu-se pe jos de râs;față|jos|râs|tăvăli|tăvălindu-se pe jos de râs
😂;față cu lacrimi de bucurie;bucurie|față|față cu lacrimi de bucurie|lacrimi|râset
🙂;față ușor zâmbitoare;față|față ușor zâmbitoare|zâmbet
🙃;față cu susul în jos;față|față cu susul în jos|întors|răsturnat
🫠;față care se topește;dispariție|dizolvare|față care se topește|lichid|topire
😉;față care face cu ochiul;față|față care face cu ochiul|semn cu ochiul
😊;față zâmbitoare cu ochi zâmbitori;față zâmbitoare cu ochi zâmbitori|îmbujorare|ochi|privire|zâmbet
😇;față zâmbitoare cu aură;aură|fantezie|față zâmbitoare cu aură|halou|înger|inocent
🥰;față zâmbitoare cu inimioare;adorație|față zâmbitoare cu inimioare|îndrăgostit|îndrăgostită|pasiune
😍;față zâmbitoare cu inimioare la ochi;dragoste|față|față zâmbitoare cu inimioare la ochi|inimioare|iubire|ochi
🤩;față cu steluțe la ochi;față|față cu steluțe la ochi|încântare|ochi|stea
😘;față care trimite un pupic;față|față care trimite un pupic|sărut
😗;față pupăcioasă;față|față pupăcioasă|sărut
☺️;față zâmbitoare;contur|față|față zâmbitoare|relaxare|zâmbet
😚;față pupăcioasă cu ochi închiși;față|față pupăcioasă cu ochi închiși|ochi închiși|pupic
😙;față pupăcioasă cu ochi zâmbitori;față|față pupăcioasă cu ochi zâmbitori|ochi|pupic|zâmbet
🥲;față zâmbind cu lacrimă;atins|față zâmbind cu lacrimă|lacrimă|mândru|recunoscător|ușurat|zâmbind ușor
😋;față savurând mâncare delicioasă;delicios|față|față savurând mâncare delicioasă|savurând|zâmbet
😛;față cu limba scoasă;față|față cu limba scoasă|limbă
😜;față cu limba scoasă, făcând cu ochiul;făcând cu ochiul|față|față cu limba scoasă|față cu limba scoasă, făcând cu ochiul|glumă|limbă|ochi|semn cu ochiul
🤪;față nebună;față nebună|ochi mare|ochi mic
😝;față cu limba scoasă și ochii întredeschiși;față|față cu limba scoasă și ochii întredeschiși|gust|limbă|ochi|oribil
🤑;față încântată de bani;bani|față|față încântată de bani|gură
🤗;față cu gest de îmbrățișare;față|față cu gest de îmbrățișare|îmbrățișare
🤭;față cu mâna peste gură;față cu mâna peste gură|ups
🫢;față cu ochii deschiși și palma la gură;față cu ochii deschiși și palma la gură|sperietură|stânjeneală|stupefacție|surpriză|uimire|uluire
🫣;față care trage cu ochiul;captivat|cu coada ochiului|față care trage cu ochiul|fermecat|pe furiș|trage cu ochiul|zgâi
🤫;față care șâșâie;față care șâșâie|liniște|șșșt
🤔;față gânditoare;față|față gânditoare|gândire|reflecție
🫡;față care salută;da|față care salută|însorit|militar|OK|salut
🤐;față cu fermoar la buze;buze|față|față cu fermoar la buze|fermoar|tăcere
🤨;față cu sprânceană ridicată;față cu sprânceană ridicată|neîncredere|sceptic
😐;față neutră;expresie goală|față|față neutră|neutru
😑;față fără expresie;fără expresie|față|față fără expresie|inexpresiv
😶;față fără gură;față|față fără gură|gură|liniște|tăcut
🫥;față cu contur punctat;ascuns|depresie|dispariție|față cu contur punctat|introvert|invizibil
😶‍🌫️;față în nori;absent|capul în nori|față în ceață|față în nori
😏;față cu zâmbet superior;afectare|față|față cu zâmbet superior|superioritate|zâmbet
😒;față morocănoasă;față|față morocănoasă|nemulțumire|neplăcere
🙄;față care dă ochii peste cap;față|față care dă ochii peste cap|ochi|peste cap
😬;față cu grimasă;față|față cu grimasă|grimasă
😮‍💨;față care expiră;expirare|față care expiră|fluierat|oftat|răsuflare|șoptit|ușurare
🤥;fața mincinoasă;față|fața mincinoasă|minciună|pinocchio
🫨;față zgâlțâită;cutremur|față|față zgâlțâită|șoc|vibrație|zgâlțâit
🙂‍↔️;cap care se clatină pe orizontală;cap care se clatină pe orizontală|cap clătinându-se orizontal|clătinat din cap|dând din cap a negație|negativ|nu
🙂‍↕️;cap care se clatină pe verticală;afirmativ|cap care se clatină pe verticală|cap clătinându-se vertical|clătinat din cap|da|dând din cap afirmativ
😌;față ușurată;față|față ușurată|relaxare|ușurare
😔;față îngândurată;demoralizat|față|față îngândurată|îngândurat|melancolic
😪;față somnoroasă;față|față somnoroasă|somn
🤤;față care salivează;față|față care salivează|salivă|salivare
😴;față adormită;față|față adormită|sforăit|somn
😷;față cu mască medicală;bolnav|doctor|față|față cu mască medicală|mască|răceală
🤒;față cu termometru;boală|față|față cu termometru|gură|termometru
🤕;față cu capul bandajat;bandaj|durere|față|față cu capul bandajat|rană
🤢;față îngrețoșată;față|față îngrețoșată|greață|vomă
🤮;față vomitând;față vomitând|greață|vomă
🤧;față care strănută;față|față care strănută|noroc|strănut
🥵;față fierbinte;căldură|față fierbinte|față roșie|febril|fierbinte|transpirație
🥶;față înghețată;degerat|față albastră|față înghețată|frig|ger|rece
🥴;față cherchelită;afumat|amețit|beat|ebrietate|față cherchelită
😵;față amețită;amețeală|față|față amețită|ochi
😵‍💫;față cu ochi în spirală;amețit|față cu ochi în spirală|hipnotizat|problemă|spirală|uau
🤯;cap care explodează;cap care explodează|șocat
🤠;față cu pălărie de cowboy;cowboy|cowgirl|față|față cu pălărie de cowboy|pălărie
🥳;față de petrecere;coif|față de petrecere|petrecere|sărbătorire|trompetă
🥸;față deghizată;deghizare|față|față deghizată|incognito|nas|ochelari
😎;față zâmbitoare cu ochelari de soare;față|față zâmbitoare cu ochelari de soare|ochelari de soare|relaxare|soare|strălucitor
🤓;față de tocilar;față|față de tocilar|tocilar
🧐;față cu monoclu;față cu monoclu|înțepat
😕;față confuză;confuzie|față|față confuză|neînțelegere
🫤;față cu gura pe diagonală;dezamăgire|față cu gura pe diagonală|meh|nesigur|sceptic
😟;față îngrijorată;față|față îngrijorată|îngrijorare
🙁;față ușor tristă;față|față ușor încruntată|față ușor tristă|încruntare|tristețe
☹️;față tristă;față|față încruntată|față tristă|încruntare|tristețe
😮;față cu gura deschisă;față|față cu gura deschisă|gură deschisă|surpriză|uimire
😯;față amuțită;amuțit|față|față amuțită|surprins|uimit
😲;față uimită;față|față uimită|șoc|uimire|uluire
😳;față îmbujorată;față|față îmbujorată|îmbujorat|zăpăcit
🥺;față rugătoare;față rugătoare|implora|milă|ochi de cățeluș|ruga
🥹;față cu lacrimi în ochi;față cu lacrimi în ochi|mândrie|plâns|rezistență|supărare|tristețe
😦;față tristă cu gura deschisă;față|față tristă cu gura deschisă|gură deschisă|întristare
😧;față angoasată;angoasă|față|față angoasată|stres
😨;față înfricoșată;față|față înfricoșată|frică|înspăimântat|spaimă
😰;față neliniștită cu sudoare rece;față|față neliniștită cu sudoare rece|gură deschisă|stres|sudoare rece
😥;față dezamăgită, dar ușurată;dar ușurată|dezamăgire|față|față dezamăgită|față dezamăgită, dar ușurată|relaxare|ușurare
😢;față plângând;față|față plângând|lacrimi|plânset|tristețe
😭;față plângând zgomotos;față|față plângând zgomotos|lacrimi|plâns|suspin
😱;față țipând de frică;disperare|față|față țipând de frică|țipăt
😖;față derutată;derută|față|față derutată|zăpăceală
😣;față neajutorată;față|față neajutorată|neajutorare|neputință
😞;față dezamăgită;dezamăgire|față|față dezamăgită
😓;față abătută cu sudoare rece;față|față abătută cu sudoare rece|sudoare rece
😩;față extenuată;epuizată|față|față extenuată|oboseală
😫;față obosită;extenuare|față|față obosită|oboseală
🥱;față care cască;căscat|față care cască|oboseală|plictis
😤;față care scoate fum pe nări;față|față care scoate fum pe nări|triumf|victorie
😡;față îmbufnată;enervare|față|față îmbufnată|furie|roșu
😠;față furioasă;enervare|față|față furioasă|furie
🤬;față cu simboluri la gură;față cu simboluri la gură|înjurătură
😈;față zâmbitoare încornorată;basm|coarne|fantezie|față|față zâmbitoare încornorată
👿;față mânioasă încornorată;basm|demon|diavol|drac|drăcușor|fantezie|față mânioasă încornorată
💀;craniu;basm|craniu|față|moarte|monstru
☠️;craniu cu oase încrucișate;craniu|craniu cu oase încrucișate|față|moarte|monstru|oase încrucișate
💩;răhățel;caca|comic|față|monstru|răhățel
🤡;față de clovn;arlechin|clovn|față|față de clovn
👹;căpcăun;basm|căpcăun|creatură|monstru|poveste
👺;spiriduș;basm|creatură|monstru|poveste|spiriduș
👻;fantomă;basm|creatură|fantezie|fantomă|față|monstru|stafie
👽;extraterestru;creatură|extraterestru|fantezie|față|marțian|ozn
👾;monstru extraterestru;creatură|extraterestru|fantezie|față|monstru|ozn
🤖;robot;față|monstru|robot
😺;pisică încântată;deschisă|față|gură|pisică|pisică încântată|zâmbet
😸;pisică încântată cu ochi zâmbitori;față|încântare|ochi|pisică|pisică încântată cu ochi zâmbitori|zâmbet
😹;pisică cu lacrimi de bucurie;bucurie|față|lacrimi|pisică|pisică cu lacrimi de bucurie
