# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;широко улыбается;лицо|радость|счастье|улыбка|широкая улыбка|широко улыбается
😃;смеется;лицо|радость|рот|смеется|смех|улыбка
😄;смеется с закрытыми глазами;закрытые глаза|радость|смеется с закрытыми глазами|смех|улыбка с закрытыми глазами
😁;светится от счастья;зубы|светится от счастья|счастливое лицо|улыбающиеся глаза|широкая улыбка
😆;смеется с прищуренными глазами;прищуренные глаза|смеется с закрытыми глазами|смеется с прищуренными глазами|смех|смех с прищуренными глазами
😅;нервно смеется;нервно смеется|нервный смех|облегчение|пот|холодный пот
🤣;катается со смеху;rofl|катается со смеху|кататься от хохота|смех|смеяться
😂;смеется до слез;лицо|радость|слезы|смеется до слез|смех|смех до слез
🙂;слегка улыбается;легкая улыбка|лицо|радость|слегка улыбается|улыбка|хорошо
🙃;вверх тормашками;вверх|вверх тормашками|лицо|ногами|перевернутое
🫠;тает;жидкое|исчезает|плавится|растворяется|тает
😉;подмигивает;глаз|лицо|мигать|подмигивает|подмигивать|прищур
😊;довольно улыбается;глаза|довольно улыбается|лицо|румянец|улыбка|щеки
😇;с нимбом;ангел|лицо|невинность|с нимбом|святость|сказка
🥰;улыбающееся лицо с сердечками;влюбленность|влюбленный|сердечки|улыбающееся лицо с сердечками|улыбка с сердечками
😍;влюбленное лицо;влюбленное лицо|глаза|лицо|любовь|сердце|чувства
🤩;звезды в глазах;звезды|звезды в глазах|радость|смеяться|улыбка
😘;воздушный поцелуй;воздушный|воздушный поцелуй|любовь|отправляет воздушный поцелуй|сердечко|целует|целую
😗;целует;лицо|любовь|поцелуй|целует
☺️;улыбается;довольный|лицо|смайлик|счастье|улыбается|улыбка|хорошо
😚;целует с закрытыми глазами;глаза|закрытые|лицо|поцелуй|поцелуй с закрытыми глазами|целует с закрытыми глазами
😙;счастливый поцелуй;глаза|лицо|поцелуй|счастливый поцелуй|улыбка
🥲;улыбающееся лицо со слезой;гордость|признательность|слеза|трогательный|улыбающееся лицо со слезой|улыбка
😋;вкусно;вкус|вкусно|еда|пища|смак
😛;показывает язык;дразнит|лицо|показывает язык|хитрый|язык
😜;показывает язык и подмигивает;лицо|подмигивание|подтрунивание|показывает язык и подмигивает|розыгрыш|язык
🤪;сумасшедшее лицо;большой|глаз|кривой|лицо|маленький|рожа|сумасшедшее лицо
😝;морщится и показывает язык;гадость|зажмуривается|морщится и показывает язык|отвращение|показывает язык
🤑;деньги в глазах;деньги в глазах|жадный|лицо|прибыль|рот
🤗;обнимает;лицо|обнимает|объятие|руки
🤭;прикрывает рот рукой;лишнего|лишнее|ляпнуть|ой|прикрывает рот рукой|проговориться|хи-хи
🫢;прикрывает рот рукой с открытыми глазами;изумление|испуг|недоверие|прикрывает рот рукой с открытыми глазами|смущение|страх|удивление|шок
🫣;подсматривает;взгляд|глаз не отвести|глаз не оторвать|загляденье|подсматривает|подсматривать|пристально смотреть|украдкой
🤫;тс-с-с;молчи|секрет|тайна|тихо|тишина|тс-с-с
🤔;думает;думает|задумчивость|лицо|пальцы|размышления
🫡;воинское приветствие;воинское приветствие|войска|да|есть|окей|отдать честь|солнечно
🤐;рот на замке;закрытый|лицо|молчание|рот|рот на замке|секрет
🤨;не верит;не верит|недоверие|подозрение|скептик|скептически
😐;все равно;все равно|лицо|ничего|равнодушие
😑;без эмоций;без эмоций|безразличие|лицо|нет|ничего|эмоции
😶;лицо без рта;без рта|лицо без рта|молчание|тихо|тишина
🫥;лицо пунктиром;депрессия|интроверт|исчезать|лицо пунктиром|невидимый|печаль|подавленность|прятаться
😶‍🌫️;лицо в облаках;витающий в облаках|голова в облаках|лицо в облаках|лицо в тумане|рассеянный
