[smileys_emotion]
😀;isura imwenyura;inseko|isura|isura imwenyura
😃;isura iseka ifite umunwa wasamye;gufungura|guseka|isura|isura iseka ifite umunwa wasamye|umunwa
😄;isura iseka n’umunwa wasamye n’amaso afunguye;gufungura|ijisho|isura|isura iseka n’umunwa wasamye n’amaso afunguye|kumwenyura|umunwa
😁;isura imwenyura n’amaso yuje inseko;ijisho|inseko|isura|isura imwenyura n’amaso yuje inseko|kumwenyura
😆;isura iseka n’umunwa wasamye n’amaso ahumirije;gihagije|gufungura|guseka|isura|isura iseka n’umunwa wasamye n’amaso ahumirije|kumwenyu|umunwa
😅;isura iseka n’umunwa wasamye n’ibyuya by’ubwoba;gikonje|gufungura|guseka|isura|isura iseka n’umunwa wasamye n’ibyuya by’ubwoba|kubira icyuya
🤣;yigaragura ku butaka aseka;guseka|hasi|isura|kwigaragura|yigaragura ku butaka aseka
😂;isura ifite amarira y’ibyishimo;guseka|ibyishimo|isura|isura ifite amarira y’ibyishimo|kurira
🙂;isura iseka gahoro;inseko|isura|isura iseka gahoro
🙃;isura-icuritse;icuritse|isura|isura-icuritse
🫠;;
😉;isura yica akajisho;isura|isura yica akajisho|kwica ijisho
😊;isura y’amaso yo guseka;ijisho|isura y’amaso yo guseka|kumwenyura|kwijima
😇;isura igaragaza inseko na halo;amakabyankuru|ikamba|inseko|isura|isura igaragaza inseko na halo|marayika|ntamakemwa
🥰;;
😍;isura iseka n’amaso agaragara mu ishusho y’umutima;ijisho|inseko|isura|isura iseka n’amaso agaragara mu ishusho y’umutima|urukundo
🤩;umuntu ukunda ibyamamare;amaso|inyenyeri|isura|kumwenyura|umuntu ukunda ibyamamare
😘;isura y’umuntu ushaka gusomana;gusomana|isura|isura y’umuntu ushaka gusomana
😗;isura y’umuntu usomana;gusomana|isura|isura y’umuntu usomana
☺️;Indoro imwenyura;idashamaje|Indoro imwenyura|inseko|isura|ituje
