# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;dareenka wajiga;dareenka wajiga|gariir|wajiga
😃;muuqaalka wejiga indhaha weyn;afka|dhoola cadeyn|fur|muuqaalka wajiga indha weyn|muuqaalka wejiga indhaha weyn|wajiga
😄;waji indho dhoola cadynaya leh;afka|dareenka wajig oo indho dhoola cadeynaayo leh|dhoolo cadeyn|fur|indhaha|waji indho dhoola cadynaya leh|wajiga
😁;waji dhalaal indho dhoola cadeynaaayo leh;dhoola cadeyn|gariir|indho|waji|waji dhalaal indho dhoola cadeynaaayo leh|waji dhalaalaayo oo indho dhoolo cadeynaayo leh|wajiga
😆;dareenka wajiga ee qoslaya;afka|dareenka wajiga ee qoslaya|dhoola cadeyn|ku qanacsan yihiin|qosol|waji
😅;waji gariiraya oo dhididsan;dhidid|dhoolo cadeyn|fur|qabow|waji|waji gariiraya oo dhidid leh|waji gariiraya oo dhididsan
🤣;dhulka ku rafanaayo oo qoslaya;dhulka|dhulka ku rafanaayo oo qoslaya|dhulka ku rafanaayo oo qosolaya|ku rafanaaya|qosl|waji
😂;waji ilin farxad leh;farxad|ilin|qosol|waji|waji ilin farxad leh
🙂;waji yara dhoola cadeynaya;dhoola cadeyn|face|waji yara dhoola cadeynaya
🙃;waji hoos-hoos u raaraca;hoos u foorara|waji|waji hoos-hoos u raaraca
🫠;waji dhalaalaya;baaba’a|dareere|dhalaalay|qasmau|waji dhalaalaya
😉;waji il jabinaaya;face|il jibis|waji il jabinaaya|waji il jibinaaya
😊;waji iyo indho dhoolo cadeynaaya;dhoola cadeyn waji dhoola cadeynaaya oo indho dhoolo cadeynaaya leh|gududayn|il|waji|waji iyo indho dhoolo cadeynaaya
😇;waji dhoolo cadeynaya wareeg leh;dambi lahayn|khayaali|malaai’ig|waji|waji dhoolo cadeynaya|waji dhoolo cadeynaya wareeg leh|wareeg
🥰;waji dhoolo cadeynaya qalbi;burburin|jacleysto|jecel|qalbiyo|waji dhoolo cadeynaya qalbi
😍;waji dhoolo cadeynaya qalbi-indho;dhoolo cadeyn|il|jaceyl|waji|waji dhoolo cadeynaya qalbi-indho
🤩;xiddig-dhufsaday;ilko cadeyn|indho|waji|xiddig|xiddig-dhufsaday
😘;waji afuufayo dhunkasho;shumis|waji|waji afuufayo dhunkasho|waji dhunkasho afuufayo
😗;wajiga dhunkashada;dhunkasho|waji|wajiga dhunkashada
☺️;waji dhoolo cadeynaya;deggan|dhoolo cadeyn|sharraxay|waji|waji dhoolo cadeynaya
😚;waji dhunkanaayo indho xiran;dhunkasho|il|waji|waji dhunkanaayo indho xiran|waji dhunkasho indho xiran|xiran
😙;waji dhunkanaayo indho dhoolo cadeynaya;dhunkasho|il|waji|waji dhunkanaayo indho dhoolo cadeynaya
🥲;waaji ilin ladhoola cadeeynaya;dhoola cadeynaya|dhoola cadeynaya isagoo oynaya|ilin|ku faanaya|ladnaaday|Nabad qaba|taabtay|waaji ilin ladhoola cadeeynaya
😋;waji cunto dhadhaminaayo;dhadhamin|dhoolo cadeyn mac|macaan|waji|waji cunto dhadhaminaayo
😛;waji iyo carrab;carrab|waji|waji iyo carrab
😜;waji il jabinaayo carrab leh;carrab|il|il jibis|kaftan|waji|waji il jabinaayo carrab leh
🤪;waji qallafsan;doqon|il|waji qallafsan|weyn|yar
😝;waji foolxun carrab leh;carrab|dhadhan|il|naxdin leh|waji|waji foolxun carrab leh
🤑;waji af-lacag;af|lacag|waji|waji af-lacag
🤗;waji habsiinaaya;hab|hab siin|waji|waji habsiinaaya
🤭;waji afka gacan ka saaran;qoorta|waji afka gacan ka saaran
🫢;ku wajah indhaha oo ku furan iyo gacmaha oo aad afka saaratay;aaminitaan la’aan|cabsan|cabsi|cajiib|ceeb|ku wajah indhaha oo ku furan iyo gacmaha oo aad afka saaratay|layaab
🫣;wajah indhaha oo fiirinaya;dhaqso u fiirin|dhugasho|soo jiitay|wajah indhaha oo fiirinaya
🤫;waji ruxmaya;aamusan|ruxan|waji ruxmaya
🤔;waji fakarsan;fakar|waji|waji fakarsan
🫡;wajiga salaameed;ciidamada|haa|haye|qorax leh|salaanta|wajiga salaameed
🤐;waji af xiran;afka|jiinyeer|waji|waji af xiran|waji-af xiran
🤨;waji sunniyo kor u qaadan leh;aamin darro|shaki|waji sunniyo kor u qaadan leh
😐;waji dhexdhexaad ah;amakaag|dhexdhexaad|dhimasho|waji|waji dhexdhexaad ah
😑;waji aan muuqan lahayn;aan waxqabad lahayn|amkaag|hadal la’aan|waji|waji aan muuqan lahayn
😶;waji af la’aan;aamusnaan|afka|waji|waji af la’aan|xasilloon
🫥;wajiga ku leh dhibco;aan muuqan|baaba’aa|isbarasho|niyad jabsan|qarin|wajiga ku leh dhibco|xishoonaya
😶‍🌫️;waji daruuro ku jira;madax daruur ku jira|maqane-jooga|waji ciiro ku jira|waji daruur ku jira|waji daruuro ku jira
😏;waji isku dhagan;isku dhaggan|waji|waji isku dhagan|waji isku dhaggan
😒;waji aan la taaban karin;aan la daboolin|farxad la’aan|waji|waji aan la taaban karin
🙄;waji indho wareegayo leh;il wareeg|waji|waji indho wareegayo leh|wareeg
😬;waji naxdin leh;naxdin|waji|waji naxdin leh
😮‍💨;waji afka kala qaday;foodhyid|hawo qadasho|nafisid|neefsasho|taah|waji afka kala qaday|xanshaashaq
🤥;waji jiifo;jiif|qashin|waji|waji jiifo
🫨;Ruxida madaxa;dhul gariir|face|gariir|ruxay|Ruxida madaxa|ruxitaan
🙂‍↔️;madax u luxida sida jiifsan;lux|madax u luxida sida jiifsan|maya
🙂‍↕️;madax u luxida sida toosan;haa|lux|madax u luxida sida toosan
😌;waji niyad jabn;caawin|waji|waji niyad jabn
😔;waji caajisan;caajis|diyaarsan|waji|waji caajisan
😪;waji hurdeysan;hurdo|waji|waji hurdeysan
🤤;waji dhareer;dhareer|waji
😴;waji hurdadeysan;hurdo|waji|waji hurdadeysan|waji hurdeysan
😷;waji maaskaro caafimaad leh;dhakhtar|qabow|waji|waji maaskaro caafimaad leh
🤒;waji leh heerkulbeegga;heerkulbeegga|jirro|waji|waji leh heerkulbeegga|waji leh heerkulbegga|xanuun
🤕;waji leh faashid madaxeed;dhaawac|dhaawac ah|faashad|waji|waji leh faashad madaxeed|waji leh faashid madaxeed
🤢;waji lalabo leh;lalabo|mantaq|waji|waji lalabo leh
🤮;waji mantaq leh;jirro|mantaq|waji mantaq leh
🤧;waji hindhisaayo;hindhisho|u rajeyn caafimaad|waji|waji hindhisaayo
🥵;waji kulul;dhididaayo|istarooga kuleylka|kuleyl|waji cas|waji kulul|xummad
🥶;waji qaboow;baraf|daalan|qaboobaayo|qaboow|qabow|waji qaboow
