# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;fytyrë e zgërdheshur;fytyrë|fytyrë e zgërdheshur|zgërdheshje|zgërdhihem
😃;fytyrë e qeshur me gojën e hapur;buzëqeshje|e hapur|fytyrë|fytyrë e qeshur me gojën e hapur|gojë
😄;fytyrë me gojë të hapur dhe sy të qeshur;buzëqeshje|e hapur|fytyrë|fytyrë e qeshur me gojën e hapur dhe sy të qeshur|fytyrë me gojë të hapur dhe sy të qeshur|gojë
😁;fytyrë e zgërdheshur me sy të qeshur;fytyrë e zgërdheshur me sy të qeshur|sy|zgërdheshje|zgërdhihem
😆;fytyrë e qeshur me sy të mbyllur fort;e kënaqur|fytyrë e qeshur me gojën e hapur dhe sy të mbyllur fort|fytyrë e qeshur me sy të mbyllur fort|gojë|qesh
😅;fytyrë e qeshur me djersë të ftohta;djersë|e ftohtë|e hapur|fytyrë e qeshur me djersë të ftohta|fytyrë e qeshur me gojën e hapur dhe djersë të ftohta
🤣;rrokullisje në dysheme nga e qeshura;dysheme|fytyrë|qeshje|rrokullisje|rrokullisje në dysheme nga e qeshura
😂;fytyrë me lot gëzimi;fytyrë|fytyrë me lot gëzimi|gëzim|lot|qesh
🙂;fytyrë pak e qeshur;buzëqesh|buzëqeshje|fytyrë|fytyrë pak e qeshur
🙃;fytyrë përmbys;fytyrë|përmbys
🫠;fytyrë që shkrin;fytyrë që shkrin|lëng|shkrirje|shpërbërje|zhdukje
😉;fytyrë që shkel syrin;fytyrë|fytyrë që shkel syrin|shkel syrin
😊;fytyrë e qeshur me sy të qeshur;buzëqeshje|fytyrë|fytyrë e qeshur me sy të qeshur|skuqem|sy
😇;fytyrë e qeshur me aureolë;aureolë|buzëqeshje|e pafajshme|engjëll|fytyrë e qeshur me aureolë
🥰;fytyrë e qeshur me 3 zemra;adhurim|fytyrë e qeshur me 3 zemra|në dashuri|tërheqje
😍;fytyrë e qeshur me sytë në formë zemre;buzëqeshje|dashuri|fytyrë e qeshur me sytë në formë zemre|sy|zemër
🤩;fytyrë e magjepsur;fytyrë e magjepsur|qeshje|sy|yll|zgërdheshje
😘;fytyrë që jep një puthje;fytyrë|fytyrë që jep një puthje|puth|puthje|zemër
😗;fytyrë që puth;fytyrë|fytyrë që puth|puth|puthje
☺️;fytyrë e qeshur;buzëqeshje|e çlodhur|e qetë|fytyrë|fytyrë e qeshur
😚;fytyrë që puth me sytë e mbyllur;fytyrë që puth me sytë e mbyllur|puth|puthje|sy|të mbyllur
😙;fytyrë që puth me sy të qeshur;fytyrë që puth me sy të qeshur|puthje|sy
🥲;fytyrë e qeshur me lot;duke qeshur|fytyrë e qeshur me lot|krenar|lot|mirënjohës
😋;fytyrë duke shijuar ushqime të shijshme;buzëqeshje|fytyrë|fytyrë duke shijuar ushqime të shijshme|shijoj
😛;fytyrë me gjuhën jashtë;fytyrë|fytyrë me gjuhën jashtë|gjuhë
😜;fytyrë me gjuhën jashtë dhe syrin e shkelur;fytyrë|fytyrë me gjuhën jashtë dhe syrin e shkelur|gjuhë|shaka|shkel syrin
🤪;fytyrë e &quot;çmendur&quot;;fytyrë e &quot;çmendur&quot;|i madh|i vogël|sy
😝;fytyrë me gjuhën jashtë dhe sytë të mbyllur;fytyrë me gjuhën jashtë dhe sytë të mbyllur|gjuhë|i tmerrshëm|shije|ytyrë me gjuhën jashtë dhe sytë të mbyllur
🤑;fytyrë me gjuhë si para;fytyrë|fytyrë me gjuhë si para|gojë|para
🤗;fytyrë që përqafon;fytyrë|fytyrë që përqafon|përqafim|përqafoj
🤭;fytyrë me dorën mbi gojë;fytyrë me dorën mbi gojë|uups!
🫢;fytyrë me sy të hapur dhe dorën mbi gojë;çudi|frikë|fytyrë me sy të hapur dhe dorën mbi gojë|habi|mahnitje|mosbesim|turp
🫣;fytyrë me sy përgjues;fytyrë me sy përgjues|habitje|ngulje sysh|përgjim
🤫;fytyrë që bën &quot;shtttt!&quot;;fytyrë që bën &quot;shtttt!&quot;|hesht|pusho|shtttt!
🤔;fytyrë që mendohet;duke u menduar|fytyrë|fytyrë që mendohet|mendim
🫡;fytyrë përshëndetëse;diellor|fytyrë përshëndetëse|ok|përshëndetje|po|trupa
🤐;fytyrë me gojën e kyçur;fytyrë|fytyrë me gojën e kyçur|gojë|kyç|zinxhir
🤨;fytyrë me vetull të ngritur;fytyrë me vetull të ngritur|mosbesues|skeptik
😐;fytyrë neutrale;fytyrë|neutral|neutrale|pa lëvizje
😑;fytyrë pa shprehje;fytyrë|fytyrë pa shprehje|nuk shprehet|pa shprehje
😶;fytyrë pa gojë;e heshtur|e qetë|fytyrë|fytyrë pa gojë|gojë
🫥;fytyrë me vijë të pikëzuar;depresiv|fshehje|fytyrë me vijë të pikëzuar|i padukshëm|introvert|zhdukje
😶‍🌫️;fytyrë në re;fytyrë në mjegull|fytyrë në re|i hutuar|kokë në re
😏;fytyrë e vetëkënaqur;e vetëkënaqur|fytyrë|fytyrë e vetëkënaqur
😒;fytyrë e pakënaqur;e mërzitur|e pakënaqur|fytyrë|fytyrë e pakënaqur
🙄;fytyrë me sytë që rrotullohen;fytyrë|fytyrë me sytë që rrotullohen|rrotullim|sy
😬;fytyrë e ngërdheshur;e ngërdheshur|fytyrë|fytyrë e ngërdheshur
😮‍💨;fytyrë me shfryrje;fishkëllimë|fytyrë me shfryrje|lehtësim|psherëtimë|rënkim|shfryrje
🤥;fytyrë mashtrimi;fytyrë|fytyrë mashtrimi|gënjeshtar|mashtrim|pinok
🫨;fytyrë që tundet;dridh|fytyrë|fytyrë që tundet|lëkund|tërmet|tundje
🙂‍↔️;kokë që tundet horizontalisht;jo|kokë që tundet horizontalisht|tundje
🙂‍↕️;kokë që tundet vertikalisht;kokë që tundet vertikalisht|po|shenjë pohimi
😌;fytyrë e lehtësuar;e lehtësuar|fytyrë|fytyrë e lehtësuar
😔;fytyrë e menduar;e menduar|fytyrë|fytyrë e menduar|i brengosur
😪;fytyrë e përgjumur;fle|fytyrë|fytyrë e përgjumur|gjumë
🤤;fytyrë jargëse;fytyrë|fytyrë jargëse|jargë
😴;fytyrë në gjumë;fle|fytyrë|fytyrë në gjumë|gjumë|zzz
