# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;uso unaokenua;kenua|uso|uso unaokenua
😃;uso unaotabasamu wenye macho makubwa;funguliwa|mdomo|tabasamu|uso|uso unaokenua wenye macho makubwa|uso unaotabasamu wenye macho makubwa
😄;uso unaotabasamu wenye macho ya tabasamu;funguliwa|jicho|mdomo|tabasamu|uso|uso unaokenua wenye macho ya tabasamu|uso unaotabasamu wenye macho ya tabasamu
😁;uso uliokenua na macho yanayotabasamu;kenua|macho|tabasamu|uso|uso uliokenua na macho yanayotabasamu
😆;uso unaotabasamu wenye mdomo wazi na macho yaliyofungwa;cheka|mdomo|ridhika|tabasamu|uso|uso unaotabasamu wenye mdomo wazi na macho yaliyofungwa
😅;uso unaotabasamu wenye tone la jasho;aridi|funguliwa|jasho|tabasamu|uso|uso unaotabasamu wenye tone la jasho
🤣;angua kicheko;angua kicheko|cheka|kugaragara|sakafu|uso
😂;uso wenye machozi ya furaha;cheka|chozi|furaha|uso|uso wenye machozi ya furaha
🙂;uso unaotabasamu kwa mbali;tabasamu|uso|uso unaotabasamu kwa mbali
🙃;uso uliogeuzwa juu chini;kugeuzwa juu chini|uso|uso uliogeuzwa juu chini
🫠;uso unaoyeyuka;didimia|fifia|toweka|uso unaoyeyuka|yeyuka
😉;uso unaokonyeza;konyeza|uso|uso unaokonyeza
😊;uso unaotabasamu na macho yanayotabasamu;jicho|tabasamu|uso|uso unaotabasamu na macho yanayotabasamu|wekundu wa uso
😇;uso unaotabasamu ulio na mduara wa mwangaza juu yake;asiye na hatia|duara ya mwangaza|malaika|njozi|tabasamu|uso unaotabasamu ulio na mduara wa mwangaza juu yake
🥰;uso wenye tabasamu na maumbo ya moyo;huba|mapenzi|tamani|uso wenye tabasamu na maumbo ya moyo
😍;uso unaotabasamu wenye macho ya umbo la moyo;jicho|tabasamu|upendo|uso|uso unaotabasamu wenye macho ya umbo la moyo
🤩;uso wenye macho ya nyota;kukenua|macho|nyota|uso|uso wenye macho ya nyota
😘;uso unaotoa busu;busu|uso|uso unaotoa busu
😗;uso unaobusu;busu|uso|uso unaobusu
☺️;uso unaotabasamu;iliyobainishwa|tabasamu|tulivu|uso|uso unaotabasamu
😚;uso unaobusu na macho yaliyofungwa;busu|iliyofungwa|jicho|uso|uso unaobusu na macho yaliyofungwa
😙;uso unaobusu na macho yanayotabasamu;busu|jicho|tabasamu|uso|uso unaobusu na macho yanayotabasamu
🥲;uso unaotabasamu na wenye chozi;asante|chozi|faraja|kujivunia|kutabasamu|kutulia|uso unaotabasamu na wenye chozi
😋;uso unaofurahia chakula kitamu;kufurahia|tabasamu|tamu|uso|uso unaofurahia chakula kitamu|utamu
😛;uso wenye ulimi nje;ulimi|uso|uso wenye ulimi nje
😜;uso unaotoa ulimi nje na kukonyeza jicho;jicho|konyeza|ulimi|uso|uso unaotoa ulimi nje na kukonyeza jicho|utani
🤪;uso wa kutania;jicho|kubwa|ndogo|uso wa kutania
😝;uso wenye makengeza na ulimi unaochomoza;jicho|ladha|mbaya|ulimi|uso|uso unaotoa ulimi nje na kufunga macho kabisa|uso wenye makengeza na ulimi unaochomoza
🤑;uso unaoonyesha pesa ya noti mdomoni;mdomo|pesa|uso|uso unaoonyesha pesa ya noti mdomoni
🤗;uso unaokumbatia;kukumbatia|kumbatia|uso|uso unaokumbatia
🤭;uso uliofunika mdomo kwa mkono;lo!|uso uliofunika mdomo kwa mkono
🫢;uso wenye macho wazi na mkono kwenye mdomo;aibu|kushangaa|kustaajabu|kutoamini|mshangao|uso wenye macho wazi na mkono kwenye mdomo|woga
🫣;uso wenye macho yanayochungulia;chungulia|kodolea|uso wenye macho yanayochungulia|vutiwa
🤫;uso unaonyamazisha;kimya|nyamaza|uso unaonyamazisha
🤔;uso unaotafakari;kufikiri|uso|uso unaotafakari
🫡;uso unaopiga saluti;jeshi|ndiyo|saluti|sawa|uchangamfu|uso unaopiga saluti
🤐;uso uliofungwa mdomo kwa zipu;mdomo|uso|uso uliofungwa mdomo kwa zipu|zipu
🤨;uso wenye nyusi zilizoinuka;kushuku|tuhumu|uso wenye nyusi zilizoinuka
😐;uso uliotulia;bila hisia|kutulia|uso|uso uliotulia
😑;uso uliojikausha;usioeleza chochote|usioonyesha hisia|uso|uso uliojikausha|wenye kujikausha
😶;uso bila mdomo;kimya|kunyamaza|mdomo|uso|uso bila mdomo
🫥;uso uliochorwa kwa vitone;kujificha|kutoonekana|kutoweka|mfadhaiko|mndani|uso uliochorwa kwa vitone
😶‍🌫️;uso kwenye mawingu;fikra za mbali|kichwa katika mawingu|uso katika mawingu|uso kwa ukungu|uso kwenye mawingu
😏;uso unaobeza;beza|uso|uso unaobeza
😒;uso usio na furaha;kukosa furaha|kutofurahi|uso usio na furaha
🙄;usio wenye macho yanayorembua;kubiringika|kurembua|macho|usio wenye macho yanayorembua|uso|uso wenye macho yanayorembua
😬;uso uliokunjwa;kunja|uso|uso uliokunjwa
😮‍💨;uso unaopumua;binja|farijika|kite|kukamata|nong’ona|pumua|uso unaopumua
🤥;uso unaodanganya;kudanganya|pinocchio|uso unaodanganya|uwongo
🫨;uso unaotikisika;kutikisika|mtetemeko|shindo|tetema|uso|uso unaotikisika
🙂‍↔️;;
🙂‍↕️;;
😌;uso uliofarijika;farijika|uso|uso uliofarijika
😔;uso uliozama katika mawazo;huzunishwa|uso|uso uliozama katika mawazo|wenye mawazo
😪;uso unaosinzia;usingizi|uso|uso unaosinzia
🤤;kutema mate;kutema mate|uso
😴;uso unaoonyesha usingizi;kusinzia|usingizi|uso|uso unaoonyesha usingizi
😷;uso uliovaa barakoa ya matibabu;barakoa|daktari|dawa|mafua|mgonjwa|uso|uso uliovaa barakoa ya matibabu
🤒;uso wenye kipimajoto mdomoni;ngonjwa|pima joto|ugonjwa|uso|uso wenye kipimajoto mdomoni
🤕;uso uliofungwa bandeji kichwani;bandeji|kuumia|maumivu|uso|uso uliofungwa bandeji kichwani
🤢;kichefuchefu;kichefuchefu|kizunguzungu|kutapika|uso
🤮;uso unaotapika;mgonjwa|tapika|uso unaotapika
🤧;kupiga chafya;gesundheit|kupiga chafya|uso
🥵;uso wenye joto;homa|joto|joto jingi|kijasho|uso mwekundu|uso wenye joto
🥶;uso wenye baridi;barafu|baridi|kuganda|theluji|uso wa samawati|uso wenye baridi
🥴;uso uliolewa;kilevilevi|kizunguzungu|mlevi|mvinyo|ulevi|uso uliolewa
😵;uso unaoonyesha kuwa na kizunguzungu;kizunguzungu|uso|uso unaoonyesha kuwa na kizunguzungu
😵‍💫;uso wenye macho yanayozunguka;hiponozi|kilevilevi|kuzunguka|tatizo|uso wenye macho yanayozunguka|whoa
🤯;kichwa kinacholipuka;kichwa kinacholipuka|mshtuko
🤠;uso wenye kofia;kofia|uso|uso wenye kofia
🥳;uso wenye kofia ya karamu;filimbi|karamu|kofia|sherehe|uso wenye kofia ya karamu
🥸;uso uliogeuzwa ili kuficha;kujificha|kujifunika|miwani|pua|uso|uso uliogeuzwa ili kuficha
😎;uso unaotabasamu uliovaa miwani;hali ya hewa|inayong’aa|jua|tabasamu|uso unaotabasamu uliovaa miwani|vali la macho|wimani ya jua
🤓;uso wa mjuaji;mjuzi wa teknolojia|mtaalamu wa mambo|uso|uso wa mjuaji
🧐;uso wenye miwani kwenye jicho moja;iliyorembwa|uso wenye miwani kwenye jicho moja
😕;uso uliochanganyikiwa;kuchanganyikiwa|uso|uso uliochanganyikiwa
🫤;uso wenye mdomo uliopinda;kushuku|kusikitika|kutokuwa na uhakika|kutovutiwa|uso wenye mdomo uliopinda
😟;uso ulio na wasiwasi;uso|uso ulio na wasiwasi|wasiwasi
🙁;uso ulionuna kiasi;kununa|uso|uso ulionuna kiasi
☹️;uso ulionuna;kununa|uso|uso ulionuna
😮;uso wenye mdomo ulio wazi;funguliwa|huruma|mdomo|uso|uso wenye mdomo ulio wazi
😯;uso ulionyamaa;kunyamaa|kushangazwa|kustaajabu|uso|uso ulionyamaa
😲;uso uliostaajabu;kabisa|kushtuliwa|kustaajabishwa|uso|uso uliostaajabu
😳;uso uliojawa msisimko;kizunguzungu|sisimka|uso|uso uliojawa msisimko
🥺;uso unaosihi;macho yanayosihi|onea huruma|sihi|uso unaosihi
🥹;uso unaolengwalengwa na machozi;huzuni|kasirika|kiburi|lia|uso unaolengwalengwa na machozi|zuia
😦;uso ulionuna wenye mdomo uliofunguliwa;funguliwa|kununa|mdomo|uso|uso ulionuna wenye mdomo uliofunguliwa
😧;uso unaoonyesha uchungu;uchungu|uso|uso unaoonyesha uchungu
😨;uso unaoogopa;kuhofu|kuogopa|uso|uso unaoogopa|woga
😰;uso wenye wasiwasi unaotokwa na jasho;funguliwa|jasho|jembamba|samawati|sisimka|uso wenye wasiwasi unaotokwa na jasho
😥;Uso wenye huzuni lakini unaoonyesha kufarijika;faraja|kufarijika|kusikitika|uso|Uso wenye huzuni lakini unaoonyesha kufarijika
😢;uso unaolia;chozi|huzuni|lia|uso|uso unaolia
😭;uso unaolia kwa sauti;chozi|huzuni|kulia|lia|uso|uso unaolia kwa sauti
😱;uso unaopiga mayowe ya hofu;kuhofu|kula|kuogopa|mayowe|uso|uso unaopiga mayowe ya hofu|woga
😖;uso ulioshangazwa;kushangazwa|uso|uso ulioshangazwa
😣;uso unaovumilia;kuvumilia|uso|uso unaovumilia
😞;uso uliosikitika;sikitiko|uso|uso uliosikitika
😓;uso wenye huzuni na jasho jembamba;jasho|jembamba|uso|uso wenye huzuni na jasho jembamba
😩;uso unaoonyesha uchovu;kuchoka|uchovu|uso|uso unaoonyesha uchovu
😫;uso uliochoka;uchovu|uso|uso uliochoka
🥱;uso unaopiga miayo;choka|piga miayo|uchovu|uso unaopiga miayo
😤;uso wenye mvuke unaotoka puani;shinda|ushindi|uso|uso wenye mvuke unaotoka puani
😡;uso uliobibidua midomo;bibidua midomo|ghadhabu|hasira|kasirika|nyekundu|uso|uso uliobibidua midomo
😠;uso uliojaa hasira;hasira|kasirika|uso|uso uliojaa hasira
🤬;uso wenye ishara mdomoni;kuapa|uso wenye ishara mdomoni
😈;uso unaotabasamu wenye pembe;kichimbakazi|njozi|pembe|tabasamu|uso|uso unaotabasamu wenye pembe
👿;kishetani;kichimbakazi|kishetani|njozi|pepo|shetani|uso
💀;fuvu;fuvu|kichimbakazi|kifo|uso|zimwi
☠️;fuvu na mifupa;fuvu|fuvu na mifupa|kifo|mifupa|uso|zimwi
💩;kinyesi;kibonzo|kinyesi|mavi|uso|zimwi
🤡;katuni;katuni|uso
👹;zimwi;kichimbakazi|kijapani|kiumbe|njozi|uso|zimwi
👺;afriti;afriti|kichimbakazi|kijapani|kiumbe|njozi|uso|zimwi
👻;pepo;kichimbakazi|kiumbe|njozi|pepo|uso|zimwi
👽;jitu geni;anga|jitu geni|kitu kisichojulikana kinachopaa hewani|kiumbe|njozi|zimwi
👾;dubwana geni;anga|dubwana geni|geni|kitu kisichojulikana kinachopaa hewani|kiumbe|njozi|zimwi
🤖;roboti;roboti|uso|zimwi
