[smileys_emotion]
😀;sefatlhego se se ntshitseng meno;ntsha meno|sefatlhego|sefatlhego se se ntshitseng meno
😃;sefatlhego se se nyenyang ka molomo o o bulegileng;bulegile|molomo|nyenya|sefatlhego|sefatlhego se se nyenyang ka molomo o o bulegileng
😄;sefatlhego se se nyenyang ka molomo o o bulegileng le matlho a a nyenyang;bulega|matlho|molomo|nyenya|sefatlhego|sefatlhego se se nyenyang ka molomo o o bulegileng le matlho a a nyenyang
😁;sefatlhego se se ntshitseng meno le matlho a a nyenyang;matlho|ntsha meno|nyenya|sefatlhego|sefatlhego se se ntshitseng meno le matlho a a nyenyang
😆;sefatlhego se se nyenyang ka molomo o o bulegileng le matlho a a tswalegileng;bulegile|kgotsofetse|molomo|nyenya|sefatlhego|sefatlhego se se nyenyang ka molomo o o bulegileng le matlho a a tswalegileng|tshega
😅;sefatlhego se se nyenyang ka molomo o o bulegileng le mofufutso o o tsididi;bulegile|fufula|nyenya|sefatlhego|sefatlhego se se nyenyang ka molomo o o bulegileng le mofufutso o o tsididi|tsididi
🤣;bidikama fa fatshe ka ditshego;bidikama|bidikama fa fatshe ka ditshego|boalo|sefatlhego|tshega
😂;sefatlhego ka dikeledi tsa boitumelo;boipelo|keledi|sefatlhego|sefatlhego ka dikeledi tsa boitumelo|tshega
🙂;sefatlhego se se nyenyang go sekae;nyenya|sefatlhego|sefatlhego se se nyenyang go sekae
🙃;sefatlhego se se lebileng kwa tlase;lebile kwa tlase|sefatlhego|sefatlhego se se lebileng kwa tlase
🫠;;
😉;sefatlhego se se tsipang leitlho;sefatlhego|sefatlhego se se tsipang leitlho|tsipa leitlho
😊;sefatlhego se se nyenyang ka matlho a a nyenyang;ditlhong|leitlho|nyenya|sefatlhego|sefatlhego se se nyenyang ka matlho a a nyenyang
😇;sefatlhego se se nyenyang ka halo;dijo tsa ditoro|halo|leinane|moengele|nyenya|sefatlhego|sefatlhego se se nyenyang ka halo|tlhoka molato
🥰;;
😍;sefatlhego se se nyenyang ka matlho a pelo;leitlho|lorato|nyenya|sefatlhego|sefatlhego se se nyenyang ka matlho a pelo
🤩;itewa ke naledi;itewa ke naledi|matlho|naledi|ntsha meno|sefatlhego
😘;sefatlhego se se butswelang moatlo;moatlo|sefatlhego|sefatlhego se se butswelang moatlo
😗;sefatlhego sa go atla;moatlo|sefatlhego|sefatlhego sa go atla
☺️;sefatlhego sa go nyenya;dirilwe aotlelaene|nyenya|repileng|sefatlhego|sefatlhego sa go nyenya
😚;sefatlhego sa go atla ka matlho a tswalegile;leitlho|moatlo|sefatlhego|sefatlhego sa go atla ka matlho a tswalegile|tswalegile
😙;sefatlhego sa go atla ka matlho a a nyenyang;leitlho|moatlo|nyanya|sefatlhego|sefatlhego sa go atla ka matlho a a nyenyang
🥲;;
😋;sefatlhego sa motho a utlwa dijo tse di rokotsang mathe;latswa monate|nyenya|rokotsa mathe|sefatlhego|sefatlhego sa motho a utlwa dijo tse di rokotsang mathe|um|yum
😛;sefatlhego ka leleme le tswetse ntle;leleme|sefatlhego|sefatlhego ka leleme le tswetse ntle
😜;sefatlhego ka leleme le tswetse ntle le leitlho le tsipilwe;leitlho|leleme|motlae|sefatlhego|sefatlhego ka leleme le tswetse ntle le leitlho le tsipilwe|tsipa leitlho
🤪;sefatlhego sa botsenwa;kgolo|leitlho|nnye|sefatlhego sa botsenwa
😝;sefatlhego ka leleme le tswetse ntle le matlho a tswetswe;leitlho|leleme|meswe thata|sefatlhego|sefatlhego ka leleme le tswetse ntle le matlho a tswetswe|tatso
🤑;sefatlhego sa madi mo ganong;madi|molomo|sefatlhego|sefatlhego sa madi mo ganong
🤗;sefatlhego se se tlamparelang;sefatlhego|sefatlhego se se tlamparelang|tlamparela|tlamparelang
🤭;sefatlhego ka letsogo mo molomong;mogoo|sefatlhego ka letsogo mo molomong
🫢;;
🫣;;
🤫;sefatlhego se se didimatsang;didimala|sefatlhego se se didimatsang|tuulala
🤔;sefatlhego se se akanyang;akanyang|sefatlhego|sefatlhego se se akanyang
🫡;;
🤐;sefatlhego sa go tswala molomo ka zip;molomo|sefatlhego|sefatlhego sa go tswala molomo ka zip|setswala ka zip
🤨;sefatlhego ka dintshi tse di isitsweng godimo;sa tshepe|sa tshepe sepe|sefatlhego ka dintshi tse di isitsweng godimo
😐;sefatlhego se se magareng;magareng|pane e e suleng|sefatlhego|sefatlhego se se magareng
😑;sefatlhego se se sa bontsheng maikutlo;sa bontsheng maikutlo|sa kgoneng go bontsha maikutlo|se nang maikutlo|sefatlhego|sefatlhego se se sa bontsheng maikutlo
😶;sefatlhego go se na molomo;didimala|molomo|sefatlhego|sefatlhego go se na molomo|tuulala
🫥;;
😶‍🌫️;;
😏;sefatlhego sa lonyatso;bontsha lenyatso|sefatlhego|sefatlhego sa lonyatso
😒;sefatlhego se se sa tshegeng;sa itumela|sa tshege|sefatlhego|sefatlhego se se sa tshegeng
🙄;sefatlhego ka matlho a a dikologang;dikologa|matlho|sefatlhego|sefatlhego ka matlho a a dikologang
😬;sefatlhego se se sontseng;sefatlhego|sefatlhego se se sontseng|sonya
😮‍💨;;
🤥;sefatlhego sa go bua maaka;maaka|pinocchio|sefatlhego|sefatlhego sa go bua maaka
🫨;;
🙂‍↔️;;
🙂‍↕️;;
😌;sefatlhego se se wetseng makgwafo;sefatlhego|sefatlhego se se wetseng makgwafo|wela makgwafo
😔;sefatlhego sa motho a akanya;akanya|latlhwa|sefatlhego|sefatlhego sa motho a akanya
😪;sefatlhego se se boroko;robala|sefatlhego|sefatlhego se se boroko
🤤;sefatlhego sa go dutla mathe ganong;dutla mathe ganong|sefatlhego|sefatlhego sa go dutla mathe ganong
😴;sefatlhego sa go robala;robala|sefatlhego|sefatlhego sa go robala|zzz
😷;sefatlhego sa seipipo sa bongaka;bongaka|lwala|ngaka|sefatlhego|sefatlhego sa seipipo sa bongaka|seipipo|tsididi
🤒;sefatlhego sa selekanya mogote;lwala|sefatlhego|sefatlhego sa selekanya mogote|selekanya mogote
🤕;sefatlhego ka sehaphatlhogo;gobala|sefatlhego|sefatlhego ka sehaphatlhogo|sehapi|utlwa botlhoko
🤢;sefatlhego sa go feroga dibete;feroga dibete|sefatlhego|sefatlhego sa go feroga dibete|tlhatsa
🤮;sefatlhego sa motho a tlhatsa;lwala|sefatlhego sa motho a tlhatsa|tlhatsa
🤧;sefatlhego sa go ethimola;ethimola|o segofale|sefatlhego|sefatlhego sa go ethimola
🥵;;
🥶;;
🥴;;
😵;sefatlhego sa sedidi;sedidi|sefatlhego|sefatlhego sa sedidi
😵‍💫;;
🤯;tlhogo e e thunyang;tlhogo e e thunyang|tshogile
🤠;sefatlhego sa hutshe ya modisa;hutshe|modisa|modisa wa mosetsana|sefatlhego|sefatlhego sa hutshe ya modisa
🥳;;
🥸;;
😎;sefatlhego se se nyenyang ka diborele tsa letsatsi;diborele tsa letsatsi|galalela|galase|letsatsi|matlho|nyenya|se se rwalwang mo matlhong|sefatlhego|sefatlhego se se nyenyang ka diborele tsa letsatsi|tsiditsana
🤓;sefatlhego sa tapisego;borega|sefatlhego|sefatlhego sa tapisego|tapisego
🧐;sefatlhego ka diborele;nkga|sefatlhego ka diborele
😕;sefatlhego sa kakabalo;akabetse|sefatlhego|sefatlhego sa kakabalo
🫤;;
😟;sefatlhego sa go tshwenyega;sefatlhego|sefatlhego sa go tshwenyega|tshwenyega
🙁;sefatlhego se se menneng phatlha go sekae;mena phatlha|sefatlhego|sefatlhego se se menneng phatlha go sekae
☹️;sefatlhego se se menneng phatlha;mena phatlha|sefatlhego|sefatlhego se se menneng phatlha
😮;sefatlhego ka molomo o o bulegileng;bulegile|molomo|sefatlhego|sefatlhego ka molomo o o bulegileng|utlwela botlhoko
😯;sefatlhego se se didimaditsweng;akabala|didimatswa|gakgamala|sefatlhego|sefatlhego se se didimaditsweng
😲;sefatlhego se se gakgametseng;gakgametse|gotlhelele|sefatlhego|sefatlhego se se gakgametseng|tshogile
😳;sefatlhego sa ditlhong;akabetse|ditlhong|sefatlhego|sefatlhego sa ditlhong
🥺;;
🥹;;
😦;sefatlhego se se menneng phatlha ka molomo o o bulegileng;bulegile|mena phatlha|molomo|sefatlhego|sefatlhego se se menneng phatlha ka molomo o o bulegileng
😧;sefatlhego sa kutlobotlhoko;kutlobotlhoko|sefatlhego|sefatlhego sa kutlobotlhoko
😨;sefatlhego sa poifo;boifa|sefatlhego|sefatlhego sa poifo|tlala poifo|tshaba
😰;sefatlhego ka molomo o o bulegileng le mofufutso o o tsididi;bulega|itlhaganedisiwa|mofufutso|molomo|pududu|sefatlhego|sefatlhego ka molomo o o bulegileng le mofufutso o o tsididi|tsididi
😥;sefatlhego sa go swaba mme gone wetse makgwafo;sefatlhego|sefatlhego sa go swaba mme gone wetse makgwafo|swaba|tjo|wela makgwafo
😢;sefatlhego se se lelang;keledi|lela|sefatlhego|sefatlhego se se lelang|utlwa botlhoko
😭;sefatlhego se se lelelang godimo;keledi|lela|sefatlhego|sefatlhego se se lelelang godimo|sisa pelo|utlwa botlhoko
😱;sefatlhego sa motho a goa ka poifo;boifa|goa|sefatlhego|sefatlhego sa motho a goa ka poifo|tlala poifo|tlhafuna|tshaba
😖;sefatlhego se se akanyetsang teng;akanyetsa kwa teng|sefatlhego|sefatlhego se se akanyetsang teng
😣;sefatlhego sa boitshoko;itshoka|sefatlhego|sefatlhego sa boitshoko
😞;sefatlhego sa tshwabo;sefatlhego|sefatlhego sa tshwabo|swaba
😓;sefatlhego ka mofufutso o o tsididi;fufula|sefatlhego|sefatlhego ka mofufutso o o tsididi|tsididi
😩;sefatlhego sa go lapa;lapa|lapileng|sefatlhego|sefatlhego sa go lapa
😫;sefatlhego se se lapileng;lapile|sefatlhego|sefatlhego se se lapileng
🥱;;
😤;sefatlhego ka mofufutso mo nkong;fentse|phenyo|sefatlhego|sefatlhego ka mofufutso mo nkong
😡;sefatlhego sa go tsupula molomo;galefa|hibila|kgalefo|sefatlhego|sefatlhego sa go tsupula molomo|tšararego|tsupula molomo
😠;sefatlhego sa kgalefo;galefa|kgalefo|sefatlhego|sefatlhego sa kgalefo
🤬;sefatlhego ka matshwao mo molomong;sefatlhego ka matshwao mo molomong|tlhapatsa
