[smileys_emotion]
😀;mata fiefia;fiefia|mata|ngutu
😃;mata fiefia moe kanoʻimata lalahi;fiefia|kanoʻimata|mata|mata fiefia moe kanoʻimata lalahi|ngutu
😄;mata fiefia moe kanoʻimata malimali;fiefia|kanoʻimata|mata|mata fiefia moe kanoʻimata malimali|ngutu
😁;mata ina moe kanoʻimata malimali;ina|kanoʻimata|mata|mata ina moe kanoʻimata malimali|ngutu
😆;mata fiefia moe tetepa;fiefia|mata|mata fiefia moe tetepa|ngutu|tetepa
😅;mata fiefia moe tautaʻa;fiefia|mata|mata fiefia moe tautaʻa|ngutu|tautaʻa
🤣;mata kata moe teka faliki;kata|mata|mata kata moe teka faliki|ngutu|teka
😂;mata moe loʻimata fiefia;fiefia|loʻimata|mata|mata moe loʻimata fiefia|ngutu
🙂;mata kiʻi malimali;malimali|mata|mata kiʻi malimali
🙃;mata fulihi;fulihi|malimali|mata
🫠;mata vaia;mata|puli|vaia
😉;mata fakakuitaha;fakakuitaha|malimali|mata
😊;mata malimali moe kanoʻimata malimali;kanoʻimata|malimali|mata|mata malimali moe kanoʻimata malimali
😇;mata malimali moe takaniko;malimali|mata|mata malimali moe takaniko|takaniko
🥰;mata malimali moe mafu ʻe 3;3|mafu|malimali|mata|mata malimali moe mafu ʻe 3
😍;mata malimali moe kanoʻimata mafu;kanoʻimata|mafu|malimali|mata|mata malimali moe kanoʻimata mafu
🤩;mata fetuʻu;fetuʻu|kanoʻimata|mata
😘;mata ʻoku puhi ʻae ʻuma;ʻuma|mafu|mata|mata ʻoku puhi ʻae ʻuma|puhi
😗;mata ʻuma;ʻuma|mata
☺️;mata malimali;malimali|mata
😚;mata ʻuma moe kanoʻimata kuikui;ʻuma|kanoʻimata|kuikui|mata|mata ʻuma moe kanoʻimata kuikui
😙;mata ʻuma moe kanoʻimata malimali;ʻuma|kanoʻimata|malimali|mata|mata ʻuma moe kanoʻimata malimali
🥲;mata malimali moe loʻimata;loʻimata|malimali|mata|mata malimali moe loʻimata
😋;mataʻi ʻuakai;ʻelelo|ʻuakai|ifo|mata|mataʻi ʻuakai
😛;mata moe ʻelelo;ʻelelo|mata|mata moe ʻelelo|ngutu
😜;mata kuitaha moe ʻelelo;ʻelelo|kuitaha|mata|mata kuitaha moe ʻelelo|ngutu
🤪;mata masoli;ʻelelo|kanoimata|masoli|mata|ngutu
😝;mata tetepa moe ʻelelo;ʻelelo|mata|mata tetepa moe ʻelelo|ngutu|tetepa
🤑;mata ngutu-paʻanga;ʻelelo|mata|mata ngutu-paʻanga|ngutu|paʻanga
🤗;mata fāʻufua moe nima-homo;fāʻufua|kula|mata|mata fāʻufua moe nima-homo|nima-homo
🤭;mata moe nima ʻi muʻa ʻoe ngutu;ʻufiʻufi|kula|mata|mata moe nima ʻi muʻa ʻoe ngutu|ngutu|nima
🫢;mata matalahi moe nima ʻi muʻa ʻoe ngutu;ʻohovale|mata|mata matalahi moe nima ʻi muʻa ʻoe ngutu|ngutu|teteki
🫣;mata moe foʻimata tauasi;foʻimata|ilifia|mata|mata moe foʻimata tauasi|tauasi
🤫;mata fiemaʻu fakalongolongo;fakalongolongo|mata|mata fiemaʻu fakalongolongo
🤔;mataʻi fakakaukau;fakakaukau|mata|mataʻi fakakaukau
🫡;mata fetapa;fetapa|mata|salute
🤐;mata moe ngutu meʻa-fakamaʻu-fusi;mata|mata moe ngutu meʻa-fakamaʻu-fusi|meʻa-fakamaʻu-fusi|ngutu
🤨;mata moe kemo mahiki;kemo|mahiki|mata|mata moe kemo mahiki
😐;mata noa pē;ʻatā|mata|mata noa pē|noa
😑;mata matanoa;mata|matanoa
😶;mata taʻengutu;mata|ngutu|taʻengutu
🫥;mata fakalaine toti;mata|mata fakalaine toti|puli|taʻehāmai|toti
😶‍🌫️;mata ʻihe ʻao;ʻao|lotoʻāvea|mata|mata ʻihe ʻao
😏;mata katakata manuki;katakata|manuki|mata
😒;mata taʻefiefia;mata|taʻefiefia
🙄;mata kilokilo;kilokilo|mata
😬;mata mioʻi;ina|mata|mata mioʻi|mio
😮‍💨;mata hō;fiemālie|hō|mata
🤥;mata moe ihu lōloa;ihu|lōloa|mata|mata moe ihu lōloa
🫨;mata tete;lulu|mafuike|mata tete|ngalulu|tete
🙂‍↔️;mata kalokalo;kalo|mata|mata kalokalo|tete
🙂‍↕️;mata kamokamo;kamo|mata|mata kamokamo|tete
😌;mata fakanongononga;fakanongononga|mata
