[smileys_emotion]
😀;tirjaygan yuz;tirjaygan yuz|tirjayish|yuz
😃;og‘zini katta ochib kulayotgan yuz;ochiq|og‘iz|og‘zini katta ochib kulayotgan yuz|tabassum|yuz
😄;tabassum, og‘iz ochiq, ko‘zlar qisilgan;ko‘z|ko‘zlar qisilgan|ochiq|og‘iz|tabassum|tabassum, og‘iz ochiq, ko‘zlar qisilgan|yuz
😁;tirjaygan yuz, qisilgan ko‘zlar;ko‘z|qisilgan ko‘zlar|tabassum|tirjaygan yuz|tirjaygan yuz, qisilgan ko‘zlar|tirjayish|yuz
😆;og‘zini katta ochib kulayotgan yuz va qattiq yumilgan ko‘zlar;kulgu|mamnun|ochiq|og‘iz|og‘zini katta ochib kulayotgan yuz va qattiq yumilgan ko‘zlar|tabassum|yuz
😅;og‘zini katta ochib kulayotgan yuz va sovuq ter;ochiq|og‘zini katta ochib kulayotgan yuz va sovuq ter|sovuq|tabassum|ter|yuz
🤣;qotib kulayotgan;kulayotgan|qahqaha|qotib|yuz
😂;quvonch ko‘z yoshlari;ko‘z yosh|kulgu|quvonch|quvonch ko‘z yoshlari|yuz
🙂;yengilgina kulayotgan yuz;tabassum|yengilgina kulayotgan yuz|yuz
🙃;to‘ntarilgan yuz;to‘ntarilgan|yuz
🫠;erib ketayotgan yuz;erib ketayotgan yuz|erish|suyuqlik|yo‘qolish
😉;ko‘z qisish;ko‘z qisish|yuz
😊;tabassum va kulib turgan ko‘zlar;ko‘z|qizarish|tabassum|tabassum va kulib turgan ko‘zlar|yuz
😇;tabassum, bosh ustida gardish;begunoh|bosh ustida gardish|fantaziya|farishta|gardish|tabassum|tabassum, bosh ustida gardish|yuz
🥰;yurakchalari bor jilmaygan yuz;jilmaygan|kulish|oshiq|sevgi|sevib qolgan|yurakcha|yurakchalari bor jilmaygan yuz
😍;tabassum va yurak shaklidagi ko‘zlar;ko‘z|sevgi|tabassum|tabassum va yurak shaklidagi ko‘zlar|yurak|yuz
🤩;ko‘zlarda yulduzcha;ko‘zlarda yulduzcha
😘;bo‘sa yuborayotgan yuz;bo‘sa yuborayotgan yuz|o‘pish|yurak|yuz
😗;bo‘sa olayotgan yuz;bo‘sa olayotgan yuz|o‘pish|yuz
☺️;kulayotgan yuz;kulayotgan yuz|tabassum|xotirjam|yuz
😚;bo‘sa olayotgan yuz va yumilgan ko‘zlar;bo‘sa olayotgan yuz va yumilgan ko‘zlar|ko‘z|o‘pish|yumilgan|yuz
😙;bo‘sa olayotgan yuz va kulayotgan ko‘zlar;bo‘sa olayotgan yuz va kulayotgan ko‘zlar|ko‘z|o‘pish|tabassum|yuz
🥲;koʻz yoshi bilan jilmaygan yuz;faxr|jilmayish|koʻz yoshi|koʻz yoshi bilan jilmaygan yuz|minnatdor|taʼsirlanish|tinchlanish
😋;mazali taomni tatib ko‘rgan til;mazali|mazali taomni tatib ko‘rgan til|oh|shirin|tabassum|tatib ko‘rish|yuz
😛;tilini chiqarib turgan yuz;til|tilini chiqarib turgan yuz|yuz
😜;tilini chiqarib turgan va ko‘zi qisilgan yuz;hazil|ko‘z|ko‘z qisish|til|tilini chiqarib turgan va ko‘zi qisilgan yuz|yuz
🤪;ahmoq yuz;ahmoq yuz
😝;tilini chiqarib turgan va ko‘zlari qattiq qisilgan yuz;ko‘z|qo‘rqinchli|tatib ko‘rish|til|tilini chiqarib turgan va ko‘zlari qattiq qisilgan yuz|yuz
🤑;og‘zi pul yuz;og‘iz|og‘zi pul yuz|pul|yuz
🤗;quchayotgan yuz;quchayotgan yuz|quchish|quchoq|yuz
🤭;og‘izni qo‘l bilan yopish;og‘izni qo‘l bilan yopish
🫢;ogʻzini qoʻli bilan yopgan yuz;hayrat|ishonchsizlik|ogʻzini qoʻli bilan yopgan yuz|qoʻrquv|taajjub|xijolat|xushxabar
🫣;moʻralayotgan yuz;chirqillash|maftunkor|moʻralayotgan yuz|tikilish
