[smileys_emotion]
😀;Ojú tó rɛ́rìn;fɛyín|ojú|Ojú tó rɛ́rìn
😃;Ojú tó rɛ́rìn Pɛ̀lú Ɛnu Lílà sílɛ̀;ɛnu|ojú|Ojú tó rɛ́rìn Pɛ̀lú Ɛnu Lílà sílɛ̀|rɛ́rìń músɛ́|shí
😄;ojú tó ń rɛ́rìń músɛ́ pɛ̀lú ɛnu lílà sílɛ̀ àti ɛyinjú tó ń rkrìń músɛ́;ɛnu|ɛyinjú|ojú|ojú tó ń rɛ́rìń músɛ́ pɛ̀lú ɛnu lílà sílɛ̀ àti ɛyinjú tó ń rkrìń músɛ́|rɛ́rìń músɛ́|shí
😁;Ojú tó fɛyín pɛ̀lú Ɛyinjú tó rɛ́rìn músɛ́;ɛyinjú|fɛyín|ojú|Ojú tó fɛyín pɛ̀lú Ɛyinjú tó rɛ́rìn músɛ́|rɛ́rìn músɛ́
😆;ojú tó ń rɛ́rìń músɛ́ pɛ̀lú ɛnu lílà sílɛ̀ àti òógùn tútù;ɛnu|ɛ̀rín|ìtɛ́larùn|ojú|ojú tó ń rɛ́rìń músɛ́ pɛ̀lú ɛnu lílà sílɛ̀ àti òógùn tútù|rɛ́rìń músɛ́
😅;ojú tó ń rɛ́rìń pɛ̀lú ɛnu lílà sílɛ̀ àti òógùn;ojú|ojú tó ń rɛ́rìń pɛ̀lú ɛnu lílà sílɛ̀ àti òógùn|òógùn|òtútù|rɛ́rìń músɛ́|shí
🤣;Yíyí ní ilɛ̀nlɛ̀ tún rɛ́rìn;ilɛ̀|ojú|rɛ́rìń|yíyí|Yíyí ní ilɛ̀nlɛ̀ tún rɛ́rìn
😂;Ojú pɛ̀lú ɛkún ayɔ̀;àyɔ̀|ɛkún|ɛ̀rín|ojú|Ojú pɛ̀lú ɛkún ayɔ̀
🙂;Oju Ti O N Rɛrin Mushɛn;ojú|Oju Ti O N Rɛrin Mushɛn|rɛ́rín músɛ́
🙃;Oju Ti O Rɔ walɛ;dojú kodò|ojú|Oju Ti O Rɔ walɛ
🫠;Oju Ti O tɛ̀;Oju Ti O tɛ̀|olómi|parɛ́|tɛ|wó
😉;Ojú tó shɛ́jù;ojú|Ojú tó shɛ́jù|shɛ́jú
😊;Ojú tó rɛ́rìn Músɛ́ Pɛ̀lú Ɛyinjú tó rɛ́rìn Músɛ́;ɛyinjú|ojú|Ojú tó rɛ́rìn Músɛ́ Pɛ̀lú Ɛyinjú tó rɛ́rìn Músɛ́|rɛ́rìń ìtìjù|rɛ́rìń músɛ́
😇;Oju Ɛrin Ati Bawo;àlá|àla fú ɔmɔdé|aláìshɛ̀|àńgɛ́lì|báwo|ojú|Oju Ɛrin Ati Bawo|rɛ́rìn músɛ́
🥰;ojú erin pelu okan;ɛyinjú|kɛ́|ní ìfɛ́|ojú erin pelu okan|oju tí ó ń rɛ́rìn pɛ̀lú ɔkàn|ɔkàn
😍;Oju Ti O N Rɛrin Pɛlu awɔn oju Ɔkan;ɛyinjú|ìfɛ́|ojú|Oju Ti O N Rɛrin Pɛlu awɔn oju Ɔkan|rɛ́rìn músɛ́
🤩;Pípa pè̩lú ìràwɔ̀;ɛyinjú|ìràwɔ̀|ojú|Pípa pè̩lú ìràwɔ̀|Rɛ́rìn-ín ìyàlé̩nu
😘;Oju Ti O N Fɛ Ifɛnuko;ìfɛnukonu|ojú|Oju Ti O N Fɛ Ifɛnuko
😗;Ojú tó Fɛnuko ɛnu;ìfɛnukonu|ojú|Ojú tó Fɛnuko ɛnu
☺️;ojú tó ń rɛ́rìń músɛ́;ìgbafɛ́|ìlànà|ojú|ojú tó ń rɛ́rìń músɛ́|rɛ́rìń músɛ́
😚;Oju Ti O N Fɛnuko Pɛlu Awɔn Oju didi;ɛyinjú|ìfɛnukonu|ojú|Oju Ti O N Fɛnuko Pɛlu Awɔn Oju didi|ti padé
😙;Ojú tó Fɛnuko ɛnu Pɛ̀lú Ɛyinjú tɔ rɛ́rìn Músɛ́;ɛyinjú|ìfɛnukonu|ojú|Ojú tó Fɛnuko ɛnu Pɛ̀lú Ɛyinjú tɔ rɛ́rìn Músɛ́|rɛ́rìń músɛ́
🥲;ojú ɛ̀rín pɛ̀lú ɛkún;ekún|fɔwɔ́kàn|gbéraga|more|ojú ɛ̀rín pɛ̀lú ɛkún|rɛ́rìń músɛ́|rɛ́rìń músɛ́ pɛ̀lú ɛkún|simi
