[smileys_emotion]
😀;笑臉;微笑|笑臉|臉
😃;大眼睛笑臉;嘴|大眼睛笑臉|微笑|打開|臉
😄;笑臉同微笑眼睛;嘴|微笑|打開|眼|笑臉同微笑眼睛|臉
😁;帶著微笑眼睛嘅歡欣臉孔;光著臉同微笑眼睛|咧嘴笑|帶著微笑眼睛嘅歡欣臉孔|微笑|眼|臉
😆;瞇著笑嘅臉;嘴|微笑|打開|滿意|瞇著笑嘅臉|笑|臉
😅;出汗嘅笑臉;凍|出汗嘅笑臉|微笑|打開|汗|臉
🤣;笑到碌地;地下|碌地|笑|笑到碌地|臉
😂;有開心眼淚嘅臉;快樂|有開心眼淚嘅臉|眼淚|笑|臉
🙂;咪咪笑嘅臉;咪咪笑嘅臉|微笑|臉
🙃;上下倒轉嘅臉;上下倒轉|上下倒轉嘅臉|臉
🫠;溶咗嘅臉;消失|液體|溶|溶咗嘅臉|熔咗
😉;眨眼嘅臉;眨眼|眨眼嘅臉|臉
😊;微笑嘅臉同微笑嘅眼睛;微笑|微笑嘅臉同微笑嘅眼睛|眼|腮紅|臉
😇;頭頂有光環嘅笑臉;光環|天使|天真|童話故事|頭頂有光環嘅笑臉
🥰;有三個心微笑嘅臉;崇拜|戀愛|有三個心微笑嘅臉|粉碎
😍;有心眼微笑嘅臉;微笑|愛|有心眼微笑嘅臉|眼|臉
🤩;明星臉;咧嘴笑|明星|明星臉|眼睛|臉
😘;飛吻嘅臉;吻|臉|飛吻嘅臉
😗;親吻嘅臉;吻|臉|親吻嘅臉
☺️;微笑嘅臉;微笑|微笑嘅臉|放鬆|臉|輪廓
😚;親吻嘅臉同合埋嘅眼;合埋|吻|眼|臉|親吻嘅臉同合埋嘅眼
😙;親吻嘅臉同微笑嘅眼;吻|微笑|眼|臉|親吻嘅臉同微笑嘅眼
🥲;流眼淚嘅笑臉;微笑|感動|感激|流眼淚嘅笑臉|眼淚|自豪|鬆了一口氣
😋;為食嘅臉;yum|嗯|好食|微笑|為食嘅臉|臉|試食
😛;伸痢嘅臉;伸痢嘅臉|痢|臉
😜;眨眼同伸痢嘅臉;痢|眨眼|眨眼同伸痢嘅臉|眼|臉|開玩笑
🤪;瘋狂嘅臉;大|瘋狂嘅臉|眼|細
😝;瞇眼同伸痢嘅臉;恐佈|痢|眼|瞇眼同伸痢嘅臉|臉|試味
🤑;錢嘴嘅嬐;嘴|臉|錢|錢嘴嘅嬐
🤗;擁抱嘅臉;擁抱|擁抱嘅臉|攬|臉
🤭;用手掩口嘅臉;呼叫|用手掩口嘅臉
🫢;用手掩口同開眼嘅臉;唔信|尷尬|敬畏|用手掩口同開眼嘅臉|驚|驚喜|驚奇
🫣;偷睇嘅臉;偷睇|偷睇嘅臉|盯住|著迷
🤫;噓嘅臉;噓|噓嘅臉|靜
🤔;諗野嘅臉;臉|諗野|諗野嘅臉
🫡;敬禮嘅臉;係|好嘅|好曬|敬禮|敬禮嘅臉|部隊
🤐;拉鍊嘴嘅臉;嘴|拉鍊|拉鍊嘴嘅臉|臉
🤨;眉毛升起嘅臉;懷疑|懷疑嘅人|眉毛升起嘅臉
😐;自然嘅臉;無表情|臉|自然|自然嘅臉
😑;無表情嘅臉;唔客氣|無表情|無表情嘅臉|無表達|臉
😶;無咀嘅臉;嘴|無咀嘅臉|無聲|臉|靜
🫥;虛線嘅臉;內向|消失|無形|虛線嘅臉|隱藏|鬱悶
😶‍🌫️;雲嘅臉孔;心不在焉|雲中嘅臉|雲中嘅頭|雲嘅臉孔|霧中嘅臉
😏;傻笑臉;傻笑|傻笑臉|臉
😒;垂頭喪氣嘅臉;唔開心|垂頭喪氣|垂頭喪氣嘅臉|臉
🙄;圓碌碌大眼嘅臉;圓碌碌|圓碌碌大眼嘅臉|眼|臉
😬;痛苦嘅臉;痛苦|痛苦嘅臉|臉
😮‍💨;嘆氣嘅臉;吹口哨|呻吟|呼氣|喘氣|嘆氣嘅臉|耳語|鬆一口氣
🤥;講大話嘅臉;木偶奇遇記|臉|講大話|講大話嘅臉
🫨;顫抖嘅臉;地震|臉|震動|顫抖|顫抖嘅臉|驚訝
🙂‍↔️;擰頭;唔使|唔好|擰頭
🙂‍↕️;罨頭;好呀|罨頭
😌;放鬆嘅臉;放鬆|放鬆嘅臉|臉
😔;憂心嘅臉;憂心|憂心嘅臉|沮喪|臉
😪;眼訓嘅臉;眼訓嘅臉|臉|訓覺
🤤;流口水嘅臉;流口水|流口水嘅臉|臉
😴;訓緊覺嘅臉;臉|訓緊覺|訓緊覺嘅臉|訓覺
😷;戴口罩嘅臉;凍|口罩|戴口罩嘅臉|病|臉|藥|醫生
🤒;探緊熱嘅臉;探熱針|探緊熱嘅臉|生病|病|臉
🤕;紥繃帶嘅臉;受傷|損傷|紥繃帶嘅臉|繃帶|臉
🤢;嘔心嘅臉;嘔吐|嘔心|嘔心嘅臉|臉
🤮;嘔吐嘅臉;嘔吐|嘔吐嘅臉|病
🤧;打乞嚏的臉;乞嚏|健康|打乞嚏的臉|臉
🥵;好熱嘅臉;中暑|出汗|好熱嘅臉|熱|狂熱|紅面
🥶;好凍嘅臉;冰|凍|凍傷|凍結|好凍嘅臉|藍色嘅臉
🥴;醉嘅臉;不平嘅眼睛|暈|波浪形嘅嘴|醉|醉嘅臉|陶醉
😵;頭暈嘅臉;臉|頭暈|頭暈嘅臉
😵‍💫;螺旋眼嘅臉;催眠|哇|螺旋|螺旋眼嘅臉|頭暈|麻煩
🤯;爆炸頭;爆炸頭|震驚
🤠;戴牛仔帽嘅臉;帽|戴牛仔帽嘅臉|牛仔|牛女|臉
🥳;開派對嘅臉;帽|慶祝|派對|號角|開派對嘅臉
🥸;面具;假扮|匿名|眼鏡|面|面具|鼻
😎;微笑嘅臉同太陽眼鏡;太陽眼鏡|微笑嘅臉同太陽眼鏡|臉|酷
🤓;書呆子嘅臉;奇怪|書呆子|書呆子嘅臉|臉
🧐;戴單片眼鏡嘅臉;戴單片眼鏡嘅臉|邋遢
😕;迷茫嘅臉;臉|迷茫|迷茫嘅臉
🫤;斜嘴嘅臉;唔確定|嗯|失望|懷疑|斜嘴嘅臉
😟;擔心嘅臉;擔心|擔心嘅臉|臉
🙁;少少皺眉嘅臉;少少皺眉嘅臉|皺眉嘅臉
☹️;皺眉嘅臉;皺眉|皺眉嘅臉|臉
😮;開口嘅臉;同情|嘴|打開|臉|開口嘅臉
😯;沉默嘅臉;嚇驚|沉默|沉默嘅臉|臉|驚訝
😲;驚訝嘅臉;嚇親|完全|臉|驚訝|驚訝嘅臉
😳;臉紅;暈|臉|臉紅
🥺;懇求嘅臉;乞討|小狗嘅眼睛|憐憫|懇求嘅臉
🥹;忍住眼淚嘅臉;傷心|喊|嬲|忍住眼淚嘅臉|抵抗|驕傲
😦;開口皺眉嘅臉;嘴|打開|皺眉|臉|開口皺眉嘅臉
😧;苦惱嘅臉;臉|苦惱|苦惱嘅臉
😨;驚恐嘅臉;害怕|臉|驚恐|驚恐嘅臉|驚慌
😰;滴汗同焦慮嘅臉;匆忙|汗|滴汗同焦慮嘅臉|臉|藍色
😥;傷心但放鬆嘅臉;傷心但放鬆嘅臉|呼|失望|放鬆|臉
😢;喊嘅臉;傷心|喊|喊嘅臉|眼淚|臉
😭;大喊嘅臉;傷心|喊|嗚咽|大喊嘅臉|眼淚|臉
😱;驚到尖叫嘅臉;口震|害怕|懼怕|臉|驚到尖叫嘅臉|驚叫|驚恐
😖;困惑嘅臉;困惑|困惑嘅臉|臉
😣;堅忍不拔嘅臉;堅忍不拔|堅忍不拔嘅臉|臉
😞;失望嘅臉;失望|失望嘅臉|臉
😓;滴汗同沮喪嘅臉;冰冷|汗|滴汗同沮喪嘅臉|臉
😩;好累嘅臉;好累|好累嘅臉|累|臉
😫;累嘅臉;累|累嘅臉|臉
🥱;打喊露嘅臉;悶|打喊露|打喊露嘅臉|累
😤;鼻窿出氣嘅臉;臉|贏|贏咗|鼻窿出氣嘅臉
😡;撅嘴嘅臉;嬲|憤怒|撅嘴|撅嘴嘅臉|發瘋|紅|臉
😠;嬲嘅臉;嬲|嬲嘅臉|發癲|臉
🤬;嘴上有符號嘅臉;嘴上有符號嘅臉|發誓
😈;有牛角嘅笑臉;幻想|微笑|有牛角嘅笑臉|牛角|童話故事|臉
👿;有牛角同嬲嘅臉;妖|幻想|惡魔|有牛角同嬲嘅臉|童話故事|臉|魔鬼
💀;骷髏頭;怪物|死|童話故事|臉|骷髏頭
☠️;骷髏頭同交叉骨;交叉骨|怪物|死亡|臉|骷髏頭|骷髏頭同交叉骨
💩;一堆屎;一堆屎|屎|怪物|漫畫|糞便|臉|臭
🤡;小丑臉;小丑|小丑臉|臉
👹;怪物;幻想|怪物|生物|童話故事|臉
👺;小妖精;小妖精|幻想|怪物|生物|童話故事|臉
👻;鬼;幻想|怪物|生物|童話故事|臉|鬼
👽;外星人;外星人|幻想|童話故事|臉|飛碟
👾;外星怪物;外星人|外星怪物|怪物|臉|飛碟
🤖;機械人臉;怪物|機械人|機械人臉|臉
😺;獰笑嘅貓臉;嘴|微笑|打開|獰笑嘅貓臉|臉|貓
😸;獰笑嘅貓臉同微笑嘅眼;咧嘴笑|微笑|獰笑嘅貓臉同微笑嘅眼|眼|臉|貓
😹;充滿歡樂淚水嘅貓臉;充滿歡樂淚水嘅貓臉|快樂|眼淚|臉|貓
😻;有心形眼嘅微笑貓臉;微笑|愛|有心形眼嘅微笑貓臉|眼|臉|貓
😼;扭歪微笑嘅貓臉;微笑|扭歪|扭歪微笑嘅貓臉|臉|諷刺|貓
😽;親吻嘅貓臉;吻|眼|臉|親吻嘅貓臉|貓
🙀;厭倦嘅貓臉;厭倦|厭倦嘅貓臉|噢|臉|貓|驚訝
😿;喊嘅貓臉;傷心|喊|喊嘅貓臉|眼淚|臉|貓
😾;撅嘴嘅貓臉;撅嘴|撅嘴嘅貓臉|臉|貓
🙈;無眼睇嘅馬騮;無眼睇嘅馬騮|睇|禁止|邪惡|馬騮
🙉;無耳聽嘅馬騮;唔聽野嘅馬騮|無耳聽嘅馬騮|禁止|聽|邪惡|馬騮
🙊;唔講野嘅馬騮;唔講野嘅馬騮|禁止|講|邪惡|馬騮
💌;情信;信|寄信|心|情信|愛情
💘;穿箭嘅心;丘比特|穿箭嘅心|箭
💝;有蝴蝶結嘅心;情人|有蝴蝶結嘅心|蝴蝶結
💖;閃嘅心;興奮|閃|閃嘅心
💗;長大嘅心;緊張|脈動|興奮|長大|長大嘅心
💓;跳動嘅心;心跳|脈動|跳動|跳動嘅心
💞;旋轉嘅心;旋轉|旋轉嘅心
💕;兩個心;兩個心|愛
💟;心形裝飾;心|心形裝飾
❣️;沉重嘅感嘆嘅;感嘆嘅|標點符號|沉重嘅感嘆嘅|符號
💔;破碎嘅心;破碎|破碎嘅心|碎
❤️‍🔥;燒緊嘅心;心|情慾|愛|有疤痕嘅心|燒|燒緊嘅心
❤️‍🩹;包紥嘅心;修補|健康|包紥嘅心|好|復原緊|改善|療傷
❤️;紅色心;心|紅色心
🩷;粉紅色心;可愛|心形|愛情|粉紅|粉紅色心|鍾意
🧡;橙色心;橙色|橙色心
💛;黃色心;黃色|黃色心
💚;綠色心;綠色|綠色心
💙;藍色心;藍色|藍色心
🩵;淺藍色心;心形|淺藍|淺藍色心|青|青色
💜;紫色心;紫色|紫色心
🤎;啡色心;啡色|啡色心|心
🖤;黑色心;邪惡|黑色|黑色心
🩶;灰色心;心形|灰心|灰色|灰色心|銀色
🤍;白色心;心|白色|白色心
💋;唇印;吻|咀唇|唇印
💯;一百分;100|一百分|分數|滿分|百
💢;嬲嘅標誌;嬲|嬲嘅標誌|搞笑|發癲
💥;碰撞;搞笑|碰撞|轟
💫;頭暈;搞笑|星|頭暈
💦;滴汗;搞笑|汗|滴汗|濺
💨;快走;快走|快速|搞笑|跑
🕳️;窿;窿
💬;對話氣球;對話|對話氣球|搞笑|氣球|泡泡|講野
👁️‍🗨️;眼睛泡泡;對話泡泡|眼|眼睛泡泡|見證
🗨️;左對話泡泡;對話|左對話泡泡|講野
🗯️;右邊嬲泡泡;右邊嬲泡泡|嬲|氣球|泡泡|發癲
💭;諗野氣球;搞笑|氣球|泡泡|諗野|諗野氣球
💤;訓覺;搞笑|訓覺

[people_body]
👋;揮手;手|揮手|揮緊手
	👋🏻;揮手: 淺膚色;手|揮手|揮手: 淺膚色|揮緊手|淺膚色
	👋🏼;揮手: 中淺膚色;中淺膚色|手|揮手|揮手: 中淺膚色|揮緊手
	👋🏽;揮手: 中膚色;中膚色|手|揮手|揮手: 中膚色|揮緊手
	👋🏾;揮手: 中深膚色;中深膚色|手|揮手|揮手: 中深膚色|揮緊手
	👋🏿;揮手: 深膚色;手|揮手|揮手: 深膚色|揮緊手|深膚色
🤚;反手舉起;反手|反手舉起|舉起
	🤚🏻;反手舉起: 淺膚色;反手|反手舉起|反手舉起: 淺膚色|淺膚色|舉起
	🤚🏼;反手舉起: 中淺膚色;中淺膚色|反手|反手舉起|反手舉起: 中淺膚色|舉起
	🤚🏽;反手舉起: 中膚色;中膚色|反手|反手舉起|反手舉起: 中膚色|舉起
	🤚🏾;反手舉起: 中深膚色;中深膚色|反手|反手舉起|反手舉起: 中深膚色|舉起
	🤚🏿;反手舉起: 深膚色;反手|反手舉起|反手舉起: 深膚色|深膚色|舉起
🖐️;手指張開;張開|手|手指|手指張開
	🖐🏻;手指張開: 淺膚色;張開|手|手指|手指張開|手指張開: 淺膚色|淺膚色
	🖐🏼;手指張開: 中淺膚色;中淺膚色|張開|手|手指|手指張開|手指張開: 中淺膚色
	🖐🏽;手指張開: 中膚色;中膚色|張開|手|手指|手指張開|手指張開: 中膚色
	🖐🏾;手指張開: 中深膚色;中深膚色|張開|手|手指|手指張開|手指張開: 中深膚色
	🖐🏿;手指張開: 深膚色;張開|手|手指|手指張開|手指張開: 深膚色|深膚色
✋;舉手;手|舉手
	✋🏻;舉手: 淺膚色;手|淺膚色|舉手|舉手: 淺膚色
	✋🏼;舉手: 中淺膚色;中淺膚色|手|舉手|舉手: 中淺膚色
	✋🏽;舉手: 中膚色;中膚色|手|舉手|舉手: 中膚色
	✋🏾;舉手: 中深膚色;中深膚色|手|舉手|舉手: 中深膚色
	✋🏿;舉手: 深膚色;手|深膚色|舉手|舉手: 深膚色
🖖;瓦肯式敬禮手勢;手|手指|敬禮|瓦肯式|瓦肯式敬禮手勢
	🖖🏻;瓦肯式敬禮手勢: 淺膚色;手|手指|敬禮|淺膚色|瓦肯式|瓦肯式敬禮手勢|瓦肯式敬禮手勢: 淺膚色
	🖖🏼;瓦肯式敬禮手勢: 中淺膚色;中淺膚色|手|手指|敬禮|瓦肯式|瓦肯式敬禮手勢|瓦肯式敬禮手勢: 中淺膚色
	🖖🏽;瓦肯式敬禮手勢: 中膚色;中膚色|手|手指|敬禮|瓦肯式|瓦肯式敬禮手勢|瓦肯式敬禮手勢: 中膚色
	🖖🏾;瓦肯式敬禮手勢: 中深膚色;中深膚色|手|手指|敬禮|瓦肯式|瓦肯式敬禮手勢|瓦肯式敬禮手勢: 中深膚色
	🖖🏿;瓦肯式敬禮手勢: 深膚色;手|手指|敬禮|深膚色|瓦肯式|瓦肯式敬禮手勢|瓦肯式敬禮手勢: 深膚色
🫱;向右嘅手;右|向右|向右嘅手|手
	🫱🏻;向右嘅手: 淺膚色;右|向右|向右嘅手|向右嘅手: 淺膚色|手|淺膚色
	🫱🏼;向右嘅手: 中淺膚色;中淺膚色|右|向右|向右嘅手|向右嘅手: 中淺膚色|手
	🫱🏽;向右嘅手: 中膚色;中膚色|右|向右|向右嘅手|向右嘅手: 中膚色|手
	🫱🏾;向右嘅手: 中深膚色;中深膚色|右|向右|向右嘅手|向右嘅手: 中深膚色|手
	🫱🏿;向右嘅手: 深膚色;右|向右|向右嘅手|向右嘅手: 深膚色|手|深膚色
🫲;向左嘅手;向左|向左嘅手|左|手
	🫲🏻;向左嘅手: 淺膚色;向左|向左嘅手|向左嘅手: 淺膚色|左|手|淺膚色
	🫲🏼;向左嘅手: 中淺膚色;中淺膚色|向左|向左嘅手|向左嘅手: 中淺膚色|左|手
	🫲🏽;向左嘅手: 中膚色;中膚色|向左|向左嘅手|向左嘅手: 中膚色|左|手
	🫲🏾;向左嘅手: 中深膚色;中深膚色|向左|向左嘅手|向左嘅手: 中深膚色|左|手
	🫲🏿;向左嘅手: 深膚色;向左|向左嘅手|向左嘅手: 深膚色|左|手|深膚色
🫳;手掌向下;噓|手掌向下|滴|離開
	🫳🏻;手掌向下: 淺膚色;噓|手掌向下|手掌向下: 淺膚色|淺膚色|滴|離開
	🫳🏼;手掌向下: 中淺膚色;中淺膚色|噓|手掌向下|手掌向下: 中淺膚色|滴|離開
	🫳🏽;手掌向下: 中膚色;中膚色|噓|手掌向下|手掌向下: 中膚色|滴|離開
	🫳🏾;手掌向下: 中深膚色;中深膚色|噓|手掌向下|手掌向下: 中深膚色|滴|離開
	🫳🏿;手掌向下: 深膚色;噓|手掌向下|手掌向下: 深膚色|深膚色|滴|離開
🫴;手掌向上;俾|手掌向上|招手|趕過黎|黎
	🫴🏻;手掌向上: 淺膚色;俾|手掌向上|手掌向上: 淺膚色|招手|淺膚色|趕過黎|黎
	🫴🏼;手掌向上: 中淺膚色;中淺膚色|俾|手掌向上|手掌向上: 中淺膚色|招手|趕過黎|黎
	🫴🏽;手掌向上: 中膚色;中膚色|俾|手掌向上|手掌向上: 中膚色|招手|趕過黎|黎
	🫴🏾;手掌向上: 中深膚色;中深膚色|俾|手掌向上|手掌向上: 中深膚色|招手|趕過黎|黎
	🫴🏿;手掌向上: 深膚色;俾|手掌向上|手掌向上: 深膚色|招手|深膚色|趕過黎|黎
🫷;向左推嘅手;停|向左|向左推嘅手|拒絕|推|擊掌|等
	🫷🏻;向左推嘅手: 淺膚色;停|向左|向左推嘅手|向左推嘅手: 淺膚色|拒絕|推|擊掌|淺膚色|等
	🫷🏼;向左推嘅手: 中淺膚色;中淺膚色|停|向左|向左推嘅手|向左推嘅手: 中淺膚色|拒絕|推|擊掌|等
	🫷🏽;向左推嘅手: 中膚色;中膚色|停|向左|向左推嘅手|向左推嘅手: 中膚色|拒絕|推|擊掌|等
	🫷🏾;向左推嘅手: 中深膚色;中深膚色|停|向左|向左推嘅手|向左推嘅手: 中深膚色|拒絕|推|擊掌|等
	🫷🏿;向左推嘅手: 深膚色;停|向左|向左推嘅手|向左推嘅手: 深膚色|拒絕|推|擊掌|深膚色|等
🫸;向右推嘅手;停|向右|向右推嘅手|拒絕|推|擊掌|等
	🫸🏻;向右推嘅手: 淺膚色;停|向右|向右推嘅手|向右推嘅手: 淺膚色|拒絕|推|擊掌|淺膚色|等
	🫸🏼;向右推嘅手: 中淺膚色;中淺膚色|停|向右|向右推嘅手|向右推嘅手: 中淺膚色|拒絕|推|擊掌|等
	🫸🏽;向右推嘅手: 中膚色;中膚色|停|向右|向右推嘅手|向右推嘅手: 中膚色|拒絕|推|擊掌|等
	🫸🏾;向右推嘅手: 中深膚色;中深膚色|停|向右|向右推嘅手|向右推嘅手: 中深膚色|拒絕|推|擊掌|等
	🫸🏿;向右推嘅手: 深膚色;停|向右|向右推嘅手|向右推嘅手: 深膚色|拒絕|推|擊掌|深膚色|等
👌;OK 手勢;OK|OK 手勢|手
	👌🏻;OK 手勢: 淺膚色;OK|OK 手勢|OK 手勢: 淺膚色|手|淺膚色
	👌🏼;OK 手勢: 中淺膚色;OK|OK 手勢|OK 手勢: 中淺膚色|中淺膚色|手
	👌🏽;OK 手勢: 中膚色;OK|OK 手勢|OK 手勢: 中膚色|中膚色|手
	👌🏾;OK 手勢: 中深膚色;OK|OK 手勢|OK 手勢: 中深膚色|中深膚色|手
	👌🏿;OK 手勢: 深膚色;OK|OK 手勢|OK 手勢: 深膚色|手|深膚色
🤌;卒手指;卒|卒手指|嘲笑|手勢|手指|質問
	🤌🏻;卒手指: 淺膚色;卒|卒手指|卒手指: 淺膚色|嘲笑|手勢|手指|淺膚色|質問
	🤌🏼;卒手指: 中淺膚色;中淺膚色|卒|卒手指|卒手指: 中淺膚色|嘲笑|手勢|手指|質問
	🤌🏽;卒手指: 中膚色;中膚色|卒|卒手指|卒手指: 中膚色|嘲笑|手勢|手指|質問
	🤌🏾;卒手指: 中深膚色;中深膚色|卒|卒手指|卒手指: 中深膚色|嘲笑|手勢|手指|質問
	🤌🏿;卒手指: 深膚色;卒|卒手指|卒手指: 深膚色|嘲笑|手勢|手指|深膚色|質問
🤏;捏手;小量|捏手
	🤏🏻;捏手: 淺膚色;小量|捏手|捏手: 淺膚色|淺膚色
	🤏🏼;捏手: 中淺膚色;中淺膚色|小量|捏手|捏手: 中淺膚色
	🤏🏽;捏手: 中膚色;中膚色|小量|捏手|捏手: 中膚色
	🤏🏾;捏手: 中深膚色;中深膚色|小量|捏手|捏手: 中深膚色
	🤏🏿;捏手: 深膚色;小量|捏手|捏手: 深膚色|深膚色
✌️;勝利手勢;v|勝利|勝利手勢|手
	✌🏻;勝利手勢: 淺膚色;v|勝利|勝利手勢|勝利手勢: 淺膚色|手|淺膚色
	✌🏼;勝利手勢: 中淺膚色;v|中淺膚色|勝利|勝利手勢|勝利手勢: 中淺膚色|手
	✌🏽;勝利手勢: 中膚色;v|中膚色|勝利|勝利手勢|勝利手勢: 中膚色|手
	✌🏾;勝利手勢: 中深膚色;v|中深膚色|勝利|勝利手勢|勝利手勢: 中深膚色|手
