[smileys_emotion]
😀;ubuso obusinekile;osinekile|ubuso obusinekile
😃;ubuso obumoyizelayo obuvule umlomo;moyizela|ubuso|ubuso obumoyizelayo obuvule umlomo|umlomo|vula
😄;ubuso obumoyizelayo obuvule umlomo bunamehlo ajabule;ajabule|buvule|ubuso|ubuso obumoyizelayo obuvule umlomo bunamehlo ajabule|umlomo
😁;ubuso obusinekile obunamehlo amoyizelayo;sineka umoyizele|ubuso obusinekile obunamehlo amoyizelayo
😆;ubuso obumoyizelayo buvule umlomo buvale amehlo;aneliseka|moyizela|ubuso|ubuso obumoyizelayo buvule umlomo buvale amehlo|ukuhleka|umlomo|vula
😅;ubuso obumoyizelayo obuvule umlomo nomjuluko obandayo;banda|moyizela|ubuso|ubuso obumoyizelayo obuvule umlomo nomjuluko obandayo|umjuluko|vula
🤣;ngihleka ngiyabhuquza;bhuquza|hleka|ngihleka ngiyabhuquza|phansi|ubuso
😂;ubuso obunezinyembezi zentokozo;intokozo|izinyembezi|ubuso|ubuso obunezinyembezi zentokozo|uhleko
🙂;ubuso obumoyizela kancane;moyizela|ubuso|ubuso obumoyizela kancane
🙃;ubuso obupheke phansi;ubuso|ubuso obupheke phansi|ukubheka phansi
🫠;ubuso obuncibilikayo;amanzi|ncibilika|ubuso obuncibilikayo|ukuncibilika
😉;ubuso obucishe ihlo;cisha ihlo|ubuso|ubuso obucishe ihlo
😊;ubuso obumoyizelayo namehlo ajabule;amehlo|ihlo|moyizela|ubuso|ubuso obumoyizelayo namehlo ajabule
😇;ubuso obumoyizela nosawubona;ingelosi|insumansumane|moyizela|msulwa|sawubona|ubuso|ubuso obumoyizela nosawubona
🥰;Ubuso obumamathekayo obunezinhliziyo ezintathu;emathandweni|funa|thanda|ubuso obumamatekayo obunezinhliziyo ezintathu|Ubuso obumamathekayo obunezinhliziyo ezintathu
😍;ubuso obumoyizelayo obunamehlo anezinhliziyo;amehlo|inhliziyo|moyizela|ubuso|ubuso obumoyizelayo obunamehlo anezinhliziyo|uthando
🤩;i-star-struck;amehlo|i-star-struck|inkanyezi|ubuso|ukuhlina
😘;ubuso ophephetha ukuqabula;inhliziyo|ubuso|ubuso ophephetha ukuqabula|ukuqabula
😗;ubuso obuqabulayo;ubuso|ubuso obuqabulayo|ukuqabula
☺️;ubuso obumoyizelayo;moyizela|ubuso|ubuso obumoyizelayo|ukuphumula
😚;ubuso obuqabulayo obunamehlo avaliwe;amehlo|ubuso|ubuso obuqabulayo obunamehlo avaliwe|ukuqabula|vala
😙;ubuso obuqabulayo obunamehlo amoyizelayo;amahlo|moyizela|ubuso|ubuso obuqabulayo obunamehlo amoyizelayo|ukuqabula
🥲;ubuso obumamathekayo obunonyembezi;khala|khululekile|mamatheka|thintiwe|ubuso obumamathekayo obunonyembezi|ukubonga|ukuzigqaja
😋;ubuso obujabulela ukudla okumnandi;Mmmh|moyizela|ubumnandi|ubuso|ubuso obujabulela ukudla okumnandi|ukuconsisa amathe
