# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinnikende gesig;gesig|grinnik|grinnikende gesig
😃;glimlaggende gesig met oop mond;gesig|glimlag|glimlaggende gesig met oop mond|mond|oop
😄;gesig en oë glimlag;gesig|gesig en oë glimlag|glimlag|glimlaggende gesig met oop mond en glimlaggende oë|mond|oog|oop
😁;grinnikende gesig met glimlaggende oë;gesig|glimlag|grinnik|grinnikende gesig met glimlaggende oë|oog
😆;glimlaggende gesig met toe oë toe;gesig|glimlag|glimlaggende gesig met oop mond en oë styf toe|glimlaggende gesig met toe oë toe|lag|mond|tevrede
😅;lag gesig met sweet;gesig|glimlag|glimlaggende gesig met oop mond en koue sweet|koud|lag gesig met sweet|oop|sweet
🤣;gesig wat hard lag;gesig|gesig wat hard lag|histeries|lag|rol
😂;gesig met trane van vreugde;gesig|gesig met trane van vreugde|lag|traan|vreugde
🙂;gesig wat effens glimlag;gesig|gesig wat effens glimlag|glimlag
🙃;onderstebo gesig;gesig|onderstebo
🫠;gesig wat smelt;gesig wat smelt|smelt|verdwyn
😉;gesig wat knipoog;gesig|gesig wat knipoog|knipoog
😊;glimlaggende gesig met glimlaggende oë;bloos|gesig|glimlag|glimlaggende gesig met glimlaggende oë|oog
😇;glimlaggende gesig met stralekrans;engel|gesig|glimlag|glimlaggende gesig met stralekrans|onskuldig|stralekrans
🥰;glimlaggende gesig met 3 hartjies;bewonder|geliefd|glimlaggende gesig met 3 hartjies|verlief
😍;glimlaggende gesig met hartvormige oë;gesig|glimlag|glimlaggende gesig met hartvormige oë|hart|liefde|oog
🤩;sterre in die oë;gesig|glimlag|oë|ster|sterre in die oë
😘;gesig wat ‘n soentjie blaas;gesig|gesig wat ‘n soentjie blaas|hart|soen
😗;gesig wat soen;gesig|gesig wat soen|soen
☺️;glimlaggende gesig;gesig|glimlag|glimlaggende gesig|ontspanne
😚;gesig wat soen met toe oë;gesig|gesig wat soen met toe oë|oog|soen|toe
😙;gesig wat soen met glimlaggende oë;gesig|gesig wat soen met glimlaggende oë|glimlag|oog|soen
🥲;glimlaggende gesig met traan;aangeraak|dankbaar|glimlaggend|glimlaggende gesig met traan|traan|trots|verlig
😋;gesig wat heerlike kos geniet;geniet|gesig|gesig wat heerlike kos geniet|glimlag|heerlik|lekker
😛;gesig met tong wat uitsteek;gesig|gesig met tong wat uitsteek|tong
😜;gesig met tong wat uitsteek en wat knipoog;gesig|gesig met tong wat uitsteek en wat knipoog|grap|knipoog|oog|tong
🤪;mal gesig;groot|klein|mal gesig|oog
😝;gesig met tong wat uitsteek en oë styf toe;aaklig|gesig|gesig met tong wat uitsteek en oë styf toe|oog|smaak|tong
🤑;gesig met geldmond;geld|gesig|gesig met geldmond|mond
🤗;gesig wat drukkie gee;drukkie|gesig|gesig wat drukkie gee
🤭;gesig met hand oor die mond;gesig met hand oor die mond|oeps
🫢;gesig met hand oor mond;gesig met hand oor mond|geskok|ongeloof|verbaas|verstom
