# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;وجه بابتسامة عريضة;ابتسام|ضحك|وجه بابتسامة عريضة|وجه مبتسم
😃;وجه مبتسم بعينين كبيرتين;ابتسام|وجه مبتسم بعينين كبيرتين|وجه مبتسم بفم مفتوح
😄;وجه مبتسم بعينين باسمتين;أعين مبتسمة|ابتسام|فم مفتوح|وجه مبتسم بعينين باسمتين
😁;وجه مشرق بعينين باسمتين;إشراقة|ابتسامة|عين|وجه|وجه مشرق بأعين باسمة|وجه مشرق بعينين باسمتين|وجه مشرق مع عينين مبتسمتين
😆;وجه مبتسم بعينين مغلقتين;ابتسامة بأعين مغلقة|فم مفتوح|وجه مبتسم بعينين محدقتين|وجه مبتسم بعينين مغلقتين
😅;وجه مبتسم بفم مفتوح وعرق بارد;ابتسامة ولكن بعرق بارد|عرق بارد|وجه مبتسم بفم مفتوح وعرق بارد
🤣;وجه ضاحك يتدحرج على الأرض;أرض|تدحرج|ضحك|وجه ضاحك يتدحرج على الأرض
😂;وجه بدموع فرح;دموع|فرح|وجه|وجه بدموع فرح|وجه عليه دموع فرح
🙂;وجه بابتسامة بسيطة;ابتسامة|وجه|وجه بابتسامة بسيطة
🙃;وجه مقلوب;مقلوب|وجه
🫠;وجه يذوب;اختفاء|تذويب|ذوبان|سائل|وجه يذوب
😉;وجه يغمز;غمزة|وجه يغمز
😊;وجه باسم بعينين باسمتين;أعين مبتسمة|ابتسامة وجه وأعين|وجه باسم بعينين باسمتين
😇;وجه مبتسم بهالة;ابتسام|هالة|وجه مبتسم بهالة
🥰;وجه مبتسم مع ثلاثة قلوب;حب|عشق|وجه مبتسم مع ثلاثة قلوب|يحب
😍;وجه مبتسم مع عينين على شكل قلب;أعين على شكل قلب|حب|قلب|وجه مبتسم بعيون قلب|وجه مبتسم مع عينين على شكل قلب
🤩;وجه بعينين على شكل نجمة;أعين|عينان|نجمة|وجه|وجه بعينين على شكل نجمة
😘;وجه يرسل قبلة;قبلة|وجه|وجه يرسل قبلة
😗;وجه يقبّل;قبلة|وجه تقبيل|وجه يبعث قبلة|وجه يقبّل
☺️;وجه مبتسم;ابتسامة|وجه|وجه مبتسم|وجه مبتسم مفرغ
😚;وجه يقبّل بعينين مغلقتين;أعين مغلقة|تقبيل بأعين مغلقة|وجه يقبّل بعينين باسمتين|وجه يقبّل بعينين مغلقتين
😙;وجه يقبّل بعينين باسمتين;أعين مبتسمة|وجه تقبيل وابتسامة|وجه يقبّل بعينين باسمتين
🥲;وجه مبتسم مع دمعة;امتنان|دمع|فخور|مبتسم|متأثر|مرتاح|وجه مبتسم مع دمعة
