# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᎤᏤᏣᏍᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ|ᎤᏰᏍᎩ
😃;ᎤᏤᏣᏍᏗ ᎤᎧᏛ ᎾᏍᎩ ᎤᏔᎾ ᏗᎦᏙᎵ;ᎠᎰᎵ|ᎠᏍᎢᏓ|ᎤᎧᏛ|ᎤᏤᏣᏍᏗ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ ᎾᏍᎩ ᎤᏔᎾ ᏗᎦᏙᎵ
😄;ᎤᏤᏣᏍᏗ ᎤᎧᏛ ᎾᏍᎩ ᎤᏤᏣᏍᏗ ᏗᎦᏙᎵ;ᎠᎦᏘ|ᎠᎰᎵ|ᎠᏍᏚᎢᏓ|ᎤᎧᏛ|ᎤᏤᏣᏍᏗ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ ᎾᏍᎩ ᎤᏤᏣᏍᏗ ᏗᎦᏙᎵ
😁;ᎤᏤᏣᏍᏗ ᎤᎧᏛ ᎾᏍᎩ ᎤᏤᏣᏍᏗ ᏓᎧᏅᎢ;ᎠᎦᏘ|ᎤᎧᏛ|ᎤᏤᏣᏍᏗ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ ᎾᏍᎩ ᎤᏤᏣᏍᏗ ᏓᎧᏅᎢ|ᎤᏰᏍᎩ
😆;ᎤᏤᏣᏍᏗ ᏍᏈᏘ ᎤᎧᏛ;ᎠᎰᎵ|ᎤᎧᏛ|ᎤᎵᎮᎵᏨᎢ|ᎤᏤᏣᏍᏗ|ᎤᏤᏣᏍᏗ ᏍᏈᏘ ᎤᎧᏛ|ᎤᏰᏍᎩ
😅;ᎤᏤᏣᏍᏗ ᎤᎧᏛ ᎠᎵ;ᎠᎵ|ᎠᏍᏚᎢᏓ|ᎤᎧᏛ|ᎤᏤᏣᏍᏗ|ᎤᏴᏝ
🤣;ᎣᏐᏫᎵᏙᎲ ᎥᎿ ᏯᏖᏃ ᎣᏬᎵᏓᏁᎲᎢ;ᎣᏐᏫᎵᏙᎲ|ᎣᏐᏫᎵᏙᎲ ᎥᎿ ᏯᏖᏃ ᎣᏬᎵᏓᏁᎲᎢ|ᎤᎧᏛ|ᎤᏰᏍᎩ|ᏯᏖᏃ
😂;ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᏚᎦᎳᏁᏒ Ꮎ ᎤᎵᎮᎵᏍᏗ;ᎤᎧᏛ|ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᏚᎦᎳᏁᏒ Ꮎ ᎤᎵᎮᎵᏍᏗ|ᎤᎵᎮᎵᏨ|ᎤᏩᏍᏉᎸ|ᎤᏰᏍᎩ
🙂;ᏍᏗᎩᏓ ᎤᏰᏓᏍᎬ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏰᏥᏍᎦ|ᏍᏗᎩᏓ ᎤᏰᏓᏍᎬ ᎤᎧᏛ
🙃;ᏗᏁᏍᏈᏛᏅ-ᎡᎳᏗᏜ ᎤᎧᏛ;ᎤᎧᏛ|ᏗᏁᏍᏈᏛᏅ-ᎡᎳᏗᏜ
🫠;ᎦᏅᏬᏍᎬ ᎤᎧᏛ;ᎠᎹ|ᎠᏗᏍᎦᎶᏗ|ᎤᏩᎾᏬᎯᏍᏗ|ᎦᏅᏬᏍᎬ|ᎦᏅᏬᏍᎬ ᎤᎧᏛ
😉;ᎠᏓᎦᏔᏁ ᎠᎦᏙᎵ;ᎠᎦᏔᎾᏫᏍᎦ|ᎠᏓᎦᏔᏁ ᎠᎦᏙᎵ|ᎤᎧᏛ
