# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;wyneb yn gwenu â cheg agored;lledwenu|wyneb|wyneb yn gwenu â cheg agored
😃;wyneb yn gwenu â cheg agored a llygaid mawr;agored|ceg|gwenu|wyneb|wyneb yn gwenu â cheg agored a llygaid mawr
😄;wyneb yn gwenu â cheg agored a gwên yn y llygaid;ceg|gwenu|llygad|wyneb|wyneb yn gwenu â cheg agored a gwên yn y llygaid
😁;wyneb yn lledwenu â gwên yn y llygaid;gwenu|lledwenu|llygaid|wyneb|wyneb yn lledwenu â gwên yn y llygaid
😆;wyneb yn gwenu â cheg agored a llygaid ynghau;bodlon|ceg|chwerthin|wyneb|wyneb yn gwenu â cheg agored a llygaid ynghau
😅;wyneb yn gwenu â cheg agored a chwys;chwys|gofid|gwenu|wyneb|wyneb yn gwenu â cheg agored a chwys
🤣;rholio ar y llawr yn chwerthin;chwerthin|llawr|rholio|rholio ar y llawr yn chwerthin|wyneb
😂;wyneb â dagrau hapusrwydd;chwerthin|dagrau|hapusrwydd|wyneb|wyneb â dagrau hapusrwydd
🙂;wyneb ag ychydig o wên arni;gwenu|gwyneb|wyneb ag ychydig o wên arni
🙃;wyneb â’i ben i waered;ben i waered|wyneb|wyneb â’i ben i waered
🫠;wyneb toddi;diflannu|hydoddi|hylif|toddi|wyneb toddi
😉;llygaid yn wincio;llygaid yn wincio|winc|wyneb
😊;wyneb yn gwenu â gwên yn y llygaid;cochi|gwenu|llygad|wyneb|wyneb yn gwenu â gwên yn y llygaid
😇;wyneb yn gwenu ag eurgylch;angel|diniwed|eurgylch|wyneb|wyneb yn gwenu ag eurgylch
🥰;wyneb yn gwenu â thair calon;dwli|gwirioni|mewn cariad|wyneb yn gwenu â thair calon
😍;wyneb yn gwenu â chalonnau yn y llygaid;calon|cariad|gwên|wyneb|wyneb yn gwenu â chalonnau yn y llygaid
🤩;wyneb â ser yn y llygaid;llygaid|seren|wyneb|wyneb â ser yn y llygaid|yn wên o glust i glust
😘;wyneb yn chwythu cusan;calon|cusan|wyneb|wyneb yn chwythu cusan
😗;wyneb yn rhoi cusan;cusan|wyneb|wyneb yn rhoi cusan
☺️;wyneb yn gwenu;amlinelliad|gwên|wyneb|wyneb yn gwenu|ymlacio
😚;wyneb yn rhoi cusan â llygaid ynghau;caeedig|cusan|llygad|wyneb|wyneb yn rhoi cusan â llygaid ynghau
😙;wyneb yn rhoi cusan â gwên yn y llygaid;cusan|gwên|llygad|wyneb|wyneb yn rhoi cusan â gwên yn y llygaid
🥲;wyneb yn gwenu gyda deugryn;balch|cyffwrdd|deugryn|diolchgar|gwenu|rhyddhad|wyneb yn gwenu gyda deugryn
😋;wyneb yn blasu bwyd blasus;blasu|blasus|gwenu|wyneb|wyneb yn blasu bwyd blasus
😛;wyneb â thafod yng ngolwg;tafod|wyneb|wyneb â thafod yng ngolwg
😜;wyneb â thafod yng ngolwg a llygaid yn wincio;jôc|tafod|winc|wyneb|wyneb â thafod yng ngolwg a llygaid yn wincio
🤪;wyneb penwan;bach|llygad|mawr|wyneb penwan
😝;wyneb â thafod yng ngolwg a llygaid ynghau;afiach|blasu|tafod|wyneb|wyneb â thafod yng ngolwg a llygaid ynghau
🤑;wyneb symbol arian;arian|ceg|wyneb|wyneb symbol arian
🤗;wyneb yn rhoi cwtsh;cwtsh|wyneb|wyneb yn rhoi cwtsh
🤭;wyneb gyda llaw dros y geg;wps|wyneb gyda llaw dros y geg
🫢;wyneb gyda llygaid agored a llaw dros geg;anghrediniaeth|arswyd|embaras|ofnus|syndod|wyneb gyda llygaid agored a llaw dros geg
🫣;wyneb gyda llygad sy’n sbïo;sbïo|swynol|syllu|wyneb gyda llygad sy’n sbïo
🤫;wyneb hisht;hisht|tawelwch|wyneb hisht
🤔;wyneb yn meddwl;meddwl|wyneb|wyneb yn meddwl
🫡;wyneb saliwt;heulog|iawn|ie|milwyr|saliwt|wyneb saliwt
🤐;wyneb â sip dros y geg;caeedig|ceg|sip|wyneb|wyneb â sip dros y geg
🤨;wyneb gydag ael wedi codi;amheuaeth|sgeptig|wyneb gydag ael wedi codi
😐;wyneb niwtral;niwtral|wyneb
😑;wyneb difynegiant;ddifynegiant|dring|wyneb|wyneb difynegiant
😶;wyneb heb geg;ceg|distaw|wyneb|wyneb heb geg
🫥;wyneb llinell dotiog;anweledig|cuddio|diflannu|digalon|isel|mewnblyg|wyneb llinell dotiog
😶‍🌫️;wyneb mewn cymylau;anghofus|pen mewn cymylau|wyneb mewn cymylau|wyneb yn y niwl
😏;wyneb yn cilwenu;cilwen|wyneb|wyneb yn cilwenu
😒;wyneb ddi-ddifyr;anhapus|di-ddifyr|wyneb|wyneb ddi-ddifyr
🙄;wyneb â llygaid yn rholio;llygaid|rolio|wyneb|wyneb â llygaid yn rholio
😬;wyneb ag ystum;wyneb|wyneb ag ystum|ystum
😮‍💨;wyneb anadlu allan;anadlu allan|chwiban|ebychu|griddfan|rhyddhad|sibrwd|wyneb anadlu allan
🤥;wyneb celwydd;celwydd|pinocchio|wyneb
🫨;wyneb sydd ysgwyd;daeargryn|dirgrynu|sioc|wyneb|wyneb sydd ysgwyd|ysgwyd
🙂‍↔️;pen yn ysgwyd o ochr i ochr;na|pen yn ysgwyd o ochr i ochr|ysgwyd
🙂‍↕️;pen yn ysgwyd i fyny ac i lawr;ie|nodio|pen yn ysgwyd i fyny ac i lawr
😌;wyneb o ryddhad;rhyddhad|wyneb|wyneb o ryddhad
😔;wyneb synfyfyriol;digalon|synfyfyriol|wyneb
😪;wyneb cysglyd;cysgu|wyneb|wyneb cysglyd
🤤;wyneb glafoerio;glafoerio|wyneb
😴;wyneb yn cysgu;cysgu|wyneb|wyneb yn cysgu|zzz
😷;wyneb â mwgwd meddygol;annwyd|doctor|masg|sâl|wyneb â mwgwd meddygol
🤒;wyneb â thermomedr;sâl|thermomedr|wyneb|wyneb â thermomedr
🤕;wyneb â rhwymyn i’r pen;dolur|niwed|rhwymyn|wyneb|wyneb â rhwymyn i’r pen
🤢;wyneb chwydlyd;chwydlyd|chwydu|wyneb
🤮;wyneb yn chwydu;chwyd|sic|wyneb yn chwydu
🤧;wyneb tisian;gesundheit|tisian|wyneb
🥵;wyneb poeth;chwysu|llawn twymyn|poeth|trawiad gwres|wyneb poeth
🥶;wyneb oer;clychau iâ|ewinrhew|oer|rhewi|wyneb las|wyneb oer
🥴;wyneb meddw;ceg tonnog|lled feddw|llygaid anghyson|meddw|pendro|wyneb meddw
😵;wyneb wedi llorio;marw|wedi llorio|wyneb|wyneb wedi llorio
😵‍💫;wyneb â llygaid troellog;helbul|hypnoteiddio|penysgafn|troellog|whoa|wyneb â llygaid troellog
🤯;pen yn ffrwydro;pen yn ffrwydro|syn
🤠;wyneb het cowboi;cowboi|cowmones|het|wyneb
🥳;wyneb yn partïo;corn|dathliad|het|parti|wyneb yn partïo
🥸;wyneb mewn cuddwisg;cuddwisg|incognito|sbectol|trwyn|wyneb|wyneb mewn cuddwisg
😎;wyneb yn gwenu â sbectol haul;gwên|llygad|sbectol haul|wyneb|wyneb yn gwenu â sbectol haul
🤓;wyneb clyfar;clyfar|wyneb
🧐;wyneb gyda monocl;clòs|wyneb gyda monocl
😕;wyneb cymysglyd;cymysglyd|wyneb
🫤;wyneb â cheg letraws;amheugar|ansicr|meh|siomedig|wyneb â cheg letraws
😟;wyneb gofidio;gofid|wyneb|wyneb gofidio
🙁;wyneb â pheth gwg arni;cuchio|gwg|wyneb|wyneb â pheth gwg arni
☹️;wyneb gwgus;cuchio|gwg|wyneb|wyneb gwgus
😮;wyneb â cheg agored;agored|ceg|cydymdeimlad|wyneb|wyneb â cheg agored
😯;wyneb distewi;distewi|syfrdanu|wyneb
😲;wyneb wedi rhyfeddu;hollol|rhyfeddu|syfrdanu|wyneb|wyneb wedi rhyfeddu
😳;wyneb yn gwrido;cochi|gwrido|synnu|wyneb|wyneb yn gwrido
🥺;wyneb yn pledio;crefu|llygaid ci bach|trugaredd|wyneb yn pledio
🥹;wyneb yn dal dagrau yn ôl;balch|crio|gwrthsefyll|trist|wyneb yn dal dagrau yn ôl|yn ddig
😦;wyneb gwgus â cheg agored;agored|ceg|gwg|wyneb|wyneb gwgus â cheg agored
😧;wyneb dirboen;dirboen|ing|wyneb
😨;wyneb ofnus;ofn|ofnus|wyneb
😰;wyneb â cheg agored a chwys o ofid;agored|ceg|chwys|gofid|wyneb â cheg agored a chwys o ofid
😥;wyneb siomedig ond â rhyddhad;rhyddhad|siomedig|wyneb|wyneb siomedig ond â rhyddhad
😢;wyneb yn crio;crio|deigryn|trist|wyneb|wyneb yn crio
😭;wyneb yn beichio crio;crio|deigryn|trist|wyneb|wyneb yn beichio crio
😱;wyneb yn sgrechian ag ofn;arswyd|braw|ofn|wyneb|wyneb yn sgrechian ag ofn
😖;wyneb dryslyd;dryslyd|wyneb
😣;wyneb dyfal;dyfal|wyneb
😞;wyneb siomedig;siomedig|wyneb
😓;wyneb yn chwysu o ofid;chwys|gofid|wyneb|wyneb yn chwysu o ofid
😩;wyneb lluddedig;blinedig|lluddedig|wyneb
😫;wyneb blinedig;blinedig|blino|wyneb
🥱;wyneb yn dylyfu gên;blino|diflasu|dylyfu gên|wyneb yn dylyfu gên
😤;wyneb â stêm yn dod o’r trwyn;buddugoliaeth|ennill|wyneb|wyneb â stêm yn dod o’r trwyn
😡;wyneb pwdu;coch|dig|pwdu|wyneb
😠;wyneb dig;dig|gwallgof|wyneb
🤬;wyneb â symbolau dros y ceg;rhegi|wyneb â symbolau dros y ceg
😈;wyneb yn gwenu â chyrn;cyrn|ffantasi|gwên|wyneb|wyneb yn gwenu â chyrn
👿;wyneb dig â chyrn;diafol|ffantasi|wyneb|wyneb dig â chyrn
💀;penglog;anghenfil|corff|marwolaeth|penglog|wyneb
☠️;penglog ac esgyrn croes;corff|esgyrn croes|marwolaeth|penglog|penglog ac esgyrn croes
💩;pentwr o faw;anghenfil|baw|cachu|pentwr o faw|wyneb
🤡;wyneb clown;clown|wyneb
👹;anghenfil;anghenfil|creadur|ffantasi|stori dylwyth teg|wyneb
👺;bwgan;anghenfil|bwgan|creadur|ffantasi|stori dylwyth teg|wyneb
👻;ysbryd;anghenfil|creadur|ffantasi|wyneb|ysbryd
👽;estron;allfydol|creadur|estron|fantasi|peth hedegog anhysbys|wyneb
👾;anghenfil estron;allfydol|anghenfil|creadur|estron|gofod|peth hedegog anhysbys
🤖;wyneb robot;anghenfil|robot|wyneb
😺;wyneb cath yn gwenu â cheg agored;agored|cath|ceg|gwên|wyneb cath yn gwenu â cheg agored
😸;wyneb cath yn gwenu â cheg agored a gwên yn y llygaid;cath|gwenu|lledwenu|llygaid|wyneb cath yn gwenu â cheg agored a gwên yn y llygaid
😹;wyneb cath â dagrau o hapusrwydd;cath|deigryn|hapusrwydd|wyneb|wyneb cath â dagrau o hapusrwydd
😻;cath yn gwenu â chalonnau yn y llygaid;calonnau|cariad|cath|cath yn gwenu â chalonnau yn y llygaid|llygaid|wyneb cath yn gwenu â chalonnau yn y llygaid
😼;wyneb cath â gwên ar gam;ar gam|cath|eironig|gwên|wyneb cath â gwên ar gam
😽;wyneb cath yn cusanu â llygaid ynghau;cath|cusan|llygad|wyneb|wyneb cath yn cusanu â llygaid ynghau
🙀;wyneb cath luddedig;cath|lluddedig|syfrdanol|wyneb|wyneb cath luddedig
😿;wyneb cath yn crio;cath|crio|deigryn|trist|wyneb cath yn crio
😾;wyneb cath yn pwdu;cath|pwdu|wyneb|wyneb cath yn pwdu
🙈;mwnci gweld dim drwg;drwg|gwaharddedig|gweld|gweld dim drwg|mwnci|mwnci gweld dim drwg|wyneb
🙉;clywed dim drwg;clywed|clywed dim drwg|drwg|gwaharddedig|mwnci|wyneb
🙊;siarad dim drwg;drwg|gwaharddedig|mwnci|siarad|siarad dim drwg|wyneb
💌;llythyr caru;calon|cariad|llythyr|llythyr caru|post
💘;calon â saeth trwyddi;calon|calon â saeth trwyddi|saeth
💝;calon â rhuban;calon|calon â rhuban|ffolant|rhuban
💖;calon yn disgleirio;calon|calon yn disgleirio|cynhyrfu|disgleirio
💗;calon yn tyfu;calon|calon yn tyfu|cynhyrfu|nerfus|tyfu
💓;calon yn curo;calon|calon yn curo|curo
💞;calonnau yn troelli;calon|calonnau yn troelli|troelli
💕;dwy galon;calon|cariad|dwy galon
💟;addurn calon;addurn calon|calon
❣️;ebychiad trwm galon;atalnodiad|calon|ebychiad|ebychiad trwm galon|marc
💔;calon wedi torri;calon|calon wedi torri|torri
❤️‍🔥;calon ar dân;calon|calon ar dân|calon gysegredig|cariad|chwant|llosgi
❤️‍🩹;trwsio calon;gwella|iach|iachach|trwsio|trwsio calon
❤️;calon goch;calon|calon goch
🩷;calon binc;calon|calon binc|caru|hoffi|pert|pinc
🧡;calon oren;calon oren|oren
💛;calon felen;calon|calon felen|melyn
💚;calon werdd;calon|calon werdd|gwyrdd
💙;calon las;calon|calon las|glas
🩵;calon las golau;calon|calon las golau|corhwyaid|cyan|glas golau
💜;calon borffor;calon|calon borffor|porffor
🤎;calon frown;brown|calon|calon frown
🖤;calon ddu;calon ddu|drwg|du|maleisus
🩶;calon lwyd;arian|calon|calon lwyd|llechi|llwyd
🤍;calon wen;calon|calon wen|gwyn
💋;ôl cusan;cusan|gwefusau|ôl cusan
💯;cant o bwyntiau;100|cant|cant o bwyntiau|llawn|sgôr
💢;symbol dicter;comig|dig|gwallgof|symbol dicter
💥;trawiad;comig|trawiad|trwst
💫;penysgafn;comig|penysgafn|seren
💦;defnynnau chwys;chwys|comig|defnynnau chwys|splash
💨;rhuthro;comig|rhedeg|rhuthro
🕳️;twll;twll
💬;balŵn deialog;balŵn|comig|deialog|swigen
👁️‍🗨️;llygad mewn cwmwl;llygad|llygad mewn cwmwl|mewn cwmwl|tyst
🗨️;swigen siarad i’r chwith;deialog|siarad|swigen siarad i’r chwith
🗯️;swigen ddig i’r dde;balŵn|dig|swigen|swigen ddig i’r dde
💭;cwmwl meddwl;balŵn|comig|cwmwl meddwl|swigen
💤;zzz;comig|cysgu|zzz

[people_body]
👋;llaw yn chwifio;chwifio|llaw|llaw yn chwifio
	👋🏻;llaw yn chwifio: arlliw croen golau;arlliw croen golau|chwifio|llaw|llaw yn chwifio|llaw yn chwifio: arlliw croen golau
	👋🏼;llaw yn chwifio: arlliw croen canolig-golau;arlliw croen canolig-golau|chwifio|llaw|llaw yn chwifio|llaw yn chwifio: arlliw croen canolig-golau
	👋🏽;llaw yn chwifio: arlliw croen canolog;arlliw croen canolog|chwifio|llaw|llaw yn chwifio|llaw yn chwifio: arlliw croen canolog
	👋🏾;llaw yn chwifio: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|chwifio|llaw|llaw yn chwifio|llaw yn chwifio: arlliw croen canolig-tywyll
	👋🏿;llaw yn chwifio: arlliw croen tywyll;arlliw croen tywyll|chwifio|llaw|llaw yn chwifio|llaw yn chwifio: arlliw croen tywyll
🤚;cefn llaw wedi’i chodi;cefn llaw|cefn llaw wedi’i chodi|wedi’i chodi
