# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;leveä hymy;hymy|kasvot|leveä hymy|naama|virnistys
😃;hymy suu auki;auki|hymy|kasvot|naama|suu
😄;hymyilevät silmät ja suu;auki|hymy|hymyilevät silmät ja suu|kasvot|naama|silmä|suu
😁;virnistys ja hymyilevät silmät;hymy|kasvot|naama|silmä|virnistys|virnistys ja hymyilevät silmät
😆;hymy ja tiukasti suljetut silmät;auki|hymy|hymy ja tiukasti suljetut silmät|naama|nauru|suu|tyytyväinen
😅;hymy ja kylmänhiki;auki|hiki|hymy|hymy ja kylmänhiki|kylmä|naama
🤣;nauraa kippurassa;kasvot|kippura|naama|nauraa|nauraa kippurassa
😂;kasvot naurunkyynelissä;ilo|itkunauru|kasvot naurunkyynelissä|naama|naurunkyyneleet
🙂;pieni hymy;hymy|naama|pieni hymy
🙃;ylösalainen naama;naama|väärinpäin|ylösalainen
🫠;sulava naama;kadota|liueta|pehmenevä|sulaa|sulava naama|sulavat kasvot|valuva
😉;silmänisku;flirtti|huumori|kasvot|naama|salaisuus|silmä|silmänisku
😊;punastunut hymy;hymy|naama|punastunut|silmä
😇;hymy ja sädekehä;enkeli|hymy|hymy ja sädekehä|naama|sädekehä|satu|viaton
🥰;hymy ja kolme sydäntä;hymy ja kolme sydäntä|ihailla|ihastunut|rakastunut
😍;hymy ja sydänsilmät;hymy|hymy ja sydänsilmät|naama|rakkaus|silmä|sydän
🤩;tähtisilmä;kasvot|naama|silmät|tähdet|tähtisilmä|virnistys
😘;lentosuukko;lentosuukko|naama|pusu|sydän
😗;pusunaama;naama|pusu|pusunaama|suudelma|suukko
☺️;hymynaama;hymy|hymynaama|naama|rento
😚;pusunaama ja suljetut silmät;naama|pusu|pusunaama ja suljetut silmät|silmä|suljettu
😙;pusunaama ja hymyilevät silmät;hymy|naama|pusu|pusunaama ja hymyilevät silmät|silmä
🥲;hymyilevät kasvot ja kyynel;helpottunut|hymyilee|hymyilevät kasvot ja kyynel|kiitollinen|kyynel|liikuttunut|ylpeä
😋;herkullista ruokaa nauttinut;herkullinen|herkullista ruokaa nauttinut|hymy|naama|nam|nami|nautiskeleva
😛;kieli ulkona;kieli|kieli ulkona|naama
😜;kieli ulkona ja silmänisku;kieli|kieli ulkona ja silmänisku|naama|silmä|silmänisku|vitsi
🤪;mielipuoli;eripari|mielipuoli|silmät|virne
😝;kieli ulkona ja silmät tiukasti kiinni;kamala|kieli|kieli ulkona ja silmät tiukasti kiinni|maku|naama|silmä
🤑;dollarisilmät ja rahasuu;dollarisilmät ja rahasuu|naama|raha|suu
🤗;halaava naama;halaava naama|halaus|hali|naama
🤭;käsi suun edessä;käsi suun edessä|lipsahdus
🫢;silmät pyöreinä käsi suun edessä;ällikkä|ällistys|epäusko|hämmästys|nolo|peloissaan|silmät pyöreinä käsi suun edessä|yllättyny
🫣;kurkistus sormien takaa;ihastunut|kiehtova|kurkistaa|kurkistus sormien takaa|kurkkia|tiirata|vilkuilla
🤫;hyssyttelevä;hiljentää|hyssyttää|hyssyttelevä
🤔;mietteliäs;mietteliäs|naama
🫡;kunnioittava tervehdys;joukot|käsi lippaan|kunniatervehdys|kunnioittava tervehdys|kyllä|ok|palveluksessanne|selvä
🤐;vetoketjusuu;naama|suu|vetoketju|vetoketjusuu
🤨;kohotetut kulmakarvat;epäilevä|kasvot|kohotetut kulmakarvat|naama|skeptinen
😐;naama peruslukemilla;naama|naama peruslukemilla|neutraali|tunteeton
😑;ilmeetön;ilmeetön|kasvot|naama|tunteeton|tyhjä
😶;naama ilman suuta;hiljaa|hiljainen|naama|naama ilman suuta|suu
🫥;katkoviivalla piirretty naama;haihtuva|häviävä|introvertti|katkoviivalla piirretty naama|katoava|masentunut|näkymätön|piiloon
😶‍🌫️;naama pilvissä;hajamielinen|naama pilvissä|naama sumussa|pää pilvissä
😏;virnistys;huvittunut|hymy|naama|virne|virnistys
😒;ei naurata;ei naurata|naama|onneton
🙄;silmien pyöritys;naama|pyörivä|silmät|silmien pyöritys
😬;irvistävä;irvistävä|irvistys|naama
😮‍💨;hämmästynyt;hämmästyä|hämmästynyt|haukkoa henkeään|helpotus|kuiskaus|puhaltaa|vihellys
🤥;valehteleva;kasvot|valehdella|valehteleva|valehtelija
🫨;tärisevä;maanjäristys|naama|tärähdys|tärisevä|vapiseva|värisevä
🙂‍↔️;ravistaa päätä vaakasuunnassa;ei|pudistus|ravistaa päätä vaakasuunnassa
🙂‍↕️;ravistaa päätä pystysuunnassa;kyllä|nyökkäys|ravistaa päätä pystysuunnassa
😌;helpottunut;helpottunut|helpotus|naama
😔;pohdiskeleva;ajatteleva|lannistunut|mietteliäs|naama|pohdiskeleva
😪;unelias;naama|unelias|uni
🤤;kuolaava;kasvot|kuola|kuolaava|kuolata|naama
😴;nukkuva;naama|nukkuva|uni|zzz
😷;naama ja hengityssuoja;flunssa|lääkäri|lääke|naama|naama ja hengityssuoja|sairas|suoja
🤒;naama ja kuumemittari;kasvot|kipeä|kuume|lämpö|lämpömittari|naama|naama ja kuumemittari|sairas
🤕;naama ja pääside;kipeä|naama|naama ja pääside|side|vamma
🤢;pahoinvoiva;kasvot|oksentaa|pahoinvoida|pahoinvoiva
🤮;oksentava;naama|oksentaa|oksentava|pahoinvointi|yrjötä
🤧;aivastava;aivastaa|aivastava|aivastus|kasvot|naama|terveydeksi
🥵;kuumottava;hikoilee|kuumeinen|kuumissaan|kuumottava|lämpöhalvaus|punanaama
🥶;paleleva;jääpuikot|jäätynyt|kylmä|kylmettynyt|paleleva|sininen naama
🥴;tokkurainen naama;aaltoileva suu|heikotus|huppelissa|päissään|silmät sikkaralla|tokkurainen naama
😵;tajuton;huimaus|kuollut|naama|pyörtyvä|tajuton|tuupertuva
