# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;nevető arc;arc|nevetés|nevető arc
😃;nagyra nyílt szemmel mosolygó arc;arc|mosoly|nagyra nyílt szemmel mosolygó arc|nyitott száj|vidámság
😄;nevető arc mosolygó szemmel;arc|mosoly|nevető arc mosolygó szemmel|száj|szem
😁;mosolygó szemmel nevető arc;arc|mosoly|mosolygó szemmel nevető arc|szem
😆;nyitott szájjal és lehunyt szemmel mosolygó arc;arc|nevetés|nyitott száj|nyitott szájjal és lehunyt szemmel mosolygó arc
😅;nevető arc verejtékkel;arc|hideg verejték|mosoly|nevető arc verejtékkel|nyitott száj
🤣;gurul a nevetéstől;fej|gurul|gurul a nevetéstől|nevet|nevetés
😂;arc örömkönnyekkel;arc|arc örömkönnyekkel|könnyek|nevetés|öröm
🙂;finoman mosolygó arc;arc|finoman mosolygó arc|mosoly
🙃;arc fejjel lefelé;arc|arc fejjel lefelé|fejjel lefelé|fejjel lefelé fordult arc
🫠;elolvadó arc;elolvadó arc|eloszlik|eltűnik|folyékony|olvad
😉;kacsintó arc;arc|kacsintás|kacsintó arc
😊;mosolygó arc mosolygó szemmel;elpirul|elvörösödik|mosoly|mosolygó arc mosolygó szemmel|vidám szemek
😇;mosolygó arc glóriával;angyal|arc|ártatlanság|glória|mese|mosoly|mosolygó arc glóriával
🥰;mosolygó arc szívekkel;imádat|mosolygó arc szívekkel|szerelem|szerelmes
😍;mosolygó arc szív alakú szemmel;arc|mosoly|mosolygó arc szív alakú szemmel|szem|szerelem|szívek
🤩;csillagszemű;arc|csillag|csillagszemű|szemek|vigyorgó
😘;csókot dobó arc;arc|csók|csókot dobó arc|puszi|szív
😗;csókoló arc;arc|csók|csókoló arc|puszi
☺️;mosolygó arc;arc|mosoly|mosolygó arc|nyugodt
😚;csókoló arc lehunyt szemmel;arc|csók|csókoló arc lehunyt szemmel|lehunyt szem|puszi
😙;csókoló arc mosolygó szemmel;arc|csók|csókoló arc mosolygó szemmel|puszi|szem
🥲;mosolygó arc könnycseppel;büszke|hálás|könny|meghatott|megkönnyebbült|mosolygó arc könnycseppel|mosolyog
😋;finom ételt élvező arc;arc|finom|finom ételt élvező arc|mosoly|nyami
