# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;езу тартып күлу;бет|езу тарту|езу тартып күлу
😃;аузын ашып күлу;аузын ашып күлу|ауыз|ашық|бет|жымию
😄;аузын ашып, ыржиып тұрып күлу;аузын ашып|аузын ашып, ыржиып тұрып күлу|ауыз|ашық|бет|жымию|көз|ыржиып тұрып күлу
😁;бал-бұл жайнап күлу;бал-бұл жайнап күлу|бет|езу тарту|көз|күлу
😆;аузын ашып, көзін жұмып күлу;аузын ашып|аузын ашып, көзін жұмып күлу|ауыз|ашық|бет|жымию|көзін жұмып күлу|күлкі|қанағаттану
😅;сасқалақтап күлу;жымию|күлу|сасқалақтап|тер
🤣;ішек-сілесі қатып күлу;бет|ішек-сілесі|ішек-сілесі қатып күлу|күлу
😂;көзден жас шыққанша күлу;бет|жас|көзден жас шыққанша күлу|күлкі|қуаныш
🙂;жымию;бет|жымию
🙃;мысқыл;бет|мысқыл
🫠;еріген бет;еріген бет|еру|жоғалу|сұйық
😉;көз қысу;бет|көз қысу
😊;риза болып күлу;ажар|жымию|күлу|риза болып күлу
😇;бейуаз;бейуаз|бейуаз күлкі|бет|жымию|кінәсіз|қиял|періште|хало
🥰;жүрекшелері бар бет;ғашық|жақсы көру|жүрекшелері бар бет
😍;сүйсініп қарау;бет|көз|махаббат|сүйсініп қарау
🤩;желігу;желігу|жүрекшелері бар|жұлдыз|көз|көздері жұлдыздай жайнау
😘;көзді қысып қойып сүю;бет|көзді қысып қойып сүю|сүю
😗;сүю;бет|сүю
☺️;күлу;бет|еркін|жымию|күлу|сызулы
😚;көзді жұмып тұрып сүю;бет|көзді жұмып|көзді жұмып тұрып сүю|сүю
😙;күлімдеген көзбен сүю;бет|көз|күлімдеген көзбен сүю|сүю
🥲;жылап тұрып күлу;жас|жеңілденіп қалу|жылап тұрып күлу|көңілі елжіреу|күлімсіреу|разы|риза
😋;тілін шығарған;бет|дәмді|күлу|қарны ашу|тілін шығарған|тілін шығарып күлу
😛;тілін шығару;бет|тіл|тілін шығару
😜;көзін қысып, тілін шығару;бет|көз|көз қысу|көзін қысу|көзін қысып|көзін қысып, тілін шығару|қалжың|тіл|тілін шығару|тілін шығарып
🤪;жынды;жынды|көз|тілін шығару
😝;көзін жұмып, тілін шығару;бет|дәмі|жеркенішті|көз|көзін жұму|көзін жұмып|көзін жұмып, тілін шығару|тіл|тілін шығару|тілін шығарып
🤑;ақшадан көз айырмау;ақша|ақшадан көз айырмау|ауыз|бет
🤗;құшақтау;бет|құшақ|құшақтау
🤭;аузын қолмен жауып күлу;айтып қою|аузын қолмен жауып күлу
🫢;көзі ашық, ал аузын қолымен жапқан;ал аузын қолымен жапқан|көзі ашық|көзі ашық, ал аузын қолымен жапқан|қорқу|сенбеу|таңғалу|таңырқау|ұялу
🫣;астыртын қарау;астыртын қарау|қадалып қарау|сығалау
🤫;үндеме;сөйлеме|түш|тыныш|үндеме
🤔;ойлану;бет|ойлану
🫡;салют беру;иә|құп болады|ОК|салют беру
🤐;сөйлемеу;ауыз|бет|сөйлемеу|сыдырма ілгек
🤨;сенбеу;күмәндану|сенбеу
😐;бәрібір;бәрібір|бет|енжар
😑;сезімсіз;бет|сезімсіз|эмоциясыз
😶;аузы жоқ бет;аузы жоқ бет|ауыз|бет|тыныш|үнсіз
🫥;пунктирмен салынған бет;интроверт|көрінбейтін|пунктирмен салынған бет
😶‍🌫️;бұлт басқан бет;алаңғасар|бұлт басқан бет|енжар|жаңғалақ
😏;мырс-мырс күлу;бет|көз|мырс-мырс күлу
😒;қызық емес;бет|қуанышты емес|қызық емес
🙄;көзі алару;бет|көз|көз алару|көзі алару
😬;бет-аузын қисайту;бет|бет-аузын қисайту
😮‍💨;ауаны шығарып тұрған бет;ауа шығару|ауаны шығарып тұрған бет|дем шығару|демігу|демін шығарып тұрған бет|ентігу|сыбыр|ысқырық
🤥;өтірікші;өтірік|өтірікші|Пиноккио
🫨;шайқалған бет;бет|дірілдеу|жер сілкінісі|шайқалған бет|шайқалу|шок
🙂‍↔️;көлденеңінен шайқалған бет;жоқ деп бас шайқау|көлденеңінен шайқалған бет
🙂‍↕️;тігінен шайқалған бет;иә деп бас шайқау|тігінен шайқалған бет
😌;жеңілдеп қалу;бет|жеңілдеп қалу
😔;мұңды;бет|мұңды|ойлы
😪;ұйқы басу;бет|ұйқы|ұйқы басу
🤤;сілекейі ағып тұр;ағып|сілекей|сілекейі ағып тұр|тұр
😴;ұйықтау;бет|ұйқы|ұйықтау
😷;медициналық бетперде таққан бет;ауру|ауырып қалу|бет|дәрігер|маска|медициналық бетперде таққан бет|медициналық маскасы бар бет|суық
🤒;термометрі бар бет;ауру|бет|дене қызуы артқан|қызуы көтерілген|науқас|термометр|термометрі бар бет
🤕;басы бинттелген;ауырту|бандаж|басы бинттелген|бет|жарақат алу
🤢;жүрегі айнып тұр;бет|жүрегі айнып тұр|құсқысы келіп тұр
🤮;құсу;ауыру|құсу
🤧;түшкіру;бет|түшкіру
🥵;ыстықтаған бет;жылу соққысы|қызарған|терлеп тұр|ыстық|ыстықтаған бет
🥶;тонған бет;көгерген|мұздаған|мұздату|суық|сүңгі|тонған бет
🥴;әлсіреген жүз;әлсіреген жүз|бас жазған|басы айналған|екі түрлі көз|мастанған
😵;көзі кіреспен сызылған;басы айналу|бет|көзі кіреспен сызылған
😵‍💫;көзі шиыршық бет;көзі шиыршық бет
🤯;бас жарылғалы тұр;бас жарылғалы тұр
🤠;ковбой қалпағы;ковбой|ковбой қалпағы|қалпақ
🥳;тойлау;кеш|қалпақ|мүйіз|тойлау
🥸;бетін бүркеп алу;бет|бетін бүркеп алу|бүркеп алу|инкогнито|көзілдірік|мұрын
😎;көзілдірік тағып жымию;бет|көзілдірік|көзілдірік тағып жымию|мықты
🤓;көзілдірік таққан;білгішсымақ|көзілдірік таққан|оқымысты
🧐;монокль тағу;бет|монокль тағу
😕;абдырау;абдырау|бет
🫤;аузын қисайту;аузын қисайту
😟;уайымдау;бет|уайымдау
🙁;аздап тұнжырау;аздап тұнжырау|бет|тұнжырау
☹️;тұнжырау;бет|тұнжыраған|тұнжырау
😮;таңдану;аң-таң болу|аузы ашылу|бет|таңдану
😯;таңғалу;бет|таңғалу|таңдану|таңырқату
😲;аң-таң болу;аң-таң|аң-таң болу|бет|таң қалу
😳;беті қызару;аң-таң|бет|беті қызару|таңырқаған
🥺;жалыну;жалынған жүз|жалыну|кешірім сұраған|мөлдіреген көздер|рақымшыл
🥹;көз жасын әрең ұстау;ашулы|жылау|көз жасын әрең ұстау|мұңды
😦;аузын ашып, бұртию;аузын ашып|аузын ашып, бұртию|ауыз|ашық|бет|бұртию
😧;қиналу;бет|қиналу
😨;шошып кету;бет|қорқынышты|қорыққан|шошу|шошып кету
😰;қатты қобалжу;аузын ашып|ашық|бет|көк|қатты қобалжу|мұңды|суық|суық терін шығару|тер
😥;жеңілдену;бет|жеңілдену|түңілу|уфф
😢;жылау;бет|жылау|көз жасы|ренжіген
😭;айқайлап жылау;айқайлап жылау|бет|боздау|жылау|көз жасы|ренжіген
😱;зәресі ұшу;айқайлау|бет|зәресі ұшу|қорқыныш|қорқынышты|қорыққан|сылпылдату|үріккен
😖;есі шығу;бет|есі шығу
😣;шыдамдылық;бет|шыдамдылық
😞;түңілу;бет|түңілген|түңілу
😓;қатты шаршап, терлеу;бет|қатты шаршап|қатты шаршап терлеу|қатты шаршап, терлеу|суық тер|тер|терлеу
😩;қалжырау;бет|қалжыраған|қалжырау|шаршаған
😫;қатты шаршау;бет|қатты шаршау|шаршау
🥱;есінеу;есінеу|іші пысу|қатты шаршау
😤;мұрнынан бу шыққан;бет|жеңген|жеңіс|мұрнынан бу шыққан
😡;ашулану;ашу|ашулану|ашулы|бет|ернін бұлтитқан бет|ернін бұртиту|қызыл
😠;ашулы;ашулы|бет|жынданған
🤬;цензура;балағаттау|боқтау|ұрысу|цензура
😈;күлімдеген ібіліс;жымию|ібіліс|күлімдеген ібіліс|қиял|мүйіз
👿;ашуланған ібіліс;ашуланған ібіліс|ашулану|ібіліс|қиял|мүйіз
💀;бас сүйек;бас сүйек|бет|ертегі|қаңқа|құбыжық|өлім
☠️;бас сүйек пен сүйектер;айқас сүйектер|бас сүйек пен сүйектер|бет|қаңқа|қаңқа мен сүйек|құбыжық|өлім
💩;боқ;бет|боқ|комик|құбыжық|тезек|тезек үйіндісі|тыңайту
🤡;клоун;бет|клоун
👹;құбыжық;бет|ертегі|жалмауыз|қиял|құбыжық|мақұлұқ
👺;гоблин;бет|гоблин|ертегі|қиял|құбыжық
👻;елес;аруақ|бет|елес|ертегі|құбыжық
👽;гуманоид;аруақ|бет|гуманоид|ертегі|қиял
👾;басқа планетадан келген құбыжық;басқа планетадан келген құбыжық|басқа планеталық|басқа планеталық құбыжық|белгісіз ұшатын нысан|бет|қиял|өзге әлемдік
🤖;робот;бет|құбыжық|робот
