# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;មុខសើច;មុខ|មុខសើច|សើច
😃;មុខសើចបើកភ្នែកធំៗ;បើក|ភ្នែក|មុខ|មុខសើចបើកភ្នែកធំៗ|សើច
😄;មុខសើចទាំងមាត់ និងភ្នែក;ភ្នែក|មាត់|មុខសើចទាំងមាត់ និងភ្នែក|សើច
😁;មុខសើចស្អេញ;ធ្មេញ|មុខសើចស្អេញ|មុុខ|ស្អេញ
😆;មុខសើចបិទភ្នែក;បិទ|ភ្នែក|មុខ|មុខសើចបិទភ្នែក|សើច
😅;មុខសើចចេញញើសពីថ្ងាស;ញើស|ដំណក់ទឹក|បើកមុខ|ភ្នែក|មុខ|មុខសើចចេញញើសពីថ្ងាស|សើច
🤣;សើចរមាលលើដី;មុខ|រមាល|លើដី|សើច|សើចរមាលលើដី
😂;មុខសើចឡើងហៀរទឹកភ្នែក;​ រីករាយ|​ សប្បាយ|ទឹកភ្នែក|មុខសើចឡើងហៀរទឹកភ្នែក|សើច
🙂;មុខចេញស្នាមញញឹមបន្តិច;ញញឹម|មុខ|មុខចេញស្នាមញញឹមបន្តិច
🙃;មុខញញឹមបញ្រ្ចាស;ញញឹម|មុខ|មុខញញឹមបញ្រ្ចាស
🫠;សញ្ញាមុខរលាយ;មុខរលាយ|សញ្ញាមុខរលាយ
😉;មុខញាក់ភ្នែក;ញាក់ភ្នែក|ភ្នែក|មិចភ្នែក|មុខ|មុខញាក់ភ្នែក
😊;មុខញញឹមពេញចិត្ត;ញញឹម|មុខ|មុខក្រហម|មុខញញឹមពេញចិត្ត|អៀន
😇;មុខមានរង្វង់ទេវតានៅលើក្បាល;ញញឹម|ទេវតា|មុខមានរង្វង់ទេវតានៅលើក្បាល
🥰;មុខញញឹមដែលមានបេះដូង 3;មុខញញឹមដែលមានបេះដូង 3|លួចស្រឡាញ់|ស្រឡាញ់|ស្រឡាញ់ខ្លាំង
😍;មុខចេញរូបបេះដូងក្នុងភ្នែក;ញញឹម|បេះដូង|មុខចេញរូបបេះដូងក្នុងភ្នែក|ស្នេហ៍|ស្នេហា|ស្រឡាញ់
🤩;ជួបតារា;ជួបតារា|ញញឹមស្ញាញ|តារា|ភ្នែក|មុខ
😘;មុខថើបចេញរូបបេះដូង;ថើប|បេះដូង|មុខថើបចេញរូបបេះដូង|ស្រឡាញ់
😗;មុខកំពុងថើប;ថើប|មុខកំពុងថើប|ស្រឡាញ់
☺️;មុខញញឹមលក្ខណៈអៀន;ញញឹម|បិទ|ភ្នែក|មុខក្រហម|មុខញញឹមលក្ខណៈអៀន|អៀន
😚;មុខថើបហើយភ្នែកបិទ;ថើប|បិទ|ភ្នែក|មុខថើបហើយភ្នែកបិទ
😙;មុខថើបហើយភ្នែកញញឹម;ថើប|ភ្នែក|មុខថើបហើយភ្នែកញញឹម|ស្រឡាញ់
