# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;smiekli;seja|smaids|smiekli
😃;plats smaids un lielas acis;atvērts|mute|plats smaids un lielas acis|seja|smaids
😄;smaidoša seja ar atvērtu muti un smaidošām acīm;atvērts|mute|seja|smaidoša seja ar atvērtu muti un smaidošām acīm|smaids
😁;plats smaids un smaidošas acis;plats smaids un smaidošas acis|seja|smaids|smīns
😆;smaidoša seja ar atvērtu muti un aizmiegtām acīm;atvērts|laimīgs|mute|seja|smaidoša seja ar atvērtu muti un aizmiegtām acīm|smaids|smiekli
😅;plats smaids ar sviedru lāsi;atvērts|auksts|plats smaids ar sviedru lāsi|seja|smaids|sviedri
🤣;vārtās smieklos pa grīdu;grīda|seja|smieties|vārtās smieklos pa grīdu
😂;seja ar prieka asarām;asaras|prieks|seja|seja ar prieka asarām|smiekli
🙂;seja ar vieglu smaidu;seja|seja ar vieglu smaidu|smaids
🙃;apgriezta seja;apgriezta seja|apgriezts|otrādi|seja
🫠;kūstoša seja;izkausēt|izšķīst|kūstoša seja|pazūd|šķidrums
😉;seja ar piemiegtu aci;acs|miegt|mirkšķināt|seja|seja ar piemiegtu aci
😊;smaidoša seja ar smaidošām acīm;nosarkt|prieks|seja|smaidoša seja ar smaidošām acīm|smaids
😇;smaidoša seja ar nimbu;eņģelis|nevainīgs|nimbs|seja|smaidoša seja ar nimbu|smaids|svētais
🥰;smaidoša seja ar sirsniņām;aizrāvies|dievināt|iemīlējies|sirdis|smaidoša seja ar sirsniņām
😍;smaidoša seja ar sirds formas acīm;acs|mīlestība|seja|sirds|smaidoša seja ar sirds formas acīm|smaids
🤩;zvaigžņu pārņemts;acis|seja|smaidīt|zvaigznes|zvaigžņu pārņemts
😘;skūpstoša seja;seja|sirds|skūpstoša seja|skūpsts
😗;seja sniedz skūpstu;seja|seja sniedz skūpstu|skūpsts
☺️;smaidoša seja;mierīgs|prieks|seja|smaidoša seja|smaids
😚;seja ar aizvērtām acīm sniedz skūpstu;acs|aizvērts|seja|seja ar aizvērtām acīm sniedz skūpstu|skūpsts|smaids
😙;seja ar smaidošām acīm sniedz skūpstu;seja|seja ar smaidošām acīm sniedz skūpstu|skūpsts|smaids
🥲;smaidoša seja ar asaru;aizkustināts|asara|atvieglots|lepns|pateicīgs|smaidoša seja ar asaru|smaidošs
😋;ēdienu baudoša seja;ēdienu baudoša seja|garšīgs|ņamm|seja|smaids
😛;seja ar izbāztu mēli;mēle|seja|seja ar izbāztu mēli
😜;seja ar izbāztu mēli un piemiegtu aci;acs|mēle|miegt|mirkšķināt|seja|seja ar izbāztu mēli un piemiegtu aci
🤪;traka seja;acs|liels|mazs|traka seja
😝;seja ar izbāztu mēli un aizmiegtām acīm;acs|garša|mēle|negaršīgs|seja|seja ar izbāztu mēli un aizmiegtām acīm
🤑;seja ar naudu mutē;mute|nauda|seja|seja ar naudu mutē
🤗;seja ar apskāvienu;apskaut|apskāviens|seja|seja ar apskāvienu
🤭;seja ar roku pār muti;seja ar roku pār muti|vai
🫢;seja ar atvērtām acīm un roku pār muti;apkaunot|bijība|izbrīns|neticība|nobijies|pārsteigums|seja ar atvērtām acīm un roku pār muti
🫣;seja ar lūrošu aci;blenzt|palūrēt|seja ar lūrošu aci|valdzināts
🤫;šušinoša seja;klusēt|klusināt|kuš|šušināt|šušinoša seja
🤔;domīga seja;domāt|domīga seja|seja
🫡;salutējoša seja;karavīri|labi|salutējoša seja|salutēt|saulains
🤐;seja ar rāvējslēdzēju mutes vietā;ciet|mute|rāvējslēdzējs|seja|seja ar rāvējslēdzēju mutes vietā
🤨;seja ar paceltām uzacīm;neuzticīgs|seja ar paceltām uzacīm|skeptisks
😐;neitrāla seja;bez izteiksmes|neitrāla seja|neitrāls|neizteiksmīgs|seja
😑;seja bez izteiksmes;bez izteiksmes|neizteiksmīgs|seja|seja bez izteiksmes
😶;seja bez mutes;kluss|mute|seja|seja bez mutes
🫥;punktētas līnijas seja;intraverts|neredzams|nomākts|pazūd|punktētas līnijas seja|slēpt
😶‍🌫️;seja mākoņos;galva mākoņos|pārdomas|seja mākoņos|seja miglā
😏;smīnoša seja;seja|smīnoša seja|smīns|viltīgs
😒;saīgusi seja;dusmas|dusmīgs|saīdzis|saīgusi seja|seja
🙄;seja ar pārgrieztām acīm;acis|neapmierināts|pārgriezt|seja|seja ar pārgrieztām acīm
😬;saviebta seja;grimase|saviebta seja|seja
😮‍💨;nopūta;atvieglojums|čuksti|izelpa|nopūta|seja nopūšas|svilpošana|vaids
🤥;melojoša seja;meli|melojoša seja|pinokio|seja
🫨;trīcoša seja;seja|šoks|trīcoša seja|trīcošs|vibrācija|zemestrīce
🙂‍↔️;krata galvu horizontāli;krata galvu horizontāli|kratīt|nē
🙂‍↕️;krata galvu vertikāli;krata galvu vertikāli|pamāt jā
😌;seja ar atvieglojuma izteiksmi;atvieglojums|seja|seja ar atvieglojuma izteiksmi
😔;domās iegrimusi seja;domās iegrimusi seja|domīgs|pārdomas|seja
😪;miegaina seja;gulēt|miegaina seja|miegs|seja
🤤;siekalojas;seja|siekalas|siekalojas
😴;guļoša seja;gulēt|guļoša seja|seja|žāvāties
😷;seja ar medicīnas masku;ārsts|maska|medicīna|seja|seja ar medicīnas masku|slims
🤒;seja ar termometru;seja|seja ar termometru|slims|termometrs
🤕;seja ar galvas apsēju;apsējs|ievainojums|seja|seja ar galvas apsēju
🤢;nelabums;nelabums|seja|slimība
🤮;vemjoša seja;nelabums|slimība|vemjoša seja
🤧;šķauda;seja|šķauda
🥵;piesārtusi seja;drudzī|karstuma dūriens|nosvīdis|piesārtusi seja|sarkanu seju|saules dūriens
🥶;nosalusi seja;apsaldējies|auksts|lāstekas|nosalusi seja|nozilējis|stindzinošs
🥴;noreibusi seja;apreibis|noreibusi seja|piedzēries|šķībām acīm|šķību muti
😵;apreibusi seja;apreibis|apreibusi seja|seja
😵‍💫;seja ar spirālēm acu vietā;apreibis|hipnozē|nepatikšanas|oho|seja ar spirālēm acu vietā|spirāles
🤯;eksplodējoša galva;eksplodējoša galva|šokēts
🤠;seja kovboja cepurē;cepure|kovbojs|seja|seja ar kovboja cepuri|seja kovboja cepurē
🥳;ballīšu seja;ballīšu seja|ballīte|cepure|svinības|taurīte
🥸;paslēpta seja;brilles|deguns|inkognito|maska|paslēpta seja|seja
😎;smaidoša seja ar saulesbrillēm;saulesbrilles|seja|smaidoša seja ar saulesbrillēm|smaids|stilīgs
🤓;gudrītis;briļļainais|gudrītis|seja
🧐;seja ar monokli;seja ar monokli|vecmodīga
😕;apjukusi seja;apjucis|apjukums|apjukusi seja|seja
🫤;seja ar diagonālu muti;meh|nezinu|seja ar diagonālu muti|skeptiski|vīlies
😟;noraizējusies seja;noraizējies|noraizējusies seja|rūpes|seja
