# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;glisefjes;fjes|glis|glisefjes
😃;glisende fjes med vidåpne øyne;åpen|fjes|glisende fjes med vidåpne øyne|latter|munn|smil|smilefjes
😄;glisende fjes med smilende øyne;glisende fjes med smilende øyne|latter|med tenner|morsomt|smil|smilefjes|smilefjes med åpen munn og smilende øyne
😁;glisefjes med smilende øyne;fjes|glis|glisefjes med smilende øyne|latter|lol|smil|smilefjes
😆;smil med sammenknepne øyne;åpen munn|fjes|latter|smil med sammenknepne øyne
😅;glisende fjes som svetter;åpen|glisende fjes som svetter|kaldsvette|munn|smil med svette|svett smil med åpen munn
🤣;ruller rundt på gulvet i latter;fjes|gulv|latter|ruller|ruller rundt på gulvet i latter
😂;gledestårer;fjes|fjes med gledestårer|glede|gledestårer|tårer
🙂;smiler litt;fjes|smil|smiler litt
🙃;fjes som er opp-ned;fjes|fjes som er opp-ned|opp-ned
🫠;fjes som smelter;fjes som smelter|forsvinner|går i oppløsning|væske
😉;blunkende ansikt;blunk|blunkende ansikt|fjes
😊;smil med smilende øyne;fjes|rødme|smil|smil med smilende øyne|smilende øyne
😇;smil med glorie;engel|fjes|glorie|smil|smil med glorie|uskyldig
🥰;smilefjes med hjerter;elsker|forelsket|kjærlighet|smilefjes med hjerter
😍;smilefjes med hjerteøyne;fjes|hjerte|hjerteøyne|kjærlighet|øyne|smilefjes med hjerteøyne
🤩;stjerner i øynene;fjes|gliser|smil|stjerner|stjerner i øynene
😘;slengkyss;elsker deg|fjes|glad i deg|hjerte|kyss|slengkyss
😗;kyssefjes;elsker deg|fjes|glad i deg|kyss|kyssefjes|slengkyss
☺️;smilefjes;fjes|omriss|smil|smilefjes
😚;kyss med lukkede øyne;elsker deg|fjes|glad i deg|kyss|kyss med lukkede øyne|lukkede øyne|trutmunn
😙;kyss med smilende øyne;fjes|kyss|kyss med smilende øyne|slengkyss|smil|smilende øyne
🥲;smilefjes med tåre;lettet|rørt|smilefjes med tåre|smiler|stolt|takknemlig|tåre
😋;nam-nam;deilig mat|fjes|mmm|nam|nam-nam|sulten
😛;rekker tunge;fjes|fjes som rekker tunge|rekker tunge|tungen ut
😜;blunker og rekker tunge;blunk|blunker og rekker tunge|erte|fjes|rekke tunge med blunk|spøk
🤪;gal;fjes|gal|lite øye|sinnssyk|stort øye
😝;æsj;æsj|fælt|fjes|lukkende øyne|rekke tunge|tungen ut med øynene lukket
🤑;pengegal;fjes|munn|pengegal|penger
🤗;fjes som gir klem;fjes|fjes som gir klem|klem
🤭;hånden over munnen;flire|hånden over munnen|ops
🫢;fjes med åpne øyne og hånd over munnen;fjes|fjes med åpne øyne og hånd over munnen|flau|forskrekkelse|overraskelse|redd
🫣;fjes som titter frem bak hendene;fjes|fjes som titter frem bak hendene|klarer ikke dy seg|må se|stirre|titte
🤫;hysj;hysj|stillhet|vær stille
🤔;tenkefjes;fjes|tankefull|tenkefjes|tenker
🫡;fjes som viser honnør;fjes|fjes som viser honnør|ja|militærhilsen|salutt
🤐;fjes med glidelåsmunn;fjes|fjes med glidelåsmunn|glidelås|munn
