# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;sefahlego se myemyelago kudu;myemyela|sefahlego|sefahlego se myemyelago kudu
😃;sefahlego se myemyelago le molomo o bulegilego;bula|molomo|myemyela|sefahlego|sefahlego se myemyelago le molomo o bulegilego
😄;sefahlego seo se myemyelago seo se butšego molomo le sefahlego se myemyelago;bula|leihlo|molomo|myemyela|sefahlego|sefahlego seo se myemyelago seo se butšego molomo le sefahlego se myemyelago
😁;sefahlego se šinyalalago le sefahlego se myemyelago;leihlo|momyemyelo|sefahlego|sefahlego se šinyalalago le sefahlego se myemyelago|šinyalala
😆;sefahlego seo se myemyelago sa molomo wa go bulega le mahlo a tswaletšwego;bula|kgotsofalo|molomo|myemyela|sefahlego|sefahlego seo se myemyelago sa molomo wa go bulega le mahlo a tswaletšwego|sega
😅;sefahlego seo se myemyelago se butše molomo le kudumela e tonyago;bula|kudumela|myemyela|sefahlego|sefahlego seo se myemyelago se butše molomo le kudumela e tonyago|tonya
🤣;go sega o rapaletše fase;fase|go sega o rapaletše fase|kgokologa|sefahlego|sega
😂;sefahlego sa megokgo ya lethabo;lethabo|mogokgo|sefahlego|sefahlego sa megokgo ya lethabo|sesego
🙂;sefahlego se myemyelago ganyenyane;myemyela|sefahlego|sefahlego se myemyelago ganyenyane
🙃;sefahlego se lebeletšego fase;lebeletše fase|sefahlego|sefahlego se lebeletšego fase
🫠;;
😉;sefahlego se ponyago letee;ponya leihlo|sefahlego|sefahlego se ponyago letee
😊;sefahlego le mahlo a myemyelago;bonya|leihlo|myemyela|sefahlego|sefahlego le mahlo a myemyelago
😇;sefahlego se myemyelago le halo;boithabišo|go hloka molato|halo|kgalefo|myemyela|nonwane|sefahlego|sefahlego se myemyelago le halo
🥰;;
😍;sefahlego se myemyelago le mahlwana a pellwana;leihlo|lerato|myemyela|sefahlego|sefahlego se myemyelago le mahlwana a pellwana
🤩;go wa ga naledi;go wa ga naledi|mahlo|myemyela|naledi|sefahlego
😘;katlo ye butšwetšago moya;atla|katlo ye butšwetšago moya|sefahlego
😗;sefahlego sa go atlana;atla|sefahlego|sefahlego sa go atlana
