# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;szeroko uśmiechnięta twarz;roześmiana buźka|szeroko uśmiechnięta twarz
😃;uśmiechnięta twarz z otwartymi ustami;uśmiech|uśmiechnięta twarz z otwartymi ustami|wesoły
😄;uśmiechnięta twarz z otwartymi ustami i roześmianymi oczami;uśmiech|uśmiechnięta twarz z otwartymi ustami i roześmianymi oczami|wesoły
😁;szeroko uśmiechnięta twarz o roześmianych oczach;śmiech|szeroko uśmiechnięta twarz o roześmianych oczach|uśmiech|wyszczerzone|zęby
😆;uśmiechnięta twarz z przymrużonymi oczami;satysfakcja|uśmiech|uśmiechnięta twarz z przymrużonymi oczami|wesoły
😅;uśmiechnięta twarz z otwartymi ustami, oblana zimnym potem;kropla potu|oblana zimnym potem|uśmiech|uśmiechnięta twarz z otwartymi ustami|uśmiechnięta twarz z otwartymi ustami, oblana zimnym potem|wesoły
🤣;tarza się ze śmiechu;kulać się|śmiech|tarza się ze śmiechu
😂;twarz ze łzami radości;łzy|śmiech|twarz ze łzami radości
🙂;lekko uśmiechnięta twarz;buźka|lekko uśmiechnięta twarz
🙃;odwrócona twarz;do góry nogami|odwrócona twarz
🫠;roztapiająca się twarz;płynna twarz|rozpuszczająca się twarz|roztapiająca się twarz|znikająca twarz
😉;twarz puszczająca oko;puszczać oko|twarz puszczająca oko
😊;uśmiechnięta twarz o roześmianych oczach;przyjazny|serdeczny|uśmiech|uśmiechnięta twarz o roześmianych oczach
😇;uśmiechnięta twarz z aureolą;nic nie zrobiłem|świętoszek|uśmiechnięta twarz z aureolą
🥰;uśmiechnięta buźka z sercami;uśmiechnięta buźka z sercami|uśmiechnięta twarz z sercami|uwielbienie|zadurzenie|zakochany
😍;uśmiechnięta twarz z oczami w kształcie serca;buźka|kocham|serca|uśmiech|uśmiechnięta twarz z oczami w kształcie serca|zakochany
🤩;zafascynowany;buźka|gwiazdy|zafascynowanie|zafascynowany
😘;twarz przesyłająca całusa;całus|kocham|ślę całusa|twarz przesyłająca całusa
😗;całująca twarz;całująca twarz|całus|ślę całusa
☺️;uśmiechnięta twarz;buźka|uśmiech|uśmiechnięta twarz|zrelaksowany
😚;całująca twarz z zamkniętymi oczami;całująca twarz z zamkniętymi oczami|całus|ślę całusa
😙;całująca twarz o roześmianych oczach;całująca twarz o roześmianych oczach|całus|ślę całusa
🥲;uśmiechnięta buźka ze łzą;dumny|łza|ulga|uśmiechnięta buźka ze łzą|uśmiechnięty|wdzięczny|wzruszony
😋;twarz delektująca się pysznym jedzeniem;oblizywać się|twarz delektująca się pysznym jedzeniem
😛;twarz wystawiająca język;buźka pokazująca język|twarz wystawiająca język
😜;twarz wystawiająca język i puszczająca oko;język|mrugnięcie|pokazuję język|twarz wystawiająca język i puszczająca oko
🤪;szalona twarz;duże|małe|oko|szalona twarz
😝;twarz ze zmrużonymi oczami wystawiająca język;język|okropne|pokazywać język|smak|twarz ze zmrużonymi oczami wystawiająca język|zamknięte oczy
🤑;twarz z pieniędzmi na ustach;hajs|kasa|pieniądze|twarz|twarz z pieniędzmi na ustach
🤗;twarz z gestem przytulania;ściskam|twarz z gestem przytulania|uśmiech
🤭;twarz z ręką na ustach;twarz z ręką na ustach|ups
🫢;twarz z otwartymi oczami i ręką na ustach;niedowierzanie|niespodzianka|przestrach|przestraszona twarz|twarz z otwartymi oczami i ręką na ustach|zawstydzona twarz|zdumienie
🫣;twarz z podglądającym okiem;gapienie się|podglądanie|twarz z podglądającym okiem|zaabsorbowana twarz
🤫;uciszająca twarz;cicho|uciszać|uciszająca twarz
🤔;myśląca twarz;buźka|myśląca twarz|myślę|zamyślony|zastanawiam się
🫡;salutująca twarz;ok|pogodna twarz|salutująca twarz|tak jest|wojsko
🤐;twarz z zamkiem błyskawicznym na ustach;buzia na kłódkę|nic nie powiem|twarz z zamkiem błyskawicznym na ustach
🤨;twarz z podniesioną brwią;brew|buźka|sceptyczny|twarz z podniesioną brwią
😐;neutralna twarz;hm|neutralna twarz|nic|nie mam zdania
😑;twarz bez wyrazu;nic|nie mam zdania|nie obchodzi mnie|twarz bez wyrazu
😶;twarz bez ust;buźka|cisza|nic nie mówię|twarz bez ust
🫥;twarz otoczona linią przerywaną;introwertyk|niewidzialna twarz|przygnębiona twarz|twarz otoczona linią przerywaną|ukryta twarz|znikająca twarz
😶‍🌫️;twarz w chmurach;bujać w obłokach|głowa w chmurach|twarz w chmurach|zamyślenie
😏;twarz z uśmieszkiem;twarz z uśmieszkiem|uśmieszek
