# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;සිනහ මුහුණ;මුහුණ|සිනහ මුහුණ|සිනහව
😃;කට ඇරුණ සිනාසෙන මුහුණ;කට|කට ඇරුණ සිනාසෙන මුහුණ|මුහුණ|විවෘත|සිනහව
😄;කට ඇරුණ සිනාාසෙන ඇස් සහිත සිනහ මුහුණ;ඇස|කට|කට ඇරුණ සිනාාසෙන ඇස් සහිත සිනහ මුහුණ|මුහුණ|විවෘත|සිනහව
😁;සිනාසෙන ඇස් සහිත දත් විරිතත්න මුහුණ;ඇස|මුහුණ|සිනහව|සිනාසෙන ඇස් සහිත දත් විරිතත්න මුහුණ
😆;කට ඇරුණ ඇස් තදින් වසා ගත් සිනහ මුහුණ;කට|කට ඇරුණ ඇස් තදින් වසා ගත් සිනහ|කට ඇරුණ ඇස් තදින් වසා ගත් සිනහ මුහුණ|තෘප්තිමත්|මුහුණ|විවෘත|සිනහව
😅;කට ඇරුණ දහඩිය දමන සිනහ මුහුණ;කට ඇරුණ දහඩිය දමන සිනහ මුහුණ|දහඩිය|මුහුණ|විවෘත|සිනහව|සීතල
🤣;බිම පෙරළීමෙන් සිනාසීම;පෙරළීම|බිම|බිම පෙරළීමෙන් සිනාසීම|මුහුණ|සිනාසෙනවා
😂;සතුටු කඳුළු සහිත මුහුණ;කඳුළු|මුහුණ|සතුට|සතුටු කඳුළු සහිත මුහුණ|සිනහව
🙂;යන්තම් සිනාවෙන මුහුණ;මුහුණ|යන්තම් සිනාවෙන මුහුණ|සිනහව
🙃;යටිකුරු වූ මුහුණ;උඩු යටිකුරු|මුහුණ|යටිකුරු වූ මුහුණ
🫠;දිය වෙන මුහුණ;අතුරුදහන් වීම|දිය කිරීම|දිය වීම|දිය වෙන මුහුණ|දියර
😉;ඇස් ගසන මුහුණ;ඇස් ගසන මුහුණ|ඇස් ගැසීම|මුහුණ
😊;සිනාසෙන ඇස් සහිිත සිනහ මුහුණ;ඇස|මුහුණ|රතු වීම|සිනහව|සිනාසෙන ඇස් සහිිත සිනහ මුහුණ
😇;රැස් වළල්ල සහිත සිනහ මුහුණ;අහිංසක|රැස් වළල්ල සහිත සිනහ මුහුණ|සුරංගනා කථාව|සුරංගනාවිය|හලෝ
🥰;හදවත් 3ක් සහිත සිනාසී සිටින මුහුණක්;ආදරයෙන් සිටින|කැමති|ගෞරව කරනවා|හදවත් 3ක් සහිත සිනාසී සිටින මුහුණක්
