# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;syrtarýan ýüz;syrtarma|syrtarýan ýüz|ýüz
😃;ullakan gözli syrtarýan ýüz;açyk|agyz|ullakan gözli syrtarýan ýüz|ýüz|ýylgyrmak
😄;gülýän gözli syrtarýan ýüz;açyk|agyz|göz|gülýän gözli syrtarýan ýüz|ýüz|ýylgyrmak
😁;gülýän gözli ýyrşarýan ýüz;göz|gülýän gözli ýyrşarýan ýüz|syrtarmak|ýüz|ýylgyrmak
😆;gytak gözli syrtarýan ýüz;agyz|gözüniň gytagy bilen seredýän syrtarýan ýüz|gülki|gytak gözli syrtarýan ýüz|kanagatlanan|ýüz|ýylgyrmak
😅;syrtarýan derli ýüz;açyk|der|sowuk|syrtarýan derli ýüz|ýüz|ýylgyrmak
🤣;içiňi tutup gülmek;gülmek|içiňi tutup gülmek|togalanmak|ýer|ýüz
😂;begenç gözýaşly ýüz;begenç|begenç gözýaşly ýüz|gözýaş|gülki|ýüz
🙂;çalaja ýylgyrýan ýüz;çalaja ýylgyrýan ýüz|ýüz|ýylgyrmak
🙃;dik başaşak ýüz;başaşak|dik başaşak ýüz|ýüz
🫠;ereýän ýüz;çözülmek|eremek|ereýän ýüz|gaýyp bolmak|suwuklyk
😉;göz gypýan ýüz;göz gypmak|göz gypýan ýüz|ýüz
😊;gülýän gözli ýylgyrýan ýüz;göz|gülýän gözli ýylgyrýan ýüz|ýüz|ýüzi gyzarmak|ýylgyrmak
😇;başy halkaly ýylgyrýan ýüz;başy halkaly ýylgyrýan ýüz|bigünä|erteki|nurana halka|perişde|ýüz
🥰;üç ýürekli ýylgyrýan ýüz;gowy görmek|halamak|söýmek|üç ýürekli ýylgyrýan ýüz
😍;ýürek gözli ýylgyrýan ýüz;göz|söýgi|ýürek gözli ýylgyrýan ýüz|ýüz|ýylgyrmak
🤩;ýyldyz düşen;gözler|syrtarmak|ýüz|ýyldyz|ýyldyz düşen
😘;posa üfleýän ýüz;posa|posa üfleýän ýüz|ýüz
😗;öpýän ýüz;öpýän ýüz|posa|ýüz
☺️;ýylgyrýan ýüz;rahat|sudurly|ýüz|ýylgyrmak|ýylgyrýan ýüz
😚;ýumuk gözli öpýän ýüz;göz|posa|ýumuk|ýumuk gözli öpýän ýüz|ýüz
😙;gülýän gözli öpýän ýüz;göz|gülýän gözli öpýän ýüz|posa|ýüz|ýylgyrmak
🥲;gözýaşly ýylgyrýan ýüz;buýsançly|çala ýylgyrýan|duýguly|gözýaş|gözýaşly ýylgyrýan ýüz|minnetdar|rahat
😋;nahara agzyny şapyrdadýan ýüz;mymm|nahara agzyny şapyrdadýan ýüz|şapyrdadýan|süýji|ýüz|ýylgyrmak
😛;dilini çykarýan ýüz;dil|dilini çykarýan ýüz|ýüz
😜;dilini çykarýan we göz gypýan ýüz;degişme|dil|dilini çykarýan we göz gypýan ýüz|göz|göz gypmak|ýüz
🤪;däli ýüz;däli ýüz|göz|kiçi|uly
😝;dilini çykarýan we gözüniň gytagy bilen seredýän ýüz;dil|dilini çykarýan we gözüniň gytagy bilen seredýän ýüz|gorkunç|göz|tagam|ýüz
🤑;pul agyzly ýüz;agyz|pul|pul agyzly ýüz|ýüz
🤗;gujaklaýan ýüz;gujak|gujaklamak|gujaklaýan ýüz|ýüz
🤭;eli agzynyň üstünde ýüz;eli agzynyň üstünde ýüz|oh-ho
🫢;gözleri açyk we agzyň üstünde el bolan ýüz;aňk-taňk|garaşylmadyk|geň galmak|gorkan|gözleri açyk we agzyň üstünde el bolan ýüz|utanmak|ynanmazlyk
🫣;göz gytagyndan garaýan ýüz;göz gytagyndan garaýan ýüz|gytak|jiňkermek|ýesir
🤫;&quot;ýuwaşş&quot; diýýän ýüz;&quot;ýuwaşş&quot; diýýän ýüz|üşş|ýuwaş
🤔;oýlanýan ýüz;oýlanýan|pikirlenýän|ýüz
🫡;salam berýän ýüz;bolýar|çest|güneşli|hawa|salam|salam berýän ýüz
🤐;syrma agyzly ýüz;agyz|syrma|syrma agyzly ýüz|ýüz
🤨;gaşyny galdyran ýüz;gaşyny galdyran ýüz|müňkür|ynamsyzlyk
😐;syr bildirmeýän ýüz;biparh|syr bermeýän|syr bildirmeýän ýüz|ýüz
😑;duýgusyz ýüz;duýgusyny bildirmeýän|duýgusyz|duýgy ýok|sep bildirmeýän|ýüz
😶;agyzsyz ýüz;agyz|agyzsyz ýüz|sessiz|ýuwaş|ýüz
🫥;nokatly çyzykdan ýüz;basylan|gaýyp bolmak|gizlenmek|görünmeýän|nokatly çyzykdan ýüz|ýekemezek
😶‍🌫️;bulutlaryň içinde ýüz;akly başga ýerde|bulutlaryň içinde kelle|bulutlaryň içinde ýüz|ümüriň içindäki ýüz
😏;kinaýaly ýüz;kinaýa|kinaýaly ýüz|ýüz
😒;göwni bitmedik ýüz;begençsiz|göwni bitmedik|göwni bitmedik ýüz|ýüz
🙄;gözüni agdarýan ýüz;gözler|gözüni agdarýan ýüz|togalanýan|ýüz
😬;ýyrşarýan ýüz;ýüz|ýyrşarmak|ýyrşarýan ýüz
😮‍💨;bugarýan ýüz;bugarmak|bugarýan ýüz|demikmek|iňňildi|pyşyrdy|rahatlamak|sykylyk
🤥;ýalançy ýüz;buratino|ýalan|ýalançy ýüz|ýüz
🫨;titreýan ýüz;titreýan ýüz
🙂‍↔️;saga-çepe sallanýan kelle;saga-çepe sallanýan kelle|salla|ýok
🙂‍↕️;aşak-ýokaryk sallanýan kelle;aşak-ýokaryk sallanýan kelle|baş at|hawa
😌;ynjalan ýüz;ynjalan|ýüz
😔;gussaly ýüz;gussaly|tukat|ýüz
😪;ukuly ýüz;ukuly ýüz|uky|ýüz
🤤;gyllygy akýan ýüz;gyllygy akmak|gyllygy akýan ýüz|ýüz
😴;uklap ýatan ýüz;uhh|uklap ýatan ýüz|uky|ýüz
😷;saglyk maskaly ýüz;hassa|lukman|maska|saglyk maskaly ýüz|sowuk|ýüz
🤒;termometrli ýüz;hassa|kesel|termometr|termometrli ýüz|ýüz
🤕;kellesi sargyly ýüz;kellesi sargyly ýüz|sargy|ýara|ynjyly|ýüz
🤢;ýüregi bulanýan ýüz;gusmak|ýüregi bulanýan|ýüregi bulanýan ýüz|ýüz
🤮;gusýan ýüz;gusmak|gusýan ýüz|hassa
🤧;asgyrýan ýüz;asgyrmak|asgyrýan ýüz|tüýkülik|ýüz
🥵;gyzan ýüz;derli|gyzan ýüz|gyzgyn|gyzgynlyk urgusy|gyzyl ýüz
🥶;sowuk ýüz;buz şelpeleri|doňan|doňýan|gök ýüzli|sowuk|sowuk ýüz
