# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Ojú tó rẹ́rìn;fẹyín|ojú|Ojú tó rẹ́rìn
😃;Ojú tó rẹ́rìn Pẹ̀lú Ẹnu Lílà sílẹ̀;ẹnu|ojú|Ojú tó rẹ́rìn Pẹ̀lú Ẹnu Lílà sílẹ̀|rẹ́rìń músẹ́|ṣí
😄;ojú tó ń rẹ́rìń músẹ́ pẹ̀lú ẹnu lílà sílẹ̀ àti ẹyinjú tó ń rkrìń músẹ́;ẹnu|ẹyinjú|ojú|ojú tó ń rẹ́rìń músẹ́ pẹ̀lú ẹnu lílà sílẹ̀ àti ẹyinjú tó ń rkrìń músẹ́|rẹ́rìń músẹ́|ṣí
😁;Ojú tó fẹyín pẹ̀lú Ẹyinjú tó rẹ́rìn músẹ́;ẹyinjú|fẹyín|ojú|Ojú tó fẹyín pẹ̀lú Ẹyinjú tó rẹ́rìn músẹ́|rẹ́rìn músẹ́
😆;ojú tó ń rẹ́rìń músẹ́ pẹ̀lú ẹnu lílà sílẹ̀ àti òógùn tútù;ẹnu|ẹ̀rín|ìtẹ́larùn|ojú|ojú tó ń rẹ́rìń músẹ́ pẹ̀lú ẹnu lílà sílẹ̀ àti òógùn tútù|rẹ́rìń músẹ́
😅;ojú tó ń rẹ́rìń pẹ̀lú ẹnu lílà sílẹ̀ àti òógùn;ojú|ojú tó ń rẹ́rìń pẹ̀lú ẹnu lílà sílẹ̀ àti òógùn|òógùn|òtútù|rẹ́rìń músẹ́|ṣí
🤣;Yíyí ní ilẹ̀nlẹ̀ tún rẹ́rìn;ilẹ̀|ojú|rẹ́rìń|yíyí|Yíyí ní ilẹ̀nlẹ̀ tún rẹ́rìn
😂;Ojú pẹ̀lú ẹkún ayọ̀;àyọ̀|ẹkún|ẹ̀rín|ojú|Ojú pẹ̀lú ẹkún ayọ̀
🙂;Oju Ti O N Rẹrin Muṣẹn;ojú|Oju Ti O N Rẹrin Muṣẹn|rẹ́rín músẹ́
🙃;Oju Ti O Rọ walẹ;dojú kodò|ojú|Oju Ti O Rọ walẹ
🫠;Oju Ti O tẹ̀;Oju Ti O tẹ̀|olómi|parẹ́|tẹ|wó
😉;Ojú tó ṣẹ́jù;ojú|Ojú tó ṣẹ́jù|ṣẹ́jú
😊;Ojú tó rẹ́rìn Músẹ́ Pẹ̀lú Ẹyinjú tó rẹ́rìn Músẹ́;ẹyinjú|ojú|Ojú tó rẹ́rìn Músẹ́ Pẹ̀lú Ẹyinjú tó rẹ́rìn Músẹ́|rẹ́rìń ìtìjù|rẹ́rìń músẹ́
😇;Oju Ẹrin Ati Bawo;àlá|àla fú ọmọdé|aláìṣẹ̀|àńgẹ́lì|báwo|ojú|Oju Ẹrin Ati Bawo|rẹ́rìn músẹ́
🥰;ojú erin pelu okan;ẹyinjú|kẹ́|ní ìfẹ́|ojú erin pelu okan|oju tí ó ń rẹ́rìn pẹ̀lú ọkàn|ọkàn
😍;Oju Ti O N Rẹrin Pẹlu awọn oju Ọkan;ẹyinjú|ìfẹ́|ojú|Oju Ti O N Rẹrin Pẹlu awọn oju Ọkan|rẹ́rìn músẹ́
🤩;Pípa pè̩lú ìràwọ̀;ẹyinjú|ìràwọ̀|ojú|Pípa pè̩lú ìràwọ̀|Rẹ́rìn-ín ìyàlé̩nu
😘;Oju Ti O N Fẹ Ifẹnuko;ìfẹnukonu|ojú|Oju Ti O N Fẹ Ifẹnuko
😗;Ojú tó Fẹnuko ẹnu;ìfẹnukonu|ojú|Ojú tó Fẹnuko ẹnu
☺️;ojú tó ń rẹ́rìń músẹ́;ìgbafẹ́|ìlànà|ojú|ojú tó ń rẹ́rìń músẹ́|rẹ́rìń músẹ́
😚;Oju Ti O N Fẹnuko Pẹlu Awọn Oju didi;ẹyinjú|ìfẹnukonu|ojú|Oju Ti O N Fẹnuko Pẹlu Awọn Oju didi|ti padé
😙;Ojú tó Fẹnuko ẹnu Pẹ̀lú Ẹyinjú tọ rẹ́rìn Músẹ́;ẹyinjú|ìfẹnukonu|ojú|Ojú tó Fẹnuko ẹnu Pẹ̀lú Ẹyinjú tọ rẹ́rìn Músẹ́|rẹ́rìń músẹ́
🥲;ojú ẹ̀rín pẹ̀lú ẹkún;ekún|fọwọ́kàn|gbéraga|more|ojú ẹ̀rín pẹ̀lú ẹkún|rẹ́rìń músẹ́|rẹ́rìń músẹ́ pẹ̀lú ẹkún|simi
😋;Oju Ti O N jẹ Ounjẹ Aladidun;aládídùn|jíjẹ aládídùn|ojú|Oju Ti O N jẹ Ounjẹ Aladidun|rẹ́rìń músẹ́|um|yum
😛;Oju Ti Ahọn Ti O Yọ Sita;ahọ́n|ojú|Oju Ti Ahọn Ti O Yọ Sita
😜;ojú pẹ̀lú ahọ́n lílà sílẹ̀ àti ẹyinjú tí ń ṣẹ́jú;ahọ́n|ẹyinjú|ojú|ojú pẹ̀lú ahọ́n lílà sílẹ̀ àti ẹyinjú tí ń ṣẹ́jú|ṣẹ́jú|yẹ̀yẹ́
🤪;Ojú aṣiwèrè;kékeré|Nlá|ojú|Ojú aṣiwèrè
😝;ojú pẹ̀lú ahọ́n lílà sílẹ̀ àti ẹyinjú tó padé;ahọ́n|burújù|ẹyinjú|ìtọ́wò|ojú|ojú pẹ̀lú ahọ́n lílà sílẹ̀ àti ẹyinjú tó padé
🤑;Oju Ẹnu owo;ẹnu|ojú|Oju Ẹnu owo|owó
🤗;oju Ti O fanimọra;fanimọ́ra|ojú|oju Ti O fanimọra
🤭;Ojú tá fọwọ́ bo ẹnu;Ikó̩|Ojú tá fọwọ́ bo ẹnu
🫢;ojú sísí lẹ̀ àti owo lori enu;àìgbàgbọ́|bẹ̀rù|ẹ̀rú|ìyalẹ́nu|òjiji|ojú sisi lẹ̀ àti owo lori enu|ojú sísí lẹ̀ àti owo lori enu|solẹ́nu
🫣;ojú pẹ̀lú títọpinpin;gbé|ojú pẹ̀lú títọpinpin|wò|yọ́ wò
🤫;Ojú tó sùpò̩;dákẹ́|Ojú tó sùpò̩|panu mọ́
🤔;Ojú tó Ronú;ńronú|ojú|Ojú tó Ronú
🫡;ojú bíbọ̀wọ́;àwọn ológun|bẹ́ẹ̀nì|bọ̀wọ̀|Ó dáa|ojú bíbọ̀wọ́|ojú tó ń bọ̀wọ̀|òrùn ríràn
🤐;Oju Ẹni Ti A Tipa;ẹnu|ojú|Oju Ẹni Ti A Tipa|tìpa
🤨;Ìrun ojú ta gbé sókè;àìgbàgbọ́|Ìrun ojú ta gbé sókè|Oníyèméjì
😐;Ojú Ìbíìbí;àárín|àìpani lẹ́rìń|ojú|Ojú Ìbíìbí
😑;Oju Ti Ko Fanimọra;àìfanimọ́ra|àìlè sọ̀rọ̀|àìlèsọ̀rọ̀|ojú|Oju Ti Ko Fanimọra
😶;Ojú tí kò ní Ẹnu;dáké|ẹnu|ojú|Ojú tí kò ní Ẹnu
🫥;ojú ìlà tótótó;aikinsoro|airi|banuje|ojú ìlà tótótó|poora|sapamo
😶‍🌫️;ojú nínú àwọ̀sánmà;àìfọkànsí|ojú ní kùrukùru|ojú nínú àwọ̀sánmà|orí nínú àwọ̀sánmọ̀
😏;Oju Ẹrin Abosi;ojú|Oju Ẹrin Abosi|rẹ́rín àbòsí
😒;Oju Aifanimọra;àìdunú|àìfanimọ́ra|ojú|Oju Aifanimọra
