# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;анлӑн кулать;кулӑ|пит-куҫ|савӑнӑҫ|телей
😃;кулать;кулӑ|кулать|пит|савӑнӑҫ|савӑнӑҫлӑ|ҫӑвар
😄;куҫне хупса кулать;кулать|кулни|куҫӗсем|пичӗ|савӑнӑҫ|хупӑннӑ
😁;телейпе ҫуталать;кӗҫенни|кулӑ|кулли|кулли / сарлака|куҫ|пит|телей|хавас|шӑл
😆;куҫне хӗссе кулать;ахӑлтатса кулни|кулӑшла|кулли|куҫӗсем|лол|савӑнӑҫ|сӗрӗм|ха-ха|хупӑннӑ
😅;ҫилӗллӗн кулать;кулӑ|кулли|лол|нерв|сарлака|стресс|ҫӑвар|ҫӑмӑллӑх|тар|уҫӑ
🤣;каҫса кайсах кулать;ахӑлтатса кулни|куҫ|куҫҫуль|макӑру|ржак|умора|урай|ха-ха|ярӑнатӑп
😂;куҫҫуль тухичченех кулать;йӗр|кулӑшла|куҫ / лол|куҫҫуль|ржак|ржунимаг|умора|ха-ха
🙂;кӑшт кулакан пит;кулӑ|пит|савӑнӑҫ|сайлик|ҫӑмӑл
🙃;кутӑн-пуҫӑн кутӑн;кулӑ|кутӑн-пуҫӑн|пит|ҫӳлелле|ура / ӳпӗнтернӗ
🫠;ирӗлет;вӑтанма|ирӗлет|сайл|сарказм|ҫухалать|хаха|шӑрӑх|шӗвек
😉;куҫ хӗсет;аван|калаҫса татӑлтӑмӑр|кулли|куҫ|куҫ хӗсет|ой|ҫӑмӑл|тӑрӑхласа|флирт|шӳт
😊;кӑмӑллӑн кулать;куҫӗсем|питҫӑмартисем|савӑнӑҫ|ҫӑмӑл|тулли|хӗрелет|хӗрлӗ / кулӑ|хупӑннӑ
😇;нимблӑ;айӑпсӑрлӑх|айванлӑх|ангел|кулли|нимб|нимб / святой|пит|юмах
🥰;чӗреллӗ кулӑ;ачашлӑх|кулӑ|любовь|романтика|савӑнӑҫ|туйӑмсем|хӗрлӗ / чӗре|юрататӑп
😍;юратса пӑрахнӑ пит;куҫ|пит / юрату|туйӑмсем|чӗрене|юратма|юратма / юрататӑп|юратнӑран ӑсран тайӑлатӑп|юратрӑм|юратса пӑрахнӑ пит
🤩;куҫри ҫӑлтӑрсем;ватӑ|диско|кулма|куҫ вырӑнне ҫӑлтӑрсем / савӑнӑҫ|куҫри ҫӑлтӑрсем|супер / ватӑ / кулӑ|ҫӑлтӑрсем|тӗлӗнтермӗш пуласса кӗтсе|шоу|ялтӑр
😘;сывлӑш чуптӑвӑвӗ;манран чупту|питрен чупту|савни|тунсӑхлатӑп каҫ|тунсӑхлатӑп каҫсерен|флирт|юрататӑп сана
😗;чуптӑвать;ачашлӑх|романтика|тунсӑхлатӑп|флирт|чмок|чупту|юрататӑп|юрату
☺️;йӑл кулать;кулӑ|кулать|лайӑх|савӑнӑҫ|смайлик|ҫитет|телей|хӗрлӗ
😚;куҫа хупса чуптӑвать;куҫсем|флирт|хӗрлӗ|хупӑннӑ|черккене|чупту
😙;телейлӗ чупту;кулӑ|куҫ|пит|телейлӗ чупту|тӗлпулу|цем|чмок|чупту
🥲;кулакан пит-куҫ;кулӑ|куҫҫуль|мӑнкӑмӑллӑх|пит|савӑнӑҫ|ҫӑмӑллӑх|ҫемҫелӳ|тав|чӗрене тивекен|ырату
😋;тутлӑ;апат|пит|ҫимелли|тутӑ|тутлӑ|чӗлхене йӗпетмелле
😛;чӗлхе кӑтартать;бе-е|йӗкӗлтет|пите|сиенлӗ|чее|чӗлхе кӑтартать|чӗлхене кӑларатӑп|чӗлхене кӑтартма
😜;чӗлхине кӑтартать те куҫне хӗсет;выляс|йӗкӗлтени|куҫ хӗскелени|пит-куҫ|чӗлхе|чӗлхине кӑтартать тата куҫне хӗскелет|шӳт
🤪;ухмахлашкалакан пит;куҫ|пӗчӗк|пит|пит-куҫ|псих|пысӑк|тӗлӗнтермӗш|тӗрлӗ виҫеллӗ|ухмаха ернӗ|фаза тӑрӑх куҫӑм|хӑрах куҫ|шаклаттарнӑ
😝;пит-куҫне пӗркелентерет, чӗлхине кӑтартать;бяк|ирсӗрлӗх|йӗрӗнӳ|куҫне хӗсет|пит-куҫне пӗркелентерет те чӗлхене кӑтартать|тутлах мар|тьфу|чӗлхене|чӗлхене кӑтартать
