# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grínandi andlit;andlit|grín|grínandi andlit
😃;grínandi andlit við stórum eygum;andlit|eygu|grín|grínandi andlit við stórum eygum|munnur|opin|stór
😄;grínandi andlit við brosandi eygum;andlit|grín|grínandi andlit við brosandi eygum|munnur|opin
😁;strálandi andlit við brosandi eygum;andlit|bros|eyga|grín|smíl|strálandi andlit við brosandi eygum
😆;grínandi andlit við krympaðum eygum;andlit|eygu|grín|grínandi andlit við krympaðum eygum|krympa
😅;grínandi andlit við sveitta;andlit|bros|grín|grínandi andlit við sveitta|smíl|sveitti
🤣;tárandi flennandi andlit;andlit|lofl|tár|tárandi flennandi andlit
😂;andlit við gleðistárum;andlit|andlit við gleðistárum|gleði|látur|tár
🙂;andlit ið smílur eitt sindur;andlit|andlit ið smílur eitt sindur|bros|smíl
🙃;andlit ið vendur á høvdinum;andlit|andlit ið vendur á høvdinum|upp og niður
🫠;smelta andlit;heitt|smelta andlit|smeltandi|speiorð
😉;andlit við blunkandi eyga;andlit|andlit við blunkandi eyga|blunk
😊;brosandi andlit við brosandi eygum;andlit|bros|brosandi andlit við brosandi eygum|eyga|rodna
😇;brosandi andlit við halgiboga;andlit|brosandi andlit við halgiboga|gloria|halgibogi|sakleys
🥰;smílandi andlit við hjørtum;andlit|elska|hjarta|kærleikur|smílandi andlit við hjørtum
😍;smílandi andlit við hjarta eygum;andlit|hjarta|kærleikur|smílandi andlit við hjarta eygum
🤩;stjørnuandlit;andlit|stjørna|stjørnuandlit
😘;andlit ið sendur hjarta koss;andlit|andlit ið sendur hjarta koss|koss|muss
😗;mussandi andlit;andlit|koss|muss|mussandi andlit
☺️;brosandi andlit;andlit|bros|brosandi andlit
😚;mussandi andlit við afturlatnum eygum;afturlatin|andlit|eygu|koss|muss|mussandi andlit við afturlatnum eygum
😙;mussandi andlit við brosandi eygum;andlit|bros|eyga|koss|muss|mussandi andlit við brosandi eygum
🥲;smílandi andlit ið tárar;andlit|bros|errin|smílandi andlit ið tárar|stolt|stoltur|takksamur|takksom
😋;andlit við matarlystið;andlit|andlit við matarlystið|lekkurt|matarlystur|tunga
😛;gálvandi andlit;andlit|gálva|gálvandi andlit|tunga
😜;gálvandi andlit við blunkandi eyga;andlit|blunka|eyga|gálva|gálvandi andlit við blunkandi eyga|tunga
🤪;svakt andlit;andlit|eygu|ørt|svakt
😝;gálvandi andlit við krympaðum eygum;andlit|eygu|gálva|gálvandi andlit við krympaðum eygum|krympa|tunga
🤑;peningaandlit;andlit|munn|pengar|peningaandlit
🤗;klemmandi andlit;andlit|klemm|klemmandi andlit
