# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ihu ọchị;ezé|ihu|mara mma|na-achị ọchị|na-amụmụ ọnụ ọchị|nke ọma|obi ụtọ|ọchị
😃;Ihu Amụ Nwere Ọnụ Ghe oghe;anya|dị egwu|ee|eze|ihu|mepere|na-achị ọchị|na-amụmụ ọnụ ọchị|nnukwu|obi ụtọ|ọchị|ọnụ
😄;ihu amụ nwere mmepe ọnụ &amp; anya amụ;anya|ihu|lol|mepere|na-achị ọchị|na-amụmụ ọnụ ọchị|obi ụtọ|ọchị|ọnụ
😁;ihu ọchị nwere anya amụ;anya|ezé|ihu|mara mma|na-achị ọchị|na-amụmụ ọnụ ọchị|na-egbuke egbuke|obi ụtọ|ọchị
😆;ihu amụ nwere mmepe ọnụ &amp; anya mechiri emechi;anya|haha|hahaha|ihu|lol|mechiri|mepere emepe|na-achị ọchị|na-akpị anya|na-amụmụ ọnụ ọchị|obi ụtọ|ọchị|ọnụ|rofl
😅;ihu amụ nwere mmepe ọnụ &amp; okpofufu oyi;ihu|mepere emepe|mesiri ike|na-achị ọchị|na-amụmụ ọnụ ọchị|nrụgide|obi mgbawa|obi ụtọ|ọchị|ọnụ|ọsụsọ|oyi|ụjọ
🤣;na-atụgharị n’ala na-achị ọchị;ala|anya mmiri|haha|hehe|ihu|lol|mmuo|na-akpa ọchị|na-atụgharị|na-ebe akwa|obi ụtọ|ọchị|ọṅụ|rofl|roflmao
😂;ihu nwere anya mmiri nke aṅụrị;anya mmiri|haha|hehe|ihu|lol|mmuo|na-akpa ọchị|na-ebe akwa|na-enwe mmetụta|obi ụtọ|ọchị|ọṅụ|rofl|roflmao
🙂;nwa obere ihu na-amụ amụ;amụ|ihu|na-amụmụ ọchị|nwa obere|ọchị
🙃;ihu nsụgharị-isi n’ala;hehe|ihu|nsụgharị-isi n’ala|ọchị
🫠;ihu agbaze;agbaze|haha|igbari|ihere|ihu|lol|mkparị|mmiri mmiri|na-agbaze|na-ekpo ọkụ|okpomọkụ|okwu mkparị|pụọ
😉;Ihu na-atabi anya;agụ mmekọ ahụ|ichu nwanyị|ihu|mmife|na-atabi anya|njakịrị|ntabi anya|onye na-agbawa obi
😊;ihu amụ nwere anya amụ;afọ juru|anya|ihere|ihu|na-amụmụ ọnụ ọchị|obi ụtọ|ọchị
