# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;にっこり笑う;スマイル|ナイス|にっこり|にっこり笑う|ハッピー|笑う|笑顔|顔
😃;わーい;スマイル|ハッピー|わーい|口を開けた笑顔|笑顔|顔
😄;笑顔;スマイル|ハッピー|わーい|笑顔|顔
😁;にやっと笑う;スマイル|ナイス|にやっと笑う|ハッピー|笑う|笑顔|顔
😆;きゃー;あはは|うけるね|きゃー|スマイル|嬉しい|満足|笑|笑顔|顔
😅;冷や汗笑顔;スマイル|とほほ|冷や汗|冷や汗笑顔|汗|笑顔|顔
🤣;笑い転げる;あはは|うけるね|スマイル|泣き笑い|涙|爆笑|笑い転げる|笑う|笑顔|顔
😂;嬉し泣き;あはは|スマイル|大笑い|嬉し泣き|泣き笑い|涙|爆笑|笑う|笑顔|顔
🙂;微笑む;スマイル|ハッピー|ほほえみ|微笑み|微笑む|笑顔|顔
🙃;さかさまの顔;さかさま|さかさまの顔|笑顔|顔
🫠;溶けている顔;とろける|暑い|液体|溶けそう|溶けている顔|溶ける|顔
😉;ウインク;ウィンク|ウインク|ウィンクする顔|顔
😊;にこにこ;スマイル|にこにこ|微笑み|満足|目を細める|頬を赤らめる|顔
😇;天使の輪がついた笑顔;スマイル|ハッピー|天使の輪|天使の輪がついた笑顔|平和|笑顔|顔
🥰;ハートの笑顔;ハート|ハートの笑顔|メロメロ|ラブ|夢中|愛してる|笑顔|顔
😍;目がハートの笑顔;スマイル|ハート|ラブ|大好き|目がハートの笑顔|笑顔|顔
🤩;目が星の笑顔;スマイル|わーい|星|目が星の笑顔|笑顔|顔
😘;投げキッス;キス|ちゅっ|ハート|投げキッス|顔
😗;キス;キス|ちゅっ|デート|顔
☺️;スマイリー;スマイリー|スマイル|ハッピー|ほっ|笑顔|顔
😚;ちゅっ;キス|ちゅっ|デート|目を閉じてキス|目を閉じる|顔
😙;にっこりキス;キス|スマイル|ちゅっ|にっこりキス|笑顔|顔
🥲;嬉し涙の顔;じーん|嬉し涙の顔|感動|感激|泣く|涙|顔
😋;にこにこぺろり;うまい|おいしい|おいしそう|スマイル|にこにこぺろり|ぺろり|笑顔|腹ぺこ|顔
😛;舌を出した顔;べー|べろ|甘い|舌|舌を出した顔|顔
😜;あっかんべー;あっかんべー|ウィンク|ジョーク|べー|冗談|舌|顔
🤪;ふざけた顔;おかしい|ジョーク|ふざけ|ふざけた顔|顔
😝;目を閉じてべー;べー|べろ|わーい|味見|目を閉じてべー|舌|顔
🤑;お金の顔;お金|お金の顔|べー|べろ|舌|顔
🤗;ハグ;スマイル|ハグ|笑顔|顔
🤭;口に手を当てた顔;おっと|クスクス|スマイル|内緒|口に手を当てた顔|笑顔|顔
🫢;目を開けて口に手を当てた顔;おそれ|おののき|びっくり|目を開けて口に手を当てた顔|静かに|顔|驚き
