# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanohi pakiri;kanohi|pakiri
😃;kanohi menemene waha tuwhera;kanohi|menemene|tuwhera|waha
😄;kanohi menemene waha tuwhera me ngā karu menemene;kanohi|kanohi menemene waha tuwhera me ngā karu menemene|karu|menemene|tuwhera|waha
😁;kanohi pakiri karu menemene;kanohi|karu|menemene|pakiri
😆;kanohi menemene waha tuwhera me ngā karu kopi;kanohi|kanohi menemene waha tuwhera me ngā karu kopi|kata|menemene|ngata|tuwhera|waha
😅;kanohi menemene waha tuwhera me te werawera mātao;kanohi|kanohi menemene waha tuwhera me te werawera mātao|mātao|menemene|tuwhera|werawera
🤣;takaoriori ana i te papa me te katakata;kanohi|katakata|papa|takaoriori|takaoriori ana i te papa me te katakata
😂;kanohi roimata harikoa;harikoa|kanohi|kata|roimata
🙂;kanohi menemene iti;kanohi|kanohi menemene iti|menemene
🙃;kanohi huripoki;huripoki|kanohi
🫠;;
😉;kanohi kimokimo;kanohi|kanohi kimokimo|kimo
😊;kanohi menemene karu menemene;kanohi|karu|menemene|mumura
😇;kanohi menemene whai āwheo;anahera|āwheo|hēkore|kanohi|kanohi menemene whai āwheo|kōrero pakiwaitara|menemene|moemoeā
🥰;;
😍;kanohi menemene karu-manawa;aroha|kanohi|kanohi menemene karu-manawa|karu|menemene
🤩;tino mīharotia;kanohi|karu|pakiri|tino mīharotia|whetū
😘;kanohi pupuhi kihi;kanohi|kanohi pupuhi kihi|kihi
😗;kanohi kihikihi;kanohi|kanohi kihikihi|kihi
☺️;kanohi menemene;kanohi|menemene|pārohe|whakahuahua
😚;kanohi kihikihi karu kopi;kanohi|kanohi kihikihi karu kopi|karu|kihi|kopi
😙;kanohi kihikihi karu menemene;kanohi|kanohi kihikihi karu menemene|karu|kihi|menemene
🥲;;
😋;kanohi tāwara kai reka;ā|kanohi|kanohi tāwara kai reka|menemene|reka|tāwara|um
😛;kanohi whātero;arero|kanohi|kanohi whātero
😜;kanohi whātero karu kimokimo;arero|hangarau|kanohi|kanohi whātero karu kimokimo|karu|kimo
