# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;रमाएको अनुहार;अनुहार|रमाएको अनुहार|हँसिलो
😃;खुला मुखसहितको हँसिलो अनुहार;अनुहार|खुला|खुला मुखसहितको हँसिलो अनुहार|मुख|मुस्कान
😄;खुला मुख र चम्किला आँखासहितको हँसिलो अनुहार;अनुहार|आँखा|खुला|खुला मुख र चम्किला आँखासहितको हँसिलो अनुहार|मुख|मुस्कान
😁;रमाएका आँखासहित मन्दमुस्कानयुक्त अनुहार;अनुहार|आँखा|मुस्कान|रमाएका आँखासहित मन्दमुस्कानयुक्त अनुहार|हँसिलो
😆;खुला मुख र आँखा चिम्म भएको हँसिलो अनुहार;अनुहार|खुला|खुला मुख र आँखा चिम्म भएको हँसिलो अनुहार|मुख|मुस्कान|सन्तुष्ट|हँसाइ
😅;खुला मुख र असिनपसिन भएको हँसिलो अनुहार;अनुहार|खुला|खुला मुख र असिनपसिन भएको हँसिलो अनुहार|चिसो|पसिना|हाँसो
🤣;अत्यन्तै हाँस उठ्दो;अत्यन्तै हाँस उठ्दो|अनुहार|भुईँ|लडिबुडी|हाँसो
😂;खुसीको आँसु देखिएको अनुहार;अनुहार|आँसु|खुशी|खुसीको आँसु देखिएको अनुहार|हाँसो
🙂;हल्का हँसिलो अनुहार;अनुहार|मुस्कान|हल्का हँसिलो अनुहार
🙃;माथि-तल भएको अनुहार;अनुहार|माथि-तल भएको|माथि-तल भएको अनुहार
🫠;पग्लिरहेको अनुहार;अनुहार|गायब|तरल|तातो|ताप|पग्लिँदै|पग्लियो|लज्जित|विघटन|व्यंग्य|व्यंग्यात्मक|हाहा
😉;आँखा झिम्काइएको अनुहार;अनुहार|आँखा झिम्काइएको अनुहार|आँखा झिम्काएको
😊;चम्किला आँखा र हँसिलो अनुहार;अनुहार|आँखा|चम्किला आँखा र हँसिलो अनुहार|मुस्कान|लजाएको
😇;ह्यालो सहितको हँसिलो अनुहार;अनुहार|आत्मा|कथा|कल्पना|खुशी|धन्य|निर्दोष|परी|परीकथा|प्रभामण्डल|मुस्कान|मुस्कुराउँदै|शान्त|स्वर्गदूत|स्वर्गदूतहरू
🥰;तीनवटा मायाका प्रतीकसहितको हँसिलो मुहार;गाढा माया गर्नु|तीनवटा मायाका प्रतीकसहितको हँसिलो मुहार|प्रेममा|हल्का एकतर्फी प्रेम
😍;पानको पात-आकारको आँखासहितको हँसिलो अनुहार;अनुहार|आँखा|पानको पात-आकारको आँखासहितको हँसिलो अनुहार|माया|मुटु|मुस्कान
🤩;अचम्भित;अचम्भित|अनुहार|आँखा|तारा|दाँत देखाएर हाँसिरहेको अनुहार
😘;चुम्बन फ्याँकिरहेको अनुहार;अनुहार|चुम्बन|चुम्बन फ्याँकिरहेको अनुहार|मुटु
😗;चुम्बन गरिरहेको अनुहार;अनुहार|चुम्बन|चुम्बन गरिरहेको अनुहार
☺️;हँसिलो अनुहार;अनुहार|तनाबमुक्त|बाहिर रेखा गरेको|मुस्कान|हँसिलो अनुहार
😚;बन्द आँखासहित चुम्बन गरिरहेको अनुहार;अनुहार|आँखा|चुम्बन|बन्द आँखासहित चुम्बन गरिरहेको अनुहार|बन्द गरेको
😙;हँसिलो आँखासहित चुम्बन गरिरहेको अनुहार;अनुहार|आँखा|चुम्बन|मुस्कान|हँसिलो आँखासहित चुम्बन गरिरहेको अनुहार
🥲;आँसुका साथ रोइरहेको;अनुहार|आनन्द|आँसु|कृतज्ञ|खुसी|गर्व|छोएको|पीडा|मुस्कान|मुस्कुराएको|राहत
😋;स्वादिष्ट खानामा रमाएको अनुहार;अनुहार|मिठो|मिस्ठान्न|स्वादिष्ट|स्वादिष्ट खानामा रमाएको अनुहार|स्वादिस्ट|हाँसो
😛;जिब्रोबाहिर निस्केको अनुहार;अनुहार|जिब्रोबाहिर निस्केको|जिब्रोबाहिर निस्केको अनुहार
😜;जिब्रोबाहिर निस्केको र आँखा झिम्काएको अनुहार;अनुहार|आँखा|आँखा झिम्काउने|जिब्रो|जिब्रोबाहिर निस्केको र आँखा झिम्काएको अनुहार|रमाइलो
🤪;मूर्ख अनुहार;आँखा|ठूलो|मूर्ख अनुहार|सानो
😝;जिब्रोबाहिर निस्केको र आँखा चिम्म गरिएको अनुहार;अनुहार|आँखा|जिब्रो|जिब्रोबाहिर निस्केको र आँखा चिम्म गरिएको अनुहार|डरलाग्दो|स्वाद
🤑;पैसाको-मुख भएको अनुहार;अनुहार|पैसा|पैसाको-मुख भएको अनुहार|मुख
🤗;अंगालो मारेको अनुहार;अंगालो|अंगालो मारिरहेको|अंगालो मारेको अनुहार|अनुहार
🤭;छक्क परेको भाव भएको अनुहार;छक्क परेको भाव भएको अनुहार|हुप्स
🫢;खुला आँँखा र मुखमाथि हातसहितको अनुुहार;अनुहार|अविश्वास|आँखा|आश्चर्य|खुला|झट्का|डराएको|मुख|लज्जा|विस्मय|शान्त|हात|हांफ्नु|हे भगवान्
🫣;चियाएर हेरेको आँँखासहितको अनुहार;अनुहार|आँखा|झलक|झलकाउनु|डराउनु|मोहित|लजालु|लज्जित|लुकाउनु|लुक्नु|हेर्दै
🤫;चुप लाग्न आग्रह गरिरहेको अनुहार;चुप लाग्न आग्रह|चुप लाग्न आग्रह गरिरहेको अनुहार|मौंन
🤔;सोचमग्न अनुहार;अनुहार|सोचमग्न अनुहार|सोचिरहेको
🫡;सलाम ठोकिरहेको अनुुहार;अनुहार|ठीक छ|भाग्य|शुभकामना|श्रीमती|सम्मान|सर|सलाम|सलाम गर्दै|सेना|हो
🤐;मुख टालिएको अनुहार;अनुहार|जिपर|मुख|मुख टालिएको अनुहार
🤨;छक्क परेको अनुहार;अविश्वास|छक्क परेको अनुहार|शङ्कालु
😐;तटस्थ अनुहार;अनुहार|तटस्थ|भावहीन
😑;अभिव्यक्तिविहीन अनुहार;अनुहार|अभिव्यक्तिविहीन|भाव नभएको|भावशून्य
😶;मुखबिनाको अनुहार;अनुहार|चुप|मुख|मुखबिनाको अनुहार|शान्त
🫥;थोप्ला थोप्ला भएको रेखावाला अनुहार;wtv|अदृश्य|अनुहार|अन्तर्मुखी|गायब|जे भए पनि|निराश|बिन्दु|मेह|रेखा|लुकाउनुहोस्|लुकेको
😶‍🌫️;बादलमा अनुहार;अनुहार|कुहिरो|टाउको|बादल|बेहोस
😏;बनावटी अनुहार;अनुहार|बनावटी
😒;अप्रसन्न अनुहार;अनुहार|अप्रसन्न|वेखुशी
