# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Láfín Fes;Fes|Laf|Láfín Fes
😃;Láfín Fes Wé Gẹ́t Bíg Ai-dẹm;Fes|Laf|Láfín Fes Wé Gẹ́t Bíg Ai-dẹm|Maut|Ópun
😄;Láfín Fés Wit Shaínín Ai;Ai|Fés|Láfín Fés Wit Shaínín Ai|Láfín Fés Wit Smaílín Ai|Maut|Ópun|Smail
😁;Bíg Laf Wit Wait Tit;Ai|Bíg Laf|Bíg Laf Wit Wait Tit|Fes|Hápí Laf
😆;Láfín Fes Wit Klóz Ai;Fes|Hápi|Hápí Laf|Laf|Láfín Fes Wit Klóz Ai|Maut
😅;Láfín Fes With Smọ́l Swẹt;Fes|Kold|Láfín Fés Wit Smọ́l Swẹt|Láfín Fes With Smọ́l Swẹt|Ópun|Smail|Swẹt
🤣;Bẹ́nd Hẹd Wọ́n Said De Laf;Bẹ́nd Hẹd Wọ́n Said De Laf|Fes|Flọ|Laf|Ról Fọ Flọ|To Láf An Ról Fọ Flọ|To Rol
😂;Fes Wit Laf and Tias Fọ Ai;Fes|Fes Wit Laf and Tias Fọ Ai|Hapí|Hápí Fes Wit Tias Fọ Ai|Laf|Tias
🙂;Smaílín Fes Wit Jẹ́ntúl Ai;Fes|Smail|Smaílín Fes Wit Jẹ́ntúl Ai
🙃;Ọ́psaíd-daún Fes;Fes|Ọ́psaíd-daún
🫠;Fes Wé De Mẹ́lt Laik Ọ́yil;disapia|dizọlv|Fes Wé De Mẹ́lt Laik Ọ́yil|Líkwid|mẹlt
😉;Fes Wé Klóz Wọ́n Ai;Fes|Fes Wé Klóz Wọ́n Ai|Ópún An Klóz Wọ́n Ai Kwíkkwik
😊;Smaílín Fes Wit Shaínín Ai;Ai|Fes|Fes Wé Shem De Kach|Hápí Smail|Smaílín Fes Wit Shaínín Ai
😇;Smaílín Fes With Raúnd Lait Fọ Hẹd;Dream|Énjẹl|Fes|Pẹ́sin Nọ́ Dú Bad|Raúnd Lait|Smaílín Fes With Raúnd Lait Fọ Hẹd
🥰;Smailín Fes Wit Trí Hat;Hat-dẹm|Lọv|Smaílín Fes Wit Hat-dẹm|Smailín Fes Wit Trí Hat|To Lọ́v Pẹ́sin Wẹ́l Wẹl|Wẹ́n Pẹ́sin Lọ́v Sọ́mbọ́di
😍;Lafín Fes Wit Hat-ai-dẹm;Ai|Fes|Laf|Lafín Fes Wit Hat-ai-dẹm|Lọv
🤩;Láfín Fes Wit Sta Fọ Ai;Ai|Fes|Láfin|Láfín Fes Wit Sta Fọ Ai|Sta
😘;Maut Wé De Bló Kis;Fes|Kis|Maut Wé De Bló Kis
😗;Kísín Fes;Fes|Kis|Kísín Fes
☺️;Smaílín Fes;Aúsaíd Mak|Fes|Rilaks|Smail|Smaílín Fes
😚;Kísín Fes Wit Klóz Ai;Ai|Fes|Kis|Kísín Fes Wit Klóz Ai|Kloz
😙;Kísín Fes Wit Smaílín Ai;Ai|Fes|Kis|Kísín Fes Wit Smaílín Ai|Smail
🥲;Smaílín Fes Wit Tis Fọ Ai;Praud|Smail|Smaílín Fes Wit Tis Fọ Ai|Sọ́mtin Wé Tọ́ch Pẹ́sin Fọ Hat|Tánkio|Tias
😋;Fes Wé De Ẹnjọí Fud;Ẹnjọyín Di Tést Ọf Sọ́mtín Laik Fud Ọ Drink|Fes|Fes Wé De Ẹnjọí Fud|Hapí|Smail|Swit
😛;Fes Wit Tọng;Fes|Fes Wit Tọng|Tọng
😜;Wínkín Fes Wit Tọng;Ai|Fes|Jok|Ple|Tọng|Wink|Wínkín Fes Wit Tọng
🤪;Fes De Mék Pẹ́sin Laf;Ai|Big|Fes De Mék Pẹ́sin Laf|Fes Wé De Mék Pẹ́sin Laf|Smọl|Stúpid
😝;Fes Klóz Ai Smọl De Luk;Ai|Fes|Fes Klóz Ai Smọl De Luk|Fes Wé Klóz Ai Smọl De Luk|Họ́ríbul|Test|Tọng
🤑;Mọní-Maút Fes;Fes|Maut|Maút Fes|Mọní|Mọní-Maút Fes
🤗;Hand De Họ́l Fes;Fes|Hand De Họ́l Fes|Hold
🤭;Fes Wit Hand Fọ Maut;Fes Wit Hand Fọ Maut|Hẹẹẹ
